Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,6.3,6.3,6.3,6.3,6.3,0.0
2018-01-03,6.3,6.3,6.3,6.3,6.3,0.0
2018-01-04,6.3,6.3,6.3,6.3,6.3,0.0
2018-01-05,6.3,6.3,6.3,6.3,6.3,0.0
2018-01-08,6.3,6.3,6.3,6.3,6.3,1000.0
2018-01-09,5.4,5.4,5.4,5.4,5.4,100.0
2018-01-10,5.4,5.4,5.4,5.4,5.4,0.0
2018-01-11,6.2,6.2,6.2,6.2,6.2,106.0
2018-01-12,6.2,6.2,6.2,6.2,6.2,0.0
2018-01-15,5.3,5.3,5.3,5.3,5.3,100.0
2018-01-16,5.3,5.3,5.3,5.3,5.3,0.0
2018-01-17,6.0,6.0,6.0,6.0,6.0,106.0
2018-01-18,6.0,6.0,6.0,6.0,6.0,0.0
2018-01-19,5.1,5.1,5.1,5.1,5.1,100.0
2018-01-22,4.4,4.4,4.4,4.4,4.4,106.0
2018-01-23,5.0,5.0,5.0,5.0,5.0,100.0
2018-01-24,5.7,5.7,5.7,5.7,5.7,100.0
2018-01-25,5.7,5.7,5.7,5.7,5.7,0.0
2018-01-26,5.7,5.7,5.7,5.7,5.7,0.0
2018-01-29,5.7,5.7,5.7,5.7,5.7,0.0
2018-01-30,5.7,5.7,5.7,5.7,5.7,400.0
2018-01-31,5.7,5.7,5.7,5.7,5.7,0.0
2018-02-01,5.7,5.7,5.7,5.7,5.7,0.0
2018-02-02,5.7,5.7,5.7,5.7,5.7,7.0
2018-02-05,5.7,5.7,5.7,5.7,5.7,0.0
2018-02-06,5.7,5.7,5.7,5.7,5.7,0.0
2018-02-07,5.7,5.7,5.7,5.7,5.7,0.0
2018-02-08,5.7,5.7,5.7,5.7,5.7,0.0
2018-02-09,4.9,4.9,4.9,4.9,4.9,100.0
2018-02-12,4.9,4.9,4.9,4.9,4.9,0.0
2018-02-13,4.9,4.9,4.9,4.9,4.9,0.0
2018-02-21,4.2,4.2,4.2,4.2,4.2,100.0
2018-02-22,4.8,4.8,4.8,4.8,4.8,100.0
2018-02-23,4.1,4.1,4.1,4.1,4.1,100.0
2018-02-26,4.1,4.1,4.1,4.1,4.1,0.0
2018-02-27,4.1,4.1,4.1,4.1,4.1,0.0
2018-02-28,4.7,4.7,4.7,4.7,4.7,100.0
2018-03-01,4.7,4.7,4.7,4.7,4.7,0.0
2018-03-02,5.4,5.4,5.4,5.4,5.4,100.0
2018-03-05,4.6,4.6,4.6,4.6,4.6,100.0
