Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,76.5,73.9,75.2,75.0,56.844,1142760.0
2018-01-03,75.8,74.3,75.0,75.2,56.995,1096830.0
2018-01-04,78.6,75.4,75.4,78.6,59.572,1439440.0
2018-01-05,79.4,77.2,78.3,79.0,59.876,1368060.0
2018-01-08,84.3,78.6,78.6,84.0,63.665,1164450.0
2018-01-09,85.0,82.5,84.0,83.1,62.983,1278870.0
2018-01-10,86.0,83.0,83.1,85.0,64.423,1428940.0
2018-01-11,88.8,83.7,84.5,88.2,66.848,1057380.0
2018-01-12,91.2,86.0,88.2,86.7,65.712,1928010.0
2018-01-15,91.0,86.0,86.7,90.5,68.592,1470780.0
2018-01-16,92.7,88.9,90.0,91.0,68.971,1556760.0
2018-01-17,92.3,86.2,91.0,86.2,65.333,1459300.0
2018-01-18,87.3,82.0,85.0,86.8,65.787,2552170.0
2018-01-19,91.9,86.8,87.5,91.9,69.653,2791600.0
2018-01-22,94.4,90.0,91.9,93.1,70.562,1527840.0
2018-01-25,95.5,92.8,94.2,93.1,70.562,2924920.0
2018-01-26,94.2,90.0,93.9,93.0,70.486,1662110.0
2018-01-29,93.0,90.6,93.0,91.8,69.577,1706230.0
2018-01-30,90.9,86.8,90.0,89.5,67.834,1593930.0
2018-01-31,93.0,85.1,88.0,88.5,67.076,1946140.0
2018-02-01,90.0,87.8,88.8,88.6,67.152,723200.0
2018-02-02,88.6,86.4,87.0,87.8,66.545,992010.0
2018-02-05,87.4,81.7,87.4,81.7,61.922,1590460.0
2018-02-06,80.0,76.0,76.0,76.0,57.602,1071710.0
2018-02-07,80.2,77.6,80.1,79.9,60.558,1566120.0
2018-02-08,79.2,77.0,78.5,77.1,58.436,459780.0
2018-02-09,74.8,71.8,73.0,73.1,55.404,770290.0
2018-02-12,77.9,73.1,73.1,77.9,59.042,750900.0
2018-02-13,79.3,78.0,79.0,78.2,59.269,546150.0
2018-02-21,80.8,78.7,80.2,79.7,60.406,803170.0
2018-02-22,79.9,76.0,79.0,77.5,58.739,622310.0
2018-02-23,82.9,78.2,78.4,82.9,62.831,2058340.0
2018-02-26,88.7,85.0,85.0,88.5,67.076,2159560.0
2018-02-27,89.5,86.5,89.5,87.9,66.621,845450.0
2018-02-28,91.0,86.0,86.0,89.9,68.137,1820920.0
2018-03-01,89.8,86.1,88.8,87.2,66.091,1258110.0
2018-03-02,87.0,85.3,86.0,87.0,65.939,849060.0
2018-03-05,88.5,83.1,87.5,83.1,62.983,1014150.0
2018-03-06,87.0,83.0,84.5,86.6,65.636,838820.0
2018-03-07,86.6,83.0,86.1,83.3,63.135,833790.0
2018-03-08,85.2,82.5,83.3,85.0,64.423,676110.0
2018-03-09,86.0,83.8,85.4,84.0,63.665,552480.0
2018-03-12,85.3,82.4,85.3,82.4,62.453,507620.0
2018-03-13,83.3,79.7,82.9,81.5,61.77,932770.0
2018-03-14,83.0,81.2,81.7,81.2,61.543,511470.0
2018-03-15,82.0,80.3,81.0,81.1,61.467,665400.0
2018-03-16,85.1,81.2,81.2,83.0,62.907,2039440.0
2018-03-19,86.5,84.5,85.0,86.3,65.408,1156350.0
2018-03-20,87.2,85.5,86.0,85.5,64.802,922890.0
2018-03-21,87.7,85.6,86.2,86.9,65.863,1797680.0
2018-03-22,88.8,86.8,88.0,86.9,65.863,1293360.0
2018-03-23,86.4,83.9,85.0,85.1,64.499,1182670.0
2018-03-26,86.0,83.0,85.1,83.0,62.907,1121370.0
2018-03-27,84.0,80.3,83.5,82.0,62.149,1269680.0
2018-03-28,83.7,80.6,81.1,82.9,62.831,500520.0
2018-03-29,83.3,81.6,82.9,82.3,62.377,374820.0
2018-03-30,83.9,81.5,82.9,83.7,63.438,501160.0
2018-04-02,85.3,83.3,83.6,84.9,64.347,770760.0
2018-04-03,85.4,82.9,84.5,83.0,62.907,778980.0
2018-04-04,83.5,81.9,83.0,82.5,62.528,937700.0
2018-04-05,83.0,81.2,82.5,81.4,61.695,532380.0
2018-04-06,83.0,80.8,82.0,83.0,62.907,891780.0
2018-04-09,84.5,82.8,83.0,83.4,63.21,761600.0
2018-04-10,83.4,81.3,82.9,83.0,62.907,557070.0
2018-04-11,83.9,79.0,83.1,79.0,59.876,1006130.0
2018-04-12,80.0,77.7,79.0,80.0,60.634,950990.0
2018-04-13,80.8,75.0,80.0,76.5,57.981,948810.0
2018-04-16,76.9,75.0,76.5,76.7,58.132,557830.0
2018-04-17,76.9,73.4,76.7,74.0,56.086,692890.0
2018-04-18,74.7,70.8,74.0,71.8,54.419,1160450.0
2018-04-19,71.8,66.8,71.8,66.8,50.629,1255730.0
2018-04-20,69.4,66.0,66.8,69.4,52.6,733140.0
2018-04-23,71.0,64.6,70.0,64.6,48.962,683680.0
2018-04-24,64.0,60.1,62.6,62.0,46.991,1222150.0
2018-04-26,62.9,57.7,62.9,57.7,43.732,909200.0
2018-04-27,61.7,57.6,57.7,61.7,46.764,1112190.0
2018-05-02,66.0,63.0,63.5,66.0,50.023,837650.0
2018-05-03,68.5,64.0,66.0,66.2,50.174,788130.0
2018-05-04,66.2,64.5,66.0,65.4,49.568,632690.0
2018-05-07,66.9,64.5,65.0,66.5,50.402,492350.0
2018-05-08,68.8,66.1,66.1,68.2,51.69,643400.0
2018-05-09,69.2,66.8,68.8,67.7,51.311,615370.0
2018-05-10,68.0,64.0,68.0,64.0,48.507,552890.0
2018-05-11,64.9,62.0,64.0,64.0,48.507,672780.0
2018-05-14,66.1,64.1,65.4,66.0,50.023,408200.0
2018-05-15,70.6,66.0,66.0,70.6,53.509,1275590.0
2018-05-16,71.0,68.5,71.0,69.0,52.296,728550.0
2018-05-17,69.3,68.0,68.6,68.0,51.538,852580.0
2018-05-18,69.0,65.0,67.2,69.0,52.296,825630.0
2018-05-21,69.1,66.0,69.1,66.0,50.023,542820.0
2018-05-22,66.0,61.4,64.5,62.0,46.991,955310.0
2018-05-23,63.3,60.2,61.0,63.3,47.976,614660.0
2018-05-24,64.5,62.0,63.6,63.0,47.749,382870.0
2018-05-25,63.5,59.5,63.0,59.5,45.096,618290.0
2018-05-28,59.0,56.0,59.0,56.0,42.443,976740.0
2018-05-29,59.9,56.4,57.0,59.9,45.399,678390.0
2018-05-30,60.5,58.5,59.5,58.5,44.338,490400.0
2018-05-31,62.5,58.0,58.0,62.0,46.991,849930.0
2018-06-01,63.0,60.9,62.9,62.5,47.37,686660.0
2018-06-04,63.5,61.6,62.5,62.8,47.597,386910.0
2018-06-05,66.5,62.8,62.8,65.6,49.719,765440.0
2018-06-06,67.5,64.8,66.0,67.2,50.932,547500.0
2018-06-07,67.4,66.0,67.0,66.9,50.705,637220.0
2018-06-08,68.5,65.8,66.8,68.2,51.69,781580.0
2018-06-11,68.4,66.2,66.5,66.3,50.25,584970.0
2018-06-12,66.0,62.2,65.0,64.8,49.113,927160.0
2018-06-13,67.0,64.5,64.9,67.0,50.781,496570.0
2018-06-14,68.3,66.7,67.0,66.7,50.553,594110.0
2018-06-15,67.3,65.7,66.4,67.3,51.008,476310.0
2018-06-18,67.2,64.5,66.8,64.5,48.886,517670.0
2018-06-19,64.0,60.0,63.5,62.5,47.37,1282720.0
2018-06-20,63.9,61.5,62.9,63.9,48.431,305680.0
2018-06-21,63.8,62.5,63.8,62.6,47.446,259740.0
2018-06-22,63.4,61.9,62.5,63.4,48.052,308340.0
2018-06-25,62.8,61.5,62.8,61.6,49.006,383240.0
2018-06-26,61.1,60.0,61.1,60.6,48.21,221360.0
2018-06-27,62.0,59.8,61.0,59.8,47.574,331450.0
2018-06-28,59.8,58.0,59.5,59.0,46.937,410520.0
2018-06-29,59.9,58.5,59.0,58.5,46.54,149200.0
2018-07-02,58.7,55.9,58.4,58.5,46.54,488920.0
2018-07-03,58.5,55.0,58.5,55.1,43.835,446650.0
2018-07-04,56.5,54.2,56.2,55.6,44.232,319770.0
2018-07-05,56.0,52.8,56.0,52.8,42.005,498150.0
2018-07-06,56.1,51.8,53.0,54.4,43.278,683880.0
2018-07-09,56.9,55.0,55.5,55.0,43.755,358880.0
2018-07-10,56.5,55.0,55.0,55.0,43.755,301320.0
2018-07-11,54.0,52.1,52.5,54.0,42.96,406410.0
2018-07-12,54.7,52.8,52.8,53.5,42.562,139300.0
2018-07-13,54.8,53.8,54.0,54.0,42.96,266960.0
2018-07-16,55.0,53.5,54.0,54.4,43.278,227950.0
2018-07-17,54.9,53.0,53.9,54.0,42.96,308540.0
2018-07-18,57.0,54.6,54.8,57.0,45.346,771000.0
2018-07-19,58.2,56.8,57.5,57.6,45.824,408530.0
2018-07-20,57.4,56.1,56.6,56.1,44.63,480790.0
2018-07-23,58.6,56.0,56.5,57.2,45.505,628000.0
2018-07-24,57.8,56.3,57.0,57.0,45.346,376550.0
2018-07-25,58.0,56.9,57.4,56.9,45.267,436720.0
2018-07-26,56.8,55.7,56.8,56.0,44.551,407460.0
2018-07-27,57.3,56.0,56.0,56.7,45.108,287950.0
2018-07-30,58.0,57.1,57.4,58.0,46.142,668090.0
2018-07-31,61.9,57.7,58.0,60.5,48.131,1559950.0
2018-08-01,62.6,60.6,61.0,61.3,48.767,747160.0
2018-08-02,61.8,60.7,61.5,61.7,49.085,951560.0
2018-08-03,64.0,62.0,62.0,62.6,49.801,1312750.0
2018-08-06,64.4,61.8,62.6,63.9,50.836,701070.0
2018-08-07,64.0,62.4,63.9,62.6,49.801,763020.0
2018-08-08,63.8,62.6,63.2,63.0,50.12,560540.0
2018-08-09,64.3,62.0,63.9,62.9,50.04,848730.0
2018-08-10,63.9,62.1,62.9,63.9,50.836,665110.0
2018-08-13,66.5,63.0,63.9,66.5,52.904,1369790.0
2018-08-14,66.2,65.1,66.1,65.6,52.188,628640.0
2018-08-15,65.7,62.7,65.6,62.8,49.96,733050.0
2018-08-16,65.0,61.0,61.6,64.6,51.392,1441710.0
2018-08-17,65.2,64.0,64.9,64.2,51.074,530720.0
2018-08-20,66.5,64.0,64.0,65.5,52.108,1133600.0
2018-08-21,66.4,64.8,65.2,65.8,52.347,753180.0
2018-08-22,67.0,65.5,66.5,65.6,52.188,681810.0
2018-08-23,66.6,65.4,66.1,65.9,52.427,535200.0
2018-08-24,68.3,65.5,65.5,68.0,54.097,2117990.0
2018-08-27,69.3,68.0,68.0,68.8,54.734,893630.0
2018-08-28,69.4,68.1,68.8,69.0,54.893,859970.0
2018-08-29,69.0,67.0,69.0,67.3,53.54,1403870.0
2018-08-30,68.8,66.7,67.5,68.8,54.734,971010.0
2018-08-31,69.7,67.8,69.0,67.8,53.938,465030.0
2018-09-04,68.8,67.2,67.8,67.4,53.62,735330.0
2018-09-05,67.9,66.3,67.1,67.0,53.302,1307880.0
2018-09-06,67.6,66.6,66.8,67.1,53.381,924700.0
2018-09-07,67.9,66.8,66.9,67.8,53.938,592540.0
2018-09-10,70.3,67.8,67.8,69.5,55.291,1877740.0
2018-09-11,70.3,69.2,69.5,70.0,55.688,734210.0
2018-09-12,71.9,70.3,71.0,71.0,56.484,1294740.0
2018-09-13,71.9,69.5,70.8,69.8,55.529,1349440.0
2018-09-14,70.7,68.9,69.4,70.6,56.166,1147060.0
2018-09-17,71.9,69.6,70.0,71.2,56.643,871820.0
2018-09-18,71.5,70.1,70.5,71.4,56.802,613920.0
2018-09-19,72.3,70.7,72.0,70.7,56.245,887800.0
2018-09-20,71.4,70.6,71.1,71.3,56.723,701700.0
2018-09-21,71.7,70.5,71.6,70.8,56.325,1786260.0
2018-09-24,73.1,71.0,71.3,73.0,58.075,1223920.0
2018-09-25,73.9,72.9,73.3,73.1,58.155,842810.0
2018-09-26,73.1,72.0,73.1,72.0,57.279,1070320.0
2018-09-27,72.5,71.5,72.0,72.1,57.359,786580.0
2018-09-28,72.7,71.0,72.0,71.0,56.484,798310.0
2018-10-01,72.6,70.9,71.0,71.6,56.961,905790.0
2018-10-02,72.4,70.5,72.1,71.0,56.484,640350.0
2018-10-03,71.1,70.5,71.0,70.7,56.245,461970.0
2018-10-04,71.7,70.7,71.7,71.5,56.882,501260.0
2018-10-05,71.4,69.0,71.0,69.0,54.893,761890.0
2018-10-08,69.0,66.5,68.8,66.8,53.143,1448090.0
2018-10-09,67.7,67.0,67.5,67.1,53.381,547390.0
2018-10-10,67.7,66.8,67.7,67.0,53.302,431240.0
2018-10-11,65.0,62.4,62.5,62.9,50.04,1631410.0
2018-10-12,64.4,62.0,62.0,64.2,51.074,808250.0
2018-10-15,64.4,62.0,64.4,62.7,49.881,556180.0
2018-10-16,63.8,62.5,62.7,63.4,50.438,392600.0
2018-10-17,64.9,63.1,64.5,63.4,50.438,832180.0
2018-10-18,63.5,62.1,63.4,63.0,50.12,208850.0
2018-10-19,62.4,60.8,62.1,62.0,49.324,480870.0
2018-10-22,62.8,60.4,62.0,60.4,48.051,458870.0
2018-10-23,60.5,56.9,60.5,58.0,46.142,753750.0
2018-10-24,58.5,55.8,57.4,55.8,44.392,669070.0
2018-10-25,57.3,53.4,53.4,57.3,45.585,1015970.0
2018-10-26,58.9,57.7,58.9,57.7,45.903,746900.0
2018-10-29,57.7,56.4,57.0,57.0,45.346,368560.0
2018-10-30,58.4,55.9,56.0,57.2,45.505,521300.0
2018-10-31,59.7,57.7,57.7,59.5,47.335,758610.0
2018-11-01,60.0,58.0,59.3,58.1,46.221,420040.0
2018-11-02,60.8,58.4,58.5,60.1,47.812,653960.0
2018-11-05,61.4,59.1,59.5,61.0,48.528,515190.0
2018-11-06,61.7,60.3,61.5,60.3,47.972,542890.0
2018-11-07,60.5,58.7,60.3,59.5,47.335,681890.0
2018-11-08,60.3,59.4,60.0,59.4,47.256,363900.0
2018-11-09,59.6,57.0,59.5,57.0,45.346,630020.0
2018-11-12,57.9,55.7,56.6,57.8,45.983,410770.0
2018-11-13,57.3,56.4,56.5,56.5,44.948,333320.0
2018-11-14,57.0,54.8,56.1,55.0,43.755,787180.0
2018-11-15,56.1,54.8,56.0,55.0,43.755,481290.0
2018-11-16,56.8,55.5,56.0,56.4,44.869,412310.0
2018-11-19,59.0,57.1,57.2,59.0,46.937,461690.0
2018-11-20,59.0,58.0,58.2,58.5,46.54,374070.0
2018-11-21,58.2,57.0,57.0,58.0,46.142,341850.0
2018-11-22,58.7,57.7,58.7,58.0,46.142,280490.0
2018-11-23,59.4,57.6,58.0,58.2,46.301,482860.0
2018-11-26,58.1,57.5,58.1,58.1,46.221,188040.0
2018-11-27,58.8,57.6,58.2,58.1,46.221,262840.0
2018-11-28,58.4,57.6,58.0,58.3,46.38,214830.0
2018-11-29,58.9,57.4,58.9,57.4,45.664,318590.0
2018-11-30,58.0,57.2,57.4,58.0,46.142,210900.0
2018-12-03,61.2,58.6,59.2,61.0,48.528,992630.0
2018-12-04,61.7,60.3,61.0,60.7,48.29,603600.0
2018-12-05,61.9,59.7,60.2,60.8,48.369,853640.0
2018-12-06,61.4,59.9,61.0,60.5,48.131,496010.0
2018-12-07,61.3,60.5,60.5,61.1,48.608,379550.0
2018-12-10,61.8,61.0,61.3,61.4,48.847,508290.0
2018-12-11,61.5,60.6,61.3,60.9,48.449,279840.0
2018-12-12,61.4,60.8,61.4,61.2,48.688,314290.0
2018-12-13,61.9,61.0,61.3,61.0,48.528,402150.0
2018-12-14,61.6,59.9,61.0,60.0,47.733,643270.0
2018-12-17,59.9,57.0,59.8,57.0,45.346,612200.0
2018-12-18,57.5,56.2,56.9,56.8,45.187,766910.0
2018-12-19,56.8,55.5,56.3,55.8,44.392,749450.0
2018-12-20,56.5,55.5,55.5,55.9,44.471,303240.0
2018-12-21,57.1,55.0,55.8,57.1,45.426,400060.0
2018-12-24,57.1,56.3,57.0,56.6,45.028,241060.0
2018-12-25,56.0,54.7,56.0,55.3,43.994,594180.0
2018-12-26,56.0,55.2,55.3,55.2,43.914,185570.0
2018-12-27,56.8,56.0,56.8,56.2,44.71,254840.0
2018-12-28,56.4,53.0,56.2,53.0,42.164,580760.0
2019-01-02,55.5,54.0,54.0,54.4,43.278,380020.0
2019-01-03,55.0,52.5,54.4,53.6,42.641,450490.0
2019-01-04,55.2,53.0,53.0,54.9,43.676,302070.0
2019-01-07,55.7,55.1,55.5,55.2,43.914,187920.0
2019-01-08,55.5,53.3,55.5,54.1,43.039,352050.0
2019-01-09,55.2,54.0,54.9,54.2,43.119,343920.0
2019-01-10,55.3,54.4,54.8,55.1,43.835,280830.0
2019-01-11,56.0,55.0,55.4,55.3,43.994,337760.0
2019-01-14,55.5,54.1,55.3,54.9,43.676,125040.0
2019-01-15,55.8,54.6,54.9,55.3,43.994,230330.0
2019-01-16,56.3,55.4,56.0,55.5,44.153,252480.0
2019-01-17,55.7,54.7,55.5,54.7,43.516,197100.0
2019-01-18,55.2,54.4,54.7,54.4,43.278,188280.0
2019-01-21,55.9,54.3,55.0,55.3,43.994,273200.0
2019-01-22,55.0,53.4,55.0,53.5,42.562,729490.0
2019-01-23,53.9,53.0,53.0,53.2,42.323,486420.0
2019-01-24,53.8,53.1,53.2,53.2,42.323,653530.0
2019-01-25,53.9,53.2,53.2,53.8,42.8,169160.0
2019-01-28,54.2,53.4,54.0,53.5,42.562,516670.0
2019-01-29,53.6,53.1,53.4,53.5,42.562,311730.0
2019-01-30,53.7,53.3,53.5,53.3,42.403,452470.0
2019-01-31,54.6,53.3,54.0,53.9,42.88,911200.0
2019-02-01,54.2,53.5,53.6,53.5,42.562,1199400.0
2019-02-11,55.6,54.2,54.5,55.6,44.232,746520.0
2019-02-12,56.3,55.4,56.0,55.7,44.312,957300.0
2019-02-13,57.3,55.7,55.7,57.1,45.426,1941970.0
2019-02-14,57.4,56.6,57.0,56.7,45.108,1004440.0
2019-02-15,57.6,56.5,56.7,56.7,45.108,1351010.0
2019-02-18,59.0,57.0,57.0,59.0,46.937,2268090.0
2019-02-19,59.0,57.5,58.8,57.7,45.903,1293550.0
2019-02-20,57.7,56.6,57.7,56.8,45.187,927820.0
2019-02-21,58.4,56.9,56.9,58.3,46.38,1723040.0
2019-02-22,59.0,57.8,57.8,58.5,46.54,1129680.0
2019-02-25,59.4,58.6,59.0,58.6,46.619,1366700.0
2019-02-26,58.5,57.0,58.4,57.0,45.346,1456500.0
2019-02-27,57.6,56.4,57.5,56.7,45.108,1784860.0
2019-02-28,57.5,56.3,57.0,56.5,44.948,2532900.0
2019-03-01,58.7,56.5,56.5,58.6,46.619,2076360.0
2019-03-04,60.8,58.6,58.6,60.4,48.051,3433740.0
2019-03-05,60.6,59.1,59.9,59.4,47.256,2693520.0
2019-03-06,61.5,59.4,59.5,61.5,48.926,3156200.0
2019-03-07,62.0,60.9,61.5,61.0,48.528,1802470.0
2019-03-08,61.5,60.2,60.4,60.5,48.131,2534770.0
2019-03-11,60.7,59.8,60.5,60.4,48.051,2131290.0
2019-03-12,62.0,60.8,61.2,62.0,49.324,2858810.0
2019-03-13,62.8,61.6,62.0,61.8,49.165,2346380.0
2019-03-14,62.5,61.0,62.5,61.2,48.688,1532650.0
2019-03-15,62.6,60.9,61.2,62.4,49.642,2274270.0
2019-03-18,63.3,61.7,62.4,62.5,49.722,1714570.0
2019-03-19,62.8,61.8,62.5,62.1,49.404,1816150.0
2019-03-20,62.0,60.8,61.7,61.7,49.085,1699650.0
2019-03-21,62.2,58.0,62.0,59.5,47.335,2115260.0
2019-03-22,59.9,58.9,59.9,59.0,46.937,1606140.0
2019-03-25,58.5,57.4,57.9,58.0,46.142,1861980.0
