Date,High,Low,Open,Close,Adj Close,Volume
2018-01-25,16.8,16.8,16.8,16.8,11.964,19990.0
2018-01-26,17.95,17.95,17.95,17.95,12.783,20000.0
2018-01-29,19.2,19.2,19.2,19.2,13.673,13450.0
2018-01-30,20.5,20.5,20.5,20.5,14.6,86250.0
2018-01-31,21.9,21.85,21.9,21.85,15.561,136540.0
2018-02-01,23.35,22.3,22.4,23.35,16.629,123440.0
2018-02-02,23.4,22.2,23.4,22.2,15.81,73850.0
2018-02-05,22.5,22.0,22.0,22.15,15.774,28620.0
2018-02-06,21.0,20.6,21.0,20.9,14.884,83520.0
2018-02-07,21.15,21.0,21.0,21.15,15.062,79040.0
2018-02-08,21.15,21.0,21.15,21.0,14.955,63460.0
2018-02-09,20.5,20.0,20.5,20.05,14.279,73810.0
2018-02-12,20.6,20.05,20.6,20.6,14.671,24270.0
2018-02-13,20.8,20.55,20.55,20.8,14.812,28340.0
2018-02-21,21.1,20.8,20.8,21.1,15.026,39660.0
2018-02-22,21.1,21.0,21.05,21.0,14.955,41630.0
2018-02-23,21.3,21.0,21.0,21.2,15.098,68710.0
2018-02-26,21.2,21.1,21.15,21.2,15.098,47520.0
2018-02-27,21.2,20.95,21.2,21.0,14.955,70750.0
2018-02-28,21.1,20.95,21.0,21.1,15.026,83490.0
2018-03-01,21.15,21.1,21.1,21.15,15.062,53560.0
2018-03-02,21.2,21.1,21.15,21.15,15.062,105890.0
2018-03-05,21.35,21.15,21.15,21.35,15.205,172830.0
2018-03-06,21.65,21.4,21.4,21.65,15.419,203320.0
2018-03-07,21.7,21.5,21.55,21.7,15.454,199540.0
2018-03-08,21.9,21.65,21.7,21.9,15.596,175070.0
2018-03-09,22.2,21.85,21.9,22.2,15.81,193630.0
2018-03-12,22.3,22.2,22.2,22.3,15.881,184830.0
2018-03-13,22.35,22.15,22.3,22.35,15.917,154270.0
2018-03-14,22.7,22.3,22.3,22.65,16.131,170190.0
2018-03-15,22.65,22.45,22.55,22.65,16.131,161460.0
2018-03-16,23.4,22.75,22.75,23.3,16.593,180140.0
2018-03-19,23.45,23.25,23.25,23.4,16.664,162550.0
2018-03-20,23.5,23.2,23.4,23.5,16.735,180510.0
2018-03-21,23.6,23.45,23.5,23.6,16.807,189290.0
2018-03-22,23.75,23.55,23.65,23.65,16.842,175860.0
2018-03-23,23.7,23.25,23.6,23.7,16.878,165930.0
2018-03-26,24.2,23.65,23.65,24.2,17.234,214990.0
2018-03-27,24.35,24.2,24.2,24.35,17.341,131590.0
2018-03-28,24.55,24.35,24.35,24.45,17.412,192280.0
2018-03-29,24.8,24.4,24.4,24.6,17.52,149290.0
2018-03-30,25.0,24.55,24.6,25.0,17.804,144800.0
2018-04-02,25.25,25.05,25.05,25.25,17.982,224190.0
2018-04-03,25.6,25.2,25.25,25.6,18.231,300040.0
2018-04-04,26.45,25.6,25.7,26.45,18.837,194850.0
2018-04-05,27.4,26.45,26.45,27.35,19.478,480980.0
2018-04-06,28.3,27.35,27.35,28.1,20.011,278070.0
2018-04-09,28.3,27.3,28.2,27.4,19.513,299700.0
2018-04-10,27.25,26.0,27.25,26.3,18.73,438110.0
2018-04-11,26.1,25.0,26.0,25.0,17.804,270010.0
2018-04-12,25.45,24.45,24.85,25.45,18.124,217610.0
2018-04-13,26.0,25.5,25.5,25.9,18.445,218050.0
2018-04-16,26.4,25.85,25.85,26.4,18.8,100720.0
2018-04-17,26.45,26.05,26.4,26.35,18.766,114930.0
2018-04-18,26.35,25.7,26.35,26.0,18.516,178960.0
2018-04-19,25.9,25.0,25.9,25.0,17.804,223510.0
2018-04-20,25.1,24.55,24.95,25.1,17.875,81610.0
2018-04-23,25.15,24.5,25.15,24.5,17.448,153710.0
2018-04-24,24.45,24.1,24.45,24.1,17.163,45490.0
2018-04-26,24.05,22.85,24.05,22.85,16.272,103260.0
2018-04-27,23.2,22.4,22.75,23.2,16.521,157200.0
2018-05-02,23.4,23.15,23.25,23.35,16.629,74180.0
2018-05-03,23.7,23.3,23.4,23.7,16.878,71500.0
2018-05-04,24.1,23.7,23.75,24.1,17.163,117680.0
2018-05-07,24.75,24.1,24.1,24.75,17.626,137570.0
2018-05-08,24.85,24.55,24.75,24.65,17.554,106790.0
2018-05-09,24.9,24.65,24.65,24.9,17.733,117720.0
2018-05-10,25.45,24.95,24.95,25.45,18.124,71050.0
2018-05-11,25.5,25.1,25.4,25.45,18.124,105660.0
2018-05-14,25.75,25.35,25.4,25.75,18.338,50190.0
2018-05-15,26.0,25.7,25.8,25.85,18.41,148230.0
2018-05-16,25.9,25.15,25.85,25.15,17.911,153830.0
2018-05-17,25.55,25.15,25.15,25.45,18.124,117160.0
2018-05-18,25.55,25.3,25.45,25.55,18.196,92480.0
2018-05-21,25.75,25.55,25.6,25.55,18.196,83210.0
2018-05-22,25.6,25.0,25.55,25.0,17.804,100450.0
2018-05-23,25.3,24.9,25.05,25.3,18.018,113570.0
2018-05-24,25.5,25.15,25.3,25.5,18.161,199770.0
2018-05-25,25.9,25.4,25.5,25.4,18.09,216830.0
2018-05-28,25.4,24.5,25.15,24.6,17.52,114410.0
2018-05-29,24.75,24.25,24.65,24.65,17.554,201990.0
