Date,High,Low,Open,Close,Adj Close,Volume
2019-07-17,17.5,17.5,17.5,17.5,11.437,1000.0
2019-07-18,17.5,17.5,17.5,17.5,11.437,0.0
2019-07-19,17.5,17.5,17.5,17.5,11.437,0.0
2019-07-22,20.1,20.1,20.1,20.1,13.137,100.0
2019-07-23,23.1,23.1,23.1,23.1,15.097,100.0
2019-07-24,26.5,26.5,26.5,26.5,17.319,400.0
2019-07-25,30.4,30.4,30.4,30.4,19.868,200.0
2019-07-26,34.9,34.9,34.9,34.9,22.809,100.0
2019-07-29,40.1,40.1,40.1,40.1,26.208,100.0
2019-07-30,46.0,41.0,41.5,46.0,30.064,2200.0
2019-07-31,45.5,45.0,45.0,45.5,29.737,2500.0
2019-08-01,38.3,38.3,38.3,38.3,25.031,300.0
2019-08-02,32.7,32.7,32.7,32.7,21.371,100.0
2019-08-05,32.7,27.9,27.9,32.7,21.371,300.0
2019-08-06,30.0,30.0,30.0,30.0,19.607,200.0
2019-08-07,25.5,25.5,25.5,25.5,16.666,100.0
2019-08-08,25.5,25.5,25.5,25.5,16.666,0.0
2019-08-09,24.7,24.7,24.7,24.7,16.666,0.0
2019-08-12,21.0,21.0,21.0,21.0,14.17,100.0
2019-08-13,24.1,24.1,24.1,24.1,16.261,100.0
2019-08-14,24.1,24.1,24.1,24.1,16.261,0.0
2019-08-15,24.1,24.1,24.1,24.1,16.261,0.0
2019-08-16,24.1,24.1,24.1,24.1,16.261,0.0
2019-08-19,24.1,24.1,24.1,24.1,16.261,0.0
2019-08-20,24.1,24.1,24.1,24.1,16.261,0.0
2019-08-21,24.1,24.1,24.1,24.1,16.261,0.0
2019-08-22,24.1,24.1,24.1,24.1,16.261,0.0
2019-08-23,24.1,24.1,24.1,24.1,16.261,0.0
2019-08-26,24.1,24.1,24.1,24.1,16.261,0.0
2019-08-27,24.1,24.1,24.1,24.1,16.261,0.0
2019-08-28,24.1,24.1,24.1,24.1,16.261,0.0
2019-08-29,24.1,24.1,24.1,24.1,16.261,0.0
2019-08-30,24.1,24.1,24.1,24.1,16.261,0.0
2019-09-03,24.1,24.1,24.1,24.1,16.261,0.0
2019-09-04,24.1,24.1,24.1,24.1,16.261,0.0
2019-09-05,24.1,24.1,24.1,24.1,16.261,0.0
2019-09-06,24.1,24.1,24.1,24.1,16.261,0.0
2019-09-09,24.1,24.1,24.1,24.1,16.261,0.0
2019-09-10,24.1,24.1,24.1,24.1,16.261,0.0
2019-09-11,24.1,24.1,24.1,24.1,16.261,0.0
2019-09-12,24.1,24.1,24.1,24.1,16.261,0.0
2019-09-13,24.1,24.1,24.1,24.1,16.261,0.0
2019-09-16,24.1,24.1,24.1,24.1,16.261,0.0
2019-09-17,24.1,24.1,24.1,24.1,16.261,0.0
2019-09-18,24.1,24.1,24.1,24.1,16.261,0.0
2019-09-19,24.1,24.1,24.1,24.1,16.261,0.0
2019-09-20,24.1,24.1,24.1,24.1,16.261,0.0
2019-09-23,24.1,24.1,24.1,24.1,16.261,0.0
2019-09-24,24.1,24.1,24.1,24.1,16.261,0.0
2019-09-25,24.1,24.1,24.1,24.1,16.261,0.0
2019-09-26,24.1,24.1,24.1,24.1,16.261,0.0
2019-09-27,24.1,24.1,24.1,24.1,16.261,0.0
2019-09-30,24.1,24.1,24.1,24.1,16.261,0.0
2019-10-01,24.1,24.1,24.1,24.1,16.261,0.0
2019-10-02,24.1,24.1,24.1,24.1,16.261,0.0
2019-10-03,24.1,24.1,24.1,24.1,16.261,0.0
2019-10-04,27.7,27.7,27.7,27.7,18.691,30000.0
2019-10-07,31.8,29.0,29.0,31.8,21.457,1400.0
2019-10-08,34.9,34.9,34.9,34.9,23.549,100.0
2019-10-09,34.9,34.9,34.9,34.9,23.549,0.0
2019-10-10,35.0,35.0,35.0,35.0,23.616,100.0
2019-10-11,33.0,29.8,29.8,33.0,22.267,500.0
2019-10-14,35.5,33.0,35.5,33.0,22.267,1200.0
2019-10-15,36.0,28.6,28.6,36.0,24.291,400.0
2019-10-16,33.0,33.0,33.0,33.0,22.267,500.0
2019-10-17,33.0,29.3,29.3,33.0,22.267,600.0
2019-10-18,34.0,33.5,33.5,34.0,22.941,600.0
2019-10-21,35.0,35.0,35.0,35.0,23.616,300.0
2019-10-22,35.0,35.0,35.0,35.0,23.616,0.0
2019-10-23,30.1,30.1,30.1,30.1,20.31,100.0
2019-10-24,34.6,34.6,34.6,34.6,23.346,200.0
2019-10-25,36.5,36.5,36.5,36.5,24.628,700.0
2019-10-28,36.5,36.5,36.5,36.5,24.628,0.0
2019-10-29,36.5,36.5,36.5,36.5,24.628,0.0
2019-10-30,36.5,36.5,36.5,36.5,24.628,0.0
2019-10-31,36.5,36.5,36.5,36.5,24.628,0.0
2019-11-01,37.0,36.5,36.5,37.0,24.966,800.0
2019-11-04,36.6,36.6,36.6,36.6,24.696,0.0
2019-11-05,36.6,36.6,36.6,36.6,24.696,0.0
2019-11-06,31.2,31.2,31.2,31.2,21.052,200.0
2019-11-07,31.2,31.2,31.2,31.2,21.052,0.0
2019-11-08,31.2,31.2,31.2,31.2,21.052,0.0
2019-11-11,35.8,35.8,35.8,35.8,24.156,200.0
2019-11-12,30.5,30.5,30.5,30.5,20.58,200.0
2019-11-13,35.0,35.0,35.0,35.0,23.616,200.0
2019-11-14,29.8,29.8,29.8,29.8,20.107,200.0
2019-11-15,29.8,29.8,29.8,29.8,20.107,0.0
2019-11-18,29.8,29.8,29.8,29.8,20.107,0.0
2019-11-19,29.8,29.8,29.8,29.8,20.107,0.0
2019-11-20,29.8,29.8,29.8,29.8,20.107,0.0
2019-11-21,29.8,29.8,29.8,29.8,20.107,0.0
2019-11-22,29.8,29.8,29.8,29.8,20.107,0.0
2019-11-25,26.1,26.1,26.1,26.1,17.611,200.0
2019-11-26,24.2,24.2,24.2,24.2,16.329,100.0
2019-11-27,24.2,24.2,24.2,24.2,16.329,0.0
2019-11-28,24.2,24.2,24.2,24.2,16.329,0.0
2019-11-29,24.2,24.2,24.2,24.2,16.329,0.0
2019-12-02,24.2,24.2,24.2,24.2,16.329,0.0
2019-12-03,24.2,24.2,24.2,24.2,16.329,0.0
2019-12-04,24.2,24.2,24.2,24.2,16.329,0.0
2019-12-05,24.2,24.2,24.2,24.2,16.329,0.0
2019-12-06,24.2,24.2,24.2,24.2,16.329,0.0
2019-12-09,24.2,24.2,24.2,24.2,16.329,0.0
2019-12-10,24.2,24.2,24.2,24.2,16.329,0.0
2019-12-11,24.2,24.2,24.2,24.2,16.329,0.0
2019-12-12,24.2,24.2,24.2,24.2,16.329,0.0
2019-12-13,24.2,24.2,24.2,24.2,16.329,0.0
2019-12-16,24.2,24.2,24.2,24.2,16.329,0.0
2019-12-17,24.2,24.2,24.2,24.2,16.329,0.0
2019-12-18,24.2,24.2,24.2,24.2,16.329,0.0
2019-12-19,24.2,24.2,24.2,24.2,16.329,0.0
2019-12-20,24.2,24.2,24.2,24.2,16.329,0.0
2019-12-23,24.2,24.2,24.2,24.2,16.329,0.0
2019-12-24,24.2,24.2,24.2,24.2,16.329,0.0
2019-12-25,24.2,24.2,24.2,24.2,16.329,0.0
2019-12-26,24.2,24.2,24.2,24.2,16.329,0.0
2019-12-27,24.2,24.2,24.2,24.2,16.329,0.0
2019-12-30,24.2,24.2,24.2,24.2,16.329,0.0
2019-12-31,24.2,24.2,24.2,24.2,16.329,0.0
2020-01-02,24.2,24.2,24.2,24.2,16.329,0.0
2020-01-03,24.2,24.2,24.2,24.2,16.329,0.0
2020-01-06,24.2,24.2,24.2,24.2,16.329,0.0
2020-01-07,24.2,24.2,24.2,24.2,16.329,0.0
2020-01-08,24.2,24.2,24.2,24.2,16.329,0.0
2020-01-09,24.2,24.2,24.2,24.2,16.329,0.0
2020-01-10,24.2,24.2,24.2,24.2,16.329,0.0
2020-01-13,24.2,24.2,24.2,24.2,16.329,0.0
2020-01-14,24.2,24.2,24.2,24.2,16.329,0.0
2020-01-15,24.2,24.2,24.2,24.2,16.329,0.0
2020-01-16,24.2,24.2,24.2,24.2,16.329,0.0
2020-01-17,24.2,24.2,24.2,24.2,16.329,0.0
2020-01-20,24.2,24.2,24.2,24.2,16.329,0.0
2020-01-21,24.2,24.2,24.2,24.2,16.329,0.0
2020-01-22,24.2,24.2,24.2,24.2,16.329,0.0
2020-01-30,24.2,24.2,24.2,24.2,16.329,0.0
2020-01-31,24.2,24.2,24.2,24.2,16.329,0.0
2020-02-03,24.2,24.2,24.2,24.2,16.329,0.0
2020-02-04,24.2,24.2,24.2,24.2,16.329,0.0
2020-02-05,24.2,24.2,24.2,24.2,16.329,0.0
2020-02-06,24.2,24.2,24.2,24.2,16.329,0.0
2020-02-07,24.2,24.2,24.2,24.2,16.329,0.0
2020-02-10,24.2,24.2,24.2,24.2,16.329,0.0
2020-02-11,24.2,24.2,24.2,24.2,16.329,0.0
2020-02-12,24.2,24.2,24.2,24.2,16.329,0.0
2020-02-13,24.2,24.2,24.2,24.2,16.329,0.0
