Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,23.7,22.8,22.9,23.7,11.18,527150.0
2018-01-03,24.0,23.3,23.9,23.4,11.039,225930.0
2018-01-04,24.0,23.0,23.7,23.0,10.85,269290.0
2018-01-05,23.0,22.3,23.0,22.35,10.543,334570.0
2018-01-08,23.0,22.0,22.35,22.8,10.756,95560.0
2018-01-09,23.0,22.3,23.0,22.6,10.661,106770.0
2018-01-10,22.7,22.2,22.6,22.45,10.59,343780.0
2018-01-11,22.5,22.15,22.3,22.3,10.52,143030.0
2018-01-12,22.9,22.4,22.4,22.75,10.732,265340.0
2018-01-15,22.8,22.4,22.55,22.5,10.614,108880.0
2018-01-16,22.7,22.4,22.5,22.5,10.614,181210.0
2018-01-17,22.6,22.2,22.5,22.25,10.496,181600.0
2018-01-18,22.2,21.95,22.0,22.1,10.425,122530.0
2018-01-19,22.4,21.95,22.0,22.0,10.378,203130.0
2018-01-22,22.0,21.3,22.0,21.3,10.048,254160.0
2018-01-25,21.5,20.9,21.3,20.9,9.859,217340.0
2018-01-26,20.95,20.1,20.9,20.4,9.623,225680.0
2018-01-29,21.45,20.4,20.4,21.45,10.119,248050.0
2018-01-30,21.4,20.8,21.4,21.0,9.906,285860.0
2018-01-31,21.0,20.5,21.0,20.5,9.671,242070.0
2018-02-01,20.5,20.1,20.5,20.1,9.482,136460.0
2018-02-02,20.5,20.1,20.1,20.5,9.671,57970.0
2018-02-05,20.4,19.6,20.4,19.6,9.246,235750.0
2018-02-06,19.2,18.25,18.6,18.7,8.821,399970.0
2018-02-07,19.5,18.8,19.0,19.2,9.057,205650.0
2018-02-08,19.4,18.6,19.0,19.2,9.057,84620.0
2018-02-09,19.3,18.6,18.6,18.85,8.892,30270.0
2018-02-12,19.2,18.9,19.0,18.9,8.916,80750.0
2018-02-13,19.7,19.3,19.3,19.65,9.27,53540.0
2018-02-21,20.0,19.65,19.65,19.8,9.34,94160.0
2018-02-22,19.9,19.5,19.7,19.8,9.34,148160.0
2018-02-23,20.3,19.8,20.25,20.3,9.576,214210.0
2018-02-26,20.5,19.7,20.5,19.8,9.34,68040.0
2018-02-27,20.1,19.4,19.8,20.1,9.482,186040.0
2018-02-28,20.1,19.5,20.1,19.7,9.293,111790.0
2018-03-01,19.6,19.35,19.5,19.4,9.152,148150.0
2018-03-02,19.9,19.3,19.4,19.9,9.388,45070.0
2018-03-05,20.2,19.4,19.9,19.4,9.152,109020.0
2018-03-06,19.4,19.1,19.4,19.1,9.01,278720.0
2018-03-07,19.3,18.8,19.1,18.95,8.939,324110.0
2018-03-08,19.1,18.75,18.95,18.8,8.869,414860.0
2018-03-09,19.1,18.8,19.1,18.85,8.892,495830.0
2018-03-12,19.1,18.75,19.0,18.8,8.869,153040.0
2018-03-13,19.45,18.8,18.8,19.3,9.104,75200.0
2018-03-14,19.6,18.85,19.3,18.9,8.916,223280.0
2018-03-15,19.1,18.8,18.9,18.85,8.892,231780.0
2018-03-16,19.0,18.8,18.85,19.0,8.963,184620.0
2018-03-19,19.2,18.8,19.2,18.85,8.892,153040.0
2018-03-20,18.95,18.8,18.8,18.8,8.869,99950.0
2018-03-21,19.1,18.75,18.8,18.9,8.916,221150.0
2018-03-22,19.15,18.65,18.9,18.7,8.821,261760.0
2018-03-23,19.1,18.6,18.6,18.9,8.916,162210.0
2018-03-26,18.95,17.8,18.9,17.8,8.397,522980.0
2018-03-27,18.7,18.3,18.7,18.45,8.704,114900.0
2018-03-28,18.6,18.3,18.6,18.3,8.633,104730.0
2018-03-29,18.7,18.1,18.3,18.7,8.821,228860.0
2018-03-30,19.2,18.7,18.8,19.2,9.057,264220.0
2018-04-02,19.4,19.0,19.05,19.2,9.057,194390.0
2018-04-03,19.0,18.75,18.95,18.8,8.869,192020.0
2018-04-04,19.2,18.8,19.0,19.0,8.963,128830.0
2018-04-05,19.2,18.8,19.1,19.2,9.057,384180.0
2018-04-06,20.5,19.25,19.25,20.5,9.671,757710.0
2018-04-09,21.4,20.5,20.5,20.55,9.694,355980.0
2018-04-10,20.7,19.8,20.7,20.5,9.671,343350.0
2018-04-11,21.2,20.2,20.7,20.7,9.765,452930.0
2018-04-12,20.85,20.6,20.7,20.65,9.741,119720.0
2018-04-13,20.9,20.15,20.6,20.15,9.505,199380.0
2018-04-16,20.3,19.9,20.15,20.3,9.576,107190.0
2018-04-17,20.3,19.9,20.3,19.9,9.388,308690.0
2018-04-18,20.2,19.5,20.0,19.5,9.199,300130.0
2018-04-19,20.0,19.0,19.5,19.2,9.057,235860.0
2018-04-20,19.5,18.8,19.5,18.8,8.869,232640.0
2018-04-23,19.3,17.8,18.8,18.7,8.965,325960.0
2018-04-24,18.8,18.5,18.7,18.7,8.965,139510.0
2018-04-26,18.8,18.3,18.7,18.3,8.773,102830.0
2018-04-27,18.5,18.0,18.3,18.4,8.821,48590.0
2018-05-02,18.4,18.0,18.4,18.05,8.653,159730.0
2018-05-03,18.35,18.0,18.05,18.35,8.797,123270.0
2018-05-04,18.5,18.2,18.3,18.25,8.749,124840.0
2018-05-07,19.4,18.25,18.3,18.8,9.013,85400.0
2018-05-08,19.1,18.6,18.85,19.0,9.109,47900.0
2018-05-09,19.0,18.4,19.0,18.9,9.061,31970.0
2018-05-10,19.0,18.4,19.0,18.4,8.821,45670.0
2018-05-11,18.5,18.0,18.4,18.5,8.869,109630.0
2018-05-14,19.0,18.4,18.6,18.7,8.965,45770.0
2018-05-15,18.7,18.1,18.5,18.6,8.917,374510.0
2018-05-16,18.8,18.3,18.8,18.3,8.773,119790.0
2018-05-17,19.0,18.3,18.3,18.7,8.965,87550.0
2018-05-18,18.8,18.35,18.7,18.4,8.821,277850.0
2018-05-21,18.7,18.45,18.7,18.45,8.845,285080.0
2018-05-22,18.7,18.3,18.6,18.45,8.845,176070.0
2018-05-23,18.5,18.2,18.45,18.5,8.869,88690.0
2018-05-24,18.8,18.35,18.8,18.35,8.797,129770.0
2018-05-25,18.6,18.3,18.6,18.3,8.773,165100.0
2018-05-28,18.55,17.7,18.55,17.7,8.485,258360.0
2018-05-29,18.45,17.8,17.8,18.45,8.845,84020.0
2018-05-30,17.65,17.1,17.6,17.1,8.668,121930.0
2018-05-31,17.5,17.2,17.3,17.5,8.87,27290.0
2018-06-01,17.6,17.1,17.5,17.5,8.87,48310.0
2018-06-04,17.55,17.0,17.45,17.15,8.693,247620.0
2018-06-05,17.45,17.15,17.45,17.2,8.718,100370.0
2018-06-06,17.9,17.2,17.2,17.9,9.073,93150.0
2018-06-07,17.9,17.5,17.8,17.9,9.073,142180.0
2018-06-08,17.9,17.5,17.9,17.8,9.022,67810.0
2018-06-11,17.65,17.4,17.6,17.45,8.845,45400.0
2018-06-12,17.45,17.1,17.4,17.25,8.744,69790.0
2018-06-13,17.45,17.25,17.25,17.4,8.82,20050.0
2018-06-14,17.5,17.2,17.4,17.2,8.718,295540.0
2018-06-15,17.7,17.3,17.3,17.6,8.921,60150.0
2018-06-18,17.6,17.0,17.6,17.1,8.668,147780.0
2018-06-19,17.15,16.7,17.1,16.7,8.465,532890.0
2018-06-20,16.9,16.7,16.85,16.7,8.465,496340.0
2018-06-21,17.15,16.9,17.15,17.0,8.617,89200.0
2018-06-22,17.3,17.0,17.3,17.0,8.617,160920.0
2018-06-25,17.3,17.0,17.2,17.3,8.769,162240.0
2018-06-26,17.8,17.25,17.3,17.6,8.921,238760.0
2018-06-27,17.8,17.55,17.6,17.75,8.997,175150.0
2018-06-28,17.8,17.5,17.75,17.6,8.921,223760.0
2018-06-29,18.2,17.6,17.7,17.6,8.921,359300.0
2018-07-02,18.0,17.0,17.6,17.0,8.617,310140.0
2018-07-03,17.3,16.6,17.05,17.1,8.668,201190.0
2018-07-04,17.45,17.0,17.45,17.35,8.794,148120.0
2018-07-05,17.6,16.95,17.0,17.0,8.617,237190.0
2018-07-06,17.3,17.0,17.0,17.2,8.718,44830.0
2018-07-09,17.5,17.0,17.4,17.05,8.642,255910.0
2018-07-10,17.45,16.95,17.2,16.95,8.592,258590.0
2018-07-11,17.4,16.9,16.95,16.9,8.566,61120.0
2018-07-12,17.25,16.9,17.25,16.9,8.566,60050.0
2018-07-13,17.2,16.9,17.0,17.0,8.617,41130.0
2018-07-16,17.3,17.0,17.0,17.2,8.718,137970.0
2018-07-17,17.4,17.1,17.1,17.3,8.769,75550.0
2018-07-18,18.5,17.8,17.8,18.5,9.377,713410.0
2018-07-19,19.0,18.0,19.0,18.0,9.124,321370.0
2018-07-20,19.0,18.0,18.0,18.9,9.58,397010.0
2018-07-23,19.0,18.4,18.8,18.7,9.479,163920.0
2018-07-24,18.85,18.2,18.75,18.5,9.377,387720.0
2018-07-25,18.5,18.0,18.5,18.0,9.124,430760.0
2018-07-26,18.4,17.8,18.2,18.35,9.301,197630.0
2018-07-27,18.9,18.2,18.35,18.85,9.555,274830.0
2018-07-30,19.0,18.7,18.9,18.7,9.479,244040.0
2018-07-31,18.9,18.65,18.7,18.8,9.529,300500.0
2018-08-01,19.0,18.5,19.0,18.7,9.479,169500.0
2018-08-02,18.7,18.1,18.7,18.6,9.428,65660.0
2018-08-03,18.6,18.25,18.6,18.3,9.276,129490.0
2018-08-06,18.35,18.0,18.35,18.2,9.225,93850.0
2018-08-07,18.2,18.0,18.2,18.0,9.124,182520.0
2018-08-08,18.3,17.95,17.95,18.3,9.276,56400.0
2018-08-09,18.45,18.1,18.45,18.15,9.2,51950.0
2018-08-10,18.3,18.0,18.3,18.1,9.175,138760.0
2018-08-13,18.4,18.0,18.0,18.25,9.251,72600.0
2018-08-14,18.35,18.05,18.35,18.2,9.225,49920.0
2018-08-15,18.2,18.05,18.2,18.2,9.225,87490.0
2018-08-16,18.1,17.85,18.0,18.1,9.175,275580.0
2018-08-17,18.2,17.8,18.2,18.0,9.124,128400.0
2018-08-20,18.7,18.1,18.1,18.5,9.377,268660.0
2018-08-21,18.5,18.35,18.5,18.5,9.377,142250.0
2018-08-22,18.5,18.35,18.5,18.45,9.352,128740.0
2018-08-23,18.5,18.3,18.5,18.35,9.301,129110.0
2018-08-24,18.45,18.2,18.45,18.3,9.276,99430.0
2018-08-27,18.45,18.15,18.25,18.3,9.276,148480.0
