Date,High,Low,Open,Close,Adj Close,Volume
2020-06-24,19.2,19.2,19.2,19.2,17.93,300420.0
2020-06-25,20.5,20.5,20.5,20.5,19.143,20540.0
2020-06-26,21.9,21.9,21.9,21.9,20.451,53780.0
2020-06-29,23.4,23.4,23.4,23.4,21.852,38030.0
2020-06-30,25.0,25.0,25.0,25.0,23.346,2724750.0
2020-07-01,26.75,23.5,26.75,23.8,22.226,3204750.0
2020-07-02,24.25,22.15,24.25,23.0,21.478,1470260.0
2020-07-03,21.9,21.4,21.4,21.55,20.124,2125630.0
2020-07-06,20.5,20.05,20.05,20.2,18.864,1100930.0
2020-07-07,20.25,19.85,20.2,20.25,18.91,856540.0
2020-07-08,20.25,19.95,20.15,20.0,18.677,869210.0
2020-07-09,20.5,19.85,19.9,20.5,19.143,694410.0
2020-07-10,20.6,19.9,20.5,20.05,18.724,426920.0
2020-07-13,20.05,19.9,20.05,20.0,18.677,413020.0
2020-07-14,20.05,19.95,19.95,20.0,18.677,509000.0
2020-07-15,20.05,19.9,20.0,20.0,18.677,417960.0
2020-07-16,20.05,19.9,20.0,20.0,18.677,610970.0
2020-07-17,20.25,19.9,20.0,20.0,18.677,909950.0
2020-07-20,20.1,19.95,20.0,20.05,18.724,747100.0
2020-07-21,20.15,20.0,20.05,20.1,18.77,891110.0
2020-07-22,20.2,20.05,20.1,20.15,18.817,1013930.0
2020-07-23,20.15,20.0,20.15,20.05,18.724,550690.0
2020-07-24,20.05,19.5,20.05,20.0,18.677,450870.0
2020-07-27,20.0,19.35,20.0,19.35,18.07,269750.0
2020-07-28,19.35,18.0,19.35,19.0,17.743,265770.0
2020-07-29,19.0,17.9,19.0,19.0,17.743,330270.0
2020-07-30,19.05,18.5,18.9,19.0,17.743,331720.0
2020-07-31,19.0,18.8,18.85,19.0,17.743,299580.0
2020-08-03,19.0,18.85,19.0,19.0,17.743,290710.0
2020-08-04,19.0,17.7,17.7,19.0,17.743,289930.0
2020-08-05,19.0,18.8,19.0,19.0,17.743,259600.0
2020-08-06,19.0,18.9,19.0,19.0,17.743,253650.0
2020-08-07,19.0,18.8,18.95,19.0,17.743,242580.0
2020-08-10,19.1,18.9,19.0,19.05,17.789,216910.0
2020-08-11,19.1,18.95,19.05,19.1,17.836,388120.0
2020-08-12,19.25,19.05,19.1,19.25,17.976,677680.0
2020-08-13,19.45,19.2,19.25,19.35,18.07,707120.0
2020-08-14,19.45,19.3,19.35,19.4,18.117,756780.0
2020-08-17,19.4,19.2,19.4,19.2,17.93,439880.0
2020-08-18,19.2,19.05,19.2,19.15,17.883,491260.0
2020-08-19,19.15,19.0,19.15,19.05,17.789,341770.0
2020-08-20,19.05,18.9,19.05,19.0,17.743,427130.0
2020-08-21,19.0,18.85,19.0,19.0,17.743,218420.0
2020-08-24,19.0,18.9,19.0,19.0,17.743,405930.0
2020-08-25,19.0,18.85,18.95,19.0,17.743,498220.0
2020-08-26,19.0,18.85,18.95,19.0,17.743,425310.0
2020-08-27,19.0,18.85,18.9,19.0,17.743,605560.0
2020-08-28,18.9,18.7,18.85,18.7,17.463,393290.0
2020-08-31,18.7,18.3,18.7,18.6,17.369,461070.0
2020-09-01,18.75,18.55,18.6,18.75,17.51,566520.0
2020-09-03,18.9,18.7,18.75,18.85,17.603,592330.0
2020-09-04,18.85,18.75,18.8,18.85,17.603,488100.0
2020-09-07,18.9,18.7,18.8,18.9,17.649,352790.0
2020-09-08,18.9,18.8,18.85,18.85,17.603,577130.0
2020-09-09,18.9,18.8,18.85,18.8,17.556,570550.0
2020-09-10,18.9,18.75,18.8,18.8,17.556,472540.0
2020-09-11,18.85,18.75,18.75,18.8,17.556,558220.0
2020-09-14,18.9,18.75,18.8,18.85,17.603,376520.0
2020-09-15,19.1,18.85,18.85,18.9,17.649,606200.0
2020-09-16,18.9,18.8,18.9,18.85,17.603,378220.0
2020-09-17,18.95,18.8,18.9,18.9,17.649,454220.0
2020-09-18,18.95,18.8,18.9,18.95,17.696,423400.0
2020-09-21,19.1,18.9,18.95,19.0,17.743,643240.0
2020-09-22,19.0,18.9,19.0,19.0,17.743,540770.0
2020-09-23,19.05,18.9,19.0,18.9,17.649,612960.0
2020-09-24,18.9,18.75,18.9,18.8,17.556,378230.0
2020-09-25,18.8,18.65,18.8,18.8,17.556,444360.0
2020-09-28,18.9,18.75,18.8,18.9,17.649,553810.0
2020-09-29,18.9,18.7,18.9,18.8,17.556,192230.0
2020-09-30,18.8,18.5,18.8,18.7,17.463,201170.0
2020-10-01,18.8,18.6,18.65,18.65,17.416,179970.0
2020-10-02,18.75,18.55,18.65,18.65,17.416,129580.0
2020-10-05,18.7,18.6,18.6,18.6,17.369,164320.0
2020-10-06,18.65,18.55,18.6,18.6,17.369,159050.0
2020-10-07,18.6,18.45,18.6,18.55,17.323,120810.0
2020-10-08,18.55,18.45,18.5,18.5,17.276,145310.0
2020-10-09,18.45,18.35,18.45,18.35,17.136,142900.0
2020-10-12,18.4,18.35,18.35,18.35,17.136,138130.0
2020-10-13,18.35,18.3,18.35,18.35,17.136,132980.0
2020-10-14,18.4,18.3,18.35,18.3,17.089,174480.0
2020-10-15,18.35,18.25,18.3,18.3,17.089,162080.0
2020-10-16,18.3,18.25,18.3,18.3,17.089,148400.0
2020-10-19,18.35,18.25,18.3,18.3,17.089,610170.0
2020-10-20,18.3,18.25,18.3,18.3,17.089,488870.0
2020-10-21,18.3,18.2,18.3,18.3,17.089,331990.0
2020-10-22,18.3,18.2,18.25,18.3,17.089,136950.0
2020-10-23,18.2,18.15,18.2,18.2,16.995,111500.0
2020-10-26,18.3,18.15,18.2,18.2,16.995,431220.0
