Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,131.8,130.7,131.8,131.5,42.523,33130.0
2018-01-03,132.0,131.0,131.5,131.1,42.393,83100.0
2018-01-04,136.1,130.0,130.9,136.0,43.978,180570.0
2018-01-05,137.0,134.0,136.5,134.0,43.331,107050.0
2018-01-08,140.0,133.0,134.0,139.0,44.948,294890.0
2018-01-09,139.5,137.5,139.2,138.0,44.625,106510.0
2018-01-10,141.5,138.0,138.0,140.0,45.271,166690.0
2018-01-11,140.5,139.0,140.0,140.0,45.271,90640.0
2018-01-12,139.8,137.0,139.0,137.0,44.301,108360.0
2018-01-15,139.0,136.5,137.0,138.2,44.689,81030.0
2018-01-16,141.0,137.6,138.0,140.0,45.271,112740.0
2018-01-17,140.7,137.5,140.4,137.5,44.463,121330.0
2018-01-18,138.0,136.5,137.0,137.5,44.463,99720.0
2018-01-19,141.0,137.3,137.3,139.9,45.239,163820.0
2018-01-22,140.0,136.0,140.0,138.0,44.625,131170.0
2018-01-25,137.0,132.0,137.0,132.7,42.911,276960.0
2018-01-26,133.0,128.5,133.0,130.0,42.038,108560.0
2018-01-29,132.0,127.0,132.0,128.0,41.391,130370.0
2018-01-30,131.0,126.2,126.2,129.2,41.779,57910.0
2018-01-31,132.0,127.0,132.0,127.3,41.165,164920.0
2018-02-01,129.9,127.1,128.0,127.2,41.132,55810.0
2018-02-02,129.0,126.0,127.5,129.0,41.714,55560.0
2018-02-05,130.0,126.0,126.0,127.0,41.068,60950.0
2018-02-06,126.0,118.5,123.0,121.0,39.127,166760.0
2018-02-07,126.0,122.1,126.0,123.5,39.936,72760.0
2018-02-08,126.0,120.7,120.7,122.5,39.613,80590.0
2018-02-09,125.9,118.0,118.0,125.9,40.712,117150.0
2018-02-12,128.0,126.0,128.0,128.0,41.391,14850.0
2018-02-13,131.0,128.0,128.0,129.9,42.005,41270.0
2018-02-21,130.0,128.5,130.0,128.7,41.617,13460.0
2018-02-22,129.0,126.0,126.7,127.9,41.359,31020.0
2018-02-23,127.5,123.0,126.0,126.0,40.744,80230.0
2018-02-26,125.1,121.1,125.1,121.5,39.289,63190.0
