Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,12.8,12.8,12.8,12.8,6.194,0.0
2018-01-03,12.8,12.8,12.8,12.8,6.194,0.0
2018-01-04,12.8,12.8,12.8,12.8,6.194,0.0
2018-01-05,12.8,12.8,12.8,12.8,6.194,0.0
2018-01-08,12.8,12.8,12.8,12.8,6.194,0.0
2018-01-09,12.8,12.8,12.8,12.8,6.194,0.0
2018-01-10,12.8,12.8,12.8,12.8,6.194,0.0
2018-01-11,12.8,12.8,12.8,12.8,6.194,0.0
2018-01-12,12.8,12.8,12.8,12.8,6.194,0.0
2018-01-15,12.8,12.8,12.8,12.8,6.194,0.0
2018-01-16,12.8,12.8,12.8,12.8,6.194,0.0
2018-01-17,12.8,12.8,12.8,12.8,6.194,0.0
2018-01-18,12.8,12.8,12.8,12.8,6.194,0.0
2018-01-19,12.8,12.8,12.8,12.8,6.194,0.0
2018-01-22,12.8,12.8,12.8,12.8,6.194,0.0
2018-01-23,12.8,12.8,12.8,12.8,6.194,0.0
2018-01-24,13.0,13.0,13.0,13.0,6.29,100.0
2018-01-25,13.0,13.0,13.0,13.0,6.29,0.0
2018-01-26,13.0,13.0,13.0,13.0,6.29,0.0
2018-01-29,13.0,13.0,13.0,13.0,6.29,0.0
2018-01-30,13.0,13.0,13.0,13.0,6.29,0.0
2018-01-31,13.0,13.0,13.0,13.0,6.29,200.0
2018-02-01,13.0,13.0,13.0,13.0,6.29,0.0
2018-02-02,13.0,13.0,13.0,13.0,6.29,0.0
2018-02-05,13.0,13.0,13.0,13.0,6.29,0.0
2018-02-06,13.0,13.0,13.0,13.0,6.29,0.0
2018-02-07,12.0,12.0,12.0,12.0,5.806,1886.0
2018-02-08,12.0,12.0,12.0,12.0,5.806,0.0
2018-02-09,12.0,12.0,12.0,12.0,5.806,0.0
2018-02-12,12.0,12.0,12.0,12.0,5.806,0.0
2018-02-13,12.0,12.0,12.0,12.0,5.806,0.0
2018-02-21,12.0,12.0,12.0,12.0,5.806,0.0
2018-02-22,12.0,12.0,12.0,12.0,5.806,0.0
2018-02-23,12.0,12.0,12.0,12.0,5.806,0.0
2018-02-26,12.0,12.0,12.0,12.0,5.806,0.0
2018-02-27,13.0,13.0,13.0,13.0,6.29,100.0
2018-02-28,13.0,13.0,13.0,13.0,6.29,0.0
2018-03-01,13.0,13.0,13.0,13.0,6.29,0.0
2018-03-02,13.0,13.0,13.0,13.0,6.29,0.0
2018-03-05,13.0,13.0,13.0,13.0,6.29,0.0
2018-03-06,13.0,13.0,13.0,13.0,6.29,0.0
2018-03-07,13.0,13.0,13.0,13.0,6.29,0.0
2018-03-08,13.0,13.0,13.0,13.0,6.29,0.0
2018-03-09,13.0,13.0,13.0,13.0,6.29,0.0
2018-03-12,13.0,13.0,13.0,13.0,6.29,0.0
2018-03-13,11.3,11.2,11.3,11.2,5.419,5137.0
2018-03-14,11.2,11.2,11.2,11.2,5.419,0.0
2018-03-15,11.2,11.2,11.2,11.2,5.419,0.0
2018-03-16,11.2,11.2,11.2,11.2,5.419,0.0
2018-03-19,11.2,11.2,11.2,11.2,5.419,0.0
2018-03-20,11.2,11.2,11.2,11.2,5.419,0.0
2018-03-21,11.2,11.2,11.2,11.2,5.419,0.0
2018-03-22,11.2,11.2,11.2,11.2,5.419,0.0
2018-03-23,11.2,11.2,11.2,11.2,5.419,0.0
2018-03-26,11.2,11.2,11.2,11.2,5.419,0.0
2018-03-27,11.2,11.2,11.2,11.2,5.419,0.0
2018-03-28,11.2,11.2,11.2,11.2,5.419,0.0
2018-03-29,11.2,11.2,11.2,11.2,5.419,0.0
2018-03-30,11.2,11.2,11.2,11.2,5.419,0.0
2018-04-02,11.2,11.2,11.2,11.2,5.419,0.0
