Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,23.8,23.8,23.8,23.8,19.735,0.0
2018-01-03,23.8,23.7,23.8,23.7,19.652,4805.0
2018-01-04,23.6,23.6,23.6,23.6,19.568,2500.0
2018-01-05,23.4,23.0,23.4,23.0,19.071,9023.0
2018-01-08,23.8,23.7,23.7,23.8,19.735,40008.0
2018-01-09,23.8,23.7,23.7,23.7,19.652,24000.0
2018-01-10,23.8,23.7,23.7,23.8,19.735,25000.0
2018-01-11,23.8,23.8,23.8,23.8,19.735,8.0
2018-01-12,23.8,23.8,23.8,23.8,19.735,5.0
2018-01-15,23.8,23.8,23.8,23.8,19.735,0.0
2018-01-16,23.8,23.8,23.8,23.8,19.735,0.0
2018-01-17,23.0,23.0,23.0,23.0,19.071,630.0
2018-01-18,23.0,23.0,23.0,23.0,19.071,14.0
2018-01-19,21.3,21.2,21.3,21.2,17.578,2100.0
2018-01-22,23.0,23.0,23.0,23.0,19.071,100.0
2018-01-23,23.8,23.0,23.0,23.8,19.735,4810.0
2018-01-24,25.0,23.8,23.8,25.0,20.729,8435.0
2018-01-25,23.0,23.0,23.0,23.0,19.071,3000.0
2018-01-26,23.8,23.5,23.5,23.8,19.735,8000.0
2018-01-29,23.5,23.5,23.5,23.5,19.485,4902.0
2018-01-30,23.5,23.0,23.5,23.0,19.071,4600.0
2018-01-31,23.8,23.5,23.5,23.8,19.735,6510.0
2018-02-01,23.8,23.0,23.0,23.8,19.735,1235.0
2018-02-02,23.8,23.8,23.8,23.8,19.735,5169.0
2018-02-05,23.8,23.8,23.8,23.8,19.735,0.0
2018-02-06,21.8,21.7,21.7,21.7,17.992,1230.0
2018-02-07,21.7,21.7,21.7,21.7,17.992,0.0
2018-02-08,21.7,21.7,21.7,21.7,17.992,0.0
2018-02-09,21.7,21.7,21.7,21.7,17.992,0.0
2018-02-12,23.7,23.7,23.7,23.7,19.652,200.0
2018-02-13,23.7,23.7,23.7,23.7,19.652,0.0
2018-02-21,23.7,23.7,23.7,23.7,19.652,0.0
2018-02-22,23.7,23.7,23.7,23.7,19.652,0.0
2018-02-23,23.7,23.7,23.7,23.7,19.652,0.0
2018-02-26,23.7,23.7,23.7,23.7,19.652,70.0
2018-02-27,22.3,22.3,22.3,22.3,18.49,199.0
2018-02-28,23.1,22.3,22.3,23.1,19.154,4810.0
2018-03-01,23.1,20.8,23.1,20.8,17.246,7301.0
2018-03-02,21.0,20.8,20.8,21.0,17.411,2110.0
2018-03-05,22.7,21.0,21.0,22.7,18.822,4400.0
2018-03-06,22.6,22.6,22.6,22.6,18.739,2760.0
2018-03-07,21.1,21.1,21.1,21.1,17.495,181.0
2018-03-08,22.5,21.9,21.9,22.5,18.656,12100.0
2018-03-09,22.5,22.5,22.5,22.5,18.656,84.0
