Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,4.1,4.03,4.1,4.03,4.03,97680.0
2018-01-03,4.0,3.9,4.0,4.0,4.0,98750.0
2018-01-04,4.0,3.9,3.9,4.0,4.0,91760.0
2018-01-05,4.0,3.92,4.0,4.0,4.0,106560.0
2018-01-08,4.0,3.93,3.93,4.0,4.0,1520.0
2018-01-09,3.98,3.93,3.93,3.93,3.93,24010.0
2018-01-10,4.0,3.9,4.0,3.93,3.93,40700.0
2018-01-11,4.0,3.8,3.99,3.85,3.85,25610.0
2018-01-12,4.0,3.99,4.0,4.0,4.0,3720.0
2018-01-15,3.99,3.99,3.99,3.99,3.99,4520.0
2018-01-16,3.98,3.85,3.85,3.85,3.85,34460.0
2018-01-17,4.11,3.98,4.11,3.98,3.98,377910.0
2018-01-18,4.1,4.0,4.0,4.08,4.08,25820.0
2018-01-19,4.09,4.06,4.08,4.06,4.06,9530.0
2018-01-22,4.05,3.78,4.05,3.86,3.86,51760.0
2018-01-25,4.0,3.7,4.0,3.88,3.88,165630.0
2018-01-26,4.0,3.61,3.88,3.92,3.92,70110.0
2018-01-29,4.03,3.66,3.66,3.98,3.98,10100.0
2018-01-30,3.98,3.71,3.98,3.74,3.74,43550.0
2018-01-31,3.8,3.7,3.74,3.7,3.7,28470.0
2018-02-01,3.8,3.45,3.45,3.8,3.8,121100.0
2018-02-02,3.8,3.58,3.8,3.8,3.8,22740.0
2018-02-05,3.63,3.6,3.6,3.6,3.6,17120.0
2018-02-06,3.75,3.35,3.35,3.75,3.75,73870.0
2018-02-07,3.9,3.6,3.61,3.9,3.9,7920.0
2018-02-08,3.88,3.65,3.66,3.88,3.88,4800.0
2018-02-09,3.63,3.62,3.63,3.62,3.62,3830.0
2018-02-12,3.8,3.6,3.6,3.8,3.8,8170.0
2018-02-13,4.0,3.62,3.62,4.0,4.0,19020.0
2018-02-21,3.98,3.72,3.73,3.98,3.98,124210.0
2018-02-22,3.98,3.72,3.98,3.88,3.88,14020.0
2018-02-23,3.85,3.75,3.75,3.85,3.85,16010.0
2018-02-26,3.99,3.6,3.98,3.89,3.89,5200.0
2018-02-27,3.8,3.66,3.67,3.66,3.66,10500.0
2018-02-28,3.78,3.78,3.78,3.78,3.78,1300.0
2018-03-01,3.6,3.55,3.55,3.57,3.57,11700.0
2018-03-02,3.78,3.59,3.78,3.59,3.59,710.0
2018-03-05,3.68,3.5,3.5,3.68,3.68,20950.0
2018-03-06,3.7,3.5,3.5,3.7,3.7,1280.0
2018-03-07,3.72,3.6,3.65,3.7,3.7,12900.0
2018-03-08,3.8,3.5,3.5,3.78,3.78,36480.0
2018-03-09,3.8,3.6,3.8,3.79,3.79,12700.0
2018-03-12,3.6,3.6,3.6,3.6,3.6,1050.0
2018-03-13,3.84,3.55,3.84,3.78,3.78,3960.0
2018-03-14,3.78,3.55,3.55,3.77,3.77,20940.0
2018-03-15,3.97,3.58,3.58,3.8,3.8,3220.0
2018-03-16,3.82,3.79,3.79,3.82,3.82,2300.0
2018-03-19,3.78,3.75,3.75,3.78,3.78,4500.0
2018-03-20,3.73,3.7,3.73,3.7,3.7,3710.0
2018-03-21,3.7,3.68,3.68,3.7,3.7,6800.0
2018-03-22,3.7,3.51,3.7,3.7,3.7,2690.0
2018-03-23,3.7,3.61,3.61,3.7,3.7,1010.0
2018-03-26,3.89,3.61,3.89,3.61,3.61,7900.0
2018-03-27,3.63,3.61,3.61,3.63,3.63,26980.0
2018-03-28,3.82,3.6,3.82,3.62,3.62,17320.0
2018-03-29,3.61,3.4,3.4,3.61,3.61,17010.0
2018-03-30,3.8,3.4,3.6,3.59,3.59,20250.0
2018-04-02,3.6,3.59,3.59,3.6,3.6,48610.0
2018-04-03,3.6,3.59,3.6,3.6,3.6,7100.0
2018-04-04,3.6,3.35,3.5,3.6,3.6,9200.0
2018-04-05,3.59,3.5,3.5,3.59,3.59,4050.0
2018-04-06,3.6,3.55,3.6,3.59,3.59,7000.0
2018-04-09,3.59,3.5,3.59,3.5,3.5,19300.0
2018-04-10,3.5,3.4,3.5,3.49,3.49,26010.0
2018-04-11,3.49,3.35,3.4,3.49,3.49,9680.0
2018-04-12,3.49,3.33,3.33,3.49,3.49,560.0
2018-04-13,3.37,3.25,3.35,3.25,3.25,18700.0
2018-04-16,3.47,3.4,3.45,3.47,3.47,9710.0
2018-04-17,3.65,3.42,3.45,3.65,3.65,4610.0
2018-04-18,3.64,3.42,3.42,3.64,3.64,7000.0
2018-04-19,3.64,3.4,3.6,3.64,3.64,9110.0
2018-04-20,3.65,3.41,3.65,3.6,3.6,5210.0
2018-04-23,3.6,3.41,3.6,3.45,3.45,17600.0
2018-04-24,3.6,3.4,3.6,3.53,3.53,10360.0
2018-04-26,3.52,3.35,3.35,3.52,3.52,6020.0
2018-04-27,3.29,3.29,3.29,3.29,3.29,2000.0
2018-05-02,3.5,3.2,3.29,3.28,3.28,198390.0
2018-05-03,3.5,3.2,3.2,3.5,3.5,29370.0
2018-05-04,3.6,3.6,3.6,3.6,3.6,9020.0
2018-05-07,3.6,3.59,3.6,3.6,3.6,5220.0
2018-05-08,3.6,3.41,3.41,3.43,3.43,107950.0
2018-05-09,3.6,3.55,3.59,3.6,3.6,4000.0
2018-05-10,3.59,3.36,3.59,3.36,3.36,5000.0
2018-05-11,3.56,3.13,3.36,3.56,3.56,17020.0
2018-05-14,3.59,3.55,3.56,3.59,3.59,14200.0
2018-05-15,3.59,3.55,3.55,3.59,3.59,41810.0
2018-05-16,3.55,3.4,3.4,3.55,3.55,11260.0
2018-05-17,3.55,3.55,3.55,3.55,3.55,10.0
2018-05-18,3.59,3.4,3.4,3.59,3.59,2470.0
2018-05-21,3.59,3.4,3.4,3.59,3.59,1660.0
2018-05-22,3.58,3.4,3.41,3.4,3.4,2070.0
2018-05-23,3.49,3.4,3.4,3.49,3.49,6300.0
2018-05-24,3.5,3.5,3.5,3.5,3.5,1000.0
2018-05-25,3.54,3.26,3.26,3.54,3.54,520.0
2018-05-28,3.4,3.3,3.3,3.3,3.3,13180.0
2018-05-29,3.52,3.3,3.3,3.52,3.52,3480.0
2018-05-30,3.51,3.51,3.51,3.51,3.51,2500.0
2018-05-31,3.54,3.5,3.5,3.54,3.54,5810.0
2018-06-01,3.57,3.3,3.55,3.3,3.3,5010.0
2018-06-04,3.49,3.07,3.07,3.49,3.49,5580.0
2018-06-05,3.45,3.26,3.4,3.45,3.45,3480.0
2018-06-06,3.45,3.21,3.45,3.21,3.21,11620.0
2018-06-07,3.36,3.22,3.36,3.31,3.31,3400.0
2018-06-08,3.3,3.08,3.12,3.1,3.1,8640.0
2018-06-11,3.24,3.01,3.24,3.01,3.01,3140.0
2018-06-12,3.18,3.01,3.18,3.01,3.01,1660.0
2018-06-13,3.14,3.05,3.14,3.11,3.11,1720.0
2018-06-14,3.11,3.0,3.11,3.01,3.01,3800.0
2018-06-15,3.09,2.9,2.9,3.09,3.09,7250.0
2018-06-18,3.12,3.08,3.09,3.12,3.12,8150.0
2018-06-19,3.1,2.93,3.09,3.08,3.08,16880.0
2018-06-20,3.08,3.07,3.07,3.08,3.08,4200.0
2018-06-21,3.0,2.87,3.0,2.87,2.87,14590.0
2018-06-22,3.07,2.71,2.71,3.07,3.07,4060.0
2018-06-25,3.28,2.88,3.05,3.28,3.28,7800.0
2018-06-26,3.48,3.06,3.48,3.4,3.4,3690.0
2018-06-27,3.39,3.17,3.17,3.39,3.39,2010.0
2018-06-28,3.17,3.16,3.17,3.16,3.16,10260.0
2018-06-29,3.24,2.94,2.94,3.24,3.24,1650.0
2018-07-02,3.28,3.02,3.02,3.28,3.28,5600.0
2018-07-03,3.45,3.06,3.45,3.06,3.06,1870.0
2018-07-04,3.09,3.09,3.09,3.09,3.09,1510.0
2018-07-05,3.1,3.1,3.1,3.1,3.1,510.0
2018-07-06,3.15,2.91,2.91,3.15,3.15,1520.0
2018-07-09,3.3,3.3,3.3,3.3,3.3,310.0
2018-07-10,3.3,3.3,3.3,3.3,3.3,2020.0
2018-07-11,3.3,3.3,3.3,3.3,3.3,510.0
2018-07-12,3.3,3.07,3.3,3.07,3.07,2240.0
2018-07-13,3.07,2.87,2.87,3.07,3.07,6220.0
2018-07-16,3.26,2.88,3.07,3.26,3.26,2350.0
2018-07-17,3.45,3.44,3.44,3.45,3.45,610.0
2018-07-18,3.48,3.48,3.48,3.48,3.48,520.0
2018-07-19,3.24,3.24,3.24,3.24,3.24,30.0
2018-07-20,3.37,3.02,3.02,3.19,3.19,2710.0
2018-07-23,3.38,3.0,3.38,3.0,3.0,370.0
2018-07-24,3.2,3.0,3.0,3.2,3.2,1820.0
2018-07-25,3.24,3.24,3.24,3.24,3.24,750.0
2018-07-26,3.18,3.02,3.03,3.18,3.18,4570.0
2018-07-27,3.23,2.96,2.96,3.23,3.23,660.0
2018-07-30,3.38,3.38,3.38,3.38,3.38,810.0
2018-07-31,3.38,3.15,3.15,3.38,3.38,29550.0
2018-08-01,3.15,3.15,3.15,3.15,3.15,2910.0
2018-08-02,3.0,2.93,2.93,2.98,2.98,17200.0
2018-08-03,2.93,2.78,2.93,2.9,2.9,87020.0
2018-08-06,2.9,2.78,2.78,2.9,2.9,1910.0
2018-08-07,3.0,2.75,3.0,2.96,2.96,60.0
2018-08-08,2.89,2.85,2.89,2.85,2.85,2350.0
2018-08-09,2.84,2.67,2.69,2.82,2.82,5380.0
2018-08-10,2.92,2.66,2.66,2.92,2.92,1030.0
2018-08-13,2.82,2.72,2.82,2.8,2.8,17250.0
2018-08-14,2.88,2.8,2.8,2.88,2.88,2130.0
2018-08-15,2.88,2.88,2.88,2.88,2.88,1010.0
2018-08-16,2.88,2.7,2.7,2.88,2.88,10140.0
2018-08-17,2.81,2.8,2.8,2.8,2.8,3690.0
2018-08-20,2.99,2.99,2.99,2.99,2.99,2100.0
2018-08-21,2.99,2.81,2.99,2.88,2.88,5870.0
2018-08-22,2.86,2.75,2.86,2.75,2.75,11850.0
2018-08-23,2.94,2.75,2.94,2.75,2.75,810.0
2018-08-24,2.93,2.92,2.93,2.92,2.92,60.0
2018-08-27,2.9,2.73,2.73,2.9,2.9,4510.0
2018-08-28,2.82,2.81,2.81,2.82,2.82,1010.0
2018-08-29,2.82,2.82,2.82,2.82,2.82,550.0
2018-08-30,2.86,2.63,2.63,2.65,2.65,21850.0
2018-08-31,2.74,2.58,2.59,2.74,2.74,1460.0
2018-09-04,2.74,2.7,2.74,2.7,2.7,6760.0
