Date,High,Low,Open,Close,Adj Close,Volume
2022-10-14,9.1,9.1,9.1,9.1,9.1,0.0
2022-10-17,9.1,9.1,9.1,9.1,9.1,0.0
2022-10-18,9.1,9.1,9.1,9.1,9.1,0.0
2022-10-19,12.7,12.7,12.7,12.7,12.7,9000.0
2022-10-20,14.6,14.6,14.6,14.6,14.6,7600.0
2022-10-21,16.4,12.5,14.4,12.5,12.5,1501.0
2022-10-24,14.3,14.3,14.3,14.3,14.3,100.0
2022-10-25,15.8,12.2,15.8,12.2,12.2,200.0
2022-10-26,14.0,14.0,14.0,14.0,14.0,0.0
2022-10-27,14.0,14.0,14.0,14.0,14.0,0.0
2022-10-28,11.9,11.9,11.9,11.9,11.9,100.0
2022-10-31,11.9,11.9,11.9,11.9,11.9,0.0
2022-11-01,11.9,11.9,11.9,11.9,11.9,0.0
2022-11-02,13.6,10.2,13.6,10.2,10.2,300.0
2022-11-03,9.7,9.7,9.7,9.7,9.7,1300.0
2022-11-04,8.3,8.3,8.3,8.3,8.3,2700.0
2022-11-07,7.1,7.1,7.1,7.1,7.1,100.0
2022-11-08,6.1,6.1,6.1,6.1,6.1,600.0
2022-11-09,7.0,5.2,5.5,5.3,5.3,5600.0
2022-11-10,6.0,4.7,4.9,6.0,6.0,1600.0
2022-11-11,5.5,5.5,5.5,5.5,5.5,100.0
2022-11-14,6.3,6.3,6.3,6.3,6.3,200.0
2022-11-15,7.2,7.1,7.1,7.2,7.2,500.0
2022-11-16,8.1,7.9,8.0,8.1,8.1,1400.0
2022-11-17,9.0,9.0,9.0,9.0,9.0,100.0
2022-11-18,9.0,9.0,9.0,9.0,9.0,0.0
2022-11-21,9.9,9.9,9.9,9.9,9.9,100.0
2022-11-22,10.9,10.9,10.9,10.9,10.9,100.0
2022-11-23,10.9,10.9,10.9,10.9,10.9,0.0
2022-11-24,10.9,10.9,10.9,10.9,10.9,0.0
2022-11-25,10.9,10.9,10.9,10.9,10.9,0.0
2022-11-28,10.9,10.9,10.9,10.9,10.9,0.0
2022-11-29,10.9,10.9,10.9,10.9,10.9,0.0
2022-11-30,9.3,9.3,9.3,9.3,9.3,100.0
2022-12-01,9.3,9.3,9.3,9.3,9.3,0.0
2022-12-02,9.0,8.0,8.0,9.0,9.0,1100.0
2022-12-05,7.5,7.5,7.5,7.5,7.5,3100.0
2022-12-06,7.4,6.4,6.4,6.4,6.4,1800.0
2022-12-07,7.3,7.3,7.3,7.3,7.3,100.0
2022-12-08,7.8,7.8,7.8,7.8,7.8,100.0
2022-12-09,8.4,8.4,8.4,8.4,8.4,100.0
2022-12-12,8.8,7.2,8.8,7.2,7.2,200.0
2022-12-13,6.8,6.8,6.8,6.8,6.8,500.0
2022-12-14,7.7,7.7,7.7,7.7,7.7,100.0
2022-12-15,7.7,7.7,7.7,7.7,7.7,0.0
2022-12-16,6.6,6.6,6.6,6.6,6.6,1300.0
2022-12-19,6.9,5.8,6.9,5.8,5.8,5500.0
2022-12-20,5.8,5.8,5.8,5.8,5.8,0.0
2022-12-21,5.0,5.0,5.0,5.0,5.0,200.0
