Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,12.8,12.8,12.8,12.8,7.213,700.0
2018-01-03,12.8,12.8,12.8,12.8,7.213,0.0
2018-01-04,12.8,12.8,12.8,12.8,7.213,30.0
2018-01-05,12.8,12.8,12.8,12.8,7.213,0.0
2018-01-08,12.8,12.8,12.8,12.8,7.213,0.0
2018-01-09,12.8,12.8,12.8,12.8,7.213,0.0
2018-01-10,12.8,12.8,12.8,12.8,7.213,0.0
2018-01-11,12.8,12.8,12.8,12.8,7.213,2000.0
2018-01-12,12.8,12.8,12.8,12.8,7.213,6.0
2018-01-15,12.0,12.0,12.0,12.0,6.762,100.0
2018-01-16,12.0,12.0,12.0,12.0,6.762,1000.0
2018-01-17,11.8,11.7,11.8,11.7,6.593,700.0
2018-01-18,11.0,11.0,11.0,11.0,6.199,160.0
2018-01-19,11.0,11.0,11.0,11.0,6.199,1000.0
2018-01-22,11.0,11.0,11.0,11.0,6.199,3000.0
2018-01-23,11.0,11.0,11.0,11.0,6.199,0.0
2018-01-24,11.0,11.0,11.0,11.0,6.199,0.0
2018-01-25,11.0,11.0,11.0,11.0,6.199,0.0
2018-01-26,11.0,11.0,11.0,11.0,6.199,0.0
2018-01-29,11.0,11.0,11.0,11.0,6.199,0.0
2018-01-30,11.0,11.0,11.0,11.0,6.199,14.0
2018-01-31,11.0,11.0,11.0,11.0,6.199,0.0
2018-02-01,11.0,11.0,11.0,11.0,6.199,1546.0
2018-02-02,11.0,11.0,11.0,11.0,6.199,0.0
2018-02-05,11.0,11.0,11.0,11.0,6.199,0.0
2018-02-06,11.0,11.0,11.0,11.0,6.199,0.0
2018-02-07,10.5,10.5,10.5,10.5,5.917,300.0
2018-02-08,10.5,10.5,10.5,10.5,5.917,100.0
2018-02-09,10.5,10.5,10.5,10.5,5.917,0.0
2018-02-12,10.5,10.5,10.5,10.5,5.917,0.0
2018-02-13,10.5,10.5,10.5,10.5,5.917,0.0
2018-02-21,10.5,10.5,10.5,10.5,5.917,0.0
2018-02-22,10.5,10.5,10.5,10.5,5.917,0.0
2018-02-23,10.5,10.5,10.5,10.5,5.917,0.0
2018-02-26,10.5,10.5,10.5,10.5,5.917,100.0
2018-02-27,10.5,10.5,10.5,10.5,5.917,400.0
2018-02-28,10.5,10.5,10.5,10.5,5.917,0.0
2018-03-01,10.5,10.5,10.5,10.5,5.917,0.0
2018-03-02,10.5,10.5,10.5,10.5,5.917,0.0
2018-03-05,10.5,10.5,10.5,10.5,5.917,0.0
2018-03-06,10.5,10.5,10.5,10.5,5.917,0.0
2018-03-07,10.5,10.5,10.5,10.5,5.917,0.0
2018-03-08,10.5,10.5,10.5,10.5,5.917,0.0
2018-03-09,10.5,10.5,10.5,10.5,5.917,0.0
2018-03-12,10.5,10.5,10.5,10.5,5.917,0.0
2018-03-13,10.5,10.5,10.5,10.5,5.917,0.0
2018-03-14,10.5,10.5,10.5,10.5,5.917,0.0
2018-03-15,10.5,10.5,10.5,10.5,5.917,0.0
2018-03-16,11.5,11.5,11.5,11.5,6.48,100.0
2018-03-19,11.5,11.5,11.5,11.5,6.48,0.0
2018-03-20,10.8,10.8,10.8,10.8,6.086,1900.0
2018-03-21,10.8,10.8,10.8,10.8,6.086,0.0
2018-03-22,10.8,10.8,10.8,10.8,6.086,0.0
2018-03-23,10.8,10.8,10.8,10.8,6.086,0.0
