Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,7.9,7.7,7.8,7.9,6.387,37830.0
2018-01-03,7.8,7.7,7.7,7.8,6.307,18500.0
2018-01-04,8.3,7.9,7.9,8.1,6.549,68520.0
2018-01-05,8.1,8.0,8.1,8.0,6.468,71300.0
2018-01-08,8.2,8.0,8.0,8.1,6.549,67700.0
2018-01-09,8.2,7.9,7.9,8.2,6.63,31500.0
2018-01-10,8.4,8.0,8.2,8.4,6.792,135100.0
2018-01-11,8.4,8.2,8.3,8.2,6.63,11200.0
2018-01-12,8.2,8.0,8.2,8.1,6.549,20000.0
2018-01-15,8.1,8.0,8.0,8.0,6.468,28200.0
2018-01-16,8.0,7.9,8.0,8.0,6.468,93000.0
2018-01-17,8.1,8.0,8.0,8.1,6.549,30700.0
2018-01-18,8.1,7.9,8.1,8.1,6.549,45100.0
2018-01-19,8.1,8.0,8.0,8.1,6.549,17000.0
2018-01-22,8.9,8.1,8.2,8.9,7.196,520400.0
2018-01-23,9.7,9.5,9.7,9.7,7.843,594235.0
2018-01-24,10.6,10.5,10.6,10.6,8.57,1101230.0
2018-01-25,11.0,9.7,11.0,10.5,8.49,331460.0
2018-01-26,10.4,9.9,10.4,10.1,8.166,229035.0
2018-01-29,10.2,10.0,10.0,10.1,8.166,397008.0
2018-01-30,10.2,9.8,10.0,10.1,8.166,332067.0
2018-01-31,10.3,10.0,10.0,10.1,8.166,213005.0
2018-02-01,10.1,9.9,9.9,10.1,8.166,115900.0
2018-02-02,10.0,10.0,10.0,10.0,8.085,56938.0
2018-02-05,10.0,9.1,10.0,9.1,7.358,55350.0
2018-02-06,9.0,8.2,9.0,8.3,6.711,146110.0
2018-02-07,9.0,8.5,8.5,8.6,6.953,62612.0
2018-02-08,8.6,8.2,8.2,8.5,6.873,23320.0
2018-02-09,9.1,8.5,8.5,9.1,7.358,27100.0
2018-02-12,9.4,9.1,9.2,9.3,7.519,14300.0
2018-02-13,9.5,9.4,9.4,9.5,7.681,32300.0
2018-02-21,10.0,9.4,10.0,9.8,7.924,12210.0
2018-02-22,9.9,9.2,9.9,9.6,7.762,13800.0
2018-02-23,9.8,9.2,9.8,9.5,7.681,33400.0
2018-02-26,10.1,9.1,9.1,10.1,8.166,141700.0
2018-02-27,10.1,9.8,10.1,10.0,8.085,71300.0
2018-02-28,10.9,9.6,10.0,10.5,8.49,314100.0
2018-03-01,10.8,10.1,10.8,10.3,8.328,132320.0
2018-03-02,10.3,10.0,10.2,10.3,8.328,51100.0
2018-03-05,10.2,9.8,10.1,10.2,8.247,26500.0
2018-03-06,10.2,9.9,10.2,10.1,8.166,168800.0
2018-03-07,10.0,9.8,10.0,9.8,7.924,116850.0
2018-03-08,9.8,9.6,9.8,9.7,7.843,27600.0
2018-03-09,10.0,9.6,10.0,9.8,7.924,21900.0
2018-03-12,9.7,9.6,9.7,9.7,7.843,110800.0
2018-03-13,9.7,9.7,9.7,9.7,7.843,2000.0
2018-03-14,9.9,9.5,9.7,9.9,8.004,387918.0
2018-03-15,10.8,10.0,10.0,10.8,8.732,891920.0
2018-03-16,11.2,10.7,10.9,10.8,8.732,286330.0
2018-03-19,10.9,10.7,10.8,10.8,8.732,79970.0
2018-03-20,10.9,10.5,10.6,10.7,8.651,481310.0
2018-03-21,10.8,10.4,10.7,10.4,8.409,246908.0
2018-03-22,10.8,10.5,10.5,10.8,8.732,87441.0
2018-03-23,10.8,10.1,10.8,10.7,8.651,76920.0
2018-03-26,10.7,10.5,10.6,10.5,8.49,33900.0
2018-03-27,10.5,10.3,10.4,10.4,8.409,110900.0
2018-03-28,10.6,10.4,10.4,10.6,8.57,52400.0
2018-03-29,10.5,10.5,10.5,10.5,8.49,24500.0
2018-03-30,10.4,10.2,10.4,10.2,8.247,39320.0
2018-04-02,10.4,10.1,10.2,10.4,8.409,108140.0
