Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,34.0,31.7,31.9,33.1,22.118,148913.0
2018-01-03,33.4,32.5,33.3,32.5,21.717,156986.0
2018-01-04,32.8,32.2,32.5,32.3,21.584,219664.0
2018-01-05,32.5,30.0,30.0,32.4,21.65,236311.0
2018-01-08,32.4,32.0,32.1,32.1,21.45,386560.0
2018-01-09,32.3,31.9,32.0,32.0,21.383,243102.0
2018-01-10,33.3,32.0,32.0,33.0,22.051,438877.0
2018-01-11,33.2,32.6,33.2,32.9,21.985,99771.0
2018-01-12,33.1,32.6,33.0,33.0,22.051,187748.0
2018-01-15,32.9,32.3,32.9,32.7,21.851,74404.0
2018-01-16,34.5,32.0,32.1,34.0,22.72,439379.0
2018-01-17,34.0,32.7,33.7,32.7,21.851,126613.0
2018-01-18,33.2,32.5,32.6,33.2,22.185,187848.0
2018-01-19,33.8,33.2,33.2,33.2,22.185,77400.0
2018-01-22,33.6,32.9,33.2,33.3,22.252,195935.0
2018-01-23,34.5,33.5,33.5,34.5,23.054,319859.0
2018-01-24,37.5,34.0,34.5,36.8,24.591,1038974.0
2018-01-25,38.5,36.6,36.6,36.7,24.524,823014.0
2018-01-26,38.0,36.0,36.9,36.8,24.591,649249.0
2018-01-29,37.8,36.7,36.8,37.0,24.724,391052.0
2018-01-30,37.8,36.6,37.0,37.0,24.724,277920.0
2018-01-31,38.7,36.8,36.8,38.0,25.392,608389.0
2018-02-01,38.3,37.5,38.3,37.7,25.192,182388.0
2018-02-02,38.0,37.2,37.7,37.6,25.125,349064.0
2018-02-05,37.6,35.2,37.2,36.0,24.056,386503.0
2018-02-06,36.0,32.4,35.0,35.8,23.922,575810.0
2018-02-07,37.1,35.8,36.0,37.0,24.724,170761.0
2018-02-08,37.5,36.2,36.9,36.5,24.39,54725.0
2018-02-09,36.6,33.1,34.0,36.5,24.39,249705.0
2018-02-12,38.0,36.9,36.9,37.9,25.326,367212.0
2018-02-13,38.5,37.8,37.9,38.4,25.66,323728.0
2018-02-21,41.0,38.4,38.4,39.1,26.128,224141.0
2018-02-22,39.1,38.9,39.1,39.0,26.061,184793.0
2018-02-23,39.3,38.4,39.0,39.0,26.061,260187.0
2018-02-26,39.2,38.8,39.2,38.9,25.994,140110.0
2018-02-27,39.3,38.6,38.9,38.9,25.994,226604.0
2018-02-28,39.0,38.5,38.9,38.9,25.994,207071.0
2018-03-01,42.3,38.9,38.9,41.8,27.932,764546.0
2018-03-02,45.0,41.6,41.8,42.0,28.065,960468.0
2018-03-05,44.0,42.1,42.3,43.6,29.135,1205182.0
2018-03-06,43.6,41.5,43.5,41.5,27.731,904880.0
2018-03-07,42.0,39.5,41.5,39.5,26.395,2206369.0
2018-03-08,40.1,38.5,39.9,39.5,26.395,458932.0
2018-03-09,41.0,39.1,41.0,39.1,26.128,1297949.0
2018-03-12,39.5,38.0,39.5,38.4,25.66,2858992.0
2018-03-13,40.5,38.4,38.5,38.6,25.793,6090101.0
2018-03-14,42.4,39.6,39.9,42.3,28.266,1673285.0
2018-03-15,42.9,40.8,42.9,42.2,28.199,2207705.0
2018-03-16,42.0,41.0,42.0,41.5,27.731,2860595.0
2018-03-19,41.6,40.4,41.5,40.9,27.33,2873735.0
2018-03-20,41.4,40.3,40.9,40.6,27.13,768269.0
2018-03-21,41.3,40.6,40.6,40.9,27.33,884034.0
2018-03-22,41.6,40.7,40.9,40.9,27.33,749980.0
2018-03-23,41.5,39.1,40.3,41.5,27.731,1510155.0
2018-03-26,43.2,41.1,41.5,42.0,28.065,1284544.0
2018-03-27,43.3,39.5,42.5,41.0,27.397,2887000.0
2018-03-28,41.4,40.2,41.0,40.9,27.33,432915.0
2018-03-29,41.1,40.5,41.0,40.8,27.263,944715.0
2018-03-30,40.8,40.0,40.8,40.4,26.996,663871.0
2018-04-02,41.0,40.1,40.5,40.3,26.929,830504.0
2018-04-03,40.7,39.2,40.7,39.7,26.528,821258.0
2018-04-04,40.1,38.7,40.1,38.7,25.86,732172.0
2018-04-05,40.2,37.9,38.5,39.9,26.662,1361917.0
2018-04-06,39.9,39.0,39.8,39.0,26.061,610027.0
2018-04-09,39.5,38.8,39.0,39.3,26.261,309309.0
2018-04-10,39.6,38.7,39.3,39.0,26.061,591323.0
2018-04-11,39.2,38.2,39.2,38.5,25.727,534286.0
2018-04-12,39.0,38.0,38.4,38.9,25.994,195450.0
