Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,2.6,2.5,2.6,2.6,2.6,5900.0
2018-01-03,2.5,2.5,2.5,2.5,2.5,22300.0
2018-01-04,2.6,2.4,2.5,2.4,2.4,30700.0
2018-01-05,2.4,2.2,2.4,2.4,2.4,67200.0
2018-01-08,2.5,2.3,2.5,2.3,2.3,129800.0
2018-01-09,2.5,2.3,2.3,2.5,2.5,66300.0
2018-01-10,2.5,2.3,2.4,2.4,2.4,38000.0
2018-01-11,2.4,2.3,2.4,2.4,2.4,134700.0
2018-01-12,2.4,2.3,2.4,2.3,2.3,203700.0
2018-01-15,2.4,2.3,2.3,2.3,2.3,64500.0
2018-01-16,2.4,2.3,2.3,2.4,2.4,81900.0
2018-01-17,2.5,2.3,2.4,2.4,2.4,104500.0
2018-01-18,2.4,2.3,2.3,2.4,2.4,99400.0
2018-01-19,2.4,2.3,2.4,2.4,2.4,387600.0
2018-01-22,2.4,2.3,2.4,2.3,2.3,309700.0
2018-01-23,2.4,2.2,2.3,2.3,2.3,159400.0
2018-01-24,2.4,2.3,2.4,2.4,2.4,133500.0
2018-01-25,2.4,2.3,2.4,2.3,2.3,108900.0
2018-01-26,2.4,2.3,2.3,2.3,2.3,49700.0
2018-01-29,2.4,2.2,2.3,2.2,2.2,141200.0
2018-01-30,2.4,2.2,2.2,2.4,2.4,325200.0
2018-01-31,2.4,2.3,2.3,2.3,2.3,170400.0
2018-02-01,2.4,2.3,2.3,2.4,2.4,127500.0
2018-02-02,2.4,2.3,2.4,2.4,2.4,56100.0
2018-02-05,2.4,2.2,2.4,2.3,2.3,36800.0
2018-02-06,2.3,2.1,2.2,2.3,2.3,64100.0
2018-02-07,2.4,2.3,2.3,2.4,2.4,55600.0
2018-02-08,2.4,2.2,2.4,2.3,2.3,14900.0
2018-02-09,2.3,2.2,2.2,2.3,2.3,41500.0
2018-02-12,2.3,2.2,2.3,2.3,2.3,223300.0
2018-02-13,2.4,2.3,2.3,2.3,2.3,8600.0
2018-02-21,2.4,2.3,2.3,2.4,2.4,16300.0
2018-02-22,2.4,2.3,2.4,2.4,2.4,3000.0
2018-02-23,2.5,2.4,2.4,2.4,2.4,93300.0
2018-02-26,2.5,2.3,2.3,2.5,2.5,137600.0
2018-02-27,2.4,2.3,2.4,2.3,2.3,94900.0
2018-02-28,2.4,2.3,2.4,2.3,2.3,45800.0
2018-03-01,2.5,2.3,2.4,2.4,2.4,161200.0
2018-03-02,2.5,2.3,2.3,2.3,2.3,393600.0
2018-03-05,2.4,2.3,2.3,2.4,2.4,435000.0
2018-03-06,2.4,2.3,2.4,2.4,2.4,31500.0
2018-03-07,2.4,2.2,2.4,2.3,2.3,143100.0
2018-03-08,2.4,2.2,2.4,2.2,2.2,39600.0
2018-03-09,2.4,2.3,2.3,2.3,2.3,43800.0
2018-03-12,2.4,2.3,2.4,2.3,2.3,19900.0
2018-03-13,2.4,2.3,2.3,2.4,2.4,40900.0
2018-03-14,2.4,2.2,2.4,2.3,2.3,370120.0
2018-03-15,2.3,2.2,2.3,2.2,2.2,201700.0
2018-03-16,2.3,2.2,2.3,2.3,2.3,4500.0
2018-03-19,2.3,2.2,2.3,2.3,2.3,34200.0
2018-03-20,2.3,2.2,2.2,2.2,2.2,225100.0
2018-03-21,2.3,2.1,2.2,2.2,2.2,30100.0
2018-03-22,2.3,2.1,2.2,2.3,2.3,32300.0
2018-03-23,2.3,2.1,2.2,2.3,2.3,64300.0
2018-03-26,2.3,2.1,2.3,2.1,2.1,5400.0
2018-03-27,2.3,2.2,2.2,2.2,2.2,13400.0
2018-03-28,2.3,2.2,2.2,2.3,2.3,5420.0
2018-03-29,2.2,2.1,2.2,2.2,2.2,18620.0
2018-03-30,2.2,2.1,2.2,2.1,2.1,11600.0
2018-04-02,2.2,2.1,2.2,2.2,2.2,48520.0
2018-04-03,2.3,2.1,2.1,2.2,2.2,95500.0
2018-04-04,2.2,2.1,2.2,2.1,2.1,31100.0
2018-04-05,2.2,2.1,2.2,2.1,2.1,22600.0
2018-04-06,2.1,2.0,2.1,2.1,2.1,47300.0
2018-04-09,2.1,2.0,2.1,2.1,2.1,115600.0
2018-04-10,2.1,2.0,2.0,2.1,2.1,60700.0
2018-04-11,2.1,2.0,2.1,2.0,2.0,112100.0
2018-04-12,2.1,2.0,2.1,2.1,2.1,35600.0
2018-04-13,2.1,2.0,2.1,2.1,2.1,97400.0
2018-04-16,2.1,2.0,2.1,2.1,2.1,68900.0
2018-04-17,2.1,1.9,2.1,2.1,2.1,116900.0
2018-04-18,2.1,2.0,2.1,2.0,2.0,9300.0
2018-04-19,2.1,1.9,2.1,2.0,2.0,40800.0
2018-04-20,2.0,2.0,2.0,2.0,2.0,28300.0
2018-04-23,2.1,1.9,1.9,2.1,2.1,44500.0
2018-04-24,2.1,1.9,2.0,2.0,2.0,49400.0
2018-04-26,2.1,1.9,2.1,2.0,2.0,40700.0
2018-04-27,2.0,1.9,2.0,2.0,2.0,7800.0
2018-05-02,2.0,2.0,2.0,2.0,2.0,1600.0
2018-05-03,2.0,1.9,1.9,2.0,2.0,12800.0
2018-05-04,2.1,1.9,2.0,1.9,1.9,5500.0
2018-05-07,2.0,1.9,1.9,2.0,2.0,500.0
2018-05-08,2.0,2.0,2.0,2.0,2.0,0.0
2018-05-09,2.0,1.9,2.0,2.0,2.0,12400.0
2018-05-10,2.1,2.0,2.0,2.0,2.0,126600.0
2018-05-11,2.0,2.0,2.0,2.0,2.0,20700.0
2018-05-14,2.1,2.0,2.0,2.0,2.0,102800.0
2018-05-15,1.9,1.9,1.9,1.9,1.9,110.0
2018-05-16,2.0,1.9,2.0,2.0,2.0,4900.0
2018-05-17,2.0,2.0,2.0,2.0,2.0,100.0
2018-05-18,1.9,1.9,1.9,1.9,1.9,11200.0
2018-05-21,2.0,1.9,2.0,2.0,2.0,2200.0
2018-05-22,2.0,1.8,2.0,1.9,1.9,21500.0
2018-05-23,2.0,1.8,1.8,1.9,1.9,32800.0
2018-05-24,2.0,1.9,1.9,2.0,2.0,16400.0
2018-05-25,2.0,1.9,1.9,2.0,2.0,25900.0
2018-05-28,1.9,1.8,1.8,1.9,1.9,36900.0
2018-05-29,1.9,1.8,1.9,1.9,1.9,400.0
2018-05-30,1.9,1.9,1.9,1.9,1.9,1100.0
2018-05-31,1.9,1.8,1.8,1.9,1.9,32100.0
2018-06-01,1.9,1.8,1.9,1.9,1.9,6700.0
2018-06-04,1.9,1.8,1.8,1.9,1.9,34100.0
2018-06-05,1.9,1.8,1.8,1.9,1.9,42300.0
2018-06-06,1.9,1.8,1.8,1.8,1.8,3254.0
2018-06-07,1.8,1.7,1.8,1.8,1.8,6600.0
2018-06-08,1.9,1.8,1.8,1.9,1.9,2700.0
2018-06-11,1.9,1.8,1.8,1.9,1.9,10200.0
2018-06-12,1.8,1.8,1.8,1.8,1.8,5500.0
2018-06-13,1.8,1.7,1.7,1.8,1.8,6800.0
2018-06-14,1.9,1.8,1.8,1.9,1.9,24000.0
2018-06-15,1.9,1.8,1.8,1.9,1.9,74700.0
2018-06-18,1.9,1.8,1.9,1.8,1.8,25400.0
2018-06-19,1.9,1.8,1.8,1.9,1.9,69100.0
2018-06-20,1.9,1.8,1.8,1.8,1.8,11610.0
2018-06-21,1.9,1.8,1.8,1.8,1.8,16600.0
2018-06-22,1.9,1.8,1.8,1.9,1.9,900.0
2018-06-25,1.9,1.8,1.9,1.8,1.8,16700.0
2018-06-26,1.8,1.7,1.8,1.8,1.8,31600.0
2018-06-27,1.8,1.7,1.8,1.8,1.8,18700.0
2018-06-28,1.8,1.7,1.8,1.8,1.8,8400.0
2018-06-29,1.8,1.8,1.8,1.8,1.8,500.0
2018-07-02,1.8,1.7,1.8,1.8,1.8,31100.0
2018-07-03,1.8,1.7,1.8,1.7,1.7,25700.0
2018-07-04,1.8,1.7,1.8,1.8,1.8,18200.0
2018-07-05,1.8,1.7,1.7,1.8,1.8,15500.0
2018-07-06,1.7,1.7,1.7,1.7,1.7,600.0
2018-07-09,1.7,1.7,1.7,1.7,1.7,15000.0
2018-07-10,1.7,1.6,1.6,1.7,1.7,52200.0
2018-07-11,1.7,1.6,1.7,1.6,1.6,52000.0
2018-07-12,1.7,1.6,1.7,1.6,1.6,5200.0
2018-07-13,1.7,1.6,1.6,1.7,1.7,14600.0
2018-07-16,1.7,1.6,1.6,1.7,1.7,4900.0
2018-07-17,1.7,1.6,1.7,1.7,1.7,37400.0
2018-07-18,1.7,1.7,1.7,1.7,1.7,100.0
2018-07-19,1.7,1.6,1.7,1.6,1.6,83700.0
2018-07-20,1.7,1.7,1.7,1.7,1.7,7000.0
2018-07-23,1.8,1.7,1.7,1.8,1.8,41400.0
2018-07-24,1.9,1.9,1.9,1.9,1.9,27000.0
2018-07-25,2.0,2.0,2.0,2.0,2.0,31000.0
2018-07-26,2.0,1.9,1.9,2.0,2.0,42500.0
2018-07-27,1.9,1.8,1.9,1.9,1.9,10700.0
2018-07-30,1.9,1.8,1.8,1.9,1.9,19600.0
2018-07-31,1.9,1.8,1.8,1.9,1.9,6400.0
2018-08-01,1.9,1.8,1.9,1.8,1.8,5600.0
2018-08-02,1.9,1.8,1.8,1.8,1.8,67900.0
2018-08-03,1.9,1.8,1.8,1.9,1.9,1510.0
2018-08-06,1.9,1.8,1.8,1.9,1.9,55100.0
2018-08-07,1.9,1.8,1.9,1.8,1.8,10100.0
2018-08-08,1.9,1.8,1.8,1.9,1.9,2300.0
2018-08-09,1.9,1.8,1.9,1.8,1.8,600.0
2018-08-10,1.8,1.7,1.8,1.7,1.7,15700.0
2018-08-13,1.8,1.7,1.8,1.8,1.8,28400.0
2018-08-14,1.9,1.7,1.7,1.8,1.8,22900.0
2018-08-15,1.9,1.7,1.7,1.9,1.9,200.0
2018-08-16,1.9,1.8,1.8,1.8,1.8,43700.0
2018-08-17,1.8,1.7,1.7,1.8,1.8,8200.0
2018-08-20,1.8,1.7,1.7,1.8,1.8,4600.0
2018-08-21,1.8,1.7,1.8,1.7,1.7,19100.0
2018-08-22,1.8,1.6,1.8,1.6,1.6,151700.0
2018-08-23,1.7,1.6,1.7,1.7,1.7,31344.0
2018-08-24,1.8,1.8,1.8,1.8,1.8,170.0
2018-08-27,1.9,1.7,1.8,1.9,1.9,47300.0
2018-08-28,1.9,1.8,1.8,1.8,1.8,16700.0
2018-08-29,1.8,1.7,1.8,1.8,1.8,10300.0
2018-08-30,1.8,1.7,1.8,1.8,1.8,19803.0
2018-08-31,1.9,1.7,1.7,1.8,1.8,5300.0
2018-09-04,1.9,1.7,1.9,1.7,1.7,7400.0
2018-09-05,1.8,1.8,1.8,1.8,1.8,5700.0
2018-09-06,1.9,1.8,1.8,1.9,1.9,1187.0
2018-09-07,1.9,1.9,1.9,1.9,1.9,0.0
2018-09-10,1.8,1.8,1.8,1.8,1.8,2200.0
2018-09-11,1.8,1.8,1.8,1.8,1.8,16500.0
2018-09-12,1.8,1.7,1.7,1.8,1.8,11500.0
2018-09-13,1.9,1.7,1.8,1.9,1.9,41200.0
2018-09-14,1.9,1.8,1.9,1.8,1.8,45300.0
2018-09-17,1.8,1.7,1.8,1.7,1.7,500.0
2018-09-18,1.8,1.7,1.8,1.8,1.8,300.0
2018-09-19,1.8,1.8,1.8,1.8,1.8,2100.0
2018-09-20,1.7,1.7,1.7,1.7,1.7,2100.0
2018-09-21,1.8,1.6,1.7,1.8,1.8,202700.0
2018-09-24,1.8,1.7,1.8,1.7,1.7,57700.0
2018-09-25,1.8,1.6,1.7,1.8,1.8,12700.0
2018-09-26,1.7,1.7,1.7,1.7,1.7,159000.0
