Date,High,Low,Open,Close,Adj Close,Volume
2019-06-11,11.9,7.2,11.9,7.2,6.638,209200.0
2019-06-12,8.3,7.2,7.2,8.2,7.56,24500.0
2019-06-13,8.7,8.3,8.3,8.7,8.021,21800.0
2019-06-14,8.8,8.0,8.7,8.5,7.836,25600.0
2019-06-17,8.3,7.9,8.0,8.0,7.375,12500.0
2019-06-18,8.5,8.0,8.0,8.3,7.652,30500.0
2019-06-19,8.5,8.1,8.3,8.1,7.467,43900.0
2019-06-20,8.3,8.2,8.2,8.2,7.56,46900.0
2019-06-21,9.5,8.1,8.1,9.5,8.758,177900.0
2019-06-24,10.4,7.8,7.8,10.4,9.588,171900.0
2019-06-25,11.8,10.8,10.8,11.8,10.878,125050.0
2019-06-26,13.4,12.8,12.9,13.4,12.353,89100.0
2019-06-27,15.2,13.0,15.2,14.1,12.998,369400.0
2019-06-28,16.6,13.8,13.8,16.0,14.751,295100.0
2019-07-01,17.0,16.0,16.0,17.0,15.672,212100.0
2019-07-02,18.1,15.0,15.0,17.4,16.041,211450.0
2019-07-03,18.0,16.3,17.5,17.0,15.672,281270.0
2019-07-04,17.7,16.8,17.5,16.8,15.487,221300.0
2019-07-05,17.8,16.1,16.7,17.2,15.857,293113.0
2019-07-08,19.0,17.0,17.8,19.0,17.516,226337.0
2019-07-09,20.5,19.5,19.5,20.5,18.898,210720.0
2019-07-10,21.8,19.5,20.5,21.0,19.359,192930.0
2019-07-11,21.3,19.8,21.0,20.0,18.437,187340.0
2019-07-12,20.9,20.0,20.5,20.1,18.53,219570.0
2019-07-15,20.1,19.2,20.1,19.5,17.976,215950.0
2019-07-16,19.3,18.0,19.1,18.0,16.594,185050.0
2019-07-17,20.0,17.9,18.5,19.0,17.516,159510.0
2019-07-18,19.2,18.3,19.2,18.7,17.24,99200.0
2019-07-19,20.1,18.5,19.0,19.5,17.976,185100.0
2019-07-22,19.6,19.0,19.4,19.3,17.792,87540.0
2019-07-23,19.6,19.0,19.5,19.3,17.792,126810.0
2019-07-24,19.4,18.9,19.4,19.0,17.516,80520.0
2019-07-25,20.9,18.9,19.4,20.0,18.437,316660.0
2019-07-26,21.1,20.1,20.5,20.9,19.268,319080.0
2019-07-29,21.4,20.7,20.7,21.0,19.359,196820.0
2019-07-30,21.4,19.3,21.1,19.5,17.976,213130.0
2019-07-31,19.4,16.8,19.4,17.2,15.857,429772.0
2019-08-01,19.9,17.0,17.3,18.7,17.24,170030.0
2019-08-02,19.5,18.1,18.6,19.4,17.885,173470.0
2019-08-05,19.9,18.8,19.0,19.5,17.976,171081.0
2019-08-06,19.2,18.4,19.2,18.6,17.147,179400.0
2019-08-07,19.4,18.6,18.6,19.0,17.516,94110.0
2019-08-08,19.9,18.6,18.9,19.6,18.069,137547.0
2019-08-09,19.6,18.9,19.6,19.2,17.701,112107.0
2019-08-12,20.5,19.0,19.0,20.1,18.53,266420.0
2019-08-13,20.2,19.5,20.0,19.5,17.976,153400.0
2019-08-14,20.0,19.0,19.0,19.6,18.069,93490.0
2019-08-15,19.5,18.5,19.2,19.4,17.885,95950.0
2019-08-16,19.5,19.1,19.1,19.2,17.701,78920.0
2019-08-19,20.1,19.3,19.3,20.0,18.437,250640.0
2019-08-20,22.7,20.0,20.0,22.3,20.558,893030.0
2019-08-21,23.5,21.9,22.4,22.4,20.651,337039.0
2019-08-22,23.0,21.7,22.0,22.9,21.112,222700.0
2019-08-23,22.9,22.4,22.5,22.7,20.926,228177.0
2019-08-26,22.9,22.0,22.0,22.3,20.558,165128.0
2019-08-27,24.0,22.1,22.3,23.6,21.757,323720.0
2019-08-28,24.3,23.3,23.3,23.8,21.941,146320.0
2019-08-29,24.0,20.4,24.0,20.7,19.084,580858.0
2019-08-30,21.4,18.7,21.4,18.9,17.424,400283.0
2019-09-03,19.1,16.5,18.7,16.6,15.303,402530.0
2019-09-04,16.6,14.7,16.6,15.1,13.92,382628.0
2019-09-05,16.6,15.4,15.4,16.5,15.211,141020.0
2019-09-06,16.8,15.8,16.5,15.9,14.658,95184.0
2019-09-09,16.0,15.1,16.0,15.2,14.013,110915.0
2019-09-10,15.2,13.2,15.2,14.2,13.091,330214.0
2019-09-11,15.0,14.0,14.0,14.9,13.736,53403.0
2019-09-12,15.3,14.3,14.3,15.3,14.105,98650.0
