Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,18.7,18.7,18.7,18.7,11.528,0.0
2018-01-03,18.7,18.7,18.7,18.7,11.528,0.0
2018-01-04,19.0,19.0,19.0,19.0,11.713,2000.0
2018-01-05,19.0,19.0,19.0,19.0,11.713,0.0
2018-01-08,19.0,19.0,19.0,19.0,11.713,0.0
2018-01-09,19.0,19.0,19.0,19.0,11.713,0.0
2018-01-10,19.0,19.0,19.0,19.0,11.713,11500.0
2018-01-11,19.0,19.0,19.0,19.0,11.713,4100.0
2018-01-12,19.0,19.0,19.0,19.0,11.713,6600.0
2018-01-15,19.0,19.0,19.0,19.0,11.713,0.0
2018-01-16,19.0,19.0,19.0,19.0,11.713,0.0
2018-01-17,19.0,19.0,19.0,19.0,11.713,100.0
2018-01-18,18.5,18.5,18.5,18.5,11.404,1000.0
2018-01-19,18.5,18.5,18.5,18.5,11.404,1100.0
2018-01-22,18.5,18.5,18.5,18.5,11.404,0.0
2018-01-23,18.5,18.5,18.5,18.5,11.404,0.0
2018-01-24,18.5,18.5,18.5,18.5,11.404,0.0
2018-01-25,18.5,18.5,18.5,18.5,11.404,0.0
2018-01-26,18.0,18.0,18.0,18.0,11.096,400.0
2018-01-29,18.0,18.0,18.0,18.0,11.096,0.0
2018-01-30,18.5,16.0,16.0,18.5,11.404,700.0
2018-01-31,17.0,17.0,17.0,17.0,10.48,1800.0
2018-02-01,17.0,16.5,16.5,17.0,10.48,12300.0
2018-02-02,17.0,17.0,17.0,17.0,10.48,0.0
2018-02-05,17.0,17.0,17.0,17.0,10.48,0.0
2018-02-06,16.0,16.0,16.0,16.0,9.863,700.0
2018-02-07,17.0,16.5,17.0,16.5,10.172,2500.0
2018-02-08,16.0,16.0,16.0,16.0,9.863,500.0
2018-02-09,16.0,16.0,16.0,16.0,9.863,4200.0
2018-02-12,17.0,17.0,17.0,17.0,10.48,2000.0
2018-02-13,17.0,17.0,17.0,17.0,10.48,0.0
2018-02-21,17.0,17.0,17.0,17.0,10.48,0.0
2018-02-22,17.0,17.0,17.0,17.0,10.48,0.0
2018-02-23,17.0,17.0,17.0,17.0,10.48,0.0
2018-02-26,18.0,18.0,18.0,18.0,11.096,300.0
2018-02-27,18.0,18.0,18.0,18.0,11.096,0.0
2018-02-28,16.5,16.0,16.5,16.0,9.863,1400.0
2018-03-01,16.2,16.2,16.2,16.2,9.987,0.0
2018-03-02,16.2,16.2,16.2,16.2,9.987,0.0
2018-03-05,16.0,16.0,16.0,16.0,9.863,4000.0
2018-03-06,16.0,16.0,16.0,16.0,9.863,700.0
2018-03-07,16.1,16.1,16.1,16.1,9.925,100.0
2018-03-08,16.1,16.1,16.1,16.1,9.925,0.0
2018-03-09,16.1,16.0,16.0,16.1,9.925,900.0
2018-03-12,16.1,16.1,16.1,16.1,9.925,0.0
2018-03-13,16.5,16.5,16.5,16.5,10.172,500.0
2018-03-14,16.5,16.5,16.5,16.5,10.172,2000.0
2018-03-15,16.5,16.5,16.5,16.5,10.172,2000.0
2018-03-16,16.5,16.5,16.5,16.5,10.172,0.0
2018-03-19,16.5,16.5,16.5,16.5,10.172,0.0
2018-03-20,17.5,17.0,17.0,17.5,10.788,2500.0
2018-03-21,17.5,17.5,17.5,17.5,10.788,0.0
2018-03-22,17.5,17.5,17.5,17.5,10.788,0.0
2018-03-23,17.7,17.2,17.2,17.7,10.911,1500.0
2018-03-26,17.5,17.5,17.5,17.5,10.788,0.0
2018-03-27,17.5,17.5,17.5,17.5,10.788,0.0
2018-03-28,17.5,17.5,17.5,17.5,10.788,0.0
2018-03-29,17.5,17.5,17.5,17.5,10.788,0.0
2018-03-30,17.5,17.5,17.5,17.5,10.788,0.0
2018-04-02,17.5,17.5,17.5,17.5,10.788,0.0
2018-04-03,17.5,17.5,17.5,17.5,10.788,0.0
2018-04-04,17.5,17.5,17.5,17.5,10.788,0.0
2018-04-05,17.5,17.5,17.5,17.5,10.788,0.0
2018-04-06,17.5,17.5,17.5,17.5,10.788,0.0
2018-04-09,17.5,17.5,17.5,17.5,10.788,0.0
2018-04-10,17.5,17.5,17.5,17.5,10.788,0.0
2018-04-11,17.5,17.5,17.5,17.5,10.788,0.0
2018-04-12,17.5,17.5,17.5,17.5,10.788,0.0
2018-04-13,17.0,17.0,17.0,17.0,10.48,1600.0
2018-04-16,17.0,17.0,17.0,17.0,10.48,0.0
2018-04-17,17.0,17.0,17.0,17.0,10.48,0.0
2018-04-18,17.0,17.0,17.0,17.0,10.48,0.0
2018-04-19,17.0,17.0,17.0,17.0,10.48,1000.0
2018-04-20,17.0,17.0,17.0,17.0,10.48,0.0
2018-04-23,17.0,17.0,17.0,17.0,10.48,0.0
2018-04-24,17.0,17.0,17.0,17.0,10.48,0.0
2018-04-26,17.0,17.0,17.0,17.0,10.48,0.0
2018-04-27,16.1,16.1,16.1,16.1,9.925,1000.0
2018-05-02,16.1,16.1,16.1,16.1,9.925,0.0
2018-05-03,16.1,16.1,16.1,16.1,9.925,1000.0
2018-05-04,16.1,16.1,16.1,16.1,9.925,0.0
2018-05-07,16.1,16.1,16.1,16.1,9.925,0.0
2018-05-08,16.1,16.1,16.1,16.1,9.925,1000.0
2018-05-09,16.1,16.1,16.1,16.1,9.925,0.0
2018-05-10,18.5,18.5,18.5,18.5,11.404,3400.0
2018-05-11,18.5,18.5,18.5,18.5,11.404,0.0
2018-05-14,18.5,18.5,18.5,18.5,11.404,0.0
2018-05-15,18.5,18.5,18.5,18.5,11.404,0.0
2018-05-16,21.2,16.1,16.1,21.2,13.069,1200.0
2018-05-17,16.8,16.8,16.8,16.8,10.356,1000.0
2018-05-18,16.8,16.8,16.8,16.8,10.356,0.0
2018-05-21,16.8,16.8,16.8,16.8,10.356,0.0
2018-05-22,16.8,16.8,16.8,16.8,10.356,0.0
2018-05-23,19.0,19.0,19.0,19.0,11.713,11100.0
2018-05-24,20.0,16.2,16.2,20.0,12.329,210.0
2018-05-25,18.1,18.1,18.1,18.1,11.158,0.0
2018-05-28,18.1,18.1,18.1,18.1,11.158,0.0
2018-05-29,18.1,18.1,18.1,18.1,11.158,0.0
2018-05-30,18.5,18.5,18.5,18.5,11.404,900.0
2018-05-31,18.5,18.5,18.5,18.5,11.404,0.0
2018-06-01,18.5,18.5,18.5,18.5,11.404,0.0
2018-06-04,18.5,18.5,18.5,18.5,11.404,14600.0
2018-06-05,18.5,18.5,18.5,18.5,11.404,0.0
2018-06-06,17.5,17.5,17.5,17.5,10.788,900.0
2018-06-07,17.5,17.5,17.5,17.5,10.788,0.0
2018-06-08,17.5,17.5,17.5,17.5,10.788,0.0
2018-06-11,16.0,15.0,16.0,15.0,9.247,1278900.0
2018-06-12,17.2,17.2,17.2,17.2,10.603,400.0
2018-06-13,17.2,17.2,17.2,17.2,10.603,0.0
2018-06-14,17.2,17.2,17.2,17.2,10.603,0.0
2018-06-15,17.2,17.2,17.2,17.2,10.603,0.0
2018-06-18,17.2,17.2,17.2,17.2,10.603,0.0
2018-06-19,17.2,17.2,17.2,17.2,10.603,0.0
2018-06-20,19.5,19.5,19.5,19.5,12.021,100.0
2018-06-21,19.5,19.5,19.5,19.5,12.021,0.0
2018-06-22,22.4,21.9,22.4,21.9,13.5,1100.0
2018-06-25,25.0,25.0,25.0,25.0,15.411,1100.0
2018-06-26,25.9,25.9,25.9,25.9,15.966,1200.0
2018-06-27,25.9,25.9,25.9,25.9,15.966,0.0
2018-06-28,25.9,25.9,25.9,25.9,15.966,0.0
2018-06-29,25.9,25.9,25.9,25.9,15.966,0.0
2018-07-02,25.9,25.9,25.9,25.9,15.966,0.0
2018-07-03,25.9,25.9,25.9,25.9,15.966,0.0
2018-07-04,25.9,25.9,25.9,25.9,15.966,0.0
2018-07-05,25.9,25.9,25.9,25.9,15.966,0.0
2018-07-06,25.9,25.9,25.9,25.9,15.966,0.0
2018-07-09,25.9,25.9,25.9,25.9,15.966,0.0
2018-07-10,25.9,25.9,25.9,25.9,15.966,0.0
2018-07-11,25.9,25.9,25.9,25.9,15.966,0.0
2018-07-12,25.9,25.9,25.9,25.9,15.966,0.0
2018-07-13,25.9,25.9,25.9,25.9,15.966,0.0
2018-07-16,25.9,25.9,25.9,25.9,15.966,0.0
2018-07-17,25.9,25.9,25.9,25.9,15.966,0.0
2018-07-18,25.9,25.9,25.9,25.9,15.966,0.0
2018-07-19,25.9,25.9,25.9,25.9,15.966,0.0
2018-07-20,25.9,25.9,25.9,25.9,15.966,0.0
2018-07-23,25.9,25.9,25.9,25.9,15.966,0.0
2018-07-24,25.9,25.9,25.9,25.9,15.966,0.0
2018-07-25,25.9,25.9,25.9,25.9,15.966,0.0
2018-07-26,22.1,22.1,22.1,22.1,13.624,200.0
2018-07-27,18.8,18.8,18.8,18.8,11.589,300.0
2018-07-30,16.5,16.1,16.5,16.1,9.925,3000.0
2018-07-31,16.1,16.1,16.1,16.1,9.925,0.0
2018-08-01,16.1,16.1,16.1,16.1,9.925,0.0
2018-08-02,16.1,16.1,16.1,16.1,9.925,0.0
2018-08-03,16.1,16.1,16.1,16.1,9.925,0.0
2018-08-06,16.1,16.1,16.1,16.1,9.925,0.0
2018-08-07,16.1,16.1,16.1,16.1,9.925,0.0
2018-08-08,16.1,16.1,16.1,16.1,9.925,0.0
2018-08-09,16.1,16.1,16.1,16.1,9.925,0.0
2018-08-10,16.1,16.1,16.1,16.1,9.925,0.0
2018-08-13,16.1,16.1,16.1,16.1,9.925,0.0
2018-08-14,16.1,16.1,16.1,16.1,9.925,0.0
2018-08-15,16.1,16.1,16.1,16.1,9.925,0.0
2018-08-16,16.1,16.1,16.1,16.1,9.925,0.0
2018-08-17,16.1,16.1,16.1,16.1,9.925,0.0
2018-08-20,16.1,16.1,16.1,16.1,9.925,0.0
2018-08-21,16.1,16.1,16.1,16.1,9.925,0.0
2018-08-22,16.1,16.1,16.1,16.1,9.925,0.0
2018-08-23,16.1,16.1,16.1,16.1,9.925,0.0
2018-08-24,16.1,16.1,16.1,16.1,9.925,0.0
2018-08-27,15.3,15.3,15.3,15.3,9.432,760000.0
2018-08-28,15.3,15.3,15.3,15.3,9.432,0.0
2018-08-29,15.1,15.1,15.1,15.1,9.309,830000.0
2018-08-30,15.1,15.1,15.1,15.1,9.309,0.0
2018-08-31,15.1,15.1,15.1,15.1,9.309,0.0
2018-09-04,15.1,15.1,15.1,15.1,9.309,0.0
2018-09-05,15.1,15.1,15.1,15.1,9.309,0.0
2018-09-06,15.1,15.1,15.1,15.1,9.309,0.0
2018-09-07,17.3,17.3,17.3,17.3,10.665,100.0
2018-09-10,17.3,17.3,17.3,17.3,10.665,0.0
2018-09-11,19.8,19.8,19.8,19.8,12.206,100.0
2018-09-12,19.8,19.8,19.8,19.8,12.206,0.0
2018-09-13,22.7,22.7,22.7,22.7,13.994,100.0
2018-09-14,26.1,25.0,25.0,26.1,16.09,500.0
2018-09-17,25.9,25.9,25.9,25.9,15.966,0.0
2018-09-18,25.9,25.9,25.9,25.9,15.966,0.0
2018-09-19,25.9,25.9,25.9,25.9,15.966,0.0
2018-09-20,25.9,25.9,25.9,25.9,15.966,0.0
2018-09-21,25.9,25.9,25.9,25.9,15.966,0.0
2018-09-24,25.9,25.9,25.9,25.9,15.966,0.0
2018-09-25,25.9,25.9,25.9,25.9,15.966,0.0
2018-09-26,25.9,25.9,25.9,25.9,15.966,0.0
2018-09-27,25.9,25.9,25.9,25.9,15.966,0.0
2018-09-28,25.9,25.9,25.9,25.9,15.966,0.0
2018-10-01,25.9,25.9,25.9,25.9,15.966,0.0
2018-10-02,25.9,25.9,25.9,25.9,15.966,0.0
2018-10-03,25.9,25.9,25.9,25.9,15.966,0.0
2018-10-04,25.9,25.9,25.9,25.9,15.966,0.0
2018-10-05,25.9,25.9,25.9,25.9,15.966,0.0
2018-10-08,25.9,25.9,25.9,25.9,15.966,0.0
2018-10-09,25.9,25.9,25.9,25.9,15.966,0.0
2018-10-10,25.9,25.9,25.9,25.9,15.966,0.0
2018-10-11,25.9,25.9,25.9,25.9,15.966,0.0
2018-10-12,25.9,25.9,25.9,25.9,15.966,0.0
2018-10-15,25.9,25.9,25.9,25.9,15.966,0.0
2018-10-16,25.9,25.9,25.9,25.9,15.966,0.0
2018-10-17,25.9,25.9,25.9,25.9,15.966,0.0
2018-10-18,25.9,25.9,25.9,25.9,15.966,0.0
2018-10-19,25.9,25.9,25.9,25.9,15.966,0.0
2018-10-22,25.9,25.9,25.9,25.9,15.966,0.0
2018-10-23,25.9,25.9,25.9,25.9,15.966,0.0
2018-10-24,25.9,25.9,25.9,25.9,15.966,0.0
2018-10-25,25.9,25.9,25.9,25.9,15.966,0.0
2018-10-26,25.9,25.9,25.9,25.9,15.966,0.0
2018-10-29,25.9,25.9,25.9,25.9,15.966,0.0
2018-10-30,25.9,25.9,25.9,25.9,15.966,0.0
2018-10-31,25.9,25.9,25.9,25.9,15.966,0.0
2018-11-01,25.9,25.9,25.9,25.9,15.966,0.0
2018-11-02,25.9,25.9,25.9,25.9,15.966,0.0
2018-11-05,25.9,25.9,25.9,25.9,15.966,0.0
2018-11-06,25.9,25.9,25.9,25.9,15.966,0.0
2018-11-07,25.9,25.9,25.9,25.9,15.966,0.0
2018-11-08,25.9,25.9,25.9,25.9,15.966,0.0
2018-11-09,25.9,25.9,25.9,25.9,15.966,0.0
2018-11-12,25.9,25.9,25.9,25.9,15.966,0.0
2018-11-13,25.9,25.9,25.9,25.9,15.966,0.0
2018-11-14,25.9,25.9,25.9,25.9,15.966,0.0
2018-11-15,25.9,25.9,25.9,25.9,15.966,0.0
2018-11-16,25.9,25.9,25.9,25.9,15.966,0.0
2018-11-19,20.1,20.1,20.1,20.1,12.391,500.0
2018-11-20,23.1,23.1,23.1,23.1,14.24,1300.0
2018-11-21,26.0,26.0,26.0,26.0,16.028,100.0
2018-11-22,24.0,24.0,24.0,24.0,16.028,10.0
2018-11-23,24.0,24.0,24.0,24.0,16.028,0.0
2018-11-26,20.6,20.4,20.6,20.4,13.623,400.0
2018-11-27,20.5,20.5,20.5,20.5,13.69,0.0
2018-11-28,20.5,20.5,20.5,20.5,13.69,0.0
2018-11-29,20.5,20.5,20.5,20.5,13.69,0.0
2018-11-30,23.5,23.5,23.5,23.5,15.694,100.0
2018-12-03,23.5,23.5,23.5,23.5,15.694,0.0
2018-12-04,23.5,23.5,23.5,23.5,15.694,0.0
2018-12-05,23.5,23.5,23.5,23.5,15.694,0.0
2018-12-06,23.5,23.5,23.5,23.5,15.694,0.0
2018-12-07,20.0,20.0,20.0,20.0,13.356,100.0
2018-12-10,20.0,20.0,20.0,20.0,13.356,0.0
2018-12-11,23.0,23.0,23.0,23.0,15.36,100.0
2018-12-12,23.0,23.0,23.0,23.0,15.36,0.0
2018-12-13,23.0,23.0,23.0,23.0,15.36,0.0
2018-12-14,25.0,23.0,23.0,25.0,16.695,2800.0
2018-12-17,23.1,23.1,23.1,23.1,15.426,5000.0
2018-12-18,20.0,20.0,20.0,20.0,13.356,500.0
2018-12-19,23.0,23.0,23.0,23.0,15.36,21000.0
2018-12-20,23.0,23.0,23.0,23.0,15.36,0.0
2018-12-21,23.0,23.0,23.0,23.0,15.36,10.0
2018-12-24,23.0,23.0,23.0,23.0,15.36,0.0
2018-12-25,26.4,24.5,24.5,26.4,17.63,10000.0
2018-12-26,29.6,22.0,28.2,29.6,19.767,1599600.0
2018-12-27,29.6,29.6,29.6,29.6,19.767,0.0
2018-12-28,29.6,29.6,29.6,29.6,19.767,0.0
2019-01-02,29.6,29.6,29.6,29.6,19.767,0.0
2019-01-03,30.0,25.2,25.2,30.0,20.034,1279800.0
2019-01-04,34.0,34.0,34.0,34.0,22.706,100.0
