Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,2.5,2.4,2.4,2.5,2.5,844970.0
2018-01-03,2.7,2.4,2.7,2.5,2.5,1344860.0
2018-01-04,2.5,2.3,2.4,2.4,2.4,1076489.0
2018-01-05,2.5,2.3,2.3,2.3,2.3,934860.0
2018-01-08,2.6,2.3,2.3,2.6,2.6,1953070.0
2018-01-09,2.9,2.7,2.9,2.9,2.9,3392536.0
2018-01-10,3.1,2.9,2.9,3.0,3.0,2053710.0
2018-01-11,3.0,2.8,3.0,3.0,3.0,1237960.0
2018-01-12,3.0,2.7,2.9,2.8,2.8,1697358.0
2018-01-15,3.2,2.7,2.9,3.2,3.2,2332450.0
2018-01-16,3.4,3.2,3.2,3.4,3.4,2972100.0
2018-01-17,3.9,3.5,3.5,3.8,3.8,5665860.0
2018-01-18,3.7,3.3,3.7,3.6,3.6,1863360.0
2018-01-19,4.0,3.5,3.6,3.9,3.9,2170119.0
2018-01-22,3.9,3.3,3.9,3.6,3.6,2689270.0
2018-01-23,3.9,3.5,3.5,3.8,3.8,1806310.0
2018-01-24,3.9,3.6,3.8,3.7,3.7,584530.0
2018-01-25,3.7,3.4,3.7,3.4,3.4,1540918.0
2018-01-26,3.5,3.2,3.4,3.4,3.4,1375920.0
2018-01-29,3.7,3.3,3.3,3.6,3.6,1276755.0
2018-01-30,3.6,3.4,3.6,3.5,3.5,2152500.0
2018-01-31,3.5,3.3,3.4,3.4,3.4,1077604.0
2018-02-01,3.4,3.1,3.4,3.1,3.1,949000.0
2018-02-02,3.3,3.0,3.1,3.2,3.2,880560.0
2018-02-05,3.1,2.7,3.1,2.9,2.9,1426880.0
2018-02-06,2.8,2.5,2.8,2.6,2.6,2332270.0
2018-02-07,2.8,2.6,2.7,2.8,2.8,534510.0
2018-02-08,3.1,2.9,3.1,3.0,3.0,1470900.0
2018-02-09,3.0,2.6,2.9,2.9,2.9,737327.0
2018-02-12,3.0,2.7,2.9,2.9,2.9,749930.0
2018-02-13,3.0,2.7,3.0,3.0,3.0,827920.0
2018-02-21,3.1,2.9,3.0,3.0,3.0,365790.0
2018-02-22,3.1,2.9,3.0,3.0,3.0,1249710.0
2018-02-23,3.1,2.9,3.0,3.0,3.0,424110.0
2018-02-26,3.1,2.9,3.0,3.0,3.0,777574.0
2018-02-27,3.0,2.8,2.9,2.9,2.9,514410.0
2018-02-28,3.0,2.8,2.9,2.9,2.9,1083525.0
2018-03-01,2.9,2.8,2.8,2.9,2.9,384200.0
2018-03-02,2.9,2.8,2.9,2.9,2.9,871716.0
2018-03-05,2.9,2.7,2.8,2.7,2.7,484700.0
2018-03-06,2.8,2.7,2.8,2.7,2.7,338020.0
2018-03-07,2.8,2.7,2.7,2.7,2.7,663640.0
2018-03-08,2.8,2.7,2.7,2.7,2.7,232530.0
2018-03-09,2.8,2.7,2.7,2.7,2.7,348630.0
2018-03-12,2.8,2.6,2.7,2.7,2.7,236440.0
2018-03-13,2.7,2.6,2.7,2.6,2.6,348810.0
2018-03-14,2.9,2.7,2.7,2.9,2.9,550040.0
2018-03-15,2.9,2.7,2.8,2.8,2.8,326100.0
2018-03-16,2.9,2.7,2.8,2.8,2.8,399417.0
2018-03-19,2.8,2.7,2.8,2.7,2.7,304920.0
2018-03-20,2.8,2.7,2.7,2.8,2.8,486933.0
2018-03-21,2.8,2.7,2.8,2.7,2.7,359700.0
2018-03-22,2.7,2.6,2.7,2.6,2.6,148620.0
2018-03-23,2.7,2.5,2.7,2.7,2.7,444900.0
2018-03-26,2.7,2.5,2.6,2.6,2.6,535100.0
2018-03-27,2.7,2.5,2.7,2.5,2.5,557100.0
2018-03-28,2.7,2.5,2.5,2.6,2.6,177220.0
2018-03-29,2.6,2.5,2.6,2.6,2.6,138650.0
2018-03-30,2.6,2.5,2.5,2.6,2.6,152340.0
2018-04-02,2.6,2.5,2.6,2.5,2.5,340720.0
2018-04-03,2.8,2.5,2.6,2.8,2.8,1077800.0
2018-04-04,3.1,2.8,2.9,2.8,2.8,881120.0
2018-04-05,2.9,2.7,2.9,2.8,2.8,283000.0
2018-04-06,2.8,2.6,2.7,2.8,2.8,310830.0
2018-04-09,2.8,2.6,2.8,2.7,2.7,449800.0
2018-04-10,2.7,2.6,2.7,2.7,2.7,373200.0
2018-04-11,2.6,2.5,2.6,2.6,2.6,554819.0
2018-04-12,2.6,2.5,2.6,2.6,2.6,230900.0
2018-04-13,2.7,2.6,2.6,2.6,2.6,177330.0
2018-04-16,2.6,2.5,2.6,2.6,2.6,117700.0
2018-04-17,2.7,2.6,2.6,2.6,2.6,180110.0
2018-04-18,2.7,2.5,2.7,2.6,2.6,206910.0
2018-04-19,2.6,2.5,2.6,2.6,2.6,207500.0
2018-04-20,2.7,2.5,2.6,2.6,2.6,138620.0
2018-04-23,2.7,2.4,2.7,2.5,2.5,536227.0
2018-04-24,2.5,2.3,2.4,2.4,2.4,304710.0
2018-04-26,2.4,2.2,2.4,2.3,2.3,129110.0
2018-04-27,2.3,2.0,2.2,2.3,2.3,609510.0
2018-05-02,2.3,2.1,2.2,2.2,2.2,174000.0
2018-05-03,2.3,2.1,2.2,2.2,2.2,476917.0
2018-05-04,2.3,2.1,2.2,2.2,2.2,209710.0
2018-05-07,2.3,2.1,2.2,2.3,2.3,130000.0
2018-05-08,2.3,2.2,2.3,2.3,2.3,248837.0
2018-05-09,2.4,2.2,2.3,2.3,2.3,269606.0
2018-05-10,2.3,2.1,2.3,2.2,2.2,203400.0
2018-05-11,2.2,2.1,2.2,2.1,2.1,417100.0
2018-05-14,2.2,2.0,2.2,2.1,2.1,276000.0
2018-05-15,2.2,2.0,2.1,2.2,2.2,158410.0
2018-05-16,2.2,2.0,2.2,2.1,2.1,155010.0
2018-05-17,2.1,2.0,2.1,2.1,2.1,203500.0
2018-05-18,2.1,1.9,2.1,2.1,2.1,429900.0
2018-05-21,2.1,1.9,2.0,2.1,2.1,143400.0
2018-05-22,2.1,1.8,2.1,1.9,1.9,332500.0
2018-05-23,2.0,1.8,1.9,1.9,1.9,249300.0
2018-05-24,2.0,1.8,1.9,1.8,1.8,39100.0
2018-05-25,2.0,1.7,1.9,1.9,1.9,363700.0
2018-05-28,1.9,1.6,1.8,1.6,1.6,747000.0
2018-05-29,1.8,1.6,1.6,1.8,1.8,268600.0
2018-05-30,2.0,1.7,1.8,1.9,1.9,330800.0
2018-05-31,2.0,1.8,1.9,1.8,1.8,152020.0
2018-06-01,2.0,1.8,1.9,1.9,1.9,163080.0
2018-06-04,2.1,1.9,1.9,2.1,2.1,265600.0
2018-06-05,2.1,2.0,2.0,2.0,2.0,205600.0
2018-06-06,2.1,1.9,2.0,2.0,2.0,109920.0
2018-06-07,2.1,1.9,2.0,2.1,2.1,168070.0
2018-06-08,2.2,2.0,2.0,2.1,2.1,178200.0
2018-06-11,2.1,2.0,2.0,2.1,2.1,229400.0
2018-06-12,2.1,1.9,2.1,2.0,2.0,124560.0
2018-06-13,2.0,1.9,2.0,2.0,2.0,35600.0
2018-06-14,2.0,1.9,1.9,2.0,2.0,46820.0
2018-06-15,2.0,1.9,1.9,2.0,2.0,135301.0
2018-06-18,2.0,1.8,2.0,1.8,1.8,159000.0
2018-06-19,1.8,1.7,1.8,1.8,1.8,116100.0
2018-06-20,1.9,1.7,1.9,1.8,1.8,80900.0
2018-06-21,1.8,1.8,1.8,1.8,1.8,155600.0
2018-06-22,1.9,1.7,1.9,1.9,1.9,85060.0
2018-06-25,2.0,1.8,1.8,1.9,1.9,228710.0
2018-06-26,1.9,1.9,1.9,1.9,1.9,71300.0
2018-06-27,2.0,1.9,1.9,1.9,1.9,43410.0
2018-06-28,1.9,1.8,1.8,1.9,1.9,4216.0
2018-06-29,1.9,1.8,1.8,1.9,1.9,116513.0
2018-07-02,1.9,1.7,1.9,1.8,1.8,79800.0
2018-07-03,1.8,1.6,1.8,1.8,1.8,485600.0
