Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,9.35,9.19,9.21,9.28,7.153,1816960.0
2018-01-03,9.45,9.28,9.28,9.29,7.162,1809520.0
2018-01-04,9.68,9.3,9.39,9.55,7.362,6558520.0
2018-01-05,9.7,9.48,9.6,9.48,7.308,2435470.0
2018-01-08,9.59,9.48,9.48,9.5,7.324,1987460.0
2018-01-09,10.15,9.6,9.65,10.15,7.824,8246320.0
2018-01-10,10.85,10.3,10.5,10.85,8.365,13315880.0
2018-01-11,11.4,10.9,11.05,11.1,8.557,8572970.0
2018-01-12,11.15,10.7,10.9,10.7,8.249,8172610.0
2018-01-15,11.4,10.6,10.6,11.35,8.751,9505530.0
2018-01-16,11.8,11.2,11.3,11.5,8.866,7310740.0
2018-01-17,11.55,10.9,11.25,11.0,8.48,4471750.0
2018-01-18,11.2,10.7,10.85,11.2,8.634,5849860.0
2018-01-19,11.4,11.0,11.35,11.05,8.518,5690300.0
2018-01-22,11.25,10.85,11.1,10.95,8.441,2738610.0
2018-01-25,11.45,10.8,11.0,11.2,8.634,9767460.0
2018-01-26,11.75,11.1,11.1,11.65,8.981,14310790.0
2018-01-29,12.2,11.55,11.55,11.95,9.213,8924030.0
2018-01-30,12.75,11.6,11.9,12.75,9.829,14171870.0
2018-01-31,13.35,12.2,13.0,12.2,9.404,12359230.0
2018-02-01,12.55,11.8,12.4,11.9,9.174,8333920.0
2018-02-02,12.15,11.75,11.9,12.1,9.329,6678240.0
2018-02-05,12.25,11.5,11.85,11.7,9.019,9366420.0
2018-02-06,11.7,10.9,10.95,11.2,8.634,10733800.0
2018-02-07,11.8,11.4,11.6,11.4,8.789,6964130.0
2018-02-08,11.55,11.0,11.3,11.0,8.48,4505670.0
2018-02-09,11.0,10.3,10.4,11.0,8.48,2353440.0
2018-02-12,11.4,11.05,11.2,11.4,8.789,1679640.0
2018-02-13,11.65,11.3,11.5,11.5,8.866,3724700.0
2018-02-21,11.95,11.55,11.7,11.85,9.135,5596740.0
2018-02-22,12.1,11.55,11.7,11.75,9.059,5396150.0
2018-02-23,12.3,11.75,11.85,12.15,9.366,7463520.0
2018-02-26,12.45,11.8,12.4,11.85,9.135,4790880.0
2018-02-27,12.0,11.65,11.85,11.8,9.097,4611500.0
2018-02-28,12.0,11.55,11.6,11.8,9.097,6733220.0
2018-03-01,12.1,11.7,11.75,12.0,9.251,6386950.0
2018-03-02,12.6,11.8,11.85,12.6,9.713,11529380.0
2018-03-05,13.15,12.1,13.0,12.1,9.329,12400570.0
