Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,26.0,26.0,26.0,26.0,13.552,160.0
2018-01-03,27.0,25.05,25.05,27.0,14.073,1010.0
2018-01-04,27.0,27.0,27.0,27.0,14.073,0.0
2018-01-05,27.0,27.0,27.0,27.0,14.073,0.0
2018-01-08,27.0,27.0,27.0,27.0,14.073,0.0
2018-01-09,25.5,25.5,25.5,25.5,13.291,60.0
2018-01-10,25.5,25.5,25.5,25.5,13.291,10.0
2018-01-11,25.5,25.5,25.5,25.5,13.291,0.0
2018-01-12,26.95,25.65,26.95,25.65,13.369,1330.0
2018-01-15,26.95,25.85,25.85,26.95,14.047,50.0
2018-01-16,27.95,27.2,27.2,27.95,14.568,920.0
2018-01-17,28.05,27.95,27.95,27.95,14.568,400.0
2018-01-18,28.6,27.25,28.6,27.25,14.203,30.0
2018-01-19,28.25,26.1,26.1,28.25,14.724,40.0
2018-01-22,28.0,27.6,28.0,27.6,14.386,380.0
2018-01-25,27.6,25.9,27.6,27.5,14.333,8370.0
2018-01-26,25.7,25.7,25.7,25.7,14.334,10.0
2018-01-29,25.7,25.6,25.6,25.6,14.278,130.0
2018-01-30,25.65,25.05,25.65,25.05,13.972,60.0
2018-01-31,25.0,24.9,25.0,24.9,13.888,100.0
2018-02-01,24.9,24.9,24.9,24.9,13.888,0.0
2018-02-02,24.9,24.9,24.9,24.9,13.888,0.0
2018-02-05,24.5,24.5,24.5,24.5,13.665,140.0
2018-02-06,24.5,23.0,23.05,24.5,13.665,1100.0
2018-02-07,26.2,26.0,26.0,26.2,14.613,150.0
2018-02-08,25.5,24.4,25.5,24.4,13.609,150.0
2018-02-09,25.15,25.15,25.15,25.15,14.027,30.0
2018-02-12,25.15,25.15,25.15,25.15,14.027,40.0
2018-02-13,25.15,25.15,25.15,25.15,14.027,0.0
2018-02-21,25.2,25.2,25.2,25.2,14.055,10.0
2018-02-22,25.2,24.05,25.2,24.05,13.414,20.0
2018-02-23,25.5,25.5,25.5,25.5,14.223,10.0
2018-02-26,25.5,25.5,25.5,25.5,14.223,0.0
2018-02-27,25.0,25.0,25.0,25.0,13.944,700.0
2018-02-28,24.05,24.0,24.05,24.0,13.386,440.0
2018-03-01,24.95,24.9,24.9,24.95,13.916,40.0
2018-03-02,25.95,25.95,25.95,25.95,14.474,20.0
2018-03-05,25.95,25.95,25.95,25.95,14.474,0.0
2018-03-06,24.15,24.15,24.15,24.15,13.47,10.0
2018-03-07,25.0,25.0,25.0,25.0,13.944,60.0
2018-03-08,25.0,25.0,25.0,25.0,13.944,0.0
2018-03-09,24.5,24.5,24.5,24.5,13.665,50.0
2018-03-12,24.5,24.5,24.5,24.5,13.665,0.0
2018-03-13,24.5,24.5,24.5,24.5,13.665,0.0
2018-03-14,24.0,23.1,23.1,24.0,13.386,400.0
2018-03-15,24.0,24.0,24.0,24.0,13.386,0.0
2018-03-16,24.0,23.9,24.0,23.9,13.33,40.0
