Date,High,Low,Open,Close,Adj Close,Volume
2020-10-15,25.0,15.5,15.5,15.5,14.088,659800.0
2020-10-16,15.5,15.0,15.5,15.3,13.906,224174.0
2020-10-19,15.3,14.8,15.3,14.8,13.452,142922.0
2020-10-20,14.8,13.0,14.4,13.3,12.088,198864.0
2020-10-21,13.3,12.3,13.3,12.8,11.634,169862.0
2020-10-22,14.6,12.4,12.6,14.2,12.906,181477.0
2020-10-23,14.9,11.7,11.7,14.2,12.906,90576.0
2020-10-26,14.0,13.1,14.0,13.1,11.907,125440.0
2020-10-27,13.4,12.9,13.0,12.9,11.725,56003.0
2020-10-28,13.4,12.9,13.0,13.1,11.907,100885.0
2020-10-29,13.2,12.9,13.0,13.0,11.816,47464.0
2020-10-30,13.1,12.8,13.1,13.0,11.816,121971.0
2020-11-02,13.2,13.0,13.0,13.0,11.816,43702.0
2020-11-03,13.2,13.0,13.0,13.0,11.816,50510.0
2020-11-04,13.2,13.0,13.0,13.1,11.907,61270.0
2020-11-05,13.1,13.0,13.1,13.0,11.816,44339.0
2020-11-06,13.1,13.0,13.1,13.0,11.816,25840.0
2020-11-09,13.3,13.0,13.0,13.0,11.816,58689.0
2020-11-10,13.1,13.0,13.1,13.0,11.816,58513.0
2020-11-11,13.1,12.9,13.0,13.0,11.816,39807.0
2020-11-12,13.0,12.8,13.0,12.9,11.725,65951.0
2020-11-13,12.9,12.8,12.9,12.9,11.725,43220.0
2020-11-16,13.0,12.9,13.0,12.9,11.725,55503.0
2020-11-17,13.0,12.9,13.0,12.9,11.725,92164.0
2020-11-18,13.0,12.8,12.9,12.9,11.725,61032.0
2020-11-19,12.9,12.9,12.9,12.9,11.725,36494.0
2020-11-20,13.0,12.8,12.9,12.9,11.725,35930.0
2020-11-23,12.9,12.8,12.9,12.8,11.634,40807.0
2020-11-24,13.0,12.8,12.9,12.9,11.725,26903.0
2020-11-25,12.9,12.8,12.9,12.9,11.725,78510.0
2020-11-26,12.9,12.8,12.9,12.9,11.725,17298.0
2020-11-27,12.9,12.8,12.8,12.9,11.725,11966.0
2020-11-30,12.9,12.8,12.9,12.9,11.725,22843.0
2020-12-01,12.9,12.6,12.9,12.9,11.725,72802.0
2020-12-02,13.0,12.8,12.9,12.8,11.634,54273.0
2020-12-03,13.0,12.9,12.9,13.0,11.816,95705.0
2020-12-04,13.2,12.9,12.9,13.0,11.816,71607.0
2020-12-07,13.0,12.9,13.0,13.0,11.816,12210.0
2020-12-08,13.0,13.0,13.0,13.0,11.816,49010.0
2020-12-09,13.1,12.9,13.0,13.1,11.907,47184.0
2020-12-10,13.0,13.0,13.0,13.0,11.816,27267.0
2020-12-11,13.0,12.9,13.0,12.9,11.725,91410.0
2020-12-14,12.9,12.8,12.8,12.9,11.725,31720.0
2020-12-15,12.9,12.8,12.9,12.8,11.634,16830.0
2020-12-16,13.0,12.9,12.9,13.0,11.816,23651.0
2020-12-17,13.0,12.8,13.0,12.9,11.725,42830.0
2020-12-18,13.0,12.8,12.9,13.0,11.816,21970.0
2020-12-21,13.1,12.8,13.0,13.0,11.816,48368.0
2020-12-22,14.9,12.9,13.1,14.8,13.452,188974.0
2020-12-23,15.4,14.1,14.3,14.1,12.815,102594.0
2020-12-24,14.6,13.7,14.5,14.6,13.27,34209.0
2020-12-25,14.5,13.9,13.9,13.9,12.634,73474.0
2020-12-28,14.2,13.6,14.2,13.8,12.543,47739.0
2020-12-29,13.9,13.7,13.9,13.7,12.452,32420.0
2020-12-30,13.8,13.5,13.8,13.5,12.27,40050.0
2020-12-31,13.8,13.4,13.5,13.7,12.452,45220.0
2021-01-04,13.9,13.7,13.7,13.9,12.634,37760.0
2021-01-05,13.9,13.6,13.9,13.8,12.543,113501.0
2021-01-06,14.0,13.7,13.8,13.8,12.543,132254.0
2021-01-07,15.2,13.8,13.8,14.9,13.543,395502.0
2021-01-08,15.1,14.7,15.0,14.7,13.361,103598.0
2021-01-11,15.3,14.6,14.8,15.1,13.724,268844.0
2021-01-12,15.4,14.7,15.1,14.9,13.543,155009.0
2021-01-13,14.9,14.4,14.9,14.7,13.361,189313.0
2021-01-14,14.7,14.2,14.7,14.5,13.179,74405.0
2021-01-15,14.9,14.5,14.5,14.7,13.361,204565.0
2021-01-18,14.9,14.5,14.7,14.7,13.361,145969.0
2021-01-19,14.9,13.7,14.7,13.7,12.452,204078.0
2021-01-20,13.8,13.0,13.7,13.7,12.452,97700.0
2021-01-21,14.0,13.5,13.5,14.0,12.725,112705.0
2021-01-22,13.8,13.3,13.8,13.4,12.179,152016.0
2021-01-25,13.5,13.0,13.5,13.2,11.997,78000.0
2021-01-26,13.2,12.8,13.2,12.9,11.725,133749.0
2021-01-27,12.9,12.5,12.8,12.6,11.452,115004.0
2021-01-28,12.5,10.8,12.5,10.9,9.907,76070.0
2021-01-29,12.0,11.3,11.3,11.6,10.543,63042.0
2021-02-01,12.0,11.5,12.0,11.5,10.452,47700.0
2021-02-02,12.0,11.3,12.0,11.9,10.816,42501.0
2021-02-03,12.7,11.6,11.9,12.1,10.998,69005.0
2021-02-04,12.9,12.2,12.9,12.6,11.452,15250.0
2021-02-05,12.7,12.3,12.4,12.5,11.361,24163.0
2021-02-08,12.4,11.5,12.4,12.0,10.907,39500.0
2021-02-09,12.6,12.1,12.1,12.6,11.452,15950.0
2021-02-17,12.9,12.0,12.4,12.6,11.452,39110.0
2021-02-18,12.7,11.8,12.5,12.3,11.179,331577.0
2021-02-19,12.7,12.3,12.3,12.6,11.452,34931.0
2021-02-22,12.8,12.6,12.7,12.7,11.543,22045.0
2021-02-23,12.7,12.4,12.7,12.6,11.452,37600.0
2021-02-24,12.6,12.3,12.6,12.4,11.27,29000.0
2021-02-25,12.4,12.2,12.3,12.3,11.179,41500.0
2021-02-26,12.4,12.0,12.0,12.3,11.179,60841.0
2021-03-01,12.5,12.0,12.5,12.2,11.089,65100.0
2021-03-02,12.3,12.1,12.2,12.3,11.179,36570.0
