Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,8.2,8.0,8.0,8.14,4.485,229620.0
2018-01-03,8.14,8.0,8.1,8.0,4.409,115420.0
2018-01-04,7.9,7.7,7.9,7.8,4.297,104300.0
2018-01-05,7.79,7.68,7.75,7.78,4.287,88540.0
2018-01-08,7.78,7.7,7.78,7.74,4.265,111130.0
2018-01-09,7.74,7.55,7.74,7.6,4.188,91380.0
2018-01-10,7.65,7.52,7.6,7.58,4.178,81050.0
2018-01-11,7.95,7.58,7.58,7.93,4.369,104800.0
2018-01-12,7.9,7.61,7.8,7.8,4.297,94860.0
2018-01-15,7.88,7.7,7.8,7.8,4.297,109040.0
2018-01-16,7.83,7.8,7.8,7.8,4.297,101900.0
2018-01-17,7.84,7.78,7.78,7.8,4.297,117780.0
2018-01-18,7.8,7.6,7.8,7.7,4.243,81600.0
2018-01-19,7.8,7.6,7.7,7.7,4.243,106230.0
2018-01-22,7.79,7.65,7.65,7.7,4.243,93530.0
2018-01-25,7.72,7.5,7.7,7.68,4.232,119150.0
2018-01-26,7.68,7.6,7.68,7.6,4.188,84070.0
2018-01-29,7.8,7.63,7.7,7.65,4.215,150930.0
2018-01-30,7.65,7.56,7.56,7.65,4.215,118600.0
2018-01-31,7.65,7.62,7.65,7.65,4.215,80800.0
2018-02-01,7.65,7.65,7.65,7.65,4.215,76020.0
2018-02-02,7.65,7.55,7.65,7.55,4.16,93320.0
2018-02-05,7.55,7.05,7.55,7.5,4.132,119260.0
2018-02-06,7.5,7.15,7.5,7.45,4.106,53420.0
2018-02-07,7.75,7.45,7.45,7.5,4.132,174740.0
2018-02-08,7.65,7.5,7.5,7.5,4.132,97500.0
2018-02-09,7.5,7.4,7.5,7.5,4.132,69500.0
2018-02-12,7.5,7.2,7.5,7.5,4.132,105640.0
2018-02-13,7.5,7.3,7.48,7.5,4.132,97660.0
2018-02-21,7.55,7.3,7.5,7.45,4.106,64330.0
2018-02-22,7.45,7.35,7.45,7.38,4.066,88170.0
2018-02-23,7.4,7.1,7.38,7.38,4.066,72190.0
