Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,9.8,8.7,8.7,9.8,3.906,23823877.0
2018-01-03,10.1,9.7,9.9,9.8,3.906,15784574.0
2018-01-04,10.0,9.7,9.9,9.8,3.906,9071873.0
2018-01-05,9.9,9.5,9.9,9.6,3.826,17656627.0
2018-01-08,10.0,9.5,9.6,10.0,3.985,16587711.0
2018-01-09,10.6,10.0,10.0,10.5,4.185,24929095.0
2018-01-10,10.8,10.0,10.5,10.5,4.185,19848231.0
2018-01-11,10.7,9.9,10.0,10.7,4.569,27030657.0
2018-01-12,11.7,10.2,10.8,10.2,4.355,58717978.0
2018-01-15,10.8,10.1,10.2,10.8,4.612,24540678.0
2018-01-16,11.1,10.3,10.8,10.6,4.526,16085367.0
2018-01-17,11.0,10.5,10.6,10.6,4.526,24291826.0
2018-01-18,11.1,10.3,10.6,11.1,4.74,28726359.0
2018-01-19,11.5,11.1,11.1,11.3,4.825,20391118.0
2018-01-22,11.5,11.2,11.4,11.4,4.868,17784739.0
2018-01-23,12.0,11.4,11.5,11.8,5.039,23898768.0
2018-01-24,12.2,11.8,12.0,11.9,5.081,14055779.0
2018-01-25,12.5,11.8,12.2,12.2,5.209,24905363.0
2018-01-26,12.5,12.1,12.3,12.4,5.295,24535202.0
2018-01-29,13.6,12.4,12.4,13.3,5.679,30786018.0
2018-01-30,13.6,12.9,13.1,13.6,5.807,22272649.0
2018-01-31,13.8,13.0,13.6,13.0,5.551,23146958.0
2018-02-01,13.2,12.1,13.0,12.4,5.295,44337317.0
2018-02-02,12.8,12.3,12.4,12.6,5.38,16269627.0
2018-02-05,12.7,11.9,12.5,11.9,5.081,20463642.0
2018-02-06,12.1,10.8,11.8,11.6,4.953,46248632.0
2018-02-07,12.7,11.8,11.8,12.5,5.338,23681715.0
2018-02-08,12.7,12.0,12.5,12.0,5.124,11863341.0
2018-02-09,12.3,11.0,11.0,12.2,5.209,22679382.0
2018-02-12,13.2,12.3,12.4,13.2,5.636,17536912.0
2018-02-13,13.5,12.9,13.3,13.0,5.551,16183013.0
2018-02-21,13.4,13.0,13.1,13.1,5.594,22711827.0
2018-02-22,13.3,12.7,13.2,12.8,5.466,21706521.0
2018-02-23,13.2,12.7,12.8,13.2,5.636,17889627.0
2018-02-26,13.6,13.0,13.3,13.0,5.551,31024645.0
2018-02-27,13.3,12.9,13.0,13.1,5.594,16598626.0
2018-02-28,13.3,12.4,12.9,13.1,5.594,15871272.0
2018-03-01,13.1,12.6,13.1,12.7,5.423,19129315.0
2018-03-02,12.8,12.4,12.6,12.7,5.423,14491541.0
2018-03-05,13.0,12.6,12.8,12.6,5.38,19824420.0
2018-03-06,12.7,12.5,12.6,12.7,5.423,16112460.0
2018-03-07,12.8,12.1,12.7,12.2,5.209,21042737.0
2018-03-08,12.4,12.1,12.2,12.2,5.209,9961556.0
2018-03-09,12.6,12.2,12.2,12.4,5.295,9468362.0
2018-03-12,12.9,12.4,12.5,12.7,5.423,14619324.0
2018-03-13,12.8,12.4,12.7,12.7,5.423,9590264.0
2018-03-14,13.2,12.7,12.8,13.0,5.551,34437210.0
2018-03-15,13.4,12.9,13.0,13.3,5.679,26672806.0
2018-03-16,13.9,13.3,13.3,13.8,5.893,27719364.0
2018-03-19,14.2,13.4,13.8,13.5,5.765,25184694.0
2018-03-20,13.7,13.3,13.4,13.5,5.765,15663556.0
2018-03-21,13.7,13.4,13.5,13.6,5.807,12514459.0
2018-03-22,13.7,13.2,13.6,13.3,5.679,18650170.0
2018-03-23,13.2,12.5,13.2,12.9,5.508,24972777.0
2018-03-26,13.4,12.8,12.9,13.3,5.679,13430245.0
2018-03-27,13.6,13.2,13.4,13.2,5.636,14267904.0
2018-03-28,13.2,13.0,13.2,13.0,5.551,9738843.0
2018-03-29,13.1,12.9,13.0,12.9,5.508,7599814.0
2018-03-30,13.0,12.7,12.9,12.9,5.508,8428429.0
2018-04-02,13.2,12.9,12.9,13.1,5.594,14755072.0
2018-04-03,13.5,13.0,13.1,13.4,5.722,15302669.0
2018-04-04,13.6,13.1,13.4,13.1,5.594,8898152.0
