Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,22.5,22.5,22.5,22.5,12.785,0.0
2018-01-03,22.8,22.5,22.8,22.5,12.785,5250.0
2018-01-04,22.7,22.5,22.5,22.7,12.898,32180.0
2018-01-05,22.5,22.5,22.5,22.5,12.785,700.0
2018-01-08,22.5,22.4,22.5,22.4,12.728,20000.0
2018-01-09,22.4,22.4,22.4,22.4,12.728,0.0
2018-01-10,22.5,22.5,22.5,22.5,12.785,7310.0
2018-01-11,22.6,22.5,22.5,22.5,12.785,14730.0
2018-01-12,22.8,22.5,22.8,22.8,12.955,2870.0
2018-01-15,22.8,22.5,22.8,22.55,12.813,5060.0
2018-01-16,22.6,22.5,22.5,22.55,12.813,13140.0
2018-01-17,22.8,22.5,22.55,22.5,12.785,5510.0
2018-01-18,22.55,22.5,22.5,22.5,12.785,11000.0
2018-01-19,24.05,23.5,24.05,24.0,13.637,14510.0
2018-01-22,25.6,25.6,25.6,25.6,14.546,10.0
2018-01-25,25.6,23.85,24.0,24.5,13.921,6710.0
2018-01-26,24.5,22.8,24.5,24.0,13.637,13540.0
2018-01-29,24.5,22.6,24.5,24.0,13.637,15050.0
2018-01-30,24.0,22.5,24.0,24.0,13.637,3020.0
2018-01-31,23.0,22.4,22.6,23.0,13.069,9450.0
2018-02-01,24.0,24.0,24.0,24.0,13.637,20.0
2018-02-02,23.0,22.4,23.0,22.8,12.955,2390.0
2018-02-05,22.8,22.8,22.8,22.8,12.955,0.0
2018-02-06,24.0,21.25,22.0,23.0,13.069,20110.0
2018-02-07,23.0,23.0,23.0,23.0,13.069,4000.0
2018-02-08,23.0,22.4,23.0,22.4,12.728,2090.0
2018-02-09,22.4,22.4,22.4,22.4,12.728,0.0
2018-02-12,23.5,22.4,22.4,23.5,13.353,3710.0
2018-02-13,23.65,23.65,23.65,23.65,13.438,1300.0
2018-02-21,23.65,23.65,23.65,23.65,13.438,0.0
2018-02-22,23.65,22.5,22.55,23.65,13.438,5410.0
2018-02-23,22.5,22.5,22.5,22.5,12.785,2000.0
2018-02-26,23.0,22.5,22.6,23.0,13.069,9010.0
2018-02-27,23.0,22.6,22.7,22.6,12.842,5100.0
2018-02-28,23.5,22.6,23.0,22.6,12.842,15560.0
2018-03-01,23.0,22.6,23.0,22.7,12.898,9620.0
2018-03-02,23.2,22.7,22.7,23.2,13.183,2020.0
2018-03-05,23.2,22.8,23.2,22.8,12.955,2510.0
2018-03-06,23.0,22.95,22.95,23.0,13.069,2970.0
2018-03-07,22.7,22.7,22.7,22.7,12.898,3000.0
2018-03-08,22.7,22.7,22.7,22.7,12.898,9990.0
2018-03-09,23.0,22.7,23.0,22.9,13.012,4020.0
2018-03-12,22.95,22.7,22.7,22.8,12.955,21150.0
2018-03-13,22.9,22.8,22.8,22.9,13.012,19260.0
2018-03-14,22.9,22.8,22.9,22.8,12.955,15640.0
2018-03-15,23.0,22.7,23.0,23.0,13.069,12800.0
2018-03-16,23.0,23.0,23.0,23.0,13.069,9450.0
2018-03-19,23.2,22.8,23.2,22.8,12.955,1010.0
2018-03-20,23.0,22.7,22.8,22.85,12.984,5840.0
2018-03-21,23.0,22.8,23.0,22.8,12.955,29390.0
2018-03-22,22.9,22.7,22.7,22.9,13.012,20720.0
2018-03-23,22.9,22.85,22.9,22.85,12.984,21970.0
2018-03-26,22.85,22.85,22.85,22.85,12.984,4000.0
2018-03-27,22.85,22.8,22.8,22.85,12.984,26200.0
2018-03-28,22.85,22.85,22.85,22.85,12.984,14980.0
2018-03-29,23.0,22.9,22.9,23.0,13.069,15100.0
2018-03-30,23.0,22.85,23.0,22.85,12.984,8000.0
2018-04-02,23.0,22.85,23.0,23.0,13.069,14320.0
2018-04-03,23.2,22.95,23.2,22.95,13.04,12780.0
2018-04-04,23.0,22.7,23.0,23.0,13.069,69750.0
2018-04-05,23.0,22.9,22.95,22.95,13.04,14400.0
2018-04-06,23.0,22.6,22.6,23.0,13.069,11450.0
2018-04-09,23.0,22.8,23.0,22.8,12.955,10000.0
2018-04-10,23.0,22.8,23.0,22.8,12.955,11300.0
2018-04-11,22.8,22.8,22.8,22.8,12.955,32940.0
2018-04-12,22.8,22.6,22.8,22.8,12.955,37010.0
2018-04-13,23.0,22.8,22.8,22.8,12.955,40900.0
2018-04-16,23.2,23.0,23.2,23.0,13.069,950.0
2018-04-17,23.0,22.8,23.0,22.8,12.955,29570.0
2018-04-18,23.0,22.8,22.8,23.0,13.069,45100.0
2018-04-19,22.8,22.7,22.8,22.7,12.898,21190.0
2018-04-20,23.0,21.5,21.5,23.0,13.069,13100.0
2018-04-23,23.0,23.0,23.0,23.0,13.069,0.0
2018-04-24,22.6,22.6,22.6,22.6,12.842,10000.0
2018-04-26,22.6,22.5,22.5,22.5,12.785,28800.0
2018-04-27,22.8,22.5,22.5,22.8,12.955,5110.0
2018-05-02,22.8,22.8,22.8,22.8,12.955,0.0
2018-05-03,22.6,22.5,22.6,22.5,12.785,3300.0
2018-05-04,22.7,22.5,22.5,22.7,12.898,10340.0
2018-05-07,22.7,22.7,22.7,22.7,12.898,2510.0
2018-05-08,22.7,22.7,22.7,22.7,12.898,1700.0
2018-05-09,22.7,22.7,22.7,22.7,12.898,0.0
2018-05-10,22.6,22.5,22.5,22.6,12.842,5020.0
2018-05-11,22.6,21.1,22.6,21.1,11.989,7400.0
