Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,22.6,21.4,21.5,22.3,20.727,20910.0
2018-01-03,23.4,22.1,23.4,22.7,21.1,24300.0
2018-01-04,23.4,23.0,23.0,23.2,21.565,50250.0
2018-01-05,24.2,23.9,24.2,24.0,22.308,36900.0
2018-01-08,24.3,23.0,24.0,24.0,22.308,45300.0
2018-01-09,23.9,22.5,23.8,23.9,22.215,41525.0
2018-01-10,25.2,23.4,23.4,25.2,23.423,51900.0
2018-01-11,27.1,24.5,24.9,26.9,25.004,64250.0
2018-01-12,27.5,27.0,27.5,27.2,25.282,66200.0
2018-01-15,27.0,26.0,26.9,26.9,25.004,36773.0
2018-01-16,28.3,27.0,27.0,27.9,25.933,36400.0
2018-01-17,29.0,28.0,28.0,28.5,26.491,52410.0
2018-01-18,30.0,28.5,29.0,29.0,26.956,695300.0
2018-01-19,29.0,29.0,29.0,29.0,26.956,222.0
2018-01-22,28.0,27.0,28.0,27.0,25.096,1700.0
2018-01-23,27.4,27.4,27.4,27.4,25.469,0.0
2018-01-24,29.0,25.0,29.0,25.0,23.238,2118.0
2018-01-25,27.1,24.0,27.1,24.0,22.308,2383.0
2018-01-26,24.2,24.2,24.2,24.2,22.494,0.0
2018-01-29,21.3,20.6,20.8,21.3,19.799,7283.0
2018-01-30,20.9,20.9,20.9,20.9,19.426,200.0
2018-01-31,20.9,20.0,20.0,20.9,19.426,3410.0
2018-02-01,20.5,20.5,20.5,20.5,19.055,0.0
2018-02-02,20.5,20.5,20.5,20.5,19.055,0.0
2018-02-05,20.5,20.5,20.5,20.5,19.055,75.0
2018-02-06,20.5,20.5,20.5,20.5,19.055,0.0
2018-02-07,21.0,20.5,21.0,20.5,19.055,1100.0
2018-02-08,20.5,18.0,20.5,18.0,16.731,1100.0
2018-02-09,20.9,18.5,20.9,18.5,17.196,2800.0
2018-02-12,21.4,18.7,18.7,21.4,19.891,1600.0
2018-02-13,20.4,20.4,20.4,20.4,18.962,0.0
2018-02-21,22.0,20.4,20.4,22.0,20.449,3900.0
2018-02-22,21.3,21.3,21.3,21.3,19.799,0.0
2018-02-23,22.6,22.0,22.0,22.1,20.542,7200.0
2018-02-26,22.2,22.0,22.1,22.2,20.635,4200.0
2018-02-27,22.0,20.0,20.0,22.0,20.449,2340.0
2018-02-28,21.7,21.7,21.7,21.7,20.17,0.0
2018-03-01,22.0,22.0,22.0,22.0,20.449,100.0
2018-03-02,22.0,22.0,22.0,22.0,20.449,200.0
2018-03-05,22.0,22.0,22.0,22.0,20.449,0.0
2018-03-06,22.0,22.0,22.0,22.0,20.449,0.0
2018-03-07,22.0,22.0,22.0,22.0,20.449,0.0
2018-03-08,22.0,22.0,22.0,22.0,20.449,0.0
2018-03-09,19.8,19.0,19.1,19.8,18.404,4320.0
2018-03-12,19.2,19.2,19.2,19.2,17.847,0.0
2018-03-13,22.0,22.0,22.0,22.0,20.449,100.0
2018-03-14,21.9,19.0,21.9,19.0,17.661,1230.0
2018-03-15,19.0,18.7,19.0,18.7,17.382,3700.0
2018-03-16,18.9,18.9,18.9,18.9,17.568,0.0
2018-03-19,18.9,18.9,18.9,18.9,17.568,0.0
2018-03-20,18.8,18.7,18.7,18.8,17.474,12250.0
2018-03-21,18.8,18.8,18.8,18.8,17.474,520.0
2018-03-22,18.8,18.8,18.8,18.8,17.474,0.0
2018-03-23,18.8,18.8,18.8,18.8,17.474,0.0
2018-03-26,18.8,18.8,18.8,18.8,17.474,52.0
2018-03-27,18.8,18.8,18.8,18.8,17.474,0.0
2018-03-28,18.8,18.8,18.8,18.8,17.474,10.0
2018-03-29,18.8,18.8,18.8,18.8,17.474,9.0
2018-03-30,18.8,18.8,18.8,18.8,17.474,0.0
2018-04-02,18.8,18.8,18.8,18.8,17.474,5.0
2018-04-03,18.8,18.8,18.8,18.8,17.474,0.0
2018-04-04,18.8,18.8,18.8,18.8,17.474,0.0
2018-04-05,16.6,16.6,16.6,16.6,15.43,400.0
2018-04-06,17.0,17.0,17.0,17.0,15.801,403.0
2018-04-09,19.5,19.5,19.5,19.5,18.125,104.0
2018-04-10,18.0,17.0,17.0,18.0,16.731,1450.0
2018-04-11,17.4,17.4,17.4,17.4,16.173,80.0
2018-04-12,16.5,16.5,16.5,16.5,15.336,4700.0
2018-04-13,17.5,17.4,17.4,17.5,16.266,200.0
2018-04-16,17.5,17.5,17.5,17.5,16.266,80.0
2018-04-17,17.5,17.5,17.5,17.5,16.266,0.0
2018-04-18,19.4,19.4,19.4,19.4,18.032,100.0
2018-04-19,17.0,17.0,17.0,17.0,15.801,1100.0
2018-04-20,17.8,17.0,17.0,17.8,16.545,1600.0
2018-04-23,17.0,17.0,17.0,17.0,15.801,100.0
2018-04-24,17.0,17.0,17.0,17.0,15.801,0.0
2018-04-26,17.0,17.0,17.0,17.0,15.801,0.0
2018-04-27,16.2,14.5,15.1,16.2,15.058,3700.0
2018-05-02,16.4,16.4,16.4,16.4,15.244,500.0
2018-05-03,16.4,16.4,16.4,16.4,15.244,0.0
2018-05-04,16.4,16.4,16.4,16.4,15.244,0.0
2018-05-07,16.4,16.4,16.4,16.4,15.244,0.0
2018-05-08,16.8,16.8,16.8,16.8,15.616,100.0
2018-05-09,16.8,16.8,16.8,16.8,15.616,1.0
2018-05-10,16.8,16.8,16.8,16.8,15.616,0.0
2018-05-11,16.8,16.8,16.8,16.8,15.616,0.0
2018-05-14,17.8,17.8,17.8,17.8,16.545,5000.0
2018-05-15,17.8,17.8,17.8,17.8,16.545,0.0
2018-05-16,17.8,17.8,17.8,17.8,16.545,0.0
2018-05-17,17.8,17.8,17.8,17.8,16.545,900.0
2018-05-18,17.8,17.8,17.8,17.8,16.545,0.0
2018-05-21,17.8,17.8,17.8,17.8,16.545,100.0
2018-05-22,17.8,17.8,17.8,17.8,16.545,0.0
2018-05-23,17.8,17.8,17.8,17.8,16.545,0.0
2018-05-24,17.8,17.8,17.8,17.8,16.545,9.0
2018-05-25,17.8,17.8,17.8,17.8,16.545,0.0
2018-05-28,17.8,17.8,17.8,17.8,16.545,0.0
2018-05-29,20.0,15.2,15.2,20.0,18.59,3210.0
2018-05-30,17.7,13.6,17.7,13.6,12.641,200.0
2018-05-31,15.7,15.7,15.7,15.7,14.593,0.0
2018-06-01,15.7,15.7,15.7,15.7,14.593,0.0
2018-06-04,15.7,15.7,15.7,15.7,14.593,0.0
2018-06-05,17.5,17.5,17.5,17.5,16.266,100.0
2018-06-06,17.5,17.4,17.4,17.5,16.266,600.0
2018-06-07,17.5,17.5,17.5,17.5,16.266,0.0
2018-06-08,17.5,17.5,17.5,17.5,16.266,0.0
2018-06-11,17.5,17.5,17.5,17.5,16.266,80.0
2018-06-12,17.5,17.5,17.5,17.5,16.266,0.0
2018-06-13,17.5,17.5,17.5,17.5,16.266,0.0
2018-06-14,17.5,17.5,17.5,17.5,16.266,0.0
2018-06-15,17.5,17.5,17.5,17.5,16.266,0.0
2018-06-18,17.5,17.5,17.5,17.5,16.266,0.0
2018-06-19,16.9,16.9,16.9,16.9,16.266,0.0
2018-06-20,16.9,16.9,16.9,16.9,16.266,0.0
2018-06-21,14.6,14.6,14.6,14.6,14.053,1200.0
2018-06-22,14.6,14.6,14.6,14.6,14.053,0.0
2018-06-25,14.6,14.6,14.6,14.6,14.053,0.0
2018-06-26,16.4,16.2,16.4,16.2,15.593,1400.0
2018-06-27,17.1,17.0,17.1,17.0,16.363,306.0
2018-06-28,17.1,17.1,17.1,17.1,16.459,0.0
2018-06-29,17.2,17.2,17.2,17.2,16.555,900.0
2018-07-02,17.2,17.2,17.2,17.2,16.555,0.0
2018-07-03,17.2,17.0,17.2,17.0,16.363,320.0
2018-07-04,17.1,17.1,17.1,17.1,16.459,0.0
2018-07-05,15.1,15.1,15.1,15.1,14.534,720.0
2018-07-06,15.1,15.1,15.1,15.1,14.534,10.0
2018-07-09,17.3,17.0,17.0,17.3,16.651,2980.0
2018-07-10,17.5,17.1,17.1,17.5,16.844,2600.0
2018-07-11,15.0,15.0,15.0,15.0,14.438,100.0
