Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,11.6,10.6,11.3,10.6,6.845,53740.0
2018-01-03,11.3,10.8,10.8,11.25,7.267,177940.0
2018-01-04,11.8,11.0,11.4,11.6,7.492,80930.0
2018-01-05,11.7,11.1,11.5,11.1,7.168,3500.0
2018-01-08,11.85,10.8,11.55,11.85,7.653,92390.0
2018-01-09,12.55,12.0,12.55,12.5,8.073,26260.0
2018-01-10,13.2,12.0,12.0,12.8,8.267,11010.0
2018-01-11,12.8,12.3,12.8,12.3,7.943,13420.0
2018-01-12,12.3,11.5,11.5,12.3,7.943,1570.0
2018-01-15,13.15,11.5,11.8,11.5,7.427,16950.0
2018-01-16,12.0,11.5,11.5,12.0,7.75,1310.0
2018-01-17,12.4,11.5,11.5,12.4,8.01,60.0
2018-01-18,12.1,11.6,11.6,12.0,7.75,4750.0
2018-01-19,12.0,12.0,12.0,12.0,7.75,0.0
2018-01-22,12.0,12.0,12.0,12.0,7.75,5900.0
2018-01-25,12.8,12.1,12.1,12.8,8.267,17200.0
2018-01-26,13.1,12.9,12.9,13.1,8.46,200.0
2018-01-29,13.5,13.0,13.0,13.0,8.396,63000.0
2018-01-30,13.6,12.1,13.6,13.6,8.783,1520.0
2018-01-31,13.8,13.5,13.8,13.5,8.719,4000.0
2018-02-01,14.2,13.5,14.0,13.5,8.719,7100.0
2018-02-02,13.8,13.8,13.8,13.8,8.913,10.0
2018-02-05,14.7,13.0,14.7,13.8,8.913,3350.0
2018-02-06,13.0,12.85,12.85,12.85,8.299,7890.0
2018-02-07,13.7,13.7,13.7,13.7,8.848,500.0
2018-02-08,13.7,13.7,13.7,13.7,8.848,0.0
2018-02-09,13.7,12.75,12.75,13.7,8.848,90.0
2018-02-12,13.7,13.7,13.7,13.7,8.848,0.0
2018-02-13,13.55,13.55,13.55,13.55,9.44,10.0
2018-02-21,14.45,12.8,14.45,12.8,8.918,30.0
2018-02-22,13.6,11.95,12.5,13.6,9.477,1000.0
2018-02-23,13.4,12.65,12.7,12.65,8.814,340.0
2018-02-26,11.9,11.8,11.85,11.8,8.222,910.0
2018-02-27,12.6,12.6,12.6,12.6,8.779,1500.0
2018-02-28,11.8,11.8,11.8,11.8,8.222,90.0
2018-03-01,11.25,11.25,11.25,11.25,7.838,10.0
2018-03-02,12.0,10.6,12.0,10.6,7.385,20.0
2018-03-05,10.6,10.6,10.6,10.6,7.385,30.0
2018-03-06,10.6,10.6,10.6,10.6,7.385,810.0
2018-03-07,11.3,11.3,11.3,11.3,7.873,180.0
2018-03-08,11.5,11.5,11.5,11.5,8.012,500.0
2018-03-09,11.5,11.5,11.5,11.5,8.012,50.0
2018-03-12,12.0,11.5,11.5,12.0,8.361,1600.0
2018-03-13,11.5,11.3,11.5,11.3,7.873,1810.0
2018-03-14,11.3,11.3,11.3,11.3,7.873,50.0
2018-03-15,11.3,11.3,11.3,11.3,7.873,0.0
2018-03-16,11.3,11.3,11.3,11.3,7.873,1500.0
2018-03-19,11.3,11.3,11.3,11.3,7.873,0.0
2018-03-20,11.5,11.5,11.5,11.5,8.012,40.0
2018-03-21,11.5,11.5,11.5,11.5,8.012,0.0
2018-03-22,11.5,11.5,11.5,11.5,8.012,0.0
2018-03-23,11.5,11.5,11.5,11.5,8.012,0.0
2018-03-26,12.3,10.7,11.95,10.7,7.454,12020.0
2018-03-27,11.4,11.4,11.4,11.4,7.942,150.0
2018-03-28,11.8,11.8,11.8,11.8,8.222,200.0
2018-03-29,12.6,12.5,12.5,12.6,8.779,400.0
2018-03-30,13.4,13.2,13.2,13.4,9.337,1000.0
2018-04-02,14.0,13.4,13.4,13.9,9.684,1440.0
2018-04-03,13.5,13.5,13.5,13.5,9.406,230.0
2018-04-04,14.0,14.0,14.0,14.0,9.754,10.0
2018-04-05,14.0,14.0,14.0,14.0,9.754,0.0
2018-04-06,13.8,13.5,13.8,13.5,9.406,7800.0
2018-04-09,13.5,13.5,13.5,13.5,9.406,0.0
2018-04-10,13.0,13.0,13.0,13.0,9.056,7000.0
2018-04-11,13.0,13.0,13.0,13.0,9.056,0.0
2018-04-12,13.4,12.1,12.1,13.2,9.196,35300.0
2018-04-13,12.8,12.5,12.8,12.5,8.71,2500.0
2018-04-16,13.35,12.1,13.3,12.1,8.432,22030.0
2018-04-17,12.9,12.9,12.9,12.9,8.987,18000.0
2018-04-18,12.9,12.9,12.9,12.9,8.987,0.0
2018-04-19,12.9,12.9,12.9,12.9,8.987,0.0
2018-04-20,12.9,12.9,12.9,12.9,8.987,0.0
2018-04-23,12.9,12.9,12.9,12.9,8.987,0.0
2018-04-24,12.9,12.9,12.9,12.9,8.987,0.0
2018-04-26,13.7,12.0,13.0,12.0,8.361,7200.0
2018-04-27,11.2,11.2,11.2,11.2,7.803,10.0
2018-05-02,11.9,11.2,11.2,11.9,8.292,12950.0
2018-05-03,12.7,11.3,12.2,11.3,7.873,24590.0
2018-05-04,12.05,11.3,11.3,12.05,8.396,1030.0
2018-05-07,12.85,11.5,12.85,12.85,8.954,5600.0
2018-05-08,13.7,13.45,13.45,13.7,9.544,40330.0
2018-05-09,14.65,13.8,14.65,14.65,10.207,44620.0
2018-05-10,15.0,13.85,15.0,13.85,9.65,1220.0
2018-05-11,13.55,13.0,13.55,13.0,9.056,130.0
2018-05-14,13.2,13.1,13.2,13.1,9.126,2000.0
2018-05-15,14.0,13.6,14.0,14.0,9.754,16190.0
2018-05-16,14.8,13.1,14.5,13.1,9.126,30.0
2018-05-17,13.0,12.4,12.4,12.4,8.639,2200.0
2018-05-18,13.25,13.25,13.25,13.25,9.232,700.0
2018-05-21,14.15,13.9,14.15,13.9,9.684,16870.0
2018-05-22,13.9,13.9,13.9,13.9,9.684,100.0
2018-05-23,13.9,13.5,13.9,13.65,9.51,24090.0
2018-05-24,14.0,12.7,13.3,14.0,9.754,17000.0
2018-05-25,14.0,13.5,13.5,14.0,9.754,6920.0
2018-05-28,14.0,12.95,13.1,14.0,9.968,7240.0
2018-05-29,13.5,13.1,13.1,13.5,9.612,3240.0
2018-05-30,13.5,12.6,12.85,12.7,9.042,7740.0
2018-05-31,13.55,12.5,13.55,13.55,9.647,1110.0
2018-06-01,12.7,12.7,12.7,12.7,9.042,1210.0
2018-06-04,13.55,13.55,13.55,13.55,9.647,1000.0
2018-06-05,13.05,12.8,13.05,12.8,9.113,5000.0
2018-06-06,13.65,13.0,13.1,13.65,9.718,11500.0
2018-06-07,14.0,13.1,14.0,13.1,9.326,4100.0
2018-06-08,13.1,13.1,13.1,13.1,9.326,380.0
2018-06-11,14.0,13.0,13.0,14.0,9.968,1020.0
2018-06-12,14.3,13.1,13.1,14.3,10.181,2050.0
2018-06-13,13.5,13.3,13.3,13.45,9.576,500.0
2018-06-14,14.2,12.6,12.6,14.2,10.11,1120.0
2018-06-15,14.0,13.25,14.0,13.25,9.433,4120.0
2018-06-18,13.0,13.0,13.0,13.0,9.256,4800.0
2018-06-19,13.4,12.5,13.0,13.4,9.54,29330.0
2018-06-20,13.4,13.4,13.4,13.4,9.54,0.0
2018-06-21,12.55,12.55,12.55,12.55,8.935,90.0
2018-06-22,12.55,12.55,12.55,12.55,8.935,0.0
2018-06-25,12.5,12.5,12.5,12.5,8.899,310.0
2018-06-26,12.5,12.5,12.5,12.5,8.899,0.0
2018-06-27,12.5,12.5,12.5,12.5,8.899,0.0
2018-06-28,13.0,13.0,13.0,13.0,9.256,2290.0
2018-06-29,13.9,12.1,12.2,13.9,9.897,13990.0
2018-07-02,13.9,13.5,13.5,13.9,9.897,4970.0
2018-07-03,14.1,13.5,13.7,14.1,10.039,11170.0
2018-07-04,13.2,13.2,13.2,13.2,9.399,10.0
2018-07-05,14.0,14.0,14.0,14.0,9.968,2110.0
2018-07-06,14.0,14.0,14.0,14.0,9.968,90.0
2018-07-09,13.5,13.5,13.5,13.5,9.612,10000.0
2018-07-10,13.5,13.5,13.5,13.5,9.612,0.0
2018-07-11,13.5,13.5,13.5,13.5,9.612,0.0
2018-07-12,13.4,13.4,13.4,13.4,9.54,20.0
2018-07-13,13.5,13.5,13.5,13.5,9.612,10.0
2018-07-16,13.5,13.5,13.5,13.5,9.612,370.0
2018-07-17,13.4,12.8,13.0,13.4,9.54,6010.0
2018-07-18,13.4,13.4,13.4,13.4,9.54,10.0
2018-07-19,13.4,13.0,13.0,13.3,9.469,11030.0
2018-07-20,13.3,13.3,13.3,13.3,9.469,0.0
2018-07-23,12.85,12.85,12.85,12.85,9.484,10.0
2018-07-24,13.35,12.0,12.0,12.0,8.856,280.0
2018-07-25,11.2,11.2,11.2,11.2,8.267,200.0
2018-07-26,11.2,11.2,11.2,11.2,8.267,0.0
2018-07-27,11.95,11.95,11.95,11.95,8.82,500.0
2018-07-30,12.6,12.5,12.5,12.6,9.299,10000.0
2018-07-31,13.2,13.2,13.2,13.2,9.742,10.0
2018-08-01,13.2,13.2,13.2,13.2,9.742,0.0
2018-08-02,13.5,12.5,12.5,13.5,9.964,22100.0
2018-08-03,13.6,12.7,13.6,13.5,9.964,2960.0
2018-08-06,13.5,13.0,13.5,13.4,9.89,3070.0
2018-08-07,13.4,13.4,13.4,13.4,9.89,0.0
2018-08-08,13.4,13.0,13.0,13.0,9.595,22700.0
2018-08-09,13.5,13.0,13.5,13.5,9.964,3820.0
2018-08-10,13.5,13.1,13.5,13.5,9.964,6520.0
2018-08-13,13.8,13.5,13.5,13.8,10.184,25290.0
2018-08-14,12.3,12.0,12.3,12.0,10.451,1100.0
2018-08-15,11.2,11.2,11.2,11.2,9.754,1010.0
2018-08-16,10.5,10.5,10.5,10.5,9.144,20.0
2018-08-17,10.95,10.0,10.95,10.0,8.71,8760.0
2018-08-20,10.7,10.0,10.0,10.7,9.319,470.0
2018-08-21,11.4,10.1,11.4,11.4,9.929,22910.0
2018-08-22,12.15,11.5,11.5,12.15,10.582,24610.0
2018-08-23,13.0,12.9,13.0,13.0,11.322,18600.0
2018-08-24,13.9,12.9,13.2,13.9,12.105,110560.0
2018-08-27,14.85,14.45,14.85,14.45,12.585,36200.0
2018-08-28,15.0,13.85,14.5,13.85,12.062,19520.0
2018-08-29,13.0,12.9,13.0,12.9,11.234,20960.0
2018-08-30,13.55,13.55,13.55,13.55,11.8,10.0
2018-08-31,12.65,12.65,12.65,12.65,11.016,10.0
2018-09-04,12.1,12.1,12.1,12.1,10.537,100.0
2018-09-05,11.4,11.4,11.4,11.4,9.929,500.0
2018-09-06,10.65,10.65,10.65,10.65,9.274,200.0
2018-09-07,11.35,11.35,11.35,11.35,9.884,10.0
2018-09-10,12.1,12.1,12.1,12.1,10.537,3190.0
2018-09-11,12.9,12.9,12.9,12.9,11.234,1800.0
2018-09-12,13.8,13.8,13.8,13.8,12.018,46540.0
2018-09-13,14.75,12.85,14.5,14.75,12.845,48560.0
2018-09-14,14.95,13.85,14.95,14.7,12.802,5260.0
2018-09-17,14.75,13.7,13.9,13.7,11.93,1960.0
2018-09-18,14.6,13.0,14.6,13.0,11.322,110.0
2018-09-19,12.5,12.5,12.5,12.5,10.886,1420.0
2018-09-20,13.35,12.1,13.0,13.35,11.626,1510.0
2018-09-21,14.0,13.95,13.95,14.0,12.193,300.0
2018-09-24,13.05,13.05,13.05,13.05,11.366,170.0
2018-09-25,13.0,12.2,13.0,12.2,10.625,1410.0
2018-09-26,12.2,12.2,12.2,12.2,10.625,0.0
2018-09-27,11.4,11.4,11.4,11.4,9.929,10.0
2018-09-28,12.15,12.15,12.15,12.15,10.582,1060.0
2018-10-01,13.0,13.0,13.0,13.0,11.322,11170.0
2018-10-02,13.9,12.2,12.2,13.9,12.105,24060.0
2018-10-03,14.85,14.8,14.8,14.85,12.933,32200.0
2018-10-04,15.85,13.95,15.75,13.95,12.148,64600.0
2018-10-05,14.9,14.9,14.9,14.9,12.975,1780.0
2018-10-08,15.9,15.8,15.8,15.9,13.846,41480.0
2018-10-09,16.95,16.0,16.45,16.0,13.934,9500.0
2018-10-10,16.5,16.4,16.4,16.5,14.369,1500.0
2018-10-11,15.4,15.35,15.4,15.35,13.368,1090.0
2018-10-12,15.9,15.9,15.9,15.9,13.846,100.0
2018-10-15,15.9,15.9,15.9,15.9,13.846,1000.0
2018-10-16,15.9,15.9,15.9,15.9,13.846,0.0
2018-10-17,16.9,15.9,16.8,16.7,14.543,4220.0
2018-10-18,16.7,16.6,16.6,16.6,14.456,12310.0
2018-10-19,16.5,16.5,16.5,16.5,14.369,2500.0
2018-10-22,16.5,16.0,16.5,16.0,13.934,3000.0
2018-10-23,16.05,16.05,16.05,16.05,13.978,10.0
2018-10-24,16.1,16.05,16.05,16.05,13.978,230.0
2018-10-25,16.0,16.0,16.0,16.0,13.934,3000.0
2018-10-26,15.9,15.9,15.9,15.9,13.846,1000.0
2018-10-29,15.4,15.4,15.4,15.4,13.846,0.0
2018-10-30,15.8,15.5,15.8,15.5,13.937,3480.0
2018-10-31,15.8,15.5,15.8,15.5,13.937,1000.0
2018-11-01,15.8,14.45,14.45,15.5,13.937,420.0
2018-11-02,15.7,15.2,15.7,15.6,14.026,1210.0
2018-11-05,15.6,15.6,15.6,15.6,14.026,10.0
2018-11-06,16.65,16.1,16.3,16.65,14.97,160500.0
2018-11-07,17.3,16.65,17.3,17.0,15.285,156600.0
2018-11-08,17.0,15.85,17.0,16.9,15.196,22220.0
2018-11-09,17.0,16.0,17.0,16.5,14.836,2090.0
2018-11-12,16.8,16.0,16.0,16.7,15.016,7020.0
2018-11-13,16.75,16.0,16.75,16.0,14.386,2310.0
2018-11-14,16.7,15.0,16.7,15.0,13.487,220.0
2018-11-15,14.1,14.1,14.1,14.1,12.678,450.0
2018-11-16,15.0,13.3,13.3,13.4,12.049,690.0
2018-11-19,14.1,14.1,14.1,14.1,12.678,260.0
2018-11-20,15.0,14.7,15.0,14.7,13.217,6120.0
2018-11-21,15.0,14.7,14.7,15.0,13.487,5810.0
2018-11-22,16.0,15.0,15.0,16.0,14.386,2200.0
2018-11-23,16.45,16.0,16.0,16.45,14.791,10010.0
2018-11-26,16.7,16.65,16.7,16.65,14.97,5000.0
2018-11-27,16.65,15.6,16.5,15.6,14.026,1090.0
2018-11-28,16.5,16.5,16.5,16.5,14.836,10.0
2018-11-29,16.4,16.4,16.4,16.4,14.746,15000.0
2018-11-30,16.4,16.4,16.4,16.4,14.746,0.0
2018-12-03,16.65,16.4,16.4,16.65,14.97,4800.0
2018-12-04,16.65,16.65,16.65,16.65,14.97,0.0
2018-12-05,16.65,16.65,16.65,16.65,14.97,0.0
2018-12-06,16.65,16.65,16.65,16.65,14.97,0.0
2018-12-07,16.6,15.7,16.6,15.7,14.117,20.0
2018-12-10,15.0,14.7,15.0,14.7,13.217,1190.0
2018-12-11,15.55,14.7,14.7,15.55,13.983,16740.0
2018-12-12,15.55,15.55,15.55,15.55,13.983,0.0
2018-12-13,15.55,15.55,15.55,15.55,13.983,0.0
2018-12-14,15.55,15.55,15.55,15.55,13.983,50.0
2018-12-17,15.55,15.55,15.55,15.55,13.983,0.0
2018-12-18,15.6,15.6,15.6,15.6,14.026,500.0
2018-12-19,15.6,15.6,15.6,15.6,14.026,0.0
2018-12-20,14.55,14.55,14.55,14.55,13.083,1000.0
2018-12-21,15.5,13.6,13.6,15.5,13.937,2540.0
2018-12-24,14.5,14.5,14.5,14.5,13.038,3530.0
2018-12-25,15.0,13.5,15.0,15.0,13.487,11350.0
2018-12-26,15.0,15.0,15.0,15.0,13.487,0.0
2018-12-27,14.0,13.95,13.95,14.0,12.588,1060.0
2018-12-28,13.1,13.1,13.1,13.1,11.779,2090.0
2019-01-02,13.1,12.35,12.35,12.35,11.105,2460.0
2019-01-03,13.0,11.65,11.65,11.65,10.475,11200.0
2019-01-04,12.0,12.0,12.0,12.0,11.075,8030.0
2019-01-07,12.8,12.0,12.0,12.8,11.813,34050.0
