Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,27.3,26.25,26.6,27.3,12.285,70750.0
2018-01-03,27.8,27.0,27.8,27.3,12.285,59980.0
2018-01-04,27.75,27.2,27.75,27.3,12.285,35360.0
2018-01-05,27.5,26.7,27.3,27.3,12.285,59150.0
2018-01-08,29.2,27.3,27.3,29.2,13.139,334600.0
2018-01-09,31.2,29.25,30.0,31.0,13.949,122790.0
2018-01-10,31.3,29.5,31.3,30.4,13.679,62720.0
2018-01-11,30.4,28.5,29.7,29.55,13.296,83140.0
2018-01-12,31.6,28.6,30.0,30.0,13.499,135300.0
2018-01-15,30.6,30.0,30.4,30.5,13.724,64390.0
2018-01-16,30.1,29.5,30.1,29.8,13.408,117000.0
2018-01-17,30.2,28.2,30.1,28.2,12.69,218890.0
2018-01-18,28.5,27.5,27.5,28.5,12.824,69970.0
2018-01-19,29.3,28.45,28.5,28.45,12.802,59850.0
2018-01-22,28.5,27.0,28.5,27.3,12.285,86590.0
2018-01-25,27.9,26.8,27.3,27.05,12.172,153120.0
2018-01-26,28.5,26.9,27.05,28.5,12.824,89110.0
2018-01-29,29.4,28.2,29.4,29.0,13.05,134020.0
2018-01-30,29.1,28.8,29.0,29.0,13.05,86560.0
2018-01-31,29.2,29.0,29.1,29.0,13.05,101850.0
2018-02-01,29.05,28.3,28.8,29.0,13.05,86680.0
2018-02-02,29.2,28.6,29.2,29.0,13.05,3060.0
2018-02-05,29.15,28.0,28.7,28.0,12.599,115640.0
2018-02-06,28.0,26.05,26.05,26.8,12.06,95020.0
2018-02-07,28.0,27.15,28.0,27.5,12.375,30710.0
2018-02-08,28.9,27.0,28.9,27.8,12.509,11870.0
2018-02-09,27.5,26.05,26.05,26.3,11.835,28870.0
2018-02-12,27.6,25.75,27.6,27.45,12.352,8300.0
2018-02-13,28.3,27.45,27.45,28.0,12.599,9030.0
2018-02-21,28.6,28.0,28.6,28.25,12.713,8520.0
2018-02-22,28.25,27.4,28.25,27.8,12.509,24580.0
2018-02-23,28.0,27.8,28.0,27.9,12.554,21710.0
2018-02-26,28.25,27.2,27.9,28.2,12.69,103770.0
2018-02-27,28.2,27.5,28.1,27.5,12.375,116050.0
2018-02-28,28.15,27.15,27.9,28.15,12.667,55250.0
2018-03-01,29.0,28.0,28.2,28.9,13.004,43750.0
2018-03-02,28.7,28.0,28.5,28.5,12.824,3080.0
2018-03-05,28.5,27.5,28.5,28.0,12.599,63260.0
2018-03-06,28.3,26.8,28.0,26.8,12.06,29900.0
2018-03-07,28.0,26.8,28.0,26.8,12.06,17080.0
2018-03-08,27.8,27.2,27.75,27.2,12.24,3040.0
2018-03-09,27.6,27.1,27.1,27.55,12.397,27950.0
2018-03-12,28.4,28.1,28.4,28.1,12.644,43680.0
2018-03-13,28.3,27.9,28.2,28.1,12.644,15230.0
2018-03-14,28.15,27.6,27.6,28.05,12.621,27590.0
