Date,High,Low,Open,Close,Adj Close,Volume
2021-03-24,20.15,20.15,20.15,20.15,11.304,6007500.0
2021-03-25,21.55,21.55,21.55,21.55,12.089,1464100.0
2021-03-26,23.05,23.05,23.05,23.05,12.931,1078500.0
2021-03-29,24.65,24.0,24.65,24.65,13.829,3992200.0
2021-03-30,26.35,26.25,26.35,26.35,14.782,1896300.0
2021-03-31,28.15,27.2,28.15,28.15,15.792,4138700.0
2021-04-01,28.2,27.1,28.1,28.2,15.819,3793500.0
2021-04-02,28.25,27.7,27.7,28.25,15.848,2990700.0
2021-04-05,28.15,27.4,28.05,28.1,15.764,1564100.0
2021-04-06,28.0,27.3,28.0,28.0,15.708,1881700.0
2021-04-07,28.0,27.5,28.0,28.0,15.708,1208100.0
2021-04-08,27.8,27.5,27.8,27.6,15.483,911300.0
2021-04-09,27.7,27.0,27.0,27.7,15.539,955900.0
2021-04-12,27.7,27.0,27.3,27.7,15.539,846900.0
2021-04-13,27.5,27.1,27.1,27.3,15.315,433600.0
2021-04-14,27.25,26.8,27.0,26.8,15.034,579800.0
2021-04-15,27.0,25.5,26.4,27.0,15.147,1409400.0
2021-04-16,27.3,26.5,27.0,27.3,15.315,574400.0
2021-04-19,27.5,27.1,27.35,27.5,15.428,886900.0
2021-04-20,27.6,27.4,27.6,27.5,15.428,1465400.0
2021-04-22,27.5,26.8,27.3,27.5,15.428,729000.0
2021-04-23,27.5,26.1,27.5,26.1,14.641,853900.0
2021-04-26,27.2,26.35,27.0,26.8,15.034,578000.0
2021-04-27,26.9,25.1,25.1,26.9,15.091,705300.0
2021-04-28,26.95,26.0,26.8,26.8,15.034,846500.0
2021-04-29,26.95,26.1,26.1,26.85,15.063,1199900.0
2021-05-04,26.5,26.05,26.05,26.4,14.81,1055500.0
2021-05-05,26.5,26.1,26.4,26.45,14.837,647500.0
2021-05-06,28.3,26.3,26.45,27.35,15.343,1078900.0
2021-05-07,27.7,27.0,27.5,27.5,15.428,1122000.0
2021-05-10,28.0,27.0,27.5,28.0,15.708,1638300.0
2021-05-11,28.3,27.7,28.3,28.0,15.708,942400.0
2021-05-12,28.0,27.7,28.0,28.0,15.708,1429600.0
2021-05-13,28.5,27.1,28.0,28.3,15.876,2069300.0
2021-05-14,30.25,27.5,28.5,30.25,16.969,3100400.0
2021-05-17,32.0,30.3,30.3,31.45,17.643,3145000.0
2021-05-18,32.1,31.4,32.1,31.5,17.672,3096400.0
2021-05-19,31.95,29.5,31.5,31.75,17.811,3510600.0
2021-05-20,31.95,29.6,31.95,31.75,17.811,4030600.0
2021-05-21,32.0,30.35,31.75,32.0,17.951,4272700.0
2021-05-24,32.6,30.5,32.0,32.6,18.288,2716700.0
2021-05-25,34.85,30.5,32.95,34.85,19.55,3725900.0
2021-05-26,37.2,33.5,34.9,37.2,20.869,2720400.0
2021-05-27,37.35,35.05,37.3,37.05,20.784,2077400.0
2021-05-28,39.0,35.5,37.0,39.0,21.878,2006200.0
2021-05-31,40.8,38.0,39.0,40.8,22.888,1832500.0
2021-06-01,41.9,39.0,40.85,40.9,22.944,1733600.0
