Date,High,Low,Open,Close,Adj Close,Volume
2021-08-04,30.2,30.2,30.2,30.2,20.856,1000.0
2021-08-05,34.7,34.7,34.7,34.7,23.963,500.0
2021-08-06,39.9,39.9,39.9,39.9,27.554,500.0
2021-08-09,45.8,45.8,45.8,45.8,31.629,500.0
2021-08-10,52.6,52.6,52.6,52.6,36.325,1000.0
2021-08-11,60.4,60.4,60.4,60.4,41.711,400.0
2021-08-12,69.4,69.4,69.4,69.4,47.926,500.0
2021-08-13,79.8,79.8,79.8,79.8,55.109,3000.0
2021-08-16,91.7,91.7,91.7,91.7,63.326,15000.0
2021-08-17,105.4,105.4,105.4,105.4,72.787,68900.0
2021-08-18,121.2,111.5,121.2,112.7,77.829,334400.0
2021-08-19,115.0,109.0,110.0,110.5,76.309,224700.0
2021-08-20,105.0,99.0,105.0,101.3,69.956,155400.0
2021-08-23,100.5,90.0,98.0,100.0,69.058,197700.0
2021-08-24,102.3,96.4,96.5,100.6,69.473,203000.0
2021-08-25,102.6,98.5,98.5,102.5,70.785,280000.0
2021-08-26,104.5,98.8,101.5,100.5,69.404,297800.0
2021-08-27,101.0,98.9,100.0,99.8,68.92,238600.0
2021-08-30,100.4,90.0,99.0,100.1,69.127,198500.0
2021-08-31,100.8,99.0,99.8,99.0,68.368,298900.0
2021-09-01,104.0,97.6,99.0,103.9,71.752,205900.0
2021-09-06,105.9,100.1,103.9,105.9,73.133,243000.0
2021-09-07,104.8,102.0,104.0,103.6,71.544,220600.0
2021-09-08,103.5,102.0,103.5,103.0,71.13,205900.0
2021-09-09,103.9,100.5,103.0,103.9,71.752,262500.0
2021-09-10,105.4,102.0,102.0,105.4,72.787,227100.0
2021-09-13,104.0,101.7,103.0,103.9,71.752,279900.0
2021-09-14,103.9,101.8,102.1,103.8,71.683,259600.0
2021-09-15,103.8,102.0,103.6,102.8,70.992,198000.0
2021-09-16,103.8,100.6,103.5,100.6,69.473,240000.0
2021-09-17,102.6,100.5,101.9,102.6,70.854,297400.0
2021-09-20,105.6,101.2,101.3,105.2,72.649,394000.0
2021-09-21,105.0,102.0,103.5,102.8,70.992,279900.0
2021-09-22,106.8,102.7,103.3,106.8,73.754,348500.0
2021-09-23,108.9,104.9,104.9,108.6,74.997,237700.0
2021-09-24,109.0,107.1,108.0,108.9,75.204,303300.0
2021-09-27,110.0,108.4,108.6,109.2,75.412,288600.0
2021-09-28,109.9,105.1,109.3,105.5,72.857,331400.0
2021-09-29,106.7,102.3,106.0,103.5,71.475,285200.0
2021-09-30,107.4,102.9,103.5,107.4,74.169,431300.0
2021-10-01,108.0,105.3,105.3,107.9,74.514,304202.0
2021-10-04,108.5,106.5,107.1,106.7,73.685,264900.0
2021-10-05,108.0,105.5,107.6,105.8,73.064,345100.0
2021-10-06,108.0,102.0,108.0,102.2,70.578,252807.0
2021-10-07,104.6,102.4,102.5,102.8,70.992,307802.0
2021-10-08,103.3,101.2,102.5,101.4,70.025,242100.0
2021-10-11,103.1,100.3,102.5,100.8,69.611,267400.0
2021-10-12,102.5,99.7,102.0,100.1,69.127,444600.0
2021-10-13,102.0,100.5,100.5,100.8,69.611,279300.0
2021-10-14,102.1,100.2,101.0,101.2,69.887,231400.0
2021-10-15,102.2,100.7,101.5,102.0,70.439,287700.0
2021-10-18,102.1,101.0,101.5,101.4,70.025,251500.0
2021-10-19,101.9,100.0,101.4,101.5,70.094,315000.0
2021-10-20,102.0,100.5,101.2,101.0,69.749,250900.0
2021-10-21,102.0,100.6,101.3,101.0,69.749,274100.0
2021-10-22,116.0,101.3,101.3,106.2,73.34,255700.0
2021-10-25,113.3,106.2,106.2,113.2,78.174,252700.0
2021-10-26,114.0,111.0,111.0,113.5,78.381,350605.0
2021-10-27,115.0,112.9,113.5,112.9,77.967,280300.0
2021-10-28,114.5,113.0,113.0,114.3,78.934,267804.0
2021-10-29,114.0,112.8,113.2,113.0,78.036,305207.0
2021-11-01,113.9,112.1,113.8,112.4,77.622,314876.0
2021-11-02,113.5,112.2,112.2,113.2,78.174,338400.0
2021-11-03,113.0,112.1,112.7,112.2,77.483,293700.0
2021-11-04,113.0,112.0,112.3,112.2,77.483,272601.0
2021-11-05,113.2,112.2,113.0,112.8,77.898,329110.0
2021-11-08,113.4,112.5,112.5,113.3,78.243,307300.0
2021-11-09,113.9,112.9,112.9,113.9,78.657,357100.0
2021-11-10,114.2,113.1,113.1,114.2,78.865,312100.0
2021-11-11,115.1,114.0,114.0,114.7,79.21,386505.0
2021-11-12,115.2,114.0,114.4,115.0,79.417,333200.0
2021-11-15,115.7,114.7,114.7,115.2,79.555,295300.0
2021-11-16,115.2,114.5,115.1,115.2,79.555,272000.0
2021-11-17,117.7,115.3,115.3,117.4,81.074,418900.0
2021-11-18,118.6,116.5,116.5,118.5,81.834,315000.0
2021-11-19,118.9,117.5,117.5,118.7,81.972,353626.0
2021-11-22,119.0,118.1,118.5,118.6,81.903,301000.0
2021-11-23,118.8,118.5,118.8,118.6,81.903,291200.0
2021-11-24,119.1,118.5,118.5,119.0,82.179,352900.0
2021-11-25,119.0,118.4,118.6,118.8,82.041,330900.0
2021-11-26,125.0,118.6,118.6,123.7,85.425,252500.0
2021-11-29,131.8,120.5,120.5,131.5,90.812,493700.0
2021-11-30,136.7,130.4,131.0,136.0,93.919,352000.0
2021-12-01,144.5,135.4,136.0,142.3,98.27,285000.0
2021-12-02,145.0,138.7,140.0,138.8,95.853,360501.0
2021-12-03,142.0,135.0,141.9,135.3,93.436,418000.0
2021-12-06,138.0,134.9,135.5,137.2,94.748,358900.0
2021-12-07,137.3,135.6,137.1,137.0,94.61,326800.0
2021-12-08,141.1,136.0,136.0,138.7,95.784,330001.0
2021-12-09,145.0,137.7,138.0,141.2,97.51,386500.0
2021-12-10,102.4,99.5,101.6,100.3,100.3,502810.0
2021-12-13,100.9,100.0,100.5,100.8,100.8,407001.0
2021-12-14,100.6,99.8,100.6,100.2,100.2,356000.0
2021-12-15,101.7,99.7,100.0,101.7,101.7,488831.0
2021-12-16,101.8,100.5,100.6,101.3,101.3,411700.0
2021-12-17,101.5,100.4,101.5,100.9,100.9,415300.0
2021-12-20,100.8,99.2,100.8,100.3,100.3,429200.0
2021-12-21,101.9,100.0,100.1,101.8,101.8,468500.0
2021-12-22,101.9,100.4,101.8,101.1,101.1,396900.0
2021-12-23,101.3,99.1,101.1,100.0,100.0,375501.0
2021-12-24,100.3,99.3,100.2,100.3,100.3,431000.0
2021-12-27,101.4,99.7,100.0,100.6,100.6,398800.0
2021-12-28,100.7,100.0,100.6,100.3,100.3,443000.0
2021-12-29,100.4,96.0,100.3,100.4,100.4,505100.0
2021-12-30,100.1,99.4,100.0,100.0,100.0,393300.0
2021-12-31,102.4,99.0,99.9,102.4,102.4,460800.0
2022-01-04,103.4,101.0,101.8,103.4,103.4,411600.0
2022-01-05,103.9,102.6,103.0,103.9,103.9,390000.0
2022-01-06,111.4,103.5,103.5,111.0,111.0,533400.0
2022-01-07,121.3,109.7,109.8,120.9,120.9,481500.0
2022-01-10,119.2,113.5,119.2,115.5,115.5,363900.0
2022-01-11,119.5,110.9,115.4,118.7,118.7,427600.0
2022-01-12,117.9,113.5,117.9,113.9,113.9,383400.0
2022-01-13,114.3,112.0,113.9,114.3,114.3,250800.0
2022-01-14,113.6,112.5,113.6,113.6,113.6,404100.0
2022-01-17,113.6,112.0,113.0,112.0,112.0,322200.0
2022-01-18,112.5,110.6,112.5,110.6,110.6,364300.0
2022-01-19,111.3,106.5,111.2,106.5,106.5,296400.0
2022-01-20,109.3,107.5,108.1,109.3,109.3,359600.0
2022-01-21,109.1,107.1,109.0,107.9,107.9,316000.0
2022-01-24,107.6,105.6,107.6,106.0,106.0,345100.0
2022-01-25,107.1,106.2,106.5,106.9,106.9,312700.0
2022-01-26,107.4,106.3,106.3,107.3,107.3,161300.0
2022-01-27,107.1,105.6,106.6,105.8,105.8,127100.0
2022-01-28,115.0,106.1,107.0,115.0,115.0,211300.0
2022-02-07,108.6,107.7,107.8,108.5,108.5,201503.0
2022-02-08,108.5,107.7,108.2,108.5,108.5,250607.0
2022-02-09,108.8,108.1,108.2,108.5,108.5,242901.0
2022-02-10,113.0,108.4,108.5,112.9,112.9,210400.0
2022-02-11,113.9,110.0,110.5,110.4,110.4,254200.0
2022-02-14,110.5,109.3,110.5,109.5,109.5,290801.0
2022-02-15,110.2,107.0,109.5,108.0,108.0,332400.0
2022-02-16,108.5,106.8,108.2,106.8,106.8,270301.0
2022-02-17,110.0,107.5,108.0,110.0,110.0,371507.0
2022-02-18,110.6,107.7,108.9,110.5,110.5,308200.0
2022-02-21,109.5,107.0,109.3,109.4,109.4,430900.0
2022-02-22,108.8,105.2,108.7,106.8,106.8,275111.0
2022-02-23,108.1,104.9,106.6,106.0,106.0,343100.0
2022-02-24,106.3,101.0,106.2,102.0,102.0,470800.0
2022-02-25,104.5,101.3,102.9,102.0,102.0,370900.0
2022-02-28,102.9,101.5,102.5,101.5,101.5,438500.0
2022-03-01,103.8,101.5,101.8,102.3,102.3,350500.0
2022-03-02,102.6,99.9,102.5,100.8,100.8,400450.0
2022-03-03,105.0,100.6,100.6,104.5,104.5,483201.0
2022-03-04,105.0,102.0,103.5,103.8,103.8,345600.0
2022-03-07,104.2,100.6,104.0,101.4,101.4,433701.0
2022-03-08,103.2,100.3,102.5,100.5,100.5,393900.0
2022-03-09,101.6,99.0,101.5,101.6,101.6,449900.0
2022-03-10,103.5,99.3,100.5,103.4,103.4,541322.0
2022-03-11,102.2,99.5,102.0,100.4,100.4,388807.0
2022-03-14,101.7,100.2,100.4,101.2,101.2,429500.0
2022-03-15,103.1,100.2,100.6,102.5,102.5,289100.0
2022-03-16,104.9,101.3,101.9,104.0,104.0,360300.0
2022-03-17,106.4,103.2,104.0,103.8,103.8,478150.0
2022-03-18,104.8,103.0,104.5,103.6,103.6,369703.0
2022-03-21,105.2,102.6,103.5,104.6,104.6,410200.0
2022-03-22,104.5,102.9,104.5,103.8,103.8,346231.0
2022-03-23,104.0,101.5,104.0,102.0,102.0,452802.0
2022-03-24,102.8,101.5,102.8,101.8,101.8,390909.0
2022-03-25,102.9,101.0,101.5,102.4,102.4,413100.0
2022-03-28,102.7,100.9,101.8,100.9,100.9,340200.0
2022-03-29,101.7,100.0,101.7,100.4,100.4,372290.0
2022-03-30,101.0,99.5,101.0,100.1,100.1,405100.0
2022-03-31,100.8,99.5,99.9,100.3,100.3,341700.0
2022-04-01,100.5,100.0,100.5,100.2,100.2,419600.0
2022-04-04,100.9,100.1,100.1,100.9,100.9,499900.0
2022-04-05,102.5,99.9,100.4,102.5,102.5,390350.0
2022-04-06,100.7,99.0,100.7,100.3,100.3,330000.0
2022-04-07,100.4,99.0,100.0,100.1,100.1,430600.0
2022-04-08,100.4,99.0,99.6,100.0,100.0,459300.0
2022-04-12,100.3,99.5,99.5,100.3,100.3,523100.0
2022-04-13,100.4,98.5,99.7,100.4,100.4,389100.0
2022-04-14,102.3,99.6,99.6,101.5,101.5,439900.0
2022-04-15,101.0,99.4,100.2,100.1,100.1,315000.0
2022-04-18,100.5,99.5,100.5,100.1,100.1,388800.0
2022-04-19,101.2,99.7,100.0,100.1,100.1,340800.0
2022-04-20,100.6,99.4,100.2,100.0,100.0,369600.0
2022-04-21,100.2,99.5,100.2,100.0,100.0,289950.0
2022-04-22,100.1,99.4,99.4,100.0,100.0,260009.0
2022-04-25,100.4,98.3,99.4,99.8,99.8,300700.0
2022-04-26,100.0,98.3,99.2,100.0,100.0,239800.0
2022-04-27,100.2,98.2,99.0,100.0,100.0,354500.0
2022-04-28,100.5,99.5,99.7,100.1,100.1,280000.0
2022-04-29,100.1,99.2,99.2,100.0,100.0,336700.0
2022-05-04,100.0,99.0,99.2,100.0,100.0,288400.0
2022-05-05,100.1,99.2,100.1,100.0,100.0,370200.0
