Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,13.5,12.7,12.85,13.4,13.4,16330710.0
2018-01-03,13.6,13.25,13.5,13.35,13.35,15695370.0
2018-01-04,13.85,13.35,13.35,13.6,13.6,26486080.0
2018-01-05,13.8,13.45,13.7,13.6,13.6,17260770.0
2018-01-08,14.55,13.7,13.7,14.55,14.55,33849130.0
2018-01-09,15.25,14.6,15.05,14.85,14.85,36237040.0
2018-01-10,15.65,14.5,14.7,15.6,15.6,49555650.0
2018-01-11,16.5,15.2,15.4,16.25,16.25,24136660.0
2018-01-12,16.5,15.5,16.1,15.5,15.5,34240510.0
2018-01-15,15.6,14.95,15.35,15.35,15.35,37458060.0
2018-01-16,15.2,14.75,15.0,14.95,14.95,42132270.0
2018-01-17,15.2,14.3,15.1,14.3,14.3,27468280.0
2018-01-18,15.0,13.9,14.15,15.0,15.0,31286260.0
2018-01-19,15.6,14.9,15.1,15.45,15.45,28631100.0
2018-01-22,15.5,14.85,15.3,15.1,15.1,24126670.0
2018-01-25,15.9,14.85,15.2,15.4,15.4,48551070.0
2018-01-26,15.9,15.2,15.6,15.7,15.7,22848750.0
2018-01-29,16.75,15.75,15.8,16.75,16.75,34304980.0
2018-01-30,17.3,16.25,16.6,17.1,17.1,30030790.0
2018-01-31,17.2,16.25,17.2,16.25,16.25,26189160.0
2018-02-01,16.4,15.65,16.35,15.7,15.7,26002480.0
2018-02-02,16.4,15.55,15.8,16.25,16.25,13867670.0
2018-02-05,16.05,15.15,15.85,15.15,15.15,22169590.0
2018-02-06,15.4,14.1,14.1,15.4,15.4,32948840.0
2018-02-07,16.1,15.6,15.9,15.75,15.75,14286510.0
2018-02-08,15.7,14.9,15.35,14.9,14.9,8479180.0
2018-02-09,15.15,14.3,14.4,14.95,14.95,13411880.0
2018-02-12,15.9,15.2,15.4,15.9,15.9,9914870.0
2018-02-13,16.1,15.85,16.0,15.9,15.9,10209140.0
2018-02-21,16.6,15.9,16.05,16.3,16.3,16316020.0
2018-02-22,16.7,16.0,16.1,16.1,16.1,18524560.0
2018-02-23,16.45,16.05,16.3,16.45,16.45,13291780.0
2018-02-26,16.8,16.05,16.75,16.05,16.05,19198360.0
2018-02-27,16.25,15.9,16.2,16.15,16.15,12575110.0
2018-02-28,16.3,15.9,16.0,16.1,16.1,15273080.0
2018-03-01,16.15,15.7,15.9,15.75,15.75,17478590.0
2018-03-02,15.8,15.45,15.5,15.7,15.7,11091610.0
2018-03-05,15.9,14.95,15.85,14.95,14.95,17426940.0
2018-03-06,15.45,15.0,15.2,15.3,15.3,12649080.0
2018-03-07,15.35,14.95,15.35,15.05,15.05,10579590.0
2018-03-08,15.3,15.0,15.1,15.2,15.2,6052260.0
2018-03-09,15.5,15.25,15.5,15.4,15.4,7217150.0
2018-03-12,16.15,15.45,15.55,15.95,15.95,17246770.0
2018-03-13,16.2,15.9,16.0,16.1,16.1,11565610.0
2018-03-14,16.45,16.05,16.2,16.05,16.05,16435110.0
2018-03-15,16.4,15.9,16.05,16.15,16.15,12448630.0
2018-03-16,16.55,16.25,16.4,16.3,16.3,22637590.0
2018-03-19,16.6,16.0,16.5,16.05,16.05,12281670.0
2018-03-20,16.05,15.9,15.9,16.0,16.0,12481130.0
2018-03-21,16.5,16.05,16.1,16.25,16.25,19142330.0
2018-03-22,16.45,15.95,16.3,16.0,16.0,13091770.0
2018-03-23,15.8,15.4,15.5,15.75,15.75,17462630.0
2018-03-26,15.75,15.4,15.5,15.65,15.65,10950260.0
2018-03-27,15.9,15.45,15.8,15.5,15.5,8281210.0
2018-03-28,15.5,15.3,15.45,15.35,15.35,6522170.0
2018-03-29,15.5,15.2,15.45,15.25,15.25,5936830.0
2018-03-30,15.55,15.2,15.3,15.5,15.5,5869030.0
2018-04-02,15.9,15.55,15.65,15.8,15.8,8270980.0
2018-04-03,15.85,15.6,15.7,15.7,15.7,6880570.0
2018-04-04,15.95,15.6,15.75,15.6,15.6,7381040.0
2018-04-05,15.75,15.55,15.65,15.7,15.7,6478900.0
2018-04-06,16.3,15.75,15.75,16.1,16.1,19585030.0
2018-04-09,16.5,16.1,16.2,16.4,16.4,14760890.0
2018-04-10,16.65,16.0,16.5,16.2,16.2,12994170.0
2018-04-11,16.3,15.55,16.2,15.65,15.65,16587330.0
2018-04-12,15.7,15.4,15.55,15.6,15.6,10108420.0
2018-04-13,15.8,15.35,15.75,15.45,15.45,8574840.0
2018-04-16,15.65,15.2,15.4,15.5,15.5,4935240.0
2018-04-17,15.8,15.5,15.5,15.8,15.8,4935860.0
2018-04-18,15.85,15.5,15.85,15.5,15.5,4805610.0
2018-04-19,15.55,15.0,15.5,15.0,15.0,9404240.0
2018-04-20,15.45,14.9,15.2,15.45,15.45,7856380.0
2018-04-23,15.5,14.4,15.45,14.4,14.4,11192640.0
2018-04-24,14.5,14.1,14.4,14.15,14.15,7281230.0
2018-04-26,14.25,13.2,14.1,13.35,13.35,8527570.0
2018-04-27,13.95,13.3,13.35,13.85,13.85,5678620.0
2018-05-02,13.95,13.2,13.8,13.3,13.3,5157290.0
2018-05-03,13.7,12.65,13.3,13.7,13.7,7686450.0
2018-05-04,13.8,13.35,13.7,13.45,13.45,4008960.0
2018-05-07,13.95,13.4,13.5,13.95,13.95,4882230.0
2018-05-08,14.0,13.65,13.9,13.65,13.65,3345160.0
2018-05-09,13.75,13.45,13.6,13.5,13.5,2448570.0
2018-05-10,13.5,12.8,13.5,12.9,12.9,5838710.0
2018-05-11,13.15,12.7,12.9,13.1,13.1,5002790.0
