Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,6.94,6.94,6.94,6.94,3.751,10.0
2018-01-03,6.94,6.94,6.94,6.94,3.751,0.0
2018-01-04,7.41,6.46,6.46,7.41,4.005,30.0
2018-01-05,7.41,7.41,7.41,7.41,4.005,0.0
2018-01-08,7.9,6.9,7.9,6.9,3.73,110.0
2018-01-09,7.37,7.36,7.37,7.36,3.978,20.0
2018-01-10,7.36,7.36,7.36,7.36,3.978,0.0
2018-01-11,6.85,6.85,6.85,6.85,3.703,310.0
2018-01-12,7.3,6.38,6.38,7.3,3.946,6070.0
2018-01-15,7.81,6.85,7.81,7.74,4.184,450.0
2018-01-16,8.27,8.27,8.27,8.27,4.47,20.0
2018-01-17,7.7,7.7,7.7,7.7,4.162,30.0
2018-01-18,7.7,7.7,7.7,7.7,4.162,0.0
2018-01-19,8.21,7.17,7.7,7.17,3.876,120.0
2018-01-22,7.17,6.67,7.17,6.68,3.611,2110.0
2018-01-25,6.23,6.23,6.23,6.23,3.368,10.0
2018-01-26,6.66,5.85,6.66,5.85,3.162,1500.0
2018-01-29,5.85,5.85,5.85,5.85,3.162,0.0
2018-01-30,6.25,5.5,6.25,5.5,2.973,120.0
2018-01-31,5.12,5.12,5.12,5.12,2.768,10.0
2018-02-01,5.12,5.12,5.12,5.12,2.768,1000.0
2018-02-02,5.46,4.77,4.77,5.46,2.951,20.0
2018-02-05,5.08,5.08,5.08,5.08,2.746,10.0
2018-02-06,5.08,5.08,5.08,5.08,2.746,0.0
2018-02-07,5.43,4.73,4.73,5.43,2.935,30.0
2018-02-08,5.8,5.8,5.8,5.8,3.135,30.0
2018-02-09,6.2,6.2,6.2,6.2,3.351,10.0
2018-02-12,5.77,5.77,5.77,5.77,3.119,210.0
2018-02-13,6.17,5.38,6.17,5.38,2.908,220.0
2018-02-21,5.75,5.75,5.75,5.75,3.108,10.0
2018-02-22,5.75,5.75,5.75,5.75,3.108,0.0
2018-02-23,5.35,5.35,5.35,5.35,2.892,10.0
2018-02-26,4.99,4.99,4.99,4.99,2.697,10.0
2018-02-27,5.33,5.33,5.33,5.33,2.881,10.0
2018-02-28,5.33,5.33,5.33,5.33,2.881,0.0
2018-03-01,5.33,5.33,5.33,5.33,2.881,0.0
2018-03-02,5.7,5.33,5.33,5.7,3.081,1020.0
2018-03-05,6.09,6.09,6.09,6.09,3.292,430.0
2018-03-06,6.5,6.5,6.5,6.5,3.513,10.0
2018-03-07,6.9,6.9,6.9,6.9,3.73,10.0
2018-03-08,6.9,6.9,6.9,6.9,3.73,0.0
2018-03-09,6.9,6.9,6.9,6.9,3.73,0.0
2018-03-12,6.8,6.42,6.8,6.42,3.47,500.0
2018-03-13,6.42,5.98,6.42,6.0,3.243,60.0
2018-03-14,6.41,5.58,5.58,6.38,3.449,960.0
2018-03-15,6.44,6.2,6.44,6.2,3.351,40.0
2018-03-16,6.19,6.19,6.19,6.19,3.346,10.0
2018-03-19,6.62,6.0,6.62,6.24,3.373,70.0
2018-03-20,5.82,5.81,5.81,5.81,3.141,1010.0
2018-03-21,6.19,6.19,6.19,6.19,3.346,10.0
2018-03-22,5.76,5.76,5.76,5.76,3.113,20.0
2018-03-23,6.16,5.75,5.75,5.75,3.108,130.0
2018-03-26,6.12,6.12,6.12,6.12,3.308,10.0
2018-03-27,6.12,6.12,6.12,6.12,3.308,0.0
2018-03-28,6.12,6.12,6.12,6.12,3.308,0.0
2018-03-29,6.53,6.53,6.53,6.53,3.53,10.0
2018-03-30,6.53,6.53,6.53,6.53,3.53,0.0
2018-04-02,6.53,6.53,6.53,6.53,3.53,0.0
2018-04-03,6.53,6.53,6.53,6.53,3.53,0.0
2018-04-04,6.8,6.8,6.8,6.8,3.676,10.0
2018-04-05,6.8,6.8,6.8,6.8,3.676,0.0
2018-04-06,6.8,6.8,6.8,6.8,3.676,0.0
2018-04-09,6.8,6.8,6.8,6.8,3.676,0.0
2018-04-10,6.8,6.8,6.8,6.8,3.676,0.0
2018-04-11,6.8,6.8,6.8,6.8,3.676,0.0
2018-04-12,7.27,6.33,6.33,7.27,3.93,100.0
2018-04-13,7.27,7.27,7.27,7.27,3.93,0.0
2018-04-16,7.09,6.77,6.77,7.09,3.832,1010.0
2018-04-17,6.6,6.6,6.6,6.6,3.568,1010.0
2018-04-18,7.0,6.15,6.15,7.0,3.784,150.0
2018-04-19,7.39,7.0,7.0,7.38,3.989,40.0
2018-04-20,7.38,7.38,7.38,7.38,3.989,0.0
2018-04-23,7.38,7.38,7.38,7.38,3.989,0.0
2018-04-24,7.89,7.89,7.89,7.89,4.265,10.0
2018-04-26,7.89,7.89,7.89,7.89,4.265,0.0
2018-04-27,7.89,7.89,7.89,7.89,4.265,0.0
2018-05-02,7.89,7.89,7.89,7.89,4.265,0.0
2018-05-03,7.89,7.89,7.89,7.89,4.265,0.0
2018-05-04,7.89,7.89,7.89,7.89,4.265,0.0
2018-05-07,7.34,7.34,7.34,7.34,3.968,10.0
2018-05-08,7.34,7.34,7.34,7.34,3.968,0.0
2018-05-09,7.34,7.34,7.34,7.34,3.968,0.0
2018-05-10,7.34,7.34,7.34,7.34,3.968,0.0
2018-05-11,7.34,7.34,7.34,7.34,3.968,0.0
2018-05-14,7.34,7.34,7.34,7.34,3.968,0.0
2018-05-15,7.34,7.34,7.34,7.34,3.968,0.0
2018-05-16,7.34,7.34,7.34,7.34,3.968,0.0
2018-05-17,7.34,7.34,7.34,7.34,3.968,0.0
2018-05-18,7.34,7.34,7.34,7.34,3.968,0.0
2018-05-21,7.34,7.34,7.34,7.34,3.968,0.0
2018-05-22,7.34,7.34,7.34,7.34,3.968,0.0
2018-05-23,7.8,6.83,7.8,6.83,3.692,60.0
2018-05-24,7.29,6.36,7.0,7.0,3.784,380.0
2018-05-25,7.4,6.51,7.4,6.51,3.519,30.0
2018-05-28,6.7,6.06,6.06,6.7,3.622,70.0
2018-05-29,7.14,6.24,7.13,6.25,3.378,190.0
2018-05-30,6.68,5.83,5.83,6.68,3.611,30.0
2018-05-31,7.14,6.22,6.5,6.22,3.362,180.0
2018-06-01,6.65,5.79,6.65,5.83,3.151,600.0
2018-06-04,6.23,5.44,5.44,5.45,2.946,90.0
2018-06-05,5.83,5.83,5.83,5.83,3.151,140.0
2018-06-06,5.83,5.83,5.83,5.83,3.151,0.0
2018-06-07,6.21,5.43,6.21,5.43,2.935,130.0
2018-06-08,5.43,5.07,5.07,5.43,2.935,1120.0
2018-06-11,5.1,5.1,5.1,5.1,2.757,10.0
2018-06-12,4.76,4.76,4.76,4.76,2.573,10.0
2018-06-13,5.0,5.0,5.0,5.0,2.703,60.0
2018-06-14,5.0,5.0,5.0,5.0,2.703,0.0
2018-06-15,4.68,4.67,4.68,4.67,2.524,30.0
2018-06-18,4.67,4.67,4.67,4.67,2.524,0.0
2018-06-19,4.67,4.67,4.67,4.67,2.524,0.0
2018-06-20,4.99,4.99,4.99,4.99,2.697,50.0
2018-06-21,5.33,5.33,5.33,5.33,2.881,10.0
2018-06-22,5.7,5.7,5.7,5.7,3.081,50.0
2018-06-25,6.07,5.8,5.8,6.07,3.281,60.0
2018-06-26,6.48,6.48,6.48,6.48,3.503,40.0
2018-06-27,6.48,6.03,6.48,6.03,3.259,90.0
2018-06-28,6.44,6.44,6.44,6.44,3.481,60.0
2018-06-29,6.44,6.44,6.44,6.44,3.481,0.0
2018-07-02,6.64,6.6,6.6,6.64,3.589,40.0
2018-07-03,6.64,6.64,6.64,6.64,3.589,0.0
2018-07-04,6.69,6.69,6.69,6.69,3.616,100.0
2018-07-05,6.69,6.69,6.69,6.69,3.616,0.0
2018-07-06,6.69,6.69,6.69,6.69,3.616,0.0
2018-07-09,6.69,6.69,6.69,6.69,3.616,50.0
2018-07-10,6.69,6.69,6.69,6.69,3.616,0.0
2018-07-11,7.15,6.5,7.15,6.5,3.513,60.0
2018-07-12,6.5,6.5,6.5,6.5,3.513,0.0
2018-07-13,6.5,6.5,6.5,6.5,3.513,0.0
2018-07-16,6.6,6.6,6.6,6.6,3.568,10.0
2018-07-17,6.6,6.6,6.6,6.6,3.568,0.0
2018-07-18,6.6,6.6,6.6,6.6,3.568,0.0
2018-07-19,7.06,7.06,7.06,7.06,3.816,60.0
2018-07-20,7.0,7.0,7.0,7.0,3.784,20.0
2018-07-23,6.51,6.51,6.51,6.51,3.519,40.0
2018-07-24,6.06,6.06,6.06,6.06,3.276,10.0
