Date,High,Low,Open,Close,Adj Close,Volume
2019-01-15,15.0,11.0,15.0,11.0,6.579,109570.0
2019-01-16,11.75,11.0,11.0,11.75,7.028,27940.0
2019-01-17,12.55,12.55,12.55,12.55,7.506,119080.0
2019-01-18,13.2,12.55,13.1,12.55,7.506,50480.0
2019-01-21,12.55,11.9,12.55,11.9,7.117,13560.0
2019-01-22,11.6,11.2,11.6,11.2,6.699,44240.0
2019-01-23,11.2,11.0,11.0,11.0,6.579,32640.0
2019-01-24,11.5,10.9,11.0,10.9,6.519,25700.0
2019-01-25,11.0,10.7,10.8,10.9,6.519,49630.0
2019-01-28,11.0,10.5,11.0,10.5,6.28,14490.0
2019-01-29,10.5,10.3,10.5,10.3,6.16,17290.0
2019-01-30,11.0,10.5,10.5,11.0,6.579,13100.0
2019-01-31,11.6,10.3,10.3,11.6,6.938,13540.0
2019-02-01,12.2,11.8,11.8,12.0,7.177,26280.0
2019-02-11,12.15,11.2,11.9,11.9,7.117,19240.0
2019-02-12,12.2,11.6,12.2,12.0,7.177,6110.0
2019-02-13,12.0,11.35,11.45,11.35,6.788,12030.0
2019-02-14,11.9,11.4,11.4,11.9,7.117,44960.0
2019-02-15,12.0,11.75,12.0,11.95,7.147,710.0
2019-02-18,11.85,11.55,11.75,11.7,6.998,8130.0
2019-02-19,11.75,11.5,11.5,11.5,6.878,10110.0
2019-02-20,11.8,11.5,11.5,11.7,6.998,240.0
2019-02-21,11.8,11.4,11.4,11.7,6.998,11650.0
2019-02-22,11.65,11.2,11.2,11.35,6.788,4700.0
2019-02-25,11.75,11.3,11.75,11.45,6.848,6120.0
2019-02-26,11.6,11.3,11.35,11.4,6.818,26740.0
2019-02-27,11.4,11.35,11.4,11.35,6.788,9660.0
2019-02-28,11.3,11.1,11.3,11.1,6.639,28330.0
2019-03-01,11.4,11.2,11.4,11.35,6.788,6140.0
2019-03-04,11.35,11.2,11.3,11.35,6.788,34570.0
2019-03-05,11.5,11.1,11.35,11.5,6.878,56010.0
2019-03-06,11.8,11.3,11.3,11.6,6.938,33470.0
2019-03-07,12.4,11.35,11.35,12.4,7.416,267080.0
2019-03-08,13.1,12.75,12.75,12.9,7.715,111620.0
2019-03-11,13.8,12.9,12.9,13.8,8.254,278650.0
2019-03-12,14.75,14.0,14.1,14.75,8.822,641940.0
2019-03-13,15.0,14.2,15.0,14.8,8.852,142590.0
2019-03-14,15.0,14.35,14.6,14.9,8.912,137890.0
2019-03-15,15.1,14.5,14.9,14.7,8.792,267670.0
2019-03-18,14.8,14.2,14.75,14.5,8.672,182310.0
2019-03-19,14.65,14.3,14.3,14.6,8.732,134560.0
2019-03-20,15.4,14.4,14.7,15.4,9.211,220550.0
2019-03-21,16.45,15.4,15.6,16.45,9.839,561890.0
2019-03-22,17.6,16.4,16.4,17.5,10.467,594160.0
2019-03-25,17.5,16.3,17.5,16.3,9.749,305200.0
2019-03-26,15.9,15.2,15.2,15.3,9.151,268880.0
2019-03-27,16.35,15.05,15.05,16.35,9.779,154760.0
2019-03-28,16.4,15.7,16.4,15.8,9.45,146440.0
2019-03-29,16.4,15.4,15.4,16.2,9.689,75910.0
2019-04-01,16.75,15.8,16.2,16.7,9.988,123850.0
2019-04-02,17.4,16.3,17.4,16.45,9.839,93040.0
2019-04-03,16.65,16.1,16.1,16.1,9.629,46680.0
2019-04-04,16.8,16.1,16.1,16.4,9.809,151510.0
2019-04-05,16.6,16.2,16.4,16.25,9.719,81910.0
2019-04-08,16.8,16.0,16.25,16.2,9.689,86590.0
2019-04-09,16.2,15.75,16.1,15.75,9.42,80070.0
2019-04-10,16.2,15.35,16.1,16.0,9.57,55540.0
2019-04-11,16.0,15.5,15.6,15.55,9.3,31730.0
2019-04-12,15.9,15.1,15.35,15.6,9.33,99700.0
2019-04-16,15.8,15.0,15.7,15.25,9.121,20500.0
2019-04-17,15.4,15.0,15.05,15.0,8.972,131610.0
2019-04-18,15.0,14.6,15.0,14.6,8.732,109570.0
2019-04-19,15.0,14.5,14.9,14.9,8.912,42830.0
2019-04-22,15.0,14.5,14.5,14.6,8.732,71150.0
2019-04-23,14.9,14.55,14.55,14.6,8.732,70640.0
2019-04-24,15.0,14.6,14.6,14.65,8.762,74430.0
2019-04-25,15.65,14.65,14.65,15.0,8.972,174610.0
2019-04-26,15.6,15.0,15.4,15.15,9.061,7330.0
2019-05-02,15.9,15.0,15.15,15.55,9.3,109090.0
2019-05-03,15.8,15.1,15.8,15.4,9.211,75440.0
2019-05-06,15.4,14.8,15.4,15.2,9.091,56300.0
2019-05-07,15.4,14.95,15.0,15.4,9.211,84600.0
2019-05-08,15.4,15.1,15.25,15.4,9.211,17710.0
2019-05-09,15.4,15.0,15.4,15.0,8.972,34800.0
2019-05-10,15.1,14.65,14.65,15.05,9.001,121480.0
2019-05-13,16.0,14.8,15.05,15.95,9.54,187140.0
2019-05-14,16.85,15.45,15.95,16.75,10.018,521800.0
2019-05-15,16.95,16.3,16.5,16.7,9.988,193830.0
2019-05-16,17.5,16.6,16.7,16.7,9.988,410160.0
2019-05-17,16.85,16.35,16.5,16.45,9.839,220960.0
2019-05-20,17.6,16.3,16.3,17.6,10.527,883300.0
2019-05-21,18.4,17.6,17.6,17.8,10.646,373120.0
2019-05-22,18.3,17.8,17.8,17.9,10.706,375670.0
2019-05-23,17.95,17.55,17.6,17.6,10.527,395790.0
2019-05-24,18.7,17.5,17.55,18.3,10.945,623620.0
2019-05-27,19.2,18.3,18.3,19.2,11.484,308580.0
2019-05-28,20.0,19.2,19.4,19.75,11.812,504660.0
2019-05-29,19.6,19.15,19.6,19.35,11.573,272840.0
2019-05-30,19.3,18.7,19.1,18.8,11.244,365660.0
2019-05-31,19.4,18.2,18.7,18.2,10.885,369550.0
2019-06-03,18.9,18.0,18.2,18.2,10.885,175170.0
2019-06-04,18.8,18.3,18.65,18.8,11.244,160300.0
2019-06-05,19.8,18.85,19.1,18.85,11.274,293910.0
2019-06-06,19.5,18.85,18.85,19.2,11.484,243990.0
2019-06-07,20.5,19.25,19.25,20.5,12.261,1007580.0
2019-06-10,21.4,20.4,20.9,20.95,12.53,346910.0
2019-06-11,21.5,20.5,21.2,20.8,12.44,328710.0
2019-06-12,20.9,19.8,20.8,19.8,11.842,356370.0
2019-06-13,20.7,19.9,19.95,20.2,12.082,287650.0
2019-06-14,20.55,19.3,20.55,19.3,11.543,372210.0
2019-06-17,19.8,19.15,19.3,19.3,11.543,197970.0
2019-06-18,19.9,19.2,19.2,19.8,11.842,230990.0
2019-06-19,20.3,19.7,19.8,20.3,12.141,161740.0
2019-06-20,20.4,19.8,20.3,19.8,11.842,255020.0
2019-06-21,20.1,19.65,19.8,19.65,11.753,154830.0
2019-06-24,19.9,19.5,19.5,19.6,11.723,165280.0
2019-06-25,19.85,19.0,19.7,19.0,11.364,245610.0
2019-06-26,19.0,18.3,19.0,18.6,11.125,516810.0
2019-06-27,18.9,18.45,18.7,18.6,11.125,111790.0
2019-06-28,18.65,18.1,18.6,18.3,10.945,182890.0
2019-07-01,19.4,18.5,18.7,19.2,11.484,181060.0
2019-07-02,19.45,18.95,19.4,19.15,11.454,238240.0
2019-07-03,19.3,18.95,19.15,19.15,11.454,127700.0
2019-07-04,20.45,19.15,19.15,20.45,12.231,701070.0
2019-07-05,21.1,20.55,21.0,21.0,12.56,741210.0
2019-07-08,21.35,20.8,21.0,21.0,12.56,390280.0
2019-07-09,21.1,20.65,20.9,21.1,12.62,323330.0
2019-07-10,22.55,21.3,21.3,22.55,13.487,649580.0
2019-07-11,23.1,22.1,23.0,22.5,13.457,382990.0
2019-07-12,23.55,22.2,22.8,22.5,13.457,344230.0
2019-07-15,23.3,22.5,22.6,22.5,13.457,454610.0
2019-07-16,22.95,21.7,22.6,21.7,12.979,378030.0
2019-07-17,22.1,21.3,21.7,21.65,12.949,185740.0
2019-07-18,22.0,21.25,21.25,21.9,13.098,178530.0
2019-07-19,22.45,21.4,21.5,22.0,13.158,279030.0
2019-07-22,23.0,21.8,22.4,22.85,13.667,280430.0
2019-07-23,23.7,22.85,23.0,22.9,13.696,451420.0
2019-07-24,23.2,21.9,23.0,22.35,13.368,486280.0
2019-07-25,22.5,21.6,22.35,22.0,13.158,228620.0
2019-07-26,23.0,21.8,21.95,22.45,13.427,336050.0
2019-07-29,23.2,22.55,22.65,23.0,13.756,583590.0
2019-07-30,23.3,22.5,23.0,22.5,13.457,402380.0
2019-07-31,23.0,22.6,22.7,22.8,13.637,204960.0
2019-08-01,24.35,22.6,22.6,24.35,14.564,1236520.0
2019-08-02,25.1,24.5,24.8,24.9,14.893,747950.0
2019-08-05,25.95,24.35,24.9,25.95,15.521,705760.0
2019-08-06,27.7,25.0,25.0,26.45,15.82,976630.0
2019-08-07,27.2,25.1,26.45,25.5,15.252,694890.0
2019-08-08,25.95,24.9,25.5,25.2,15.072,632370.0
2019-08-09,25.6,25.05,25.2,25.3,15.132,307110.0
2019-08-12,25.9,25.05,25.3,25.3,15.132,445620.0
2019-08-13,25.5,23.55,25.2,23.9,14.295,1116880.0
2019-08-14,24.7,23.8,23.9,23.9,14.295,213010.0
2019-08-15,24.3,22.8,23.5,24.25,14.504,473350.0
2019-08-16,24.1,23.6,23.9,23.6,14.597,424650.0
2019-08-19,24.1,23.5,23.6,23.8,14.721,230620.0
2019-08-20,25.1,23.7,23.8,25.1,15.525,1063710.0
2019-08-21,25.5,24.5,25.15,24.5,15.154,483160.0
2019-08-22,24.9,24.45,24.5,24.45,15.123,270850.0
2019-08-23,24.8,24.1,24.45,24.2,14.968,290990.0
2019-08-26,24.75,24.0,24.6,24.0,14.844,413740.0
2019-08-27,24.5,23.3,24.3,23.3,14.411,561370.0
2019-08-28,23.5,23.0,23.1,23.0,14.226,369730.0
2019-08-29,23.2,22.0,22.9,22.3,13.793,419740.0
2019-08-30,22.45,21.8,22.45,21.8,13.484,467360.0
2019-09-03,21.5,20.3,21.3,20.3,12.556,514610.0
2019-09-04,20.3,19.1,19.5,20.3,12.556,512630.0
2019-09-05,21.1,20.5,20.6,20.5,12.679,113390.0
2019-09-06,20.7,19.8,20.0,19.8,12.247,87960.0
2019-09-09,19.5,18.6,19.5,18.6,11.504,356620.0
2019-09-10,18.7,17.4,18.6,17.4,10.762,561260.0
2019-09-11,18.15,17.3,17.3,18.1,11.195,315750.0
2019-09-12,18.8,18.15,18.5,18.45,11.412,116680.0
2019-09-13,18.5,17.5,18.45,18.2,11.257,348450.0
2019-09-16,18.25,17.9,18.2,17.9,11.071,144610.0
2019-09-17,19.15,17.8,17.9,19.15,11.844,321190.0
2019-09-18,20.25,19.15,19.15,19.4,11.999,243010.0
2019-09-19,19.6,19.1,19.4,19.6,12.123,153530.0
2019-09-20,19.6,19.0,19.6,19.2,11.875,183980.0
2019-09-23,19.2,18.7,19.2,18.75,11.597,96980.0
2019-09-24,18.75,18.0,18.4,18.0,11.133,244560.0
2019-09-25,18.8,17.75,17.75,18.7,11.566,153340.0
2019-09-26,18.9,18.6,18.9,18.6,11.504,54250.0
2019-09-27,18.8,18.5,18.75,18.7,11.566,91060.0
2019-09-30,18.7,18.3,18.3,18.3,11.319,119220.0
2019-10-01,18.9,18.45,18.8,18.5,11.442,117760.0
2019-10-02,19.0,18.5,18.6,18.7,11.566,143700.0
2019-10-03,18.9,18.2,18.3,18.9,11.69,60330.0
2019-10-04,19.0,18.6,19.0,18.65,11.535,111140.0
2019-10-07,18.6,18.2,18.6,18.3,11.319,94440.0
2019-10-08,18.4,17.8,18.0,18.0,11.133,165920.0
2019-10-09,18.2,17.8,18.1,17.8,11.01,183110.0
2019-10-10,18.3,17.8,18.2,18.0,11.133,125970.0
2019-10-11,18.25,17.8,17.8,18.05,11.164,39400.0
2019-10-14,18.2,17.15,18.15,17.3,10.7,135830.0
2019-10-15,17.7,16.8,17.3,17.3,10.7,296720.0
2019-10-16,17.7,16.7,17.3,16.8,10.391,188660.0
2019-10-17,16.95,16.75,16.8,16.8,10.391,114890.0
2019-10-18,17.95,17.35,17.35,17.95,11.102,360490.0
2019-10-21,18.8,18.2,18.7,18.3,11.319,212920.0
2019-10-22,18.35,18.0,18.3,18.0,11.133,123680.0
2019-10-23,18.9,17.8,17.9,18.75,11.597,256130.0
2019-10-24,19.0,18.2,18.75,18.6,11.504,117930.0
2019-10-25,18.85,18.55,18.7,18.6,11.504,96680.0
2019-10-28,18.7,18.15,18.7,18.2,11.257,160350.0
2019-10-29,18.25,17.6,18.2,17.7,10.948,222120.0
2019-10-30,18.3,17.6,17.9,18.0,11.133,161260.0
2019-10-31,18.4,17.7,18.1,17.9,11.071,68360.0
2019-11-01,18.0,17.7,17.75,17.75,10.979,72960.0
2019-11-04,18.0,17.45,17.95,17.5,10.824,194560.0
2019-11-05,17.8,17.1,17.8,17.4,10.762,90710.0
2019-11-06,18.0,17.0,17.0,17.45,10.793,143500.0
2019-11-07,18.0,17.5,17.55,17.6,10.886,87030.0
2019-11-08,17.85,17.55,17.65,17.7,10.948,94890.0
2019-11-11,17.7,17.4,17.6,17.4,10.762,66530.0
2019-11-12,17.5,17.25,17.4,17.5,10.824,104130.0
2019-11-13,17.75,17.2,17.75,17.3,10.7,75890.0
2019-11-14,17.4,17.15,17.3,17.3,10.7,84450.0
2019-11-15,17.3,17.05,17.1,17.05,10.546,102430.0
2019-11-18,17.3,17.0,17.3,17.05,10.546,86720.0
2019-11-19,17.45,17.0,17.05,17.35,10.731,104450.0
2019-11-20,18.2,17.2,17.45,18.15,11.226,317730.0
2019-11-21,18.9,17.9,18.15,18.25,11.288,608260.0
2019-11-22,18.5,17.2,18.5,17.5,10.824,271480.0
2019-11-25,17.6,17.2,17.3,17.35,10.731,33960.0
2019-11-26,17.4,17.25,17.4,17.4,10.762,99710.0
2019-11-27,17.6,17.15,17.4,17.4,10.762,100850.0
2019-11-28,17.5,17.15,17.5,17.3,10.7,122990.0
2019-11-29,17.4,17.1,17.3,17.1,10.577,85900.0
2019-12-02,17.25,16.0,17.25,16.5,10.205,362930.0
2019-12-03,16.6,16.0,16.3,16.4,10.144,107990.0
2019-12-04,16.6,16.05,16.3,16.5,10.205,58690.0
2019-12-05,17.0,16.45,16.75,16.45,10.175,74150.0
2019-12-06,16.55,16.3,16.45,16.3,10.082,52190.0
2019-12-09,16.6,16.2,16.25,16.35,10.113,88530.0
2019-12-10,16.5,16.25,16.5,16.4,10.144,29920.0
2019-12-11,16.6,16.3,16.3,16.4,10.144,54800.0
2019-12-12,17.1,16.25,16.4,16.9,10.453,125370.0
2019-12-13,17.1,16.8,17.1,17.0,10.515,57850.0
2019-12-16,17.1,16.6,17.1,16.6,10.267,45560.0
2019-12-17,17.3,16.4,16.6,16.6,10.267,231790.0
2019-12-18,16.9,16.5,16.5,16.7,10.329,29410.0
2019-12-19,17.0,16.7,16.7,16.75,10.36,113910.0
2019-12-20,17.1,16.4,16.75,16.6,10.267,60080.0
2019-12-23,16.8,16.6,16.6,16.7,10.329,45750.0
2019-12-24,17.85,16.6,16.7,17.85,11.04,278600.0
2019-12-25,18.35,17.55,18.1,18.1,11.195,351420.0
2019-12-26,18.4,17.8,18.35,18.1,11.195,249200.0
2019-12-27,18.3,17.8,17.9,18.1,11.195,266690.0
2019-12-30,18.3,17.5,18.2,17.5,10.824,359200.0
2019-12-31,17.8,17.0,17.4,17.7,10.948,210020.0
