Date,High,Low,Open,Close,Adj Close,Volume
2021-12-27,16.5,16.5,16.5,16.5,15.266,100.0
2021-12-28,16.5,16.5,16.5,16.5,15.266,10.0
2021-12-29,18.9,18.9,18.9,18.9,17.486,100.0
2021-12-30,21.7,21.7,21.7,21.7,20.077,100.0
2021-12-31,24.9,24.9,24.9,24.9,23.038,100.0
2022-01-04,28.6,28.6,28.6,28.6,26.461,100.0
2022-01-05,32.8,32.8,32.8,32.8,30.347,500.0
2022-01-06,37.7,37.7,37.7,37.7,34.88,400.0
2022-01-07,43.3,43.3,43.3,43.3,40.061,60400.0
2022-01-10,49.7,49.0,49.7,49.7,45.983,93171.0
2022-01-11,57.0,42.3,57.0,46.0,42.559,69010.0
2022-01-12,44.5,39.2,44.5,40.9,37.841,66701.0
2022-01-13,41.7,35.6,41.6,35.8,33.122,55108.0
2022-01-14,39.8,34.0,35.0,37.9,35.065,30800.0
2022-01-17,37.0,36.0,37.0,36.0,33.307,16800.0
2022-01-18,36.0,35.0,35.1,35.4,32.752,16606.0
2022-01-19,38.5,35.0,35.0,38.0,35.158,11000.0
2022-01-20,38.0,37.0,38.0,37.5,34.695,6500.0
2022-01-21,40.0,38.5,38.5,39.4,36.453,18000.0
2022-01-24,39.1,37.5,39.1,37.5,34.695,10700.0
2022-01-25,39.0,36.3,37.5,37.0,34.233,16706.0
2022-01-26,38.0,37.3,37.3,37.5,34.695,3200.0
2022-01-27,37.0,35.8,36.0,37.0,34.233,4900.0
2022-01-28,37.7,36.0,37.7,36.0,33.307,6900.0
2022-02-07,37.1,37.0,37.0,37.1,34.325,3500.0
2022-02-08,39.9,37.1,39.9,37.9,35.065,3401.0
2022-02-09,38.5,37.5,37.5,37.6,34.788,23100.0
2022-02-10,37.5,37.0,37.2,37.5,34.695,6800.0
2022-02-11,37.9,37.3,37.3,37.6,34.788,10100.0
2022-02-14,37.5,37.0,37.0,37.4,34.603,13000.0
2022-02-15,37.7,35.4,37.0,37.7,34.88,4800.0
2022-02-16,37.3,36.6,37.0,37.3,34.51,12600.0
2022-02-17,37.7,37.0,37.4,37.7,34.88,6400.0
2022-02-18,37.5,37.3,37.5,37.3,34.51,400.0
2022-02-21,37.4,36.8,37.4,37.4,34.603,5500.0
2022-02-22,37.1,36.5,37.0,36.7,33.955,7900.0
2022-02-23,37.5,36.6,36.9,37.1,34.325,23900.0
2022-02-24,37.0,37.0,37.0,37.0,34.233,4000.0
2022-02-25,41.5,37.0,37.0,38.5,35.62,136400.0
2022-02-28,38.5,37.3,38.0,38.0,35.158,5400.0
2022-03-01,38.4,38.0,38.0,38.4,35.528,700.0
2022-03-02,37.6,36.6,37.6,36.6,33.862,13100.0
2022-03-03,37.4,36.7,36.7,36.8,34.048,11600.0
2022-03-04,37.9,36.3,37.1,37.2,34.418,9800.0
2022-03-07,37.4,36.9,37.4,36.9,34.14,14000.0
2022-03-08,37.0,36.2,36.8,37.0,34.233,13000.0
2022-03-09,36.8,36.7,36.8,36.7,33.955,6800.0
2022-03-10,36.9,36.6,36.6,36.7,33.955,7300.0
2022-03-11,36.7,36.7,36.7,36.7,33.955,100.0
2022-03-14,36.7,36.0,36.0,36.7,33.955,5200.0
2022-03-15,37.0,36.1,36.3,37.0,34.233,8700.0
2022-03-16,36.5,36.0,36.5,36.0,33.307,4300.0
2022-03-17,36.5,36.2,36.3,36.4,33.677,8100.0
2022-03-18,36.3,36.1,36.3,36.3,33.585,6500.0
2022-03-21,36.5,36.1,36.5,36.5,33.77,4300.0
2022-03-22,36.5,36.1,36.1,36.2,33.492,4200.0
2022-03-23,36.4,36.1,36.3,36.2,33.492,8300.0
2022-03-24,36.2,36.0,36.0,36.0,33.307,6900.0
2022-03-25,36.0,35.0,35.8,35.5,32.845,20900.0
2022-03-28,36.0,35.0,35.5,35.7,33.03,12700.0
2022-03-29,38.5,35.7,35.7,36.8,34.048,28600.0
2022-03-30,37.9,37.2,37.5,37.2,34.418,46100.0
2022-03-31,38.3,37.4,37.5,37.9,35.065,40600.0
2022-04-01,38.0,37.2,37.9,37.8,34.973,35500.0
2022-04-04,38.5,37.5,37.8,38.4,35.528,57100.0
2022-04-05,40.5,37.9,37.9,40.0,37.008,138800.0
2022-04-06,41.1,39.9,40.0,40.5,37.471,85300.0
2022-04-07,40.3,38.5,40.3,39.4,36.453,43400.0
2022-04-08,40.0,37.6,38.8,38.5,35.62,45600.0
2022-04-12,38.9,38.5,38.5,38.5,35.62,32300.0
2022-04-13,39.0,37.5,37.5,39.0,36.083,43400.0
2022-04-14,40.2,37.7,37.7,39.9,36.916,41700.0
2022-04-15,39.9,39.1,39.8,39.9,36.916,13300.0
2022-04-18,42.6,39.9,39.9,40.3,37.286,102400.0
2022-04-19,42.0,35.2,41.5,39.2,36.268,23300.0
2022-04-20,39.9,39.3,39.9,39.8,36.823,31000.0
2022-04-21,38.0,33.4,38.0,35.5,33.24,53200.0
2022-04-22,38.5,30.3,30.3,37.2,34.832,80800.0
2022-04-25,38.5,37.1,37.1,38.3,35.862,42800.0
2022-04-26,40.0,37.9,37.9,40.0,37.454,55800.0
2022-04-27,39.4,39.0,39.0,39.4,36.892,2500.0
2022-04-28,39.2,33.6,37.0,38.0,35.581,25600.0
2022-04-29,39.0,38.0,38.0,39.0,36.518,17200.0
2022-05-04,39.7,38.5,39.7,38.5,36.049,11200.0
2022-05-05,39.0,38.0,38.4,38.9,36.424,12900.0
2022-05-06,38.5,38.0,38.0,38.5,36.049,30700.0
2022-05-09,38.5,32.8,38.5,38.5,36.049,53600.0
2022-05-10,38.5,35.4,35.4,38.5,36.049,9600.0
2022-05-11,38.5,38.5,38.5,38.5,36.049,100.0
2022-05-12,39.4,38.0,38.0,38.5,36.049,33400.0
2022-05-13,38.4,38.0,38.4,38.0,35.581,7800.0
2022-05-16,38.0,37.5,38.0,37.5,35.113,6100.0
2022-05-17,38.4,37.0,37.0,38.4,35.956,14400.0
2022-05-18,38.9,37.5,37.5,38.5,36.049,48400.0
2022-05-19,38.5,38.4,38.4,38.5,36.049,14500.0
2022-05-20,38.4,38.0,38.4,38.0,35.581,5600.0
2022-05-23,37.5,34.1,34.1,37.5,35.113,17400.0
2022-05-24,37.5,36.0,36.0,37.5,35.113,2600.0
2022-05-25,39.0,39.0,39.0,39.0,36.518,100.0
2022-05-26,39.5,39.5,39.5,39.5,36.986,100.0
2022-05-27,37.1,37.0,37.0,37.0,34.645,900.0
2022-05-30,38.4,38.0,38.0,38.4,35.956,25000.0
2022-05-31,38.0,38.0,38.0,38.0,35.581,3300.0
2022-06-01,38.0,38.0,38.0,38.0,35.581,700.0
2022-06-02,38.0,38.0,38.0,38.0,35.581,6000.0
2022-06-03,38.5,35.5,35.5,38.5,36.049,200.0
2022-06-06,37.0,37.0,37.0,37.0,34.645,1000.0
2022-06-07,37.0,37.0,37.0,37.0,34.645,900.0
2022-06-08,37.5,37.0,37.0,37.3,34.926,5200.0
2022-06-09,37.5,37.4,37.4,37.5,35.113,800.0
2022-06-10,37.4,37.4,37.4,37.4,35.019,0.0
2022-06-13,38.0,35.4,35.4,38.0,35.581,5100.0
2022-06-14,38.0,36.2,36.2,38.0,35.581,200.0
2022-06-15,42.0,37.0,42.0,37.0,34.645,3900.0
2022-06-16,37.0,37.0,37.0,37.0,34.645,700.0
2022-06-17,37.5,36.0,36.0,37.5,35.113,200.0
2022-06-20,40.9,36.3,40.9,36.3,33.989,5600.0
2022-06-21,36.5,36.5,36.5,36.5,34.177,5000.0
2022-06-22,36.3,36.0,36.3,36.0,33.709,500.0
2022-06-23,35.7,35.7,35.7,35.7,33.428,200.0
2022-06-24,37.4,37.4,37.4,37.4,35.019,3300.0
2022-06-27,37.4,36.9,37.4,36.9,34.551,600.0
2022-06-28,36.8,36.8,36.8,36.8,34.458,2000.0
2022-06-29,36.6,36.0,36.6,36.0,33.709,700.0
2022-06-30,36.0,36.0,36.0,36.0,33.709,100.0
2022-07-01,36.0,36.0,36.0,36.0,33.709,0.0
2022-07-04,36.0,30.8,36.0,35.9,33.615,8900.0
2022-07-05,33.1,31.5,31.5,33.1,30.993,1200.0
2022-07-06,32.6,32.6,32.6,32.6,30.525,0.0
2022-07-07,35.6,33.0,33.1,35.6,33.334,4100.0
2022-07-08,33.1,33.1,33.1,33.1,30.993,100.0
2022-07-11,35.0,35.0,35.0,35.0,32.772,5600.0
2022-07-12,35.5,35.5,35.5,35.5,33.24,100.0
2022-07-13,36.0,33.2,33.2,36.0,33.709,500.0
2022-07-14,34.9,34.9,34.9,34.9,32.679,0.0
2022-07-15,35.6,35.5,35.6,35.5,33.24,400.0
2022-07-18,35.5,35.5,35.5,35.5,33.24,300.0
2022-07-19,35.5,35.5,35.5,35.5,33.24,1000.0
2022-07-20,33.1,33.1,33.1,33.1,30.993,600.0
2022-07-21,33.1,33.1,33.1,33.1,30.993,0.0
2022-07-22,35.0,34.1,34.1,35.0,32.772,1900.0
2022-07-25,35.0,35.0,35.0,35.0,32.772,0.0
2022-07-26,35.1,35.1,35.1,35.1,32.866,3000.0
2022-07-27,35.1,35.1,35.1,35.1,32.866,0.0
2022-07-28,37.4,37.4,37.4,37.4,35.019,400.0
2022-07-29,37.4,37.4,37.4,37.4,35.019,200.0
2022-08-01,37.5,37.4,37.4,37.5,35.113,600.0
2022-08-02,37.5,34.1,34.5,37.5,35.113,1300.0
2022-08-03,35.0,35.0,35.0,35.0,32.772,200.0
2022-08-04,35.0,35.0,35.0,35.0,32.772,0.0
2022-08-05,35.0,35.0,35.0,35.0,32.772,0.0
2022-08-08,36.0,31.8,31.8,36.0,33.709,1100.0
2022-08-09,38.0,34.1,34.1,38.0,35.581,200.0
2022-08-10,38.0,34.1,34.1,36.5,34.177,2200.0
2022-08-11,37.0,35.4,37.0,35.4,33.147,3300.0
2022-08-12,35.0,35.0,35.0,35.0,32.772,500.0
2022-08-15,35.5,35.0,35.5,35.0,32.772,2400.0
2022-08-16,36.0,35.2,35.3,36.0,33.709,2800.0
2022-08-17,35.5,35.5,35.5,35.5,33.24,1000.0
2022-08-18,35.9,35.9,35.9,35.9,33.615,200.0
2022-08-19,35.5,35.5,35.5,35.5,33.24,1000.0
2022-08-22,35.5,35.5,35.5,35.5,33.24,2100.0
2022-08-23,35.3,35.3,35.3,35.3,33.053,100.0
2022-08-24,35.0,31.7,31.7,35.0,33.244,400.0
2022-08-25,35.5,31.5,31.5,35.5,33.719,800.0
2022-08-26,34.6,34.6,34.6,34.6,32.864,0.0
2022-08-29,34.6,34.6,34.6,34.6,32.864,0.0
2022-08-30,35.0,34.0,35.0,34.0,32.294,2000.0
2022-08-31,34.4,34.4,34.4,34.4,32.674,0.0
2022-09-05,35.0,35.0,35.0,35.0,33.244,500.0
