Date,High,Low,Open,Close,Adj Close,Volume
2022-07-20,29.0,20.0,29.0,24.0,21.163,6300.0
2022-07-21,23.3,23.3,23.3,23.3,20.545,0.0
2022-07-22,19.9,19.9,19.9,19.9,17.547,1100.0
2022-07-25,19.9,17.0,17.1,19.9,17.547,1400.0
2022-07-26,14.9,14.8,14.9,14.8,13.05,2800.0
2022-07-27,16.7,12.6,12.7,12.6,11.11,2100.0
2022-07-28,11.5,11.5,11.5,11.5,10.14,100.0
2022-07-29,13.0,10.0,10.3,13.0,11.463,4590.0
2022-08-01,12.5,10.0,10.0,10.0,8.818,13400.0
2022-08-02,11.5,10.4,10.4,11.5,10.14,3100.0
2022-08-03,10.6,10.4,10.5,10.5,9.259,8800.0
2022-08-04,10.4,10.0,10.2,10.4,9.171,6750.0
2022-08-05,10.1,9.9,10.1,10.0,8.818,6100.0
2022-08-08,10.1,10.1,10.1,10.1,8.906,400.0
2022-08-09,10.1,9.5,9.6,10.0,8.818,9400.0
2022-08-10,10.0,9.5,10.0,9.7,8.553,2909.0
2022-08-11,9.9,9.5,9.8,9.5,8.377,14851.0
2022-08-12,9.5,8.5,9.0,9.0,7.936,25600.0
2022-08-15,10.2,9.8,9.8,10.1,8.906,12100.0
2022-08-16,10.3,10.1,10.3,10.3,9.082,800.0
2022-08-17,10.3,10.0,10.0,10.3,9.082,2110.0
2022-08-18,10.2,10.0,10.2,10.1,8.906,2400.0
2022-08-19,10.2,9.7,10.1,10.0,8.818,15000.0
2022-08-22,10.0,10.0,10.0,10.0,8.818,1848.0
2022-08-23,10.2,9.8,10.2,9.8,8.641,2800.0
2022-08-24,10.1,9.9,9.9,10.1,9.37,500.0
2022-08-25,10.0,9.8,10.0,9.8,9.091,1008.0
2022-08-26,9.7,9.2,9.6,9.7,8.999,2800.0
2022-08-29,9.7,9.0,9.7,9.5,8.813,1100.0
2022-08-30,9.4,9.2,9.4,9.4,8.72,1400.0
2022-08-31,9.1,9.0,9.0,9.1,8.442,8800.0
2022-09-05,9.0,8.7,9.0,8.7,8.071,5000.0
2022-09-06,8.9,8.9,8.9,8.9,8.257,200.0
2022-09-07,9.0,8.6,8.7,9.0,8.349,1300.0
2022-09-08,8.9,8.9,8.9,8.9,8.257,100.0
2022-09-09,9.0,8.5,9.0,8.5,7.885,5100.0
2022-09-12,8.1,7.6,8.1,7.8,7.236,28500.0
2022-09-13,7.6,7.5,7.6,7.5,6.958,17700.0
2022-09-14,7.9,7.5,7.8,7.6,7.051,11010.0
2022-09-15,7.8,7.6,7.8,7.6,7.051,700.0
2022-09-16,7.4,7.4,7.4,7.4,6.865,10100.0
2022-09-19,7.9,7.0,7.0,7.9,7.329,1600.0
2022-09-20,7.1,7.0,7.0,7.1,6.587,2500.0
2022-09-21,7.1,7.1,7.1,7.1,6.587,2100.0
2022-09-22,8.0,7.5,7.5,7.8,7.236,49321.0
2022-09-23,8.4,7.9,7.9,8.3,7.7,103358.0
2022-09-26,8.3,7.9,8.0,8.0,7.422,27800.0
2022-09-27,7.8,6.9,7.5,7.4,6.865,34721.0
2022-09-28,7.2,6.8,7.2,6.9,6.401,64300.0
2022-09-29,7.8,7.0,7.8,7.0,6.494,26701.0
2022-09-30,7.6,6.9,7.0,7.6,7.051,21700.0
2022-10-03,7.1,7.0,7.1,7.0,6.494,10300.0
2022-10-04,7.0,7.0,7.0,7.0,6.494,8900.0
2022-10-05,7.3,7.0,7.0,7.3,6.772,12500.0
2022-10-06,7.5,7.0,7.5,7.5,6.958,6200.0
2022-10-07,7.2,7.0,7.0,7.2,6.679,29500.0
2022-10-10,7.5,7.1,7.5,7.4,6.865,7100.0
2022-10-11,7.1,6.9,7.1,7.1,6.587,4400.0
2022-10-12,7.1,6.9,6.9,7.1,6.587,6200.0
2022-10-13,7.2,7.0,7.0,7.2,6.679,1900.0
2022-10-14,7.1,7.0,7.1,7.1,6.587,20800.0
2022-10-17,7.2,7.0,7.0,7.2,6.679,8200.0
2022-10-18,7.3,7.2,7.2,7.3,6.772,1200.0
2022-10-19,7.4,7.4,7.4,7.4,6.865,100.0
2022-10-20,7.4,7.4,7.4,7.4,6.865,0.0
2022-10-21,7.0,6.8,7.0,6.8,6.308,14100.0
2022-10-24,7.0,6.8,7.0,7.0,6.494,3100.0
2022-10-25,7.0,6.0,6.0,7.0,6.494,2300.0
2022-10-26,7.1,6.7,6.9,7.0,6.494,12800.0
2022-10-27,7.3,6.9,6.9,6.9,6.401,1000.0
2022-10-28,7.2,6.8,6.8,7.2,6.679,600.0
2022-10-31,7.3,7.2,7.2,7.3,6.772,200.0
2022-11-01,7.3,6.8,6.9,7.2,6.679,3200.0
2022-11-02,7.2,6.9,7.0,6.9,6.401,1600.0
2022-11-03,7.3,7.3,7.3,7.3,6.772,158.0
2022-11-04,8.3,6.9,6.9,8.3,7.7,4200.0
2022-11-07,7.2,6.9,7.1,7.2,6.679,2200.0
2022-11-08,7.4,7.1,7.1,7.4,6.865,1100.0
2022-11-09,7.2,7.2,7.2,7.2,6.679,100.0
2022-11-10,7.2,6.9,7.2,6.9,6.401,1200.0
2022-11-11,7.2,7.0,7.2,7.0,6.494,200.0
2022-11-14,6.1,6.1,6.1,6.1,5.659,100.0
2022-11-15,7.0,6.3,7.0,6.3,5.845,42800.0
2022-11-16,6.9,6.9,6.9,6.9,6.401,200.0
2022-11-17,7.0,7.0,7.0,7.0,6.494,100.0
2022-11-18,7.7,6.9,7.7,6.9,6.401,200.0
2022-11-21,7.3,7.3,7.3,7.3,6.772,0.0
2022-11-22,7.1,6.3,6.3,7.1,6.587,16900.0
2022-11-23,7.0,7.0,7.0,7.0,6.494,100.0
2022-11-24,6.6,6.3,6.6,6.4,5.937,800.0
2022-11-25,6.5,6.3,6.5,6.4,5.937,2700.0
2022-11-28,6.6,6.3,6.3,6.6,6.123,13000.0
2022-11-29,6.0,6.0,6.0,6.0,5.566,2100.0
2022-11-30,6.2,6.1,6.1,6.2,5.752,1900.0
2022-12-01,6.3,6.3,6.3,6.3,5.845,600.0
2022-12-02,6.8,6.3,6.3,6.8,6.308,1900.0
2022-12-05,6.5,6.5,6.5,6.5,6.03,0.0
2022-12-06,6.4,6.4,6.4,6.4,5.937,400.0
2022-12-07,6.4,6.4,6.4,6.4,5.937,1000.0
2022-12-08,6.4,6.4,6.4,6.4,5.937,0.0
2022-12-09,6.4,6.4,6.4,6.4,5.937,0.0
2022-12-12,6.4,6.4,6.4,6.4,5.937,0.0
2022-12-13,6.4,6.4,6.4,6.4,5.937,100.0
2022-12-14,6.4,6.2,6.2,6.4,5.937,1500.0
2022-12-15,6.4,6.1,6.1,6.4,5.937,400.0
2022-12-16,6.3,6.3,6.3,6.3,5.845,0.0
