Date,High,Low,Open,Close,Adj Close,Volume
2018-09-05,8.9,8.9,8.9,8.9,5.156,500.0
2018-09-06,7.7,7.7,7.7,7.7,4.461,10000.0
2018-09-07,6.6,6.6,6.6,6.6,3.823,14600.0
2018-09-10,6.1,5.7,5.7,6.1,3.534,36900.0
2018-09-11,6.8,6.8,6.8,6.8,3.939,1000.0
2018-09-12,7.0,7.0,7.0,7.0,4.055,10000.0
2018-09-13,7.0,7.0,7.0,7.0,4.055,0.0
2018-09-14,6.5,6.5,6.5,6.5,3.765,2000.0
2018-09-17,6.5,6.3,6.3,6.5,3.765,17000.0
2018-09-18,6.5,6.5,6.5,6.5,3.765,34000.0
2018-09-19,6.5,6.5,6.5,6.5,3.765,1000.0
2018-09-20,6.5,6.5,6.5,6.5,3.765,1500.0
2018-09-21,7.2,6.5,7.2,6.5,3.765,26700.0
2018-09-24,6.5,6.5,6.5,6.5,3.765,12400.0
2018-09-25,6.5,6.5,6.5,6.5,3.765,31000.0
2018-09-26,6.7,6.7,6.7,6.7,3.881,1000.0
2018-09-27,7.7,6.6,7.7,6.6,3.823,4900.0
2018-09-28,6.8,6.5,6.8,6.5,3.765,65700.0
2018-10-01,6.8,6.5,6.6,6.8,3.939,113000.0
2018-10-02,7.8,7.6,7.7,7.6,4.403,4200.0
2018-10-03,8.8,7.7,7.7,8.5,4.924,23500.0
2018-10-04,7.4,7.4,7.4,7.4,4.287,3000.0
2018-10-05,6.5,6.5,6.5,6.5,3.765,100.0
2018-10-08,6.6,6.6,6.6,6.6,3.823,9700.0
2018-10-09,6.6,6.6,6.6,6.6,3.823,7000.0
2018-10-10,6.6,6.5,6.6,6.5,3.765,10000.0
2018-10-11,6.5,6.5,6.5,6.5,3.765,1200.0
2018-10-12,6.5,6.5,6.5,6.5,3.765,15000.0
2018-10-15,6.5,6.5,6.5,6.5,3.765,31000.0
2018-10-16,6.7,6.5,6.5,6.7,3.881,39000.0
2018-10-17,6.6,6.5,6.5,6.6,3.823,16000.0
2018-10-18,6.7,6.6,6.7,6.6,3.823,12000.0
2018-10-19,6.6,6.6,6.6,6.6,3.823,0.0
2018-10-22,6.5,6.5,6.5,6.5,3.765,6000.0
2018-10-23,6.5,6.5,6.5,6.5,3.765,5000.0
2018-10-24,6.5,6.5,6.5,6.5,3.765,500.0
2018-10-25,6.5,6.5,6.5,6.5,3.765,500.0
2018-10-26,6.5,6.5,6.5,6.5,3.765,5000.0
2018-10-29,6.5,6.5,6.5,6.5,3.765,0.0
2018-10-30,6.5,6.5,6.5,6.5,3.765,4000.0
2018-10-31,6.7,6.5,6.5,6.7,3.881,3000.0
2018-11-01,6.5,6.5,6.5,6.5,3.765,6000.0
2018-11-02,6.5,6.5,6.5,6.5,3.765,0.0
2018-11-05,6.5,6.5,6.5,6.5,3.765,0.0
2018-11-06,6.4,6.4,6.4,6.4,3.708,1000.0
2018-11-07,6.5,6.5,6.5,6.5,3.765,2000.0
2018-11-08,6.5,6.5,6.5,6.5,3.765,0.0
2018-11-09,6.5,6.5,6.5,6.5,3.765,6000.0
2018-11-12,6.5,6.5,6.5,6.5,3.765,0.0
2018-11-13,6.5,6.5,6.5,6.5,3.765,12500.0
2018-11-14,6.5,6.5,6.5,6.5,3.765,5000.0
2018-11-15,6.5,6.5,6.5,6.5,3.765,0.0
2018-11-16,6.5,6.5,6.5,6.5,3.765,5200.0
2018-11-19,6.5,6.5,6.5,6.5,3.765,17000.0
2018-11-20,6.5,6.5,6.5,6.5,3.765,0.0
2018-11-21,6.5,6.5,6.5,6.5,3.765,0.0
2018-11-22,6.5,6.5,6.5,6.5,3.765,5000.0
2018-11-23,6.5,6.5,6.5,6.5,3.765,0.0
2018-11-26,6.5,6.5,6.5,6.5,3.765,11500.0
2018-11-27,6.5,6.5,6.5,6.5,3.765,1000.0
2018-11-28,6.7,6.6,6.6,6.7,3.881,3000.0
2018-11-29,6.7,6.7,6.7,6.7,3.881,0.0
2018-11-30,6.5,6.5,6.5,6.5,3.765,5700.0
2018-12-03,6.5,6.5,6.5,6.5,3.765,7300.0
2018-12-04,6.5,6.5,6.5,6.5,3.765,5000.0
2018-12-05,6.5,6.5,6.5,6.5,3.765,9000.0
2018-12-06,6.5,6.5,6.5,6.5,3.765,12000.0
2018-12-07,6.5,6.5,6.5,6.5,3.765,5000.0
2018-12-10,6.5,6.5,6.5,6.5,3.765,0.0
2018-12-11,6.5,6.5,6.5,6.5,3.765,9400.0
2018-12-12,6.5,6.5,6.5,6.5,3.765,10600.0
2018-12-13,6.5,6.5,6.5,6.5,3.765,6000.0
2018-12-14,7.4,6.5,7.4,7.4,4.287,41600.0
2018-12-17,8.2,7.2,8.2,7.2,4.171,53100.0
2018-12-18,9.3,8.5,9.3,8.5,4.924,55500.0
2018-12-19,10.1,9.2,9.2,10.1,5.851,50000.0
2018-12-20,9.0,9.0,9.0,9.0,5.214,100.0
2018-12-21,9.6,8.5,9.6,8.5,4.924,52000.0
2018-12-24,9.6,9.6,9.6,9.6,5.561,0.0
2018-12-25,8.2,8.2,8.2,8.2,4.75,1500.0
2018-12-26,8.1,7.0,7.0,8.1,4.692,17600.0
2018-12-27,7.0,7.0,7.0,7.0,4.055,0.0
2018-12-28,7.0,7.0,7.0,7.0,4.055,0.0
2019-01-02,7.0,7.0,7.0,7.0,4.055,0.0
2019-01-03,6.0,6.0,6.0,6.0,3.476,14300.0
2019-01-04,6.0,6.0,6.0,6.0,3.476,0.0
2019-01-07,6.0,6.0,6.0,6.0,3.476,3000.0
2019-01-08,6.0,6.0,6.0,6.0,3.476,0.0
2019-01-09,6.0,6.0,6.0,6.0,3.476,0.0
2019-01-10,6.0,6.0,6.0,6.0,3.476,0.0
2019-01-11,6.0,6.0,6.0,6.0,3.476,0.0
2019-01-14,6.0,6.0,6.0,6.0,3.476,0.0
2019-01-15,6.0,6.0,6.0,6.0,3.476,0.0
2019-01-16,6.0,6.0,6.0,6.0,3.476,0.0
2019-01-17,6.0,6.0,6.0,6.0,3.476,0.0
2019-01-18,6.0,6.0,6.0,6.0,3.476,0.0
2019-01-21,5.1,5.1,5.1,5.1,2.954,2000.0
2019-01-22,5.1,5.1,5.1,5.1,2.954,0.0
2019-01-23,5.1,5.1,5.1,5.1,2.954,3000.0
2019-01-24,5.8,4.5,5.8,5.8,3.36,510.0
2019-01-25,4.7,4.6,4.7,4.6,2.665,151201.0
2019-01-28,4.6,4.6,4.6,4.6,2.665,0.0
2019-01-29,4.6,4.6,4.6,4.6,2.665,0.0
2019-01-30,4.6,4.6,4.6,4.6,2.665,0.0
2019-01-31,5.2,4.0,5.2,4.0,2.317,489.0
2019-02-01,4.3,4.3,4.3,4.3,2.491,0.0
2019-02-11,4.9,4.9,4.9,4.9,2.839,100.0
2019-02-12,5.6,4.2,4.2,5.6,3.244,220800.0
2019-02-13,5.6,5.6,5.6,5.6,3.244,7500.0
2019-02-14,5.6,5.6,5.6,5.6,3.244,2500.0
2019-02-15,6.0,5.7,5.7,6.0,3.476,3200.0
2019-02-18,6.0,6.0,6.0,6.0,3.476,4000.0
2019-02-19,6.0,6.0,6.0,6.0,3.476,0.0
2019-02-20,6.0,6.0,6.0,6.0,3.476,0.0
2019-02-21,6.0,6.0,6.0,6.0,3.476,0.0
2019-02-22,6.0,6.0,6.0,6.0,3.476,0.0
2019-02-25,6.9,6.5,6.5,6.9,3.997,3000.0
2019-02-26,6.5,6.2,6.5,6.2,3.592,15000.0
2019-02-27,6.3,6.3,6.3,6.3,3.65,0.0
2019-02-28,6.2,6.2,6.2,6.2,3.592,18000.0
2019-03-01,6.2,6.2,6.2,6.2,3.592,10000.0
2019-03-04,7.1,6.5,6.5,7.1,4.113,2000.0
2019-03-05,7.9,7.0,7.0,7.9,4.577,10000.0
2019-03-06,8.5,7.5,8.1,7.5,4.345,51200.0
2019-03-07,9.5,8.4,8.4,9.0,5.214,126922.0
2019-03-08,8.0,8.0,8.0,8.0,4.634,100.0
2019-03-11,8.6,7.6,7.6,8.0,4.634,121600.0
2019-03-12,8.0,8.0,8.0,8.0,4.634,0.0
2019-03-13,8.0,8.0,8.0,8.0,4.634,0.0
2019-03-14,8.0,8.0,8.0,8.0,4.634,0.0
2019-03-15,8.0,8.0,8.0,8.0,4.634,0.0
2019-03-18,8.0,8.0,8.0,8.0,4.634,0.0
2019-03-19,8.0,8.0,8.0,8.0,4.634,6.0
2019-03-20,8.0,8.0,8.0,8.0,4.634,10.0
2019-03-21,8.0,8.0,8.0,8.0,4.634,0.0
2019-03-22,8.0,8.0,8.0,8.0,4.634,0.0
2019-03-25,8.0,8.0,8.0,8.0,4.634,10.0
2019-03-26,8.0,8.0,8.0,8.0,4.634,6.0
2019-03-27,8.0,8.0,8.0,8.0,4.634,0.0
2019-03-28,6.8,6.8,6.8,6.8,3.939,3100.0
2019-03-29,6.8,6.8,6.8,6.8,3.939,0.0
2019-04-01,6.8,6.8,6.8,6.8,3.939,0.0
2019-04-02,6.8,6.8,6.8,6.8,3.939,0.0
2019-04-03,6.8,6.8,6.8,6.8,3.939,0.0
2019-04-04,6.8,6.8,6.8,6.8,3.939,0.0
2019-04-05,6.8,6.8,6.8,6.8,3.939,0.0
2019-04-08,6.8,6.8,6.8,6.8,3.939,0.0
2019-04-09,6.8,6.8,6.8,6.8,3.939,0.0
2019-04-10,6.8,6.8,6.8,6.8,3.939,10.0
2019-04-11,6.8,6.8,6.8,6.8,3.939,0.0
2019-04-12,6.8,6.8,6.8,6.8,3.939,0.0
2019-04-16,7.8,7.8,7.8,7.8,4.519,100.0
2019-04-17,7.8,7.8,7.8,7.8,4.519,0.0
2019-04-18,7.8,7.8,7.8,7.8,4.519,0.0
2019-04-19,7.0,7.0,7.0,7.0,4.055,500.0
2019-04-22,7.0,7.0,7.0,7.0,4.055,0.0
2019-04-23,7.0,7.0,7.0,7.0,4.055,0.0
2019-04-24,7.0,7.0,7.0,7.0,4.055,0.0
2019-04-25,7.0,7.0,7.0,7.0,4.055,0.0
2019-04-26,7.0,7.0,7.0,7.0,4.055,0.0
2019-05-02,7.0,7.0,7.0,7.0,4.055,0.0
2019-05-03,7.0,7.0,7.0,7.0,4.055,0.0
2019-05-06,7.0,7.0,7.0,7.0,4.055,0.0
2019-05-07,7.0,7.0,7.0,7.0,4.055,0.0
2019-05-08,7.0,7.0,7.0,7.0,4.055,0.0
2019-05-09,7.0,7.0,7.0,7.0,4.055,10.0
2019-05-10,7.0,7.0,7.0,7.0,4.055,0.0
2019-05-13,7.0,7.0,7.0,7.0,4.055,0.0
2019-05-14,6.1,6.0,6.0,6.1,3.534,4700.0
2019-05-15,6.1,5.2,6.1,6.0,3.476,10000.0
2019-05-16,5.5,5.5,5.5,5.5,3.186,0.0
2019-05-17,6.0,4.7,6.0,4.7,2.723,90100.0
2019-05-20,4.8,4.8,4.8,4.8,2.781,0.0
2019-05-21,4.8,4.8,4.8,4.8,2.781,0.0
2019-05-22,5.5,4.2,5.5,4.2,2.433,200.0
2019-05-23,5.6,5.6,5.6,5.6,3.244,100.0
2019-05-24,5.6,5.6,5.6,5.6,3.244,0.0
2019-05-27,5.6,5.6,5.6,5.6,3.244,0.0
2019-05-28,5.6,5.6,5.6,5.6,3.244,0.0
2019-05-29,5.6,5.6,5.6,5.6,3.244,0.0
2019-05-30,5.6,5.6,5.6,5.6,3.244,0.0
2019-05-31,5.6,5.6,5.6,5.6,3.244,0.0
2019-06-03,5.6,5.6,5.6,5.6,3.244,0.0
2019-06-04,5.6,5.6,5.6,5.6,3.244,0.0
2019-06-05,5.0,5.0,5.0,5.0,2.897,100.0
2019-06-06,5.0,5.0,5.0,5.0,2.897,200.0
2019-06-07,5.0,5.0,5.0,5.0,2.897,0.0
2019-06-10,5.0,5.0,5.0,5.0,2.897,9700.0
2019-06-11,5.0,5.0,5.0,5.0,2.897,0.0
2019-06-12,5.6,5.6,5.6,5.6,3.244,100.0
2019-06-13,6.0,6.0,6.0,6.0,3.476,100.0
2019-06-14,6.9,6.4,6.4,6.9,3.997,92900.0
2019-06-17,6.9,6.9,6.9,6.9,3.997,0.0
2019-06-18,5.9,5.9,5.9,5.9,3.418,1200.0
2019-06-19,5.9,5.9,5.9,5.9,3.418,0.0
2019-06-20,5.9,5.9,5.9,5.9,3.418,0.0
2019-06-21,5.9,5.9,5.9,5.9,3.418,0.0
2019-06-24,5.9,5.9,5.9,5.9,3.418,100.0
2019-06-25,5.9,5.9,5.9,5.9,3.418,0.0
2019-06-26,5.9,5.9,5.9,5.9,3.418,0.0
2019-06-27,5.9,5.9,5.9,5.9,3.418,0.0
2019-06-28,6.0,5.9,5.9,6.0,3.476,3000.0
2019-07-01,5.9,5.9,5.9,5.9,3.418,0.0
2019-07-02,5.9,5.9,5.9,5.9,3.418,0.0
2019-07-03,5.9,5.9,5.9,5.9,3.418,0.0
2019-07-04,5.9,5.9,5.9,5.9,3.418,0.0
2019-07-05,5.9,5.9,5.9,5.9,3.418,0.0
2019-07-08,5.9,5.9,5.9,5.9,3.418,0.0
2019-07-09,5.9,5.9,5.9,5.9,3.418,0.0
2019-07-10,5.9,5.9,5.9,5.9,3.418,0.0
2019-07-11,5.9,5.9,5.9,5.9,3.418,0.0
2019-07-12,5.9,5.9,5.9,5.9,3.418,0.0
2019-07-15,5.9,5.9,5.9,5.9,3.418,0.0
2019-07-16,5.9,5.9,5.9,5.9,3.418,0.0
2019-07-17,5.9,5.9,5.9,5.9,3.418,0.0
2019-07-18,5.9,5.9,5.9,5.9,3.418,0.0
2019-07-19,5.9,5.9,5.9,5.9,3.418,0.0
2019-07-22,5.9,5.9,5.9,5.9,3.418,0.0
2019-07-23,5.9,5.9,5.9,5.9,3.418,0.0
2019-07-24,5.9,5.9,5.9,5.9,3.418,0.0
2019-07-25,5.9,5.9,5.9,5.9,3.418,0.0
2019-07-26,5.9,5.9,5.9,5.9,3.418,0.0
2019-07-29,5.9,5.9,5.9,5.9,3.418,0.0
2019-07-30,5.9,5.9,5.9,5.9,3.418,0.0
2019-07-31,6.3,6.3,6.3,6.3,3.65,1900.0
2019-08-01,6.9,6.9,6.9,6.9,3.997,100.0
2019-08-02,6.9,6.9,6.9,6.9,3.997,0.0
2019-08-05,7.9,7.9,7.9,7.9,4.577,100.0
2019-08-06,7.9,7.9,7.9,7.9,4.577,0.0
2019-08-07,7.9,7.9,7.9,7.9,4.577,0.0
2019-08-08,7.9,7.9,7.9,7.9,4.577,0.0
2019-08-09,7.9,7.9,7.9,7.9,4.577,0.0
2019-08-12,7.9,7.9,7.9,7.9,4.577,0.0
2019-08-13,7.9,7.9,7.9,7.9,4.577,0.0
2019-08-14,7.9,7.9,7.9,7.9,4.577,0.0
2019-08-15,7.9,7.9,7.9,7.9,4.577,0.0
2019-08-16,7.9,7.9,7.9,7.9,4.577,0.0
2019-08-19,7.9,7.9,7.9,7.9,4.577,0.0
2019-08-20,7.9,7.9,7.9,7.9,4.577,0.0
2019-08-21,7.9,7.9,7.9,7.9,4.577,0.0
2019-08-22,7.9,7.9,7.9,7.9,4.577,0.0
2019-08-23,7.9,7.9,7.9,7.9,4.577,0.0
2019-08-26,7.9,7.9,7.9,7.9,4.577,0.0
2019-08-27,7.9,7.9,7.9,7.9,4.577,0.0
2019-08-28,7.9,7.9,7.9,7.9,4.577,0.0
2019-08-29,7.9,7.9,7.9,7.9,4.577,0.0
2019-08-30,7.9,7.9,7.9,7.9,4.577,0.0
2019-09-03,7.9,7.9,7.9,7.9,4.577,0.0
2019-09-04,7.9,7.9,7.9,7.9,4.577,0.0
2019-09-05,7.9,7.9,7.9,7.9,4.577,0.0
2019-09-06,7.9,7.9,7.9,7.9,4.577,0.0
2019-09-09,7.9,7.9,7.9,7.9,4.577,0.0
2019-09-10,7.9,7.9,7.9,7.9,4.577,0.0
2019-09-11,7.9,7.9,7.9,7.9,4.577,0.0
2019-09-12,7.9,7.9,7.9,7.9,4.577,0.0
2019-09-13,7.9,7.9,7.9,7.9,4.577,0.0
2019-09-16,7.9,7.9,7.9,7.9,4.577,0.0
2019-09-17,7.9,7.9,7.9,7.9,4.577,0.0
2019-09-18,7.9,7.9,7.9,7.9,4.577,0.0
2019-09-19,7.9,7.9,7.9,7.9,4.577,0.0
2019-09-20,7.9,7.9,7.9,7.9,4.577,0.0
2019-09-23,7.9,7.9,7.9,7.9,4.577,0.0
2019-09-24,7.9,7.9,7.9,7.9,4.577,0.0
2019-09-25,7.9,7.9,7.9,7.9,4.577,0.0
2019-09-26,7.9,7.9,7.9,7.9,4.577,0.0
2019-09-27,7.9,7.9,7.9,7.9,4.577,0.0
2019-09-30,7.5,4.8,4.8,7.5,4.345,4100.0
2019-10-01,4.9,4.9,4.9,4.9,2.839,10000.0
2019-10-02,4.9,4.9,4.9,4.9,2.839,0.0
2019-10-03,4.9,4.9,4.9,4.9,2.839,0.0
2019-10-04,4.9,4.9,4.9,4.9,2.839,0.0
2019-10-07,4.9,4.9,4.9,4.9,2.839,0.0
2019-10-08,5.6,5.6,5.6,5.6,3.244,4000.0
2019-10-09,5.6,5.6,5.6,5.6,3.244,0.0
2019-10-10,5.6,5.6,5.6,5.6,3.244,0.0
2019-10-11,5.6,5.6,5.6,5.6,3.244,0.0
2019-10-14,5.6,5.6,5.6,5.6,3.244,0.0
2019-10-15,5.6,5.6,5.6,5.6,3.244,0.0
2019-10-16,5.6,5.6,5.6,5.6,3.244,0.0
2019-10-17,5.6,5.6,5.6,5.6,3.244,0.0
2019-10-18,5.6,5.6,5.6,5.6,3.244,0.0
2019-10-21,5.6,5.6,5.6,5.6,3.244,0.0
2019-10-22,5.6,5.6,5.6,5.6,3.244,0.0
2019-10-23,5.6,5.6,5.6,5.6,3.244,2000.0
2019-10-24,5.6,5.6,5.6,5.6,3.244,0.0
2019-10-25,5.6,5.6,5.6,5.6,3.244,0.0
2019-10-28,5.8,5.8,5.8,5.8,3.36,2300.0
2019-10-29,5.8,5.8,5.8,5.8,3.36,0.0
2019-10-30,5.8,5.8,5.8,5.8,3.36,0.0
2019-10-31,6.0,5.8,5.8,6.0,3.476,729.0
2019-11-01,5.9,5.9,5.9,5.9,3.418,0.0
2019-11-04,5.9,5.9,5.9,5.9,3.418,0.0
2019-11-05,5.9,5.9,5.9,5.9,3.418,0.0
2019-11-06,5.9,5.9,5.9,5.9,3.418,0.0
2019-11-07,5.9,5.9,5.9,5.9,3.418,0.0
2019-11-08,5.9,5.9,5.9,5.9,3.418,0.0
2019-11-11,5.9,5.9,5.9,5.9,3.418,0.0
2019-11-12,5.9,5.9,5.9,5.9,3.418,0.0
2019-11-13,5.9,5.9,5.9,5.9,3.418,0.0
2019-11-14,5.9,5.9,5.9,5.9,3.418,0.0
2019-11-15,5.9,5.9,5.9,5.9,3.418,0.0
2019-11-18,5.9,5.9,5.9,5.9,3.418,0.0
2019-11-19,5.9,5.9,5.9,5.9,3.418,0.0
2019-11-20,5.9,5.9,5.9,5.9,3.418,0.0
2019-11-21,5.9,5.9,5.9,5.9,3.418,0.0
2019-11-22,5.9,5.9,5.9,5.9,3.418,0.0
2019-11-25,5.9,5.9,5.9,5.9,3.418,0.0
2019-11-26,5.9,5.9,5.9,5.9,3.418,0.0
2019-11-27,5.9,5.9,5.9,5.9,3.418,0.0
2019-11-28,5.9,5.9,5.9,5.9,3.418,0.0
2019-11-29,5.9,5.9,5.9,5.9,3.418,0.0
2019-12-02,5.9,5.9,5.9,5.9,3.418,0.0
2019-12-03,5.9,5.9,5.9,5.9,3.418,0.0
2019-12-04,5.9,5.9,5.9,5.9,3.418,0.0
2019-12-05,5.9,5.9,5.9,5.9,3.418,0.0
2019-12-06,5.9,5.9,5.9,5.9,3.418,0.0
2019-12-09,5.9,5.9,5.9,5.9,3.418,0.0
2019-12-10,5.9,5.9,5.9,5.9,3.418,0.0
2019-12-11,5.9,5.9,5.9,5.9,3.418,0.0
2019-12-12,5.9,5.9,5.9,5.9,3.418,0.0
2019-12-13,5.9,5.9,5.9,5.9,3.418,0.0
2019-12-16,5.9,5.9,5.9,5.9,3.418,0.0
2019-12-17,5.9,5.9,5.9,5.9,3.418,0.0
2019-12-18,5.9,5.9,5.9,5.9,3.418,0.0
2019-12-19,5.9,5.9,5.9,5.9,3.418,0.0
2019-12-20,5.9,5.9,5.9,5.9,3.418,0.0
2019-12-23,8.0,8.0,8.0,8.0,4.634,100.0
2019-12-24,8.0,8.0,8.0,8.0,4.634,0.0
2019-12-25,8.0,8.0,8.0,8.0,4.634,0.0
2019-12-26,8.0,8.0,8.0,8.0,4.634,0.0
2019-12-27,8.0,8.0,8.0,8.0,4.634,0.0
2019-12-30,8.0,8.0,8.0,8.0,4.634,0.0
2019-12-31,8.0,8.0,8.0,8.0,4.634,0.0
2020-01-02,8.0,8.0,8.0,8.0,4.634,0.0
2020-01-03,8.0,8.0,8.0,8.0,4.634,0.0
2020-01-06,8.0,8.0,8.0,8.0,4.634,0.0
2020-01-07,8.0,8.0,8.0,8.0,4.634,0.0
2020-01-08,8.0,8.0,8.0,8.0,4.634,0.0
2020-01-09,8.0,8.0,8.0,8.0,4.634,0.0
2020-01-10,8.0,8.0,8.0,8.0,4.634,0.0
2020-01-13,8.0,8.0,8.0,8.0,4.634,0.0
2020-01-14,8.0,8.0,8.0,8.0,4.634,0.0
2020-01-15,8.0,8.0,8.0,8.0,4.634,0.0
2020-01-16,8.0,8.0,8.0,8.0,4.634,0.0
2020-01-17,8.0,8.0,8.0,8.0,4.634,0.0
2020-01-20,8.0,8.0,8.0,8.0,4.634,0.0
2020-01-21,8.0,8.0,8.0,8.0,4.634,0.0
2020-01-22,8.0,8.0,8.0,8.0,4.634,0.0
2020-01-30,8.0,8.0,8.0,8.0,4.634,0.0
