Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,12.1,10.8,11.75,11.0,7.693,299630.0
2018-01-03,11.7,10.3,11.25,11.35,7.937,405470.0
2018-01-04,11.8,10.6,11.6,11.7,8.182,368300.0
2018-01-05,11.85,10.9,11.8,10.9,7.623,354640.0
2018-01-08,11.3,10.15,11.2,10.25,7.168,358550.0
2018-01-09,10.85,10.25,10.3,10.4,7.273,489920.0
2018-01-10,11.0,10.35,10.35,10.95,7.657,304660.0
2018-01-11,11.1,10.5,11.0,11.0,7.693,295970.0
2018-01-12,10.95,10.45,10.6,10.8,7.553,276440.0
2018-01-15,11.0,10.15,11.0,10.15,7.098,279990.0
2018-01-16,10.5,10.0,10.15,10.5,7.343,329950.0
2018-01-17,10.8,10.45,10.55,10.5,7.343,372950.0
2018-01-18,10.7,10.3,10.6,10.55,7.377,466290.0
2018-01-19,10.6,10.0,10.6,10.5,7.343,345660.0
2018-01-22,10.75,10.55,10.55,10.65,7.447,283580.0
2018-01-25,11.35,9.99,10.7,11.35,7.937,251090.0
2018-01-26,11.7,11.0,11.4,11.5,8.042,165840.0
2018-01-29,11.55,10.7,11.55,11.0,7.693,175390.0
2018-01-30,11.0,10.6,11.0,11.0,7.693,206780.0
2018-01-31,11.0,10.6,11.0,11.0,7.693,392420.0
2018-02-01,11.0,10.8,11.0,11.0,7.693,235650.0
2018-02-02,11.0,10.25,11.0,11.0,7.693,318110.0
2018-02-05,10.9,10.6,10.75,10.9,7.623,197840.0
2018-02-06,10.8,10.15,10.7,10.8,7.553,243900.0
2018-02-07,11.0,10.55,10.85,10.8,7.553,108420.0
2018-02-08,10.8,10.6,10.8,10.75,7.517,161140.0
2018-02-09,10.75,10.45,10.75,10.7,7.483,57780.0
2018-02-12,10.95,10.5,10.7,10.95,7.657,320080.0
2018-02-13,11.4,11.0,11.0,11.35,7.937,236420.0
2018-02-21,12.1,11.5,11.5,12.1,8.462,700070.0
2018-02-22,12.9,12.6,12.9,12.9,9.021,291530.0
2018-02-23,13.8,12.8,13.8,13.6,9.511,406580.0
2018-02-26,13.5,12.65,13.5,12.8,8.951,370670.0
2018-02-27,13.65,12.0,12.8,13.6,9.511,632100.0
2018-02-28,14.0,12.65,12.7,13.6,9.511,348360.0
2018-03-01,13.7,12.8,13.7,13.2,9.231,312250.0
2018-03-02,13.2,12.3,13.2,12.8,8.951,276820.0
2018-03-05,12.85,12.5,12.85,12.55,8.776,293110.0
2018-03-06,12.6,12.25,12.55,12.5,8.742,212750.0
2018-03-07,12.55,12.2,12.5,12.45,8.706,574670.0
2018-03-08,12.8,12.45,12.45,12.6,8.811,483490.0
2018-03-09,12.6,12.2,12.2,12.6,8.811,804570.0
2018-03-12,12.55,12.0,12.1,12.4,8.672,509430.0
2018-03-13,12.5,12.0,12.5,12.4,8.672,459400.0
2018-03-14,12.6,12.0,12.4,12.6,8.811,351250.0
2018-03-15,13.45,12.2,12.65,13.45,9.406,424550.0
2018-03-16,13.75,13.3,13.3,13.5,9.441,247710.0
2018-03-19,13.6,13.05,13.55,13.5,9.441,416210.0
2018-03-20,13.5,13.2,13.5,13.35,9.336,399930.0
2018-03-21,13.35,12.45,13.35,13.0,9.091,923780.0
2018-03-22,13.0,12.8,12.85,13.0,9.091,755240.0
2018-03-23,13.0,12.55,12.65,12.9,9.021,374560.0
2018-03-26,13.8,12.9,13.2,13.4,9.371,430710.0
2018-03-27,13.45,13.0,13.45,13.2,9.231,227120.0
2018-03-28,13.2,12.8,12.8,13.2,9.231,617560.0
2018-03-29,13.35,13.1,13.2,13.15,9.196,330960.0
2018-03-30,13.4,12.25,13.15,13.2,9.231,243670.0
2018-04-02,13.95,12.45,13.25,12.45,8.706,700300.0
2018-04-03,13.1,12.65,12.65,13.1,9.161,255950.0
2018-04-04,13.3,13.0,13.3,13.2,9.231,271320.0
2018-04-05,13.3,12.9,13.3,13.25,9.266,280770.0
2018-04-06,13.3,13.1,13.25,13.2,9.231,155060.0
2018-04-09,13.25,13.0,13.25,13.2,9.231,310060.0
2018-04-10,13.2,12.7,12.85,13.2,9.231,257130.0
2018-04-11,13.2,12.85,13.2,13.1,9.161,211550.0
2018-04-12,13.1,12.6,13.1,13.0,9.091,179130.0
2018-04-13,13.0,12.25,12.25,13.0,9.091,110610.0
2018-04-16,13.0,12.75,13.0,13.0,9.091,208530.0
2018-04-17,13.45,13.0,13.0,13.4,9.371,225960.0
2018-04-18,13.45,13.2,13.45,13.2,9.231,184170.0
2018-04-19,13.3,12.9,13.3,13.3,9.301,215710.0
2018-04-20,13.5,13.3,13.35,13.35,9.336,607090.0
2018-04-23,13.5,12.9,13.4,12.9,9.021,473470.0
2018-04-24,13.15,12.8,12.9,12.9,9.021,343820.0
2018-04-26,13.1,12.8,12.9,13.0,9.091,197900.0
2018-04-27,13.1,12.9,13.0,13.1,9.161,152370.0
2018-05-02,13.1,12.75,12.95,13.1,9.161,143840.0
2018-05-03,13.1,12.95,13.1,13.1,9.161,290520.0
2018-05-04,13.2,12.9,13.2,13.1,9.161,265300.0
2018-05-07,13.2,12.95,13.1,13.2,9.231,172420.0
2018-05-08,13.2,13.0,13.05,13.2,9.231,193060.0
2018-05-09,13.2,12.9,13.15,13.2,9.231,289150.0
2018-05-10,13.25,12.85,13.25,13.15,9.196,161960.0
2018-05-11,13.15,12.55,12.85,13.15,9.196,152950.0
2018-05-14,13.1,12.75,13.1,13.0,9.091,171380.0
2018-05-15,12.9,12.3,12.3,12.5,8.742,189060.0
2018-05-16,12.5,11.65,12.5,12.4,8.672,336020.0
2018-05-17,12.4,12.15,12.4,12.4,8.672,141000.0
2018-05-18,12.5,12.3,12.4,12.4,8.672,93510.0
2018-05-21,12.4,11.55,12.4,12.1,8.462,86460.0
2018-05-22,12.2,11.8,12.1,12.2,8.532,72120.0
2018-05-23,12.15,11.35,12.0,11.8,8.252,492490.0
2018-05-24,11.75,11.0,11.15,11.0,7.693,165980.0
2018-05-25,11.05,10.3,11.0,10.7,7.483,130330.0
2018-05-28,10.8,10.15,10.7,10.45,7.308,113950.0
2018-05-29,10.6,10.3,10.45,10.6,7.413,117500.0
2018-05-30,10.8,10.25,10.5,10.6,7.413,87460.0
2018-05-31,10.7,10.3,10.6,10.65,7.447,86110.0
2018-06-01,11.35,10.1,10.65,11.35,7.937,159300.0
2018-06-04,12.1,11.2,11.35,11.9,8.322,122480.0
2018-06-05,12.45,11.3,12.0,11.8,8.252,114530.0
2018-06-06,11.8,11.1,11.1,11.75,8.217,105220.0
2018-06-07,11.8,11.2,11.8,11.75,8.217,109020.0
2018-06-08,12.3,11.7,11.85,12.3,8.602,106450.0
2018-06-11,12.95,11.5,12.3,12.9,9.021,146020.0
2018-06-12,13.0,12.0,13.0,12.2,8.532,181810.0
2018-06-13,13.05,11.35,11.4,12.95,9.056,105640.0
2018-06-14,13.0,12.5,12.95,12.9,9.021,122240.0
2018-06-15,12.95,12.75,12.95,12.95,9.056,133450.0
2018-06-18,12.95,12.1,12.1,12.55,8.776,103700.0
2018-06-19,12.55,11.8,11.8,12.55,8.776,90460.0
2018-06-20,13.4,12.5,12.55,13.0,9.091,102430.0
2018-06-21,13.0,12.1,13.0,12.7,8.881,161670.0
2018-06-22,12.8,11.9,11.9,12.75,8.916,849530.0
2018-06-25,13.0,12.0,13.0,12.75,8.916,526510.0
2018-06-26,12.7,11.9,12.65,12.7,8.881,515350.0
2018-06-27,12.7,11.85,12.7,12.7,8.881,350980.0
2018-06-28,12.7,12.2,12.7,12.5,8.742,131810.0
2018-06-29,13.35,12.35,12.35,13.35,9.336,134990.0
2018-07-02,12.95,12.45,12.9,12.45,8.706,312280.0
2018-07-03,12.5,12.2,12.3,12.45,8.706,232110.0
2018-07-04,12.45,11.6,12.45,12.35,8.636,1058760.0
2018-07-05,12.4,11.5,12.4,11.5,8.042,368100.0
2018-07-06,12.3,11.25,11.5,11.8,8.252,228470.0
2018-07-09,11.85,11.0,11.8,11.8,8.252,362720.0
2018-07-10,11.6,11.0,11.0,11.3,7.902,362210.0
2018-07-11,11.2,10.55,10.6,11.0,7.693,135330.0
2018-07-12,11.0,10.7,11.0,11.0,7.693,261390.0
2018-07-13,11.75,10.35,10.35,11.4,7.972,226980.0
2018-07-16,11.85,11.2,11.3,11.65,8.147,368230.0
2018-07-17,11.65,11.25,11.5,11.65,8.147,279870.0
2018-07-18,11.8,11.65,11.8,11.7,8.182,461440.0
2018-07-19,11.75,10.9,10.9,11.45,8.007,301880.0
2018-07-20,11.45,10.65,11.2,10.65,7.447,424190.0
2018-07-23,10.9,10.3,10.7,10.9,7.623,443410.0
