Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,15.05,14.75,15.05,14.9,9.296,157370.0
2018-01-03,15.1,14.7,14.9,15.0,9.359,482860.0
2018-01-04,15.75,15.0,15.2,15.7,9.795,1076530.0
2018-01-05,16.0,15.4,15.5,15.7,9.795,910140.0
2018-01-08,16.25,15.8,15.8,16.25,10.139,1438490.0
2018-01-09,16.5,16.0,16.3,16.5,10.295,1272940.0
2018-01-10,16.65,16.0,16.65,16.35,10.201,749930.0
2018-01-11,16.3,16.0,16.2,16.1,10.045,622260.0
2018-01-12,16.5,16.1,16.1,16.45,10.264,1186570.0
2018-01-15,17.6,16.6,16.6,17.6,10.981,2470580.0
2018-01-16,18.1,17.6,17.9,17.75,11.075,1577290.0
2018-01-17,17.95,16.9,17.5,16.9,10.545,1116290.0
2018-01-18,17.0,16.1,16.1,16.9,10.545,1161120.0
2018-01-19,17.45,16.6,16.9,17.2,10.731,1106660.0
2018-01-22,17.75,17.05,17.2,17.45,10.887,846760.0
2018-01-25,17.5,16.85,17.45,16.9,10.545,2189820.0
2018-01-26,17.3,16.2,17.2,16.3,10.17,1400040.0
2018-01-29,16.65,15.9,16.2,16.0,9.983,1113790.0
2018-01-30,17.05,15.4,15.7,17.05,10.638,1459360.0
2018-01-31,17.2,16.3,17.1,16.3,10.17,724060.0
2018-02-01,16.5,16.0,16.3,16.15,10.076,319010.0
2018-02-02,16.25,15.75,15.9,16.0,9.983,329570.0
2018-02-05,16.0,14.9,15.6,14.9,9.296,559600.0
2018-02-06,14.7,13.9,13.9,13.9,8.672,981730.0
2018-02-07,14.7,14.05,14.2,14.6,9.11,320130.0
2018-02-08,14.7,14.0,14.6,14.0,8.735,218630.0
2018-02-09,14.05,13.4,13.5,14.05,8.766,242020.0
2018-02-12,14.5,13.95,14.5,14.3,8.922,164160.0
2018-02-13,14.65,14.4,14.5,14.6,9.11,230420.0
2018-02-21,15.1,14.7,15.0,14.8,9.234,303390.0
2018-02-22,14.9,14.4,14.8,14.6,9.11,369050.0
2018-02-23,14.7,14.25,14.6,14.6,9.11,370070.0
2018-02-26,14.7,14.25,14.6,14.3,8.922,464540.0
2018-02-27,14.45,14.1,14.3,14.2,8.86,348110.0
2018-02-28,14.2,13.9,14.1,14.1,8.798,702070.0
2018-03-01,14.4,13.9,14.0,14.3,8.922,253370.0
2018-03-02,15.1,14.2,14.2,15.1,9.421,777930.0
2018-03-05,15.45,14.7,15.3,14.7,9.172,1160690.0
2018-03-06,15.0,14.6,14.7,15.0,9.359,466160.0
2018-03-07,14.95,14.6,14.8,14.75,9.203,418700.0
2018-03-08,15.3,14.7,14.7,15.05,9.39,537070.0
2018-03-09,15.75,15.05,15.3,15.75,9.827,1174020.0
2018-03-12,15.75,15.5,15.7,15.55,9.702,545420.0
2018-03-13,15.8,15.5,15.55,15.7,9.795,705260.0
2018-03-14,15.9,15.6,15.8,15.65,9.765,482130.0
2018-03-15,16.2,15.6,15.6,16.05,10.014,723850.0
2018-03-16,16.05,15.7,16.0,15.7,9.795,490550.0
2018-03-19,16.1,15.5,15.7,15.85,9.89,683820.0
