Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,12.5,12.5,12.5,12.5,5.646,100.0
2018-01-03,11.9,11.9,11.9,11.9,5.375,300.0
2018-01-04,11.8,11.8,11.8,11.8,5.33,100.0
2018-01-05,12.3,12.3,12.3,12.3,5.555,100.0
2018-01-08,13.0,12.2,12.2,13.0,5.872,1000.0
2018-01-09,12.7,12.7,12.7,12.7,5.736,0.0
2018-01-10,12.7,12.7,12.7,12.7,5.736,0.0
2018-01-11,12.7,12.7,12.7,12.7,5.736,20.0
2018-01-12,12.7,12.0,12.0,12.7,5.736,4300.0
2018-01-15,13.2,12.7,12.7,13.2,5.962,6200.0
2018-01-16,13.3,13.0,13.3,13.0,5.872,2800.0
2018-01-17,13.0,13.0,13.0,13.0,5.872,800.0
2018-01-18,14.2,13.5,13.5,14.2,6.414,34700.0
2018-01-19,15.9,14.2,14.3,15.3,6.91,56610.0
2018-01-22,16.2,14.7,16.2,15.0,6.775,13950.0
2018-01-23,15.0,14.5,14.8,14.6,6.594,30500.0
2018-01-24,14.7,14.4,14.7,14.5,6.549,3400.0
2018-01-25,14.5,14.2,14.4,14.4,6.504,5720.0
2018-01-26,14.5,14.2,14.5,14.4,6.504,15200.0
2018-01-29,14.5,14.2,14.2,14.5,6.549,2300.0
2018-01-30,14.5,14.4,14.4,14.5,6.549,600.0
2018-01-31,14.3,14.2,14.3,14.2,6.414,3900.0
2018-02-01,14.4,14.2,14.3,14.2,6.414,9700.0
2018-02-02,14.2,14.2,14.2,14.2,6.414,3849.0
2018-02-05,14.2,13.8,14.2,14.2,6.414,4300.0
2018-02-06,14.0,14.0,14.0,14.0,6.323,52.0
2018-02-07,14.0,12.5,13.1,14.0,6.323,8900.0
2018-02-08,14.2,13.8,14.0,13.8,6.233,4730.0
2018-02-09,13.9,13.8,13.9,13.9,6.278,800.0
2018-02-12,14.2,13.9,14.1,14.1,6.368,8500.0
2018-02-13,14.6,14.2,14.2,14.6,6.594,5910.0
2018-02-21,14.4,14.4,14.4,14.4,6.504,1000.0
2018-02-22,14.0,14.0,14.0,14.0,6.323,1920.0
2018-02-23,14.4,14.1,14.4,14.4,6.504,4720.0
2018-02-26,14.6,14.3,14.6,14.5,6.549,1304.0
2018-02-27,14.5,14.3,14.3,14.5,6.549,1520.0
2018-02-28,14.4,13.8,13.8,14.0,6.323,3010.0
2018-03-01,14.4,14.3,14.3,14.4,6.504,1602.0
2018-03-02,14.2,14.2,14.2,14.2,6.414,2526.0
2018-03-05,14.4,13.8,14.4,13.8,6.233,2430.0
2018-03-06,14.0,14.0,14.0,14.0,6.323,100.0
2018-03-07,14.0,14.0,14.0,14.0,6.323,48.0
2018-03-08,14.0,14.0,14.0,14.0,6.323,1100.0
2018-03-09,14.2,13.8,13.8,14.2,6.414,3800.0
2018-03-12,14.1,13.7,14.1,13.7,6.188,10400.0
2018-03-13,13.7,13.7,13.7,13.7,6.188,502.0
2018-03-14,14.0,13.2,13.2,14.0,6.323,1100.0
2018-03-15,13.8,13.8,13.8,13.8,6.233,9400.0
2018-03-16,14.0,13.7,13.7,14.0,6.323,2400.0
2018-03-19,14.4,14.0,14.0,14.3,6.459,6600.0
2018-03-20,14.1,14.1,14.1,14.1,6.368,300.0
2018-03-21,14.3,14.1,14.1,14.3,6.459,1000.0
2018-03-22,14.6,14.3,14.5,14.6,6.594,4500.0
2018-03-23,14.5,14.5,14.5,14.5,6.549,100.0
2018-03-26,14.1,14.0,14.1,14.0,6.323,4800.0
2018-03-27,14.0,14.0,14.0,14.0,6.323,2000.0
2018-03-28,15.0,14.0,14.0,15.0,6.775,1420.0
2018-03-29,15.0,15.0,15.0,15.0,6.775,100.0
2018-03-30,15.0,15.0,15.0,15.0,6.775,0.0
2018-04-02,15.0,15.0,15.0,15.0,6.775,0.0
2018-04-03,15.0,15.0,15.0,15.0,6.775,0.0
2018-04-04,15.0,15.0,15.0,15.0,6.775,0.0
2018-04-05,15.0,15.0,15.0,15.0,6.775,3400.0
2018-04-06,15.0,14.9,15.0,14.9,6.73,5800.0
2018-04-09,15.0,14.9,14.9,14.9,6.73,5600.0
2018-04-10,14.9,14.9,14.9,14.9,6.73,1900.0
2018-04-11,14.7,13.9,14.6,13.9,6.278,2810.0
2018-04-12,14.0,14.0,14.0,14.0,6.323,4200.0
2018-04-13,14.5,14.5,14.5,14.5,6.549,500.0
2018-04-16,14.8,14.3,14.3,14.8,6.685,7650.0
2018-04-17,14.6,14.3,14.6,14.5,6.549,27410.0
2018-04-18,14.7,14.6,14.6,14.6,6.594,1010.0
2018-04-19,14.9,14.6,14.9,14.7,6.639,15200.0
2018-04-20,14.8,14.6,14.7,14.8,6.685,9200.0
2018-04-23,14.8,14.1,14.8,14.1,6.368,17530.0
2018-04-24,14.5,14.2,14.5,14.2,6.414,8620.0
2018-04-26,14.4,14.1,14.1,14.4,6.504,6420.0
2018-04-27,14.0,13.1,14.0,13.1,6.6,6130.0
2018-05-02,13.2,13.1,13.2,13.1,6.6,2300.0
2018-05-03,13.1,12.7,13.1,12.8,6.449,1020.0
2018-05-04,12.9,12.9,12.9,12.9,6.499,1400.0
2018-05-07,12.9,12.7,12.9,12.7,6.398,12540.0
2018-05-08,12.7,12.7,12.7,12.7,6.398,6200.0
2018-05-09,12.7,12.7,12.7,12.7,6.398,2000.0
