Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,24.95,23.1,24.0,23.1,16.783,70.0
2018-01-03,23.0,23.0,23.0,23.0,16.711,1520.0
2018-01-04,22.2,22.2,22.2,22.2,16.129,20.0
2018-01-05,23.75,21.5,21.5,23.75,17.256,220.0
2018-01-08,24.0,23.7,23.7,24.0,17.437,140.0
2018-01-09,24.0,24.0,24.0,24.0,17.437,0.0
2018-01-10,22.45,22.45,22.45,22.45,16.311,20.0
2018-01-11,22.45,22.45,22.45,22.45,16.311,0.0
2018-01-12,24.0,24.0,24.0,24.0,17.437,2520.0
2018-01-15,23.0,23.0,23.0,23.0,16.711,810.0
2018-01-16,24.5,24.0,24.0,24.5,17.8,500.0
2018-01-17,24.5,24.5,24.5,24.5,17.8,0.0
2018-01-18,22.8,22.8,22.8,22.8,16.565,20.0
2018-01-19,23.0,23.0,23.0,23.0,16.711,2200.0
2018-01-22,23.0,23.0,23.0,23.0,16.711,0.0
2018-01-25,23.0,23.0,23.0,23.0,16.711,0.0
2018-01-26,24.0,24.0,24.0,24.0,17.437,100.0
2018-01-29,24.0,24.0,24.0,24.0,17.437,2280.0
2018-01-30,25.65,25.65,25.65,25.65,18.636,10.0
2018-01-31,27.4,27.4,27.4,27.4,19.907,60.0
2018-02-01,28.9,25.5,28.9,25.5,18.527,70.0
2018-02-02,25.5,25.5,25.5,25.5,18.527,0.0
2018-02-05,25.5,25.5,25.5,25.5,18.527,0.0
2018-02-06,25.5,25.5,25.5,25.5,18.527,0.0
2018-02-07,25.5,25.5,25.5,25.5,18.527,0.0
2018-02-08,27.25,25.5,25.5,27.25,19.798,60.0
2018-02-09,27.25,27.25,27.25,27.25,19.798,0.0
2018-02-12,25.35,25.35,25.35,25.35,18.418,10.0
2018-02-13,23.6,23.6,23.6,23.6,17.147,340.0
2018-02-21,23.6,23.6,23.6,23.6,17.147,0.0
2018-02-22,21.95,21.95,21.95,21.95,15.948,10.0
2018-02-23,21.95,21.95,21.95,21.95,15.948,60.0
2018-02-26,21.95,21.95,21.95,21.95,15.948,950.0
2018-02-27,21.95,21.95,21.95,21.95,15.948,0.0
2018-02-28,21.95,21.95,21.95,21.95,15.948,10.0
2018-03-01,21.95,21.95,21.95,21.95,15.948,0.0
2018-03-02,20.6,20.45,20.45,20.5,14.894,620.0
2018-03-05,21.9,21.0,21.9,21.0,15.257,50.0
2018-03-06,19.8,19.8,19.8,19.8,14.386,200.0
2018-03-07,19.8,19.8,19.8,19.8,14.386,0.0
2018-03-08,20.8,19.4,19.4,20.8,15.112,560.0
2018-03-09,20.8,20.8,20.8,20.8,15.112,0.0
2018-03-12,20.8,20.8,20.8,20.8,15.112,0.0
2018-03-13,20.0,19.55,19.55,19.6,14.24,200.0
2018-03-14,20.75,20.7,20.7,20.75,15.076,510.0
2018-03-15,22.2,20.75,22.2,20.75,15.076,20.0
2018-03-16,20.5,19.5,20.05,20.5,14.894,120.0
2018-03-19,19.5,19.5,19.5,19.5,14.168,20.0
2018-03-20,19.5,19.5,19.5,19.5,14.168,0.0
2018-03-21,20.85,20.85,20.85,20.85,15.149,10.0
2018-03-22,22.3,20.85,20.85,21.5,15.621,140.0
2018-03-23,21.5,21.5,21.5,21.5,15.621,0.0
2018-03-26,20.1,20.1,20.1,20.1,14.604,20.0
2018-03-27,20.1,20.1,20.1,20.1,14.604,20.0
2018-03-28,21.5,21.5,21.5,21.5,15.621,10.0
2018-03-29,21.5,21.5,21.5,21.5,15.621,10.0
2018-03-30,21.5,21.5,21.5,21.5,15.621,0.0
2018-04-02,23.0,21.2,23.0,21.4,15.548,520.0
2018-04-03,21.5,21.5,21.5,21.5,15.621,240.0
2018-04-04,22.8,22.8,22.8,22.8,16.565,500.0
2018-04-05,22.8,22.8,22.8,22.8,16.565,0.0
2018-04-06,22.8,22.8,22.8,22.8,16.565,0.0
2018-04-09,22.8,22.8,22.8,22.8,16.565,0.0
2018-04-10,22.8,22.8,22.8,22.8,16.565,0.0
2018-04-11,22.8,22.8,22.8,22.8,16.565,0.0
2018-04-12,22.0,21.5,22.0,21.5,15.621,200.0
2018-04-13,22.0,22.0,22.0,22.0,15.984,10.0
2018-04-16,21.8,21.8,21.8,21.8,15.839,20.0
2018-04-17,21.8,21.8,21.8,21.8,15.839,0.0
2018-04-18,21.8,21.8,21.8,21.8,15.839,0.0
2018-04-19,21.9,21.9,21.9,21.9,15.911,20.0
2018-04-20,22.0,22.0,22.0,22.0,15.984,10.0
2018-04-23,22.0,22.0,22.0,22.0,15.984,10.0
2018-04-24,21.8,21.7,21.8,21.7,15.766,480.0
2018-04-26,21.8,21.8,21.8,21.8,15.839,10.0
2018-04-27,21.8,21.8,21.8,21.8,15.839,0.0
2018-05-02,23.0,20.4,20.4,23.0,16.711,20.0
2018-05-03,23.0,23.0,23.0,23.0,16.711,0.0
2018-05-04,23.0,23.0,23.0,23.0,16.711,0.0
2018-05-07,24.6,24.6,24.6,24.6,17.873,1010.0
2018-05-08,22.9,22.9,22.9,22.9,16.638,20.0
2018-05-09,22.9,22.9,22.9,22.9,16.638,0.0
2018-05-10,22.9,22.9,22.9,22.9,16.638,0.0
2018-05-11,22.9,22.9,22.9,22.9,16.638,0.0
2018-05-14,21.3,21.3,21.3,21.3,15.475,10.0
2018-05-15,22.75,19.9,19.9,22.75,16.529,70.0
2018-05-16,21.6,21.6,21.6,21.6,15.693,10.0
2018-05-17,21.6,21.6,21.6,21.6,15.693,0.0
2018-05-18,21.6,21.6,21.6,21.6,15.693,10.0
2018-05-21,20.65,20.65,20.65,20.65,15.003,10.0
2018-05-22,22.05,22.05,22.05,22.05,16.02,10.0
