Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,6.9,6.8,6.8,6.9,4.554,40120.0
2018-01-03,6.9,6.8,6.9,6.8,4.488,93390.0
2018-01-04,7.0,6.7,6.8,7.0,4.62,189640.0
2018-01-05,7.0,6.9,7.0,6.9,4.554,35350.0
2018-01-08,7.1,6.9,6.9,7.1,4.686,87572.0
2018-01-09,7.1,7.0,7.1,7.0,4.62,65140.0
2018-01-10,7.0,6.9,7.0,6.9,4.554,129610.0
2018-01-11,7.0,6.8,6.8,7.0,4.62,124350.0
2018-01-12,7.6,7.1,7.1,7.4,4.884,248610.0
2018-01-15,8.0,7.4,7.5,8.0,5.28,274880.0
2018-01-16,8.0,7.8,8.0,8.0,5.28,243400.0
2018-01-17,8.0,7.5,8.0,7.5,4.95,129214.0
2018-01-18,7.7,7.1,7.4,7.7,5.082,90566.0
2018-01-19,7.8,7.3,7.3,7.8,5.148,35800.0
2018-01-22,8.0,7.5,7.7,8.0,5.28,142980.0
2018-01-23,8.8,8.0,8.0,8.6,5.676,379790.0
2018-01-24,8.6,8.0,8.6,8.5,5.61,45818.0
2018-01-25,8.4,8.0,8.3,8.2,5.412,128143.0
2018-01-26,8.0,7.8,7.9,8.0,5.28,104100.0
2018-01-29,7.9,7.7,7.9,7.7,5.082,66680.0
2018-01-30,8.2,7.7,7.7,8.0,5.28,46800.0
2018-01-31,8.1,7.8,8.0,8.1,5.346,43930.0
2018-02-01,8.1,7.9,8.0,8.0,5.28,81900.0
2018-02-02,8.0,7.8,7.8,8.0,5.28,7200.0
2018-02-05,7.9,7.7,7.9,7.8,5.148,72270.0
2018-02-06,7.4,7.1,7.2,7.4,4.884,133960.0
2018-02-07,7.8,7.5,7.6,7.7,5.082,44530.0
2018-02-08,7.8,7.7,7.7,7.8,5.148,9320.0
2018-02-09,7.7,7.2,7.4,7.7,5.082,48920.0
2018-02-12,7.9,7.6,7.7,7.9,5.214,12800.0
2018-02-13,8.2,7.6,7.6,8.2,5.412,51911.0
2018-02-21,8.2,7.4,7.6,8.1,5.346,21500.0
2018-02-22,8.0,7.7,8.0,7.9,5.214,23200.0
2018-02-23,7.9,7.6,7.8,7.8,5.148,56010.0
2018-02-26,8.0,7.7,7.8,8.0,5.28,24600.0
2018-02-27,8.3,8.0,8.0,8.3,5.478,157840.0
2018-03-09,9.51,9.0,9.5,9.3,6.138,565440.0
2018-03-12,9.6,9.2,9.6,9.2,6.072,229670.0
2018-03-13,9.4,8.9,9.15,9.4,6.204,135960.0
2018-03-14,9.4,8.9,9.4,9.0,5.94,165630.0
2018-03-15,8.9,8.6,8.9,8.7,5.742,163520.0
2018-03-16,8.8,8.55,8.6,8.6,5.676,55300.0
2018-03-19,9.0,8.6,8.6,8.9,5.874,145970.0
2018-03-20,8.9,8.75,8.9,8.9,5.874,93410.0
2018-03-21,9.0,8.6,9.0,8.8,5.808,21860.0
2018-03-22,8.9,8.6,8.6,8.6,5.676,41510.0
2018-03-23,8.7,8.3,8.5,8.7,5.742,72310.0
2018-03-26,9.3,8.5,8.5,9.3,6.138,81050.0
2018-03-27,9.3,8.7,9.3,9.0,5.94,24080.0
2018-03-28,9.2,8.7,8.7,9.2,6.072,14300.0
2018-03-29,9.1,8.9,9.1,9.0,5.94,3480.0
2018-03-30,9.0,8.61,8.61,9.0,5.94,5290.0
2018-04-02,9.0,8.63,8.63,9.0,5.94,4600.0
2018-04-03,9.0,8.41,8.9,8.98,5.927,19150.0
2018-04-04,9.0,8.42,8.98,9.0,5.94,57020.0
2018-04-05,9.0,8.47,8.47,8.99,5.934,57190.0
2018-04-06,9.0,8.57,8.57,8.63,5.696,6800.0
2018-04-09,9.0,8.7,8.9,8.8,5.808,20930.0
2018-04-10,8.9,8.6,8.9,8.9,5.874,3200.0
2018-04-11,8.7,8.4,8.7,8.7,5.742,18270.0
2018-04-12,8.9,8.5,8.9,8.9,5.874,10830.0
2018-04-13,8.97,8.46,8.97,8.46,5.584,8490.0
2018-04-16,8.35,7.9,8.35,7.9,5.214,25300.0
2018-04-17,7.9,7.4,7.5,7.9,5.214,62320.0
2018-04-18,7.8,7.4,7.8,7.8,5.148,3720.0
2018-04-19,8.33,7.28,8.33,8.2,5.412,720.0
2018-04-20,8.69,7.65,7.8,8.69,5.736,11990.0
2018-04-23,8.69,8.09,8.6,8.09,5.34,2510.0
2018-04-24,8.28,7.53,8.28,7.98,5.267,160520.0
2018-04-26,8.0,7.46,7.95,7.88,5.201,17630.0
2018-04-27,7.88,7.35,7.5,7.35,4.851,24650.0
2018-05-02,7.83,7.81,7.83,7.81,5.155,9010.0
2018-05-03,7.51,7.27,7.51,7.27,4.798,53690.0
2018-05-04,7.3,6.78,7.27,6.78,4.475,13240.0
2018-05-07,7.25,6.32,6.32,7.25,4.785,9790.0
2018-05-08,7.2,6.75,6.76,7.09,4.68,50270.0
2018-05-09,7.08,7.0,7.08,7.0,4.62,5550.0
2018-05-10,7.1,7.1,7.1,7.1,4.686,10.0
2018-05-11,7.0,6.62,7.0,7.0,4.62,18030.0
2018-05-14,6.9,6.6,6.9,6.8,4.488,23810.0
2018-05-15,7.0,6.33,6.71,7.0,4.62,60.0
2018-05-16,7.08,6.51,7.08,6.99,4.614,38330.0
2018-05-17,7.0,6.53,6.54,7.0,4.62,1480.0
2018-05-18,6.99,6.6,6.6,6.99,4.614,34690.0
2018-05-21,6.95,6.55,6.56,6.95,4.587,10740.0
2018-05-22,6.95,6.95,6.95,6.95,4.587,0.0
2018-05-23,6.89,6.51,6.51,6.89,4.548,1010.0
2018-05-24,6.88,6.42,6.43,6.45,4.257,8120.0
2018-05-25,6.88,6.25,6.25,6.88,4.541,38020.0
2018-05-28,6.8,6.45,6.5,6.45,4.257,30930.0
2018-05-29,6.69,6.45,6.45,6.69,4.416,2880.0
2018-05-30,7.1,6.25,7.1,6.82,4.501,2080.0
2018-05-31,7.17,6.5,7.17,6.98,4.607,9610.0
2018-06-01,6.98,6.6,6.61,6.98,4.607,11360.0
2018-06-04,7.0,6.63,6.63,7.0,4.62,6750.0
2018-06-05,7.0,6.7,6.7,7.0,4.62,4010.0
2018-06-06,6.67,6.65,6.66,6.66,4.396,9210.0
2018-06-07,6.96,6.37,6.66,6.96,4.594,4220.0
2018-06-08,7.0,6.55,6.55,7.0,4.62,2270.0
2018-06-11,7.0,7.0,7.0,7.0,4.62,1300.0
2018-06-12,6.98,6.55,6.56,6.98,4.607,10540.0
2018-06-13,6.98,6.59,6.98,6.98,4.607,18210.0
2018-06-14,6.98,6.98,6.98,6.98,4.607,18190.0
2018-06-15,6.98,6.98,6.98,6.98,4.607,1300.0
2018-06-18,6.98,6.51,6.51,6.98,4.607,170.0
2018-06-19,6.94,6.9,6.9,6.94,4.581,130.0
2018-06-20,6.98,6.62,6.62,6.98,4.607,4180.0
2018-06-21,6.98,6.98,6.98,6.98,4.607,0.0
2018-06-22,6.98,6.98,6.98,6.98,4.607,2500.0
2018-06-25,6.89,6.57,6.57,6.89,4.548,540.0
2018-06-26,6.43,6.43,6.43,6.43,4.244,1480.0
2018-06-27,6.88,6.88,6.88,6.88,4.541,30.0
2018-06-28,6.88,6.5,6.88,6.88,4.541,5110.0
2018-06-29,6.87,6.4,6.87,6.87,4.534,12640.0
2018-07-02,6.89,6.89,6.89,6.89,4.548,20.0
