Date,High,Low,Open,Close,Adj Close,Volume
2020-06-19,19.5,19.5,19.5,19.5,4.249,102000.0
2020-06-22,21.4,21.4,21.4,21.4,4.663,200.0
2020-06-23,23.5,23.5,23.5,23.5,5.12,100.0
2020-06-24,25.8,25.8,25.8,25.8,5.621,1300.0
2020-06-25,28.3,28.3,28.3,28.3,6.166,100.0
2020-06-26,31.1,31.1,31.1,31.1,6.776,500.0
2020-06-29,34.2,34.2,34.2,34.2,7.452,500.0
2020-06-30,37.6,37.6,37.6,37.6,8.192,200.0
2020-07-01,41.3,41.3,41.3,41.3,8.998,500.0
2020-07-02,45.4,45.4,45.4,45.4,9.892,500.0
2020-07-03,49.9,49.9,49.9,49.9,10.872,611100.0
2020-07-06,54.8,54.8,54.8,54.8,11.94,100.0
2020-07-07,60.2,60.2,60.2,60.2,13.116,400.0
2020-07-08,66.2,55.5,66.1,66.2,14.424,66650.0
2020-07-09,72.8,72.8,72.8,72.8,15.862,500.0
2020-07-10,80.0,80.0,80.0,80.0,17.43,41200.0
2020-07-13,88.0,72.5,88.0,88.0,19.174,15905.0
2020-07-14,96.8,95.0,96.8,95.0,20.699,27115.0
2020-07-15,103.0,95.0,103.0,95.0,20.699,6500.0
2020-07-16,85.7,85.5,85.6,85.5,18.629,1085.0
2020-07-17,78.1,77.0,77.0,78.0,16.995,34750.0
2020-07-20,76.0,70.2,75.0,70.2,15.295,24569.0
2020-07-21,77.2,63.3,66.0,77.2,16.82,4040.0
2020-07-22,84.8,73.1,81.0,84.1,18.324,4525.0
2020-07-23,84.0,75.7,84.0,75.9,16.537,4506.0
2020-07-24,72.0,69.0,69.0,71.0,15.47,2810.0
2020-07-27,70.0,64.5,64.5,64.5,14.053,2320.0
2020-07-28,68.8,68.0,68.0,68.8,14.99,6461.0
2020-07-29,65.1,64.0,64.1,65.1,14.184,2536.0
2020-07-30,70.0,69.0,69.0,70.0,15.252,2133.0
2020-07-31,65.0,65.0,65.0,65.0,14.162,1000.0
2020-08-03,68.0,64.5,65.0,67.5,14.707,7801.0
2020-08-04,71.5,67.5,71.4,69.4,15.121,4520.0
2020-08-05,72.9,68.5,72.9,72.7,15.84,7211.0
2020-08-06,72.4,70.1,72.4,70.9,15.448,1810.0
2020-08-07,74.0,72.0,74.0,72.0,15.687,2600.0
2020-08-10,72.0,72.0,72.0,72.0,15.687,2600.0
2020-08-11,72.9,71.0,72.0,71.0,15.47,700.0
2020-08-12,69.5,69.0,69.5,69.0,15.034,1200.0
2020-08-13,72.8,72.8,72.8,72.8,15.862,1110.0
2020-08-14,74.9,73.8,74.9,73.8,16.08,2500.0
2020-08-17,74.9,74.8,74.9,74.9,16.319,3220.0
2020-08-18,74.9,74.9,74.9,74.9,16.319,310.0
2020-08-19,75.0,70.2,70.2,75.0,16.341,3110.0
2020-08-20,76.0,75.0,75.0,76.0,16.559,2609.0
2020-08-21,82.0,82.0,82.0,82.0,17.866,120.0
2020-08-24,82.2,76.8,82.0,82.0,17.866,11300.0
2020-08-25,84.8,80.0,80.0,81.0,17.648,2110.0
2020-08-26,84.0,81.0,81.0,81.0,17.648,2201.0
2020-08-27,79.0,76.0,79.0,76.0,16.559,1500.0
2020-08-28,78.8,78.0,78.0,78.8,17.169,2800.0
2020-08-31,78.0,76.0,78.0,76.0,16.559,1620.0
2020-09-01,83.5,71.0,71.0,83.5,18.193,1230.0
2020-09-03,88.0,78.0,78.0,88.0,19.174,1100.0
2020-09-04,90.0,80.5,80.5,89.9,19.588,3900.0
2020-09-07,98.8,85.0,85.0,98.8,21.527,518.0
2020-09-08,98.8,90.0,95.0,90.0,19.609,600.0
2020-09-09,90.0,81.0,85.0,90.0,19.609,5500.0
2020-09-10,84.5,84.0,84.0,84.5,18.411,400.0
2020-09-11,76.5,76.5,76.5,76.5,16.668,110.0
2020-09-14,76.6,76.0,76.0,76.6,16.69,200.0
2020-09-15,78.8,76.8,76.8,78.8,17.169,12700.0
2020-09-16,81.7,78.8,79.6,81.7,17.801,21200.0
2020-09-17,83.2,81.8,82.0,82.2,17.91,13635.0
2020-09-18,83.0,82.2,82.2,83.0,18.084,76600.0
2020-09-21,86.0,84.0,84.1,86.0,18.738,7600.0
2020-09-22,90.0,86.0,86.0,90.0,19.609,172210.0
2020-09-23,90.0,87.0,90.0,88.0,19.174,6670.0
2020-09-24,88.0,85.2,88.0,86.0,18.738,2800.0
2020-09-25,86.0,82.0,86.0,82.0,17.866,2600.0
2020-09-28,83.8,79.9,82.0,83.8,18.258,28030.0
2020-09-29,91.9,83.8,83.8,84.0,18.302,3925.0
2020-09-30,85.0,83.6,84.0,84.5,18.411,3000.0
2020-10-01,86.8,84.5,84.5,86.8,18.912,17600.0
2020-10-02,92.0,86.6,86.8,92.0,20.045,19610.0
2020-10-05,92.0,88.0,92.0,89.9,19.588,5045.0
2020-10-06,89.9,86.0,89.9,88.0,19.174,4200.0
2020-10-07,88.0,86.0,88.0,86.5,18.847,3900.0
2020-10-08,86.5,86.0,86.2,86.2,18.781,2700.0
2020-10-09,86.2,86.0,86.0,86.2,18.781,1200.0
2020-10-12,86.2,85.8,85.8,86.2,18.781,1845.0
2020-10-13,86.2,85.0,86.2,85.0,18.52,4100.0
2020-10-14,85.0,83.3,85.0,83.3,18.149,5000.0
2020-10-15,84.0,82.0,83.3,84.0,18.302,10125.0
2020-10-16,84.9,83.8,84.0,84.8,18.476,19940.0
2020-10-19,86.0,84.0,84.8,86.0,18.738,23800.0
2020-10-20,86.0,85.3,86.0,85.6,18.651,10100.0
2020-10-21,85.6,85.5,85.6,85.5,18.629,10800.0
2020-10-22,85.3,84.0,85.3,84.5,18.411,8300.0
2020-10-23,84.6,84.3,84.5,84.5,18.411,7100.0
