Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,16.2,16.2,16.2,16.2,9.04,0.0
2018-01-03,16.4,16.2,16.4,16.3,9.096,4030.0
2018-01-04,16.3,16.2,16.3,16.2,9.04,4240.0
2018-01-05,16.7,16.7,16.7,16.7,9.319,100.0
2018-01-08,16.7,16.7,16.7,16.7,9.319,0.0
2018-01-09,16.3,16.3,16.3,16.3,9.096,3000.0
2018-01-10,16.6,16.0,16.4,16.6,9.263,2980.0
2018-01-11,16.55,16.4,16.55,16.4,9.152,7000.0
2018-01-12,16.55,16.55,16.55,16.55,9.235,410.0
2018-01-15,16.5,16.4,16.4,16.5,9.207,190.0
2018-01-16,17.65,16.55,16.55,17.65,9.849,15000.0
2018-01-17,17.1,16.55,17.1,16.95,9.458,5060.0
2018-01-18,18.0,16.5,18.0,17.0,9.486,40.0
2018-01-19,17.0,17.0,17.0,17.0,9.486,200.0
2018-01-22,17.0,16.85,17.0,16.85,9.403,210.0
2018-01-25,18.0,16.85,18.0,16.85,9.403,4610.0
2018-01-26,16.7,16.7,16.7,16.7,9.319,200.0
2018-01-29,16.7,16.7,16.7,16.7,9.319,0.0
2018-01-30,16.5,16.2,16.2,16.5,9.207,4140.0
2018-01-31,17.0,16.5,16.5,17.0,9.486,6720.0
2018-02-01,17.0,17.0,17.0,17.0,9.486,0.0
2018-02-02,16.5,16.5,16.5,16.5,9.207,1500.0
2018-02-05,16.4,16.1,16.4,16.3,9.096,8110.0
2018-02-06,17.0,16.0,16.1,17.0,9.486,21140.0
2018-02-07,17.7,16.2,16.2,16.5,9.207,18630.0
2018-02-08,16.5,16.5,16.5,16.5,9.207,0.0
2018-02-09,16.2,16.0,16.2,16.2,9.04,29910.0
2018-02-12,17.0,17.0,17.0,17.0,9.486,10.0
2018-02-13,16.8,16.7,16.8,16.8,9.375,3230.0
2018-02-21,16.6,16.3,16.5,16.3,9.096,15280.0
2018-02-22,16.7,16.55,16.7,16.55,9.235,6540.0
2018-02-23,16.7,16.5,16.5,16.7,9.319,6390.0
2018-02-26,16.9,16.5,16.7,16.5,9.207,12790.0
2018-02-27,16.3,15.9,16.3,15.9,9.445,6780.0
2018-02-28,16.1,15.6,15.8,16.1,9.564,9940.0
2018-03-01,15.6,15.5,15.5,15.6,9.267,2450.0
2018-03-02,15.6,15.5,15.6,15.6,9.267,530.0
2018-03-05,15.6,15.4,15.6,15.4,9.148,21400.0
2018-03-06,15.4,15.4,15.4,15.4,9.148,1060.0
2018-03-07,15.3,15.3,15.3,15.3,9.088,6340.0
2018-03-08,15.4,15.3,15.4,15.3,9.088,3000.0
2018-03-09,15.35,15.35,15.35,15.35,9.118,100.0
2018-03-12,15.35,15.3,15.3,15.35,9.118,1980.0
2018-03-13,15.5,15.5,15.5,15.5,9.207,410.0
2018-03-14,15.5,15.3,15.5,15.3,9.088,5190.0
2018-03-15,15.3,15.3,15.3,15.3,9.088,0.0
2018-03-16,16.0,15.3,15.3,16.0,9.504,1230.0
2018-03-19,16.0,16.0,16.0,16.0,9.504,0.0
2018-03-20,16.0,16.0,16.0,16.0,9.504,0.0
2018-03-21,16.0,16.0,16.0,16.0,9.504,0.0
2018-03-22,16.0,16.0,16.0,16.0,9.504,1000.0
2018-03-23,15.5,15.2,15.2,15.5,9.207,200.0
2018-03-26,15.8,15.7,15.7,15.8,9.385,12120.0
2018-03-27,15.7,15.7,15.7,15.7,9.326,30.0
2018-03-28,15.6,15.5,15.6,15.6,9.267,700.0
2018-03-29,16.65,15.6,15.6,16.65,9.89,380.0
2018-03-30,16.65,16.65,16.65,16.65,9.89,0.0
2018-04-02,16.2,15.6,15.6,16.2,9.623,70.0
2018-04-03,16.0,15.6,15.95,15.7,9.326,14730.0
2018-04-04,15.75,15.7,15.75,15.7,9.326,3700.0
2018-04-05,15.7,15.6,15.7,15.6,9.267,4000.0
2018-04-06,16.5,15.7,16.5,15.7,9.326,3010.0
2018-04-09,15.75,15.6,15.7,15.75,9.356,13720.0
2018-04-10,15.75,15.6,15.75,15.6,9.267,4390.0
2018-04-11,15.75,15.6,15.75,15.6,9.267,3260.0
2018-04-12,16.6,16.4,16.4,16.6,9.861,460.0
2018-04-13,16.2,16.2,16.2,16.2,9.623,20.0
2018-04-16,16.0,15.4,16.0,15.4,9.148,13810.0
2018-04-17,16.1,15.4,15.5,16.1,9.564,15490.0
2018-04-18,16.0,15.4,15.4,16.0,9.504,30560.0
2018-04-19,15.5,15.0,15.3,15.0,9.197,140.0
2018-04-20,15.15,14.95,14.95,15.15,9.289,660.0
2018-04-23,15.5,15.5,15.5,15.5,9.504,10.0
2018-04-24,15.5,15.0,15.0,15.5,9.504,710.0
2018-04-26,14.95,14.95,14.95,14.95,9.167,400.0
2018-04-27,14.95,14.9,14.9,14.95,9.167,420.0
2018-05-02,15.4,14.5,15.4,14.5,8.891,16000.0
2018-05-03,15.2,15.2,15.2,15.2,9.32,50.0
2018-05-04,14.65,14.65,14.65,14.65,8.983,50.0
2018-05-07,14.7,14.6,14.7,14.7,9.013,12870.0
2018-05-08,15.3,14.7,14.7,14.7,9.013,110400.0
2018-05-09,15.0,14.7,14.7,14.7,9.013,13890.0
2018-05-10,14.7,14.7,14.7,14.7,9.013,15110.0
2018-05-11,15.0,14.7,14.7,15.0,9.197,2180.0
2018-05-14,15.0,14.8,15.0,14.8,9.075,6100.0
2018-05-15,15.0,15.0,15.0,15.0,9.197,10.0
2018-05-16,14.95,14.5,14.5,14.95,9.167,1010.0
2018-05-17,14.75,14.75,14.75,14.75,9.044,50.0
2018-05-18,14.95,14.95,14.95,14.95,9.167,300.0
2018-05-21,14.7,14.7,14.7,14.7,9.013,350.0
2018-05-22,14.6,14.4,14.6,14.5,8.891,4880.0
2018-05-23,14.5,14.45,14.5,14.5,8.891,1020.0
2018-05-24,14.5,14.1,14.5,14.1,8.645,15780.0
2018-05-25,14.1,14.1,14.1,14.1,8.645,0.0
2018-05-28,14.1,13.9,14.1,14.0,8.584,3190.0
2018-05-29,14.0,14.0,14.0,14.0,8.584,0.0
2018-05-30,14.0,13.7,13.9,14.0,8.584,760.0
2018-05-31,14.95,14.95,14.95,14.95,9.167,10.0
2018-06-01,14.95,14.95,14.95,14.95,9.167,0.0
2018-06-04,14.95,14.95,14.95,14.95,9.167,0.0
2018-06-05,14.95,14.6,14.6,14.95,9.167,10010.0
2018-06-06,14.8,14.2,14.2,14.8,9.075,60.0
2018-06-07,14.8,14.6,14.6,14.8,9.075,1480.0
2018-06-08,14.8,14.6,14.6,14.7,9.013,1210.0
2018-06-11,15.05,14.0,15.05,14.0,8.584,20.0
