Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,33.9,33.9,33.9,33.9,19.28,10.0
2018-01-03,32.7,32.7,32.7,32.7,18.597,10.0
2018-01-04,32.7,32.7,32.7,32.7,18.597,0.0
2018-01-05,34.95,34.95,34.95,34.95,19.877,210.0
2018-01-08,34.95,34.95,34.95,34.95,19.877,0.0
2018-01-09,34.95,34.95,34.95,34.95,19.877,0.0
2018-01-10,37.35,37.35,37.35,37.35,21.242,230.0
2018-01-11,37.35,37.35,37.35,37.35,21.242,0.0
2018-01-12,37.35,37.35,37.35,37.35,21.242,0.0
2018-01-15,35.0,34.75,35.0,34.75,19.763,80.0
2018-01-16,33.0,33.0,33.0,33.0,18.768,10.0
2018-01-17,33.0,33.0,33.0,33.0,18.768,0.0
2018-01-18,35.3,30.7,35.3,35.3,20.076,190.0
2018-01-19,37.75,34.05,37.7,34.05,19.365,70.0
2018-01-22,36.4,32.6,32.6,34.1,19.393,30.0
2018-01-25,36.45,36.45,36.45,36.45,20.73,130.0
2018-01-26,36.45,36.45,36.45,36.45,20.73,0.0
2018-01-29,39.0,39.0,39.0,39.0,22.18,420.0
2018-01-30,41.7,36.3,41.7,36.3,20.644,20.0
2018-01-31,36.3,36.3,36.3,36.3,20.644,0.0
2018-02-01,36.3,36.3,36.3,36.3,20.644,0.0
2018-02-02,36.3,36.3,36.3,36.3,20.644,0.0
2018-02-05,36.3,36.3,36.3,36.3,20.644,0.0
2018-02-06,36.3,36.3,36.3,36.3,20.644,0.0
2018-02-07,36.3,36.3,36.3,36.3,20.644,0.0
2018-02-08,36.3,36.3,36.3,36.3,20.644,0.0
2018-02-09,36.3,36.3,36.3,36.3,20.644,0.0
2018-02-12,34.1,34.1,34.1,34.1,19.393,10.0
2018-02-13,31.9,31.9,31.9,31.9,18.142,10.0
2018-02-21,31.9,31.9,31.9,31.9,18.142,0.0
2018-02-22,31.9,31.9,31.9,31.9,18.142,0.0
2018-02-23,32.5,32.5,32.5,32.5,18.483,10.0
2018-02-26,32.5,32.5,32.5,32.5,18.483,0.0
2018-02-27,32.5,32.5,32.5,32.5,18.483,0.0
2018-02-28,32.5,32.5,32.5,32.5,18.483,10.0
2018-03-01,32.5,32.5,32.5,32.5,18.483,0.0
2018-03-02,32.5,32.5,32.5,32.5,18.483,0.0
2018-03-05,32.5,32.5,32.5,32.5,18.483,0.0
2018-03-06,32.5,32.5,32.5,32.5,18.483,0.0
2018-03-07,32.5,32.5,32.5,32.5,18.483,0.0
2018-03-08,32.5,32.5,32.5,32.5,18.483,0.0
2018-03-09,32.5,32.5,32.5,32.5,18.483,0.0
2018-03-12,32.5,32.5,32.5,32.5,18.483,0.0
2018-03-13,32.5,32.5,32.5,32.5,18.483,0.0
2018-03-14,32.5,32.5,32.5,32.5,18.483,0.0
2018-03-15,31.1,31.1,31.1,31.1,17.687,10.0
2018-03-16,31.1,31.1,31.1,31.1,17.687,0.0
2018-03-19,31.1,31.1,31.1,31.1,17.687,0.0
2018-03-20,33.25,30.1,30.1,30.1,17.118,30.0
2018-03-21,30.1,30.1,30.1,30.1,17.118,0.0
2018-03-22,30.1,30.1,30.1,30.1,17.118,0.0
2018-03-23,29.4,29.4,29.4,29.4,16.72,10.0
2018-03-26,29.4,29.4,29.4,29.4,16.72,0.0
