Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,12.15,11.9,11.95,11.95,9.473,176650.0
2018-01-03,12.6,11.95,12.1,12.6,9.988,826360.0
2018-01-04,13.1,12.5,12.65,13.1,10.384,617570.0
2018-01-05,13.4,13.0,13.0,13.25,10.503,520330.0
2018-01-08,13.5,13.2,13.2,13.45,10.662,1334250.0
2018-01-09,13.5,13.3,13.35,13.35,10.582,320920.0
2018-01-10,13.5,13.25,13.4,13.3,10.543,203270.0
2018-01-11,13.3,13.15,13.25,13.25,10.503,265600.0
2018-01-12,13.35,13.0,13.0,13.3,10.543,462910.0
2018-01-15,13.5,13.2,13.3,13.35,10.582,170320.0
2018-01-16,13.5,13.3,13.35,13.35,10.582,211640.0
2018-01-17,14.0,13.35,13.4,13.95,11.058,839670.0
2018-01-18,14.3,13.9,14.0,14.3,11.336,593910.0
2018-01-19,14.45,14.2,14.4,14.2,11.256,287470.0
2018-01-22,14.2,14.0,14.1,14.1,11.177,169370.0
2018-01-25,14.25,14.05,14.1,14.1,11.177,169940.0
2018-01-26,14.25,14.1,14.15,14.2,11.256,284450.0
2018-01-29,14.25,14.15,14.2,14.2,11.256,235090.0
2018-01-30,14.35,14.25,14.25,14.3,11.336,140490.0
2018-01-31,15.3,14.3,14.35,15.3,12.128,2194850.0
2018-02-01,15.75,15.3,15.35,15.65,12.406,760650.0
2018-02-02,15.9,15.7,15.7,15.7,12.445,464150.0
2018-02-05,15.7,14.8,15.0,14.95,11.851,233270.0
2018-02-06,14.9,14.35,14.65,14.6,11.573,197700.0
2018-02-07,14.85,14.6,14.6,14.8,11.732,319310.0
2018-02-08,15.15,14.85,14.85,15.15,12.009,1084100.0
2018-02-09,15.25,15.0,15.2,15.05,11.93,168500.0
2018-02-12,15.1,14.9,15.1,14.95,11.851,403360.0
2018-02-13,14.9,14.75,14.85,14.75,11.692,290890.0
2018-02-21,14.85,14.6,14.65,14.75,11.692,192270.0
2018-02-22,15.0,14.75,14.85,15.0,11.89,312170.0
2018-02-23,15.3,15.0,15.0,15.25,12.089,236920.0
2018-02-26,15.65,15.3,15.35,15.5,12.287,620650.0
2018-02-27,15.55,15.3,15.55,15.35,12.168,182160.0
2018-02-28,15.35,15.1,15.2,15.3,12.128,202590.0
2018-03-01,15.35,15.2,15.25,15.25,12.089,108210.0
2018-03-02,15.2,15.0,15.1,15.1,11.97,154960.0
2018-03-05,16.15,15.1,15.1,16.15,12.802,1374000.0
2018-03-06,17.15,16.05,16.2,16.9,13.397,980110.0
2018-03-07,18.05,16.85,16.95,18.05,14.308,1265920.0
2018-03-08,19.3,16.8,18.05,19.3,15.299,1473520.0
