Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,11.5,11.3,11.3,11.3,7.072,413580.0
2018-01-03,11.5,11.35,11.45,11.45,7.166,717030.0
2018-01-04,11.1,10.9,11.1,11.0,7.2,953310.0
2018-01-05,11.0,10.8,11.0,10.85,7.101,416100.0
2018-01-08,10.85,10.7,10.75,10.85,7.101,541520.0
2018-01-09,11.5,10.8,10.95,11.5,7.527,1600920.0
2018-01-10,12.1,11.5,11.5,11.7,7.658,2363520.0
2018-01-11,11.85,11.55,11.8,11.7,7.658,894850.0
2018-01-12,11.85,11.5,11.7,11.55,7.559,1296770.0
2018-01-15,11.5,11.2,11.5,11.45,7.495,712880.0
2018-01-16,11.55,11.35,11.5,11.45,7.495,742050.0
2018-01-17,11.5,11.15,11.5,11.15,7.297,800780.0
2018-01-18,11.3,11.05,11.2,11.3,7.396,657480.0
2018-01-19,11.6,11.3,11.6,11.3,7.396,516080.0
2018-01-22,11.55,11.3,11.3,11.3,7.396,694330.0
2018-01-25,12.0,11.35,11.5,11.75,7.69,1960990.0
2018-01-26,12.35,11.65,11.95,12.25,8.017,2465990.0
2018-01-29,12.5,11.8,12.45,11.8,7.723,924030.0
2018-01-30,12.2,11.8,11.8,12.0,7.854,1567170.0
2018-01-31,12.2,11.85,12.2,11.9,7.789,594300.0
2018-02-01,11.9,11.7,11.9,11.7,7.658,546720.0
2018-02-02,11.8,11.5,11.7,11.75,7.69,334440.0
2018-02-05,11.65,10.95,11.65,11.0,7.2,555950.0
2018-02-06,10.8,10.25,10.3,10.5,6.872,1768660.0
2018-02-07,10.95,10.65,10.9,10.85,7.101,861570.0
2018-02-08,10.9,10.65,10.65,10.65,6.97,178970.0
2018-02-09,10.6,10.0,10.35,10.6,6.937,368050.0
2018-02-12,10.9,10.8,10.8,10.85,7.101,317340.0
2018-02-13,11.1,10.9,10.95,11.0,7.2,149810.0
2018-02-21,11.25,11.0,11.2,11.15,7.297,143870.0
2018-02-22,11.2,10.9,11.2,11.0,7.2,255120.0
2018-02-23,11.15,11.0,11.15,11.1,7.265,265880.0
2018-02-26,11.3,10.95,11.1,11.3,7.396,507050.0
2018-02-27,11.35,11.1,11.3,11.15,7.297,406980.0
2018-02-28,11.4,11.1,11.15,11.4,7.46,594590.0
2018-03-01,12.15,11.35,11.4,12.05,7.886,2077150.0
2018-03-02,12.3,11.9,11.95,12.05,7.886,1074000.0
2018-03-05,12.2,11.4,12.05,11.5,7.527,1166370.0
2018-03-06,11.9,11.5,11.75,11.75,7.69,769140.0
2018-03-07,11.95,11.5,11.95,11.85,7.755,1325690.0
2018-03-08,12.5,12.15,12.3,12.45,8.148,2567380.0
2018-03-09,12.5,12.2,12.5,12.2,7.984,1444590.0
2018-03-12,12.6,12.15,12.2,12.25,8.017,680150.0
2018-03-13,12.35,11.85,12.2,12.0,7.854,750380.0
2018-03-14,12.15,11.95,11.95,12.1,7.919,436490.0
2018-03-15,12.15,11.9,12.0,11.95,7.822,369830.0
2018-03-16,12.0,11.75,11.95,11.8,7.723,670840.0
2018-03-19,11.85,11.7,11.8,11.75,7.69,491710.0
2018-03-20,11.9,11.65,11.7,11.65,7.624,343550.0
2018-03-21,11.9,11.65,11.7,11.65,7.624,445520.0
2018-03-22,11.85,11.55,11.8,11.6,7.592,323470.0
2018-03-23,11.5,11.2,11.3,11.3,7.396,385670.0
