Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,4.9,4.9,4.9,4.9,4.9,6200.0
2018-01-03,5.0,4.5,4.9,4.9,4.9,25200.0
2018-01-04,4.8,4.7,4.8,4.7,4.7,4153.0
2018-01-05,4.8,4.8,4.8,4.8,4.8,6300.0
2018-01-08,4.7,4.7,4.7,4.7,4.7,4500.0
2018-01-09,4.8,4.7,4.8,4.8,4.8,9900.0
2018-01-10,5.4,4.9,4.9,5.0,5.0,39060.0
2018-01-11,5.2,4.9,5.0,5.2,5.2,12700.0
2018-01-12,5.6,5.1,5.6,5.1,5.1,2544.0
2018-01-15,5.0,4.9,5.0,4.9,4.9,34800.0
2018-01-16,4.9,4.8,4.9,4.8,4.8,12400.0
2018-01-17,4.9,4.8,4.9,4.8,4.8,3000.0
2018-01-18,4.8,4.1,4.8,4.4,4.4,180200.0
2018-01-19,4.6,4.5,4.6,4.5,4.5,8500.0
2018-01-22,4.0,3.9,4.0,3.9,3.9,24800.0
2018-01-23,4.2,3.5,3.5,4.2,4.2,61400.0
2018-01-24,4.1,4.0,4.0,4.0,4.0,6700.0
2018-01-25,4.2,4.0,4.0,4.2,4.2,3200.0
2018-01-26,3.9,3.6,3.6,3.9,3.9,9600.0
2018-01-29,4.2,3.5,4.2,3.5,3.5,52700.0
2018-01-30,3.9,3.4,3.9,3.8,3.8,6100.0
2018-01-31,3.6,3.6,3.6,3.6,3.6,21000.0
2018-02-01,3.6,3.5,3.5,3.6,3.6,5500.0
2018-02-02,3.6,3.6,3.6,3.6,3.6,20.0
2018-02-05,3.3,3.3,3.3,3.3,3.3,100.0
2018-02-06,3.7,3.0,3.0,3.2,3.2,1100.0
2018-02-07,3.6,3.5,3.5,3.5,3.5,18100.0
2018-02-08,3.6,3.3,3.6,3.3,3.3,6400.0
2018-02-09,3.4,3.0,3.0,3.4,3.4,2300.0
2018-02-12,3.4,3.4,3.4,3.4,3.4,1000.0
2018-02-13,3.6,3.5,3.5,3.6,3.6,9000.0
2018-02-21,3.6,3.6,3.6,3.6,3.6,1200.0
2018-02-22,3.8,3.5,3.8,3.5,3.5,7400.0
2018-02-23,4.1,3.6,4.1,3.6,3.6,500.0
2018-02-26,4.1,3.7,4.1,4.0,4.0,2500.0
2018-02-27,4.4,3.8,4.4,3.8,3.8,5206.0
2018-02-28,4.7,4.0,4.7,4.0,4.0,602.0
2018-03-01,4.3,3.5,4.3,3.6,3.6,45200.0
2018-03-02,3.5,3.4,3.5,3.4,3.4,4000.0
2018-03-05,3.8,3.4,3.5,3.8,3.8,5040.0
2018-03-06,3.8,3.2,3.2,3.5,3.5,3205.0
2018-03-07,3.5,3.0,3.5,3.5,3.5,13500.0
2018-03-08,3.4,3.0,3.3,3.4,3.4,13000.0
2018-03-09,3.5,3.2,3.5,3.5,3.5,7100.0
2018-03-12,3.5,3.3,3.3,3.5,3.5,4500.0
2018-03-13,3.4,3.2,3.2,3.4,3.4,4200.0
2018-03-14,3.2,3.1,3.2,3.1,3.1,8000.0
2018-03-15,3.2,3.2,3.2,3.2,3.2,600.0
2018-03-16,3.4,3.2,3.2,3.4,3.4,10330.0
2018-03-19,3.2,3.2,3.2,3.2,3.2,30.0
2018-03-20,3.3,3.2,3.2,3.3,3.3,640.0
2018-03-21,3.3,2.9,2.9,3.2,3.2,1900.0
2018-03-22,3.4,3.3,3.3,3.3,3.3,1926.0
2018-03-23,3.3,3.3,3.3,3.3,3.3,11600.0
2018-03-26,3.0,3.0,3.0,3.0,3.0,100.0
2018-03-27,3.3,3.0,3.3,3.0,3.0,2100.0
2018-03-28,3.3,3.0,3.3,3.0,3.0,17100.0
2018-03-29,3.4,3.0,3.4,3.0,3.0,1100.0
2018-03-30,3.1,3.0,3.0,3.1,3.1,5600.0
2018-04-02,3.3,3.3,3.3,3.3,3.3,100.0
2018-04-03,3.3,3.2,3.3,3.2,3.2,600.0
2018-04-04,3.2,3.2,3.2,3.2,3.2,1500.0
2018-04-05,3.3,3.2,3.2,3.3,3.3,8800.0
2018-04-06,3.3,3.3,3.3,3.3,3.3,8320.0
2018-04-09,3.4,3.3,3.3,3.4,3.4,5430.0
2018-04-10,3.3,3.3,3.3,3.3,3.3,1000.0
2018-04-11,3.3,3.0,3.3,3.0,3.0,11000.0
2018-04-12,3.4,3.1,3.3,3.1,3.1,5004.0
2018-04-13,3.4,3.0,3.4,3.0,3.0,10200.0
2018-04-16,3.3,3.3,3.3,3.3,3.3,300.0
2018-04-17,3.3,3.3,3.3,3.3,3.3,100.0
2018-04-18,3.4,3.2,3.2,3.4,3.4,13700.0
2018-04-19,3.4,3.3,3.3,3.4,3.4,3000.0
2018-04-20,3.3,3.0,3.0,3.1,3.1,9100.0
2018-04-23,3.1,3.0,3.1,3.0,3.0,4300.0
2018-04-24,3.2,3.0,3.0,3.0,3.0,7700.0
2018-04-26,2.8,2.6,2.7,2.8,2.8,5100.0
2018-04-27,3.0,3.0,3.0,3.0,3.0,5000.0
2018-05-02,3.2,3.0,3.2,3.0,3.0,2050.0
2018-05-03,3.1,2.6,2.7,2.9,2.9,7200.0
2018-05-04,3.1,2.8,3.1,3.0,3.0,400.0
2018-05-07,3.2,2.9,3.1,2.9,2.9,2800.0
2018-05-08,3.0,3.0,3.0,3.0,3.0,200.0
2018-05-09,2.9,2.8,2.9,2.8,2.8,2900.0
2018-05-10,3.0,2.9,3.0,2.9,2.9,700.0
2018-05-11,2.9,2.9,2.9,2.9,2.9,800.0
2018-05-14,2.9,2.9,2.9,2.9,2.9,7700.0
2018-05-15,2.8,2.5,2.8,2.6,2.6,8300.0
2018-05-16,2.9,2.8,2.8,2.9,2.9,1200.0
2018-05-17,2.9,2.9,2.9,2.9,2.9,6800.0
2018-05-18,3.0,2.8,3.0,2.8,2.8,1600.0
2018-05-21,3.0,3.0,3.0,3.0,3.0,6600.0
2018-05-22,3.0,2.6,2.6,3.0,3.0,4400.0
2018-05-23,2.9,2.7,2.9,2.7,2.7,17100.0
2018-05-24,2.5,2.4,2.5,2.5,2.5,7300.0
2018-05-25,2.7,2.7,2.7,2.7,2.7,8300.0
2018-05-28,2.6,2.3,2.6,2.4,2.4,17700.0
2018-05-29,2.7,2.6,2.6,2.7,2.7,4800.0
2018-05-30,2.4,2.3,2.4,2.3,2.3,6600.0
2018-05-31,2.6,2.6,2.6,2.6,2.6,500.0
2018-06-01,2.9,2.7,2.9,2.7,2.7,14810.0
2018-06-04,3.0,3.0,3.0,3.0,3.0,1000.0
2018-06-05,3.1,3.1,3.1,3.1,3.1,100.0
2018-06-06,3.1,2.7,3.0,3.0,3.0,5700.0
2018-06-07,3.0,3.0,3.0,3.0,3.0,100.0
