Date,High,Low,Open,Close,Adj Close,Volume
2018-04-19,35.0,31.8,35.0,32.45,9.673,7295110.0
2018-04-20,32.8,31.9,32.8,32.5,9.688,1970610.0
2018-04-23,32.6,30.3,32.5,30.8,9.181,918490.0
2018-04-24,31.0,28.7,30.3,30.8,9.181,1084620.0
2018-04-26,30.9,29.5,30.7,29.7,8.853,618040.0
2018-04-27,30.2,29.35,29.95,30.2,9.002,783680.0
2018-05-02,30.9,29.7,30.9,29.8,8.883,468940.0
2018-05-03,29.8,29.0,29.8,29.8,8.883,407660.0
2018-05-04,30.45,29.5,30.45,29.8,8.883,267600.0
2018-05-07,30.0,29.2,29.9,30.0,8.942,269800.0
2018-05-08,31.0,29.8,31.0,30.1,8.972,556210.0
2018-05-09,30.1,29.6,30.1,30.0,8.942,368930.0
2018-05-10,30.0,29.0,30.0,29.5,8.793,184990.0
2018-05-11,29.8,28.6,29.5,29.8,8.883,725410.0
2018-05-14,29.8,28.8,29.8,29.5,8.793,252920.0
2018-05-15,29.85,28.8,29.5,29.8,8.883,468650.0
2018-05-16,29.85,29.2,29.8,29.5,8.793,525340.0
2018-05-17,29.8,29.3,29.6,29.5,8.793,385710.0
2018-05-18,29.8,29.15,29.4,29.7,8.853,465950.0
2018-05-21,29.75,29.45,29.75,29.55,8.808,339500.0
2018-05-22,29.75,28.6,29.55,29.3,8.734,414600.0
2018-05-23,29.45,28.9,29.3,29.4,8.764,506080.0
2018-05-24,29.45,29.1,29.35,29.3,8.734,366890.0
2018-05-25,29.4,28.95,29.3,29.0,8.644,307990.0
2018-05-28,28.9,27.1,28.8,27.1,8.078,197040.0
2018-05-29,28.85,27.5,27.5,28.8,8.585,590410.0
2018-05-30,28.95,28.4,28.75,28.7,8.555,171480.0
2018-05-31,28.65,28.0,28.6,28.0,8.346,287350.0
2018-06-01,28.6,28.0,28.6,28.0,8.346,100550.0
2018-06-04,29.8,27.95,28.1,29.5,8.793,387700.0
2018-06-05,29.6,28.9,29.6,29.4,8.764,459200.0
2018-06-06,29.3,28.8,29.2,28.9,8.615,847910.0
2018-06-07,29.0,28.7,29.0,28.9,8.615,675570.0
2018-06-08,29.0,28.5,28.9,28.65,8.54,1162520.0
2018-06-11,28.9,28.2,28.9,28.5,8.495,38710.0
2018-06-12,28.5,27.8,28.5,28.2,8.406,42180.0
2018-06-13,28.3,28.0,28.2,28.2,8.406,111190.0
2018-06-14,28.2,27.75,28.2,28.0,8.346,22990.0
2018-06-15,28.15,27.75,28.15,27.8,8.287,26260.0
2018-06-18,27.8,27.0,27.8,27.0,8.048,44490.0
2018-06-19,27.4,25.15,26.6,27.1,8.078,648860.0
2018-06-20,27.5,27.1,27.1,27.4,8.167,648730.0
2018-06-21,27.9,27.0,27.6,27.4,8.167,43660.0
2018-06-22,27.5,27.3,27.3,27.5,8.197,115320.0
2018-06-25,28.0,27.5,27.55,27.8,8.287,204990.0
2018-06-26,27.9,26.2,26.2,27.8,8.287,101440.0
2018-06-27,27.8,27.0,27.7,27.65,8.242,42360.0
2018-06-28,27.65,27.0,27.65,27.0,8.048,44370.0
2018-06-29,27.5,26.9,27.5,27.5,8.197,234590.0
2018-07-02,27.6,26.95,27.5,27.0,8.048,73960.0
2018-07-03,27.05,25.95,27.0,26.1,7.78,182230.0
2018-07-04,26.2,24.8,26.1,25.45,7.586,283830.0
2018-07-05,26.35,25.3,25.9,25.3,7.541,779170.0
2018-07-06,26.7,25.3,25.3,26.7,7.959,344120.0
2018-07-09,27.0,24.85,27.0,27.0,8.048,226510.0
2018-07-10,27.2,26.9,27.0,27.2,8.108,278740.0
2018-07-11,27.2,26.6,27.2,26.8,7.989,82430.0
2018-07-12,26.8,26.55,26.7,26.75,7.974,138910.0
2018-07-13,27.25,26.9,27.15,27.1,8.078,303750.0
2018-07-16,27.0,26.5,27.0,27.0,8.048,216440.0
2018-07-17,27.05,26.8,27.0,26.8,7.989,157780.0
2018-07-18,27.1,26.65,26.85,27.0,8.048,247780.0
2018-07-19,27.0,26.7,26.95,26.9,8.018,55150.0
2018-07-20,27.0,26.8,27.0,26.9,8.018,25590.0
2018-07-23,26.95,26.7,26.95,26.85,8.003,65750.0
2018-07-24,27.05,25.0,27.0,26.7,7.959,78680.0
2018-07-25,26.85,25.0,26.6,26.4,7.869,98910.0
2018-07-26,26.8,26.35,26.4,26.5,7.899,73720.0
2018-07-27,26.8,26.35,26.5,26.6,7.929,104230.0
2018-07-30,26.6,25.1,25.9,25.6,7.631,217670.0
2018-07-31,25.6,25.05,25.05,25.5,7.601,131670.0
2018-08-01,25.55,25.0,25.35,25.0,7.452,134560.0
2018-08-02,25.0,24.0,24.95,24.7,7.363,188020.0
2018-08-03,25.0,24.0,24.0,24.65,7.348,200320.0
2018-08-06,25.0,23.8,24.65,23.9,7.124,301330.0
2018-08-07,24.1,23.95,23.95,24.05,7.169,95960.0
2018-08-08,24.55,24.05,24.05,24.4,7.273,225180.0
2018-08-09,25.7,24.5,24.5,25.4,7.571,461210.0
2018-08-10,25.7,25.1,25.45,25.55,7.616,332110.0
2018-08-13,26.05,25.35,25.6,26.0,7.75,336850.0
2018-08-14,26.4,26.0,26.3,26.0,7.75,312680.0
2018-08-15,26.25,25.7,26.0,25.75,7.676,289650.0
2018-08-16,26.1,25.6,25.6,26.05,7.765,235000.0
2018-08-17,27.0,26.05,26.3,26.25,7.825,262420.0
2018-08-20,26.3,26.0,26.0,26.0,7.75,285190.0
2018-08-21,26.25,26.0,26.0,26.25,7.825,312010.0
2018-08-22,26.65,26.1,26.25,26.35,7.854,435620.0
2018-08-23,26.7,26.2,26.2,26.5,7.899,375720.0
2018-08-24,26.55,26.4,26.55,26.55,7.914,318750.0
