Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,23.8,23.8,23.8,23.8,12.275,0.0
2018-01-03,23.8,23.8,23.8,23.8,12.275,0.0
2018-01-04,23.8,23.8,23.8,23.8,12.275,0.0
2018-01-05,23.8,23.8,23.8,23.8,12.275,0.0
2018-01-08,23.8,23.8,23.8,23.8,12.275,0.0
2018-01-09,23.8,23.8,23.8,23.8,12.275,0.0
2018-01-10,23.8,23.8,23.8,23.8,12.275,0.0
2018-01-11,23.8,23.8,23.8,23.8,12.275,0.0
2018-01-12,23.8,23.8,23.8,23.8,12.275,0.0
2018-01-15,23.8,23.8,23.8,23.8,12.275,0.0
2018-01-16,23.8,23.8,23.8,23.8,12.275,0.0
2018-01-17,23.8,23.8,23.8,23.8,12.275,0.0
2018-01-18,23.8,23.8,23.8,23.8,12.275,0.0
2018-01-19,23.8,23.8,23.8,23.8,12.275,0.0
2018-01-22,23.8,23.8,23.8,23.8,12.275,0.0
2018-01-23,23.8,23.8,23.8,23.8,12.275,0.0
2018-01-24,23.8,23.8,23.8,23.8,12.275,0.0
2018-01-25,33.3,33.3,33.3,33.3,17.175,100.0
2018-01-26,33.3,33.3,33.3,33.3,17.175,0.0
2018-01-29,33.3,33.3,33.3,33.3,17.175,0.0
2018-01-30,33.3,33.3,33.3,33.3,17.175,0.0
2018-01-31,33.3,33.3,33.3,33.3,17.175,0.0
2018-02-01,33.3,33.3,33.3,33.3,17.175,0.0
2018-02-02,36.0,36.0,36.0,36.0,18.568,200.0
2018-02-05,36.0,36.0,36.0,36.0,18.568,0.0
2018-02-06,36.0,36.0,36.0,36.0,18.568,0.0
2018-02-07,36.0,36.0,36.0,36.0,18.568,0.0
2018-02-08,36.0,36.0,36.0,36.0,18.568,0.0
2018-02-09,36.0,36.0,36.0,36.0,18.568,0.0
2018-02-12,36.0,36.0,36.0,36.0,18.568,0.0
2018-02-13,36.0,36.0,36.0,36.0,18.568,0.0
2018-02-21,36.0,36.0,36.0,36.0,18.568,0.0
2018-02-22,36.0,36.0,36.0,36.0,18.568,0.0
2018-02-23,36.0,36.0,36.0,36.0,18.568,0.0
2018-02-26,36.0,36.0,36.0,36.0,18.568,0.0
2018-02-27,36.0,36.0,36.0,36.0,18.568,0.0
2018-02-28,36.0,36.0,36.0,36.0,18.568,0.0
2018-03-01,36.0,36.0,36.0,36.0,18.568,0.0
2018-03-02,36.0,36.0,36.0,36.0,18.568,0.0
2018-03-05,36.0,36.0,36.0,36.0,18.568,0.0
2018-03-06,36.0,36.0,36.0,36.0,18.568,0.0
2018-03-07,36.0,36.0,36.0,36.0,18.568,0.0
2018-03-08,36.0,36.0,36.0,36.0,18.568,0.0
2018-03-09,36.0,36.0,36.0,36.0,18.568,0.0
2018-03-12,36.0,36.0,36.0,36.0,18.568,0.0
2018-03-13,36.0,36.0,36.0,36.0,18.568,0.0
2018-03-14,36.0,36.0,36.0,36.0,18.568,0.0
2018-03-15,36.0,36.0,36.0,36.0,18.568,0.0
2018-03-16,36.0,36.0,36.0,36.0,18.568,0.0
2018-03-19,36.0,36.0,36.0,36.0,18.568,0.0
2018-03-20,36.0,36.0,36.0,36.0,18.568,0.0
2018-03-21,36.0,36.0,36.0,36.0,18.568,0.0
2018-03-22,36.0,36.0,36.0,36.0,18.568,0.0
2018-03-23,36.0,36.0,36.0,36.0,18.568,0.0
2018-03-26,36.0,36.0,36.0,36.0,18.568,0.0
2018-03-27,36.0,36.0,36.0,36.0,18.568,0.0
2018-03-28,36.0,36.0,36.0,36.0,18.568,0.0
2018-03-29,36.0,36.0,36.0,36.0,18.568,0.0
2018-03-30,36.0,36.0,36.0,36.0,18.568,0.0
