Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,7.4,6.9,6.9,7.19,7.19,353100.0
2018-01-03,7.34,7.15,7.19,7.25,7.25,309150.0
2018-01-04,7.7,7.25,7.7,7.27,7.27,254350.0
2018-01-05,7.5,7.19,7.5,7.3,7.3,380780.0
2018-01-08,7.35,7.0,7.3,7.16,7.16,522710.0
2018-01-09,7.2,7.05,7.16,7.2,7.2,266440.0
2018-01-10,7.7,7.3,7.7,7.7,7.7,2069650.0
2018-01-11,8.15,7.5,7.8,7.5,7.5,995740.0
2018-01-12,7.6,7.39,7.6,7.39,7.39,360930.0
2018-01-15,7.6,7.1,7.1,7.25,7.25,298760.0
2018-01-16,7.45,7.05,7.05,7.3,7.3,306710.0
2018-01-17,7.5,6.79,6.79,7.25,7.25,485070.0
2018-01-18,7.4,7.1,7.1,7.35,7.35,462720.0
2018-01-19,7.55,7.2,7.2,7.49,7.49,1033550.0
2018-01-22,7.7,7.29,7.29,7.52,7.52,2248370.0
2018-01-25,8.04,7.56,8.04,7.75,7.75,3415050.0
2018-01-26,8.29,7.99,8.1,8.24,8.24,4092960.0
2018-01-29,8.8,7.92,8.5,8.1,8.1,985960.0
2018-01-30,8.5,7.9,8.5,8.15,8.15,8038730.0
2018-01-31,8.49,7.7,8.4,7.7,7.7,1272090.0
2018-02-01,8.1,7.5,8.1,7.6,7.6,408400.0
2018-02-02,7.8,7.45,7.8,7.45,7.45,4285480.0
2018-02-05,7.5,7.2,7.5,7.3,7.3,3202250.0
2018-02-06,7.3,6.85,7.2,7.1,7.1,1200400.0
2018-02-07,7.4,7.12,7.2,7.2,7.2,1269060.0
2018-02-08,7.2,7.12,7.2,7.12,7.12,590410.0
2018-02-09,7.1,6.7,6.95,6.9,6.9,1498580.0
2018-02-12,7.07,6.9,6.95,7.0,7.0,780610.0
2018-02-13,7.39,6.9,7.39,7.05,7.05,489650.0
2018-02-21,7.15,6.96,7.15,7.11,7.11,602760.0
2018-02-22,7.25,6.95,7.19,6.95,6.95,656760.0
2018-02-23,7.1,6.92,6.93,7.0,7.0,999970.0
2018-02-26,7.1,6.9,7.1,6.99,6.99,541870.0
2018-02-27,7.0,6.88,7.0,6.9,6.9,201080.0
2018-02-28,6.9,6.76,6.9,6.76,6.76,459670.0
2018-03-01,7.0,6.61,7.0,6.65,6.65,421630.0
2018-03-02,6.7,6.45,6.65,6.55,6.55,678680.0
2018-03-05,6.61,6.2,6.31,6.2,6.2,440370.0
2018-03-06,6.63,6.4,6.4,6.63,6.63,572970.0
2018-03-07,7.0,6.17,6.65,6.5,6.5,532850.0
2018-03-08,6.5,6.41,6.49,6.48,6.48,131200.0
2018-03-09,6.55,6.48,6.48,6.48,6.48,368960.0
2018-03-12,6.5,6.3,6.48,6.3,6.3,434990.0
2018-03-13,6.45,6.3,6.3,6.32,6.32,237040.0
2018-03-14,6.5,6.27,6.5,6.3,6.3,356950.0
2018-03-15,6.49,6.22,6.32,6.48,6.48,240800.0
2018-03-16,6.7,6.48,6.48,6.5,6.5,122380.0
2018-03-19,6.5,6.39,6.5,6.39,6.39,172250.0
2018-03-20,6.39,6.3,6.39,6.3,6.3,472970.0
2018-03-21,6.6,6.32,6.6,6.35,6.35,92880.0
2018-03-22,6.45,6.3,6.45,6.3,6.3,240750.0
2018-03-23,6.3,6.0,6.3,6.2,6.2,166730.0
2018-03-26,6.2,6.0,6.1,6.16,6.16,62460.0
2018-03-27,6.35,5.96,6.16,5.98,5.98,342150.0
2018-03-28,6.15,5.98,5.98,6.0,6.0,193030.0
2018-03-29,6.12,5.96,6.12,6.01,6.01,89960.0
2018-03-30,6.12,6.01,6.1,6.05,6.05,189380.0
2018-04-02,6.05,5.92,6.05,5.95,5.95,439980.0
2018-04-03,5.9,5.7,5.9,5.9,5.9,444910.0
2018-04-04,6.31,5.9,5.9,6.31,6.31,423940.0
2018-04-05,6.5,6.21,6.5,6.31,6.31,200800.0
2018-04-06,6.41,6.13,6.31,6.13,6.13,374020.0
2018-04-09,6.3,6.0,6.15,6.3,6.3,367510.0
2018-04-10,6.5,6.1,6.5,6.18,6.18,133830.0
2018-04-11,6.38,6.0,6.35,6.0,6.0,306430.0
2018-04-12,6.0,5.58,5.6,5.58,5.58,651410.0
2018-04-13,5.8,5.22,5.59,5.55,5.55,322880.0
2018-04-16,5.7,5.31,5.55,5.31,5.31,148040.0
2018-04-17,5.45,5.0,5.45,5.31,5.31,376460.0
2018-04-18,5.68,5.5,5.5,5.68,5.68,1204990.0
2018-04-19,6.07,6.06,6.06,6.07,6.07,3146160.0
2018-04-20,6.3,5.9,6.2,6.07,6.07,835830.0
2018-04-23,6.07,5.67,6.07,5.67,5.67,836340.0
2018-04-24,5.7,5.3,5.67,5.3,5.3,727620.0
2018-04-26,5.55,4.93,5.1,4.93,4.93,566570.0
2018-04-27,5.19,4.93,5.19,5.12,5.12,537640.0
2018-05-02,5.46,4.8,5.46,4.8,4.8,502410.0
2018-05-03,4.9,4.47,4.8,4.55,4.55,498930.0
2018-05-04,4.65,4.53,4.55,4.59,4.59,150250.0
2018-05-07,4.91,4.65,4.65,4.91,4.91,187330.0
2018-05-08,5.25,5.07,5.23,5.24,5.24,1215050.0
2018-05-09,5.24,4.9,5.24,4.98,4.98,621100.0
2018-05-10,5.08,4.81,4.99,4.85,4.85,340290.0
2018-05-11,4.87,4.75,4.85,4.77,4.77,214710.0
2018-05-14,5.0,4.79,4.9,4.9,4.9,143200.0
2018-05-15,4.98,4.79,4.98,4.84,4.84,218520.0
2018-05-16,4.9,4.8,4.84,4.85,4.85,57600.0
2018-05-17,4.98,4.65,4.85,4.8,4.8,455110.0
2018-05-18,4.9,4.47,4.8,4.9,4.9,860170.0
2018-05-21,4.89,4.56,4.7,4.56,4.56,1489270.0
2018-05-22,4.7,4.25,4.4,4.26,4.26,542460.0
2018-05-23,4.3,3.99,4.11,4.1,4.1,327700.0
2018-05-24,4.27,3.97,4.27,3.97,3.97,487370.0
2018-05-25,4.09,3.9,4.09,3.9,3.9,189830.0
2018-05-28,3.98,3.63,3.9,3.63,3.63,871550.0
2018-05-29,3.88,3.6,3.6,3.8,3.8,378710.0
2018-05-30,3.89,3.75,3.8,3.8,3.8,163320.0
2018-05-31,4.06,3.8,3.82,4.06,4.06,381140.0
2018-06-01,4.09,3.87,4.0,4.06,4.06,358890.0
2018-06-04,4.07,3.97,4.06,4.07,4.07,531090.0
2018-06-05,4.09,3.99,4.05,4.05,4.05,210320.0
2018-06-06,4.33,4.0,4.07,4.3,4.3,807740.0
2018-06-07,4.4,4.27,4.3,4.3,4.3,330260.0
2018-06-08,4.39,4.17,4.35,4.2,4.2,299130.0
2018-06-11,4.23,3.94,4.11,3.94,3.94,746770.0
2018-06-12,4.15,3.8,3.94,3.99,3.99,348420.0
2018-06-13,4.1,3.9,3.99,3.92,3.92,101620.0
2018-06-14,4.05,3.9,3.92,3.95,3.95,138720.0
2018-06-15,4.05,3.9,3.93,3.92,3.92,198760.0
2018-06-18,3.95,3.85,3.91,3.89,3.89,156470.0
2018-06-19,3.89,3.67,3.89,3.68,3.68,334320.0
2018-06-20,3.9,3.6,3.8,3.79,3.79,167080.0
2018-06-21,3.89,3.7,3.89,3.73,3.73,95530.0
2018-06-22,3.9,3.73,3.9,3.74,3.74,112830.0
2018-06-25,4.0,3.71,3.71,4.0,4.0,199600.0
2018-06-26,4.1,3.8,3.95,4.06,4.06,182630.0
2018-06-27,4.09,3.93,4.06,4.0,4.0,304330.0
2018-06-28,4.05,3.9,4.0,4.0,4.0,341540.0
2018-06-29,4.06,3.95,4.03,4.03,4.03,183760.0
2018-07-02,4.02,3.94,3.95,3.95,3.95,280830.0
2018-07-03,4.0,3.89,4.0,3.9,3.9,483200.0
2018-07-04,3.95,3.85,3.9,3.9,3.9,329020.0
2018-07-05,3.98,3.63,3.98,3.68,3.68,803960.0
2018-07-06,3.8,3.6,3.7,3.8,3.8,802640.0
2018-07-09,3.8,3.54,3.66,3.61,3.61,542360.0
2018-07-10,3.7,3.45,3.57,3.5,3.5,456300.0
2018-07-11,3.6,3.42,3.5,3.48,3.48,160200.0
2018-07-12,3.5,3.4,3.4,3.46,3.46,137770.0
2018-07-13,3.52,3.4,3.44,3.4,3.4,333120.0
2018-07-16,3.61,3.4,3.61,3.43,3.43,56160.0
2018-07-17,3.5,3.43,3.45,3.5,3.5,60320.0
2018-07-18,3.6,3.45,3.52,3.6,3.6,129340.0
2018-07-19,3.85,3.55,3.61,3.76,3.76,760120.0
2018-07-20,3.8,3.5,3.76,3.5,3.5,1637260.0
2018-07-23,3.68,3.4,3.5,3.5,3.5,374770.0
2018-07-24,3.6,3.38,3.45,3.49,3.49,518730.0
2018-07-25,3.54,3.42,3.54,3.45,3.45,659540.0
2018-07-26,3.5,3.25,3.5,3.35,3.35,1040370.0
2018-07-27,3.4,3.12,3.4,3.16,3.16,5470390.0
2018-07-30,3.38,3.16,3.23,3.38,3.38,949720.0
2018-07-31,3.37,3.18,3.21,3.18,3.18,1239650.0
2018-08-01,3.1,2.97,3.0,3.0,3.0,1544650.0
2018-08-02,2.97,2.79,2.86,2.81,2.81,1152370.0
2018-08-03,3.0,2.83,2.94,2.92,2.92,676710.0
2018-08-06,2.94,2.89,2.94,2.91,2.91,298570.0
2018-08-07,2.92,2.8,2.86,2.8,2.8,652100.0
2018-08-08,2.89,2.61,2.89,2.61,2.61,5050180.0
2018-08-09,2.73,2.5,2.55,2.69,2.69,496160.0
2018-08-10,2.75,2.51,2.69,2.51,2.51,3838840.0
2018-08-13,2.68,2.64,2.65,2.68,2.68,768990.0
2018-08-14,2.86,2.86,2.86,2.86,2.86,444450.0
2018-08-15,3.06,2.91,3.06,3.06,3.06,3479140.0
2018-08-16,3.27,2.9,2.9,3.19,3.19,2122430.0
2018-08-17,3.35,3.0,3.2,3.0,3.0,1233660.0
2018-08-20,3.0,2.83,2.9,2.83,2.83,1131880.0
2018-08-21,3.0,2.79,2.83,3.0,3.0,1353280.0
2018-08-22,3.16,2.95,3.0,3.0,3.0,1038010.0
2018-08-23,3.03,2.9,2.9,3.0,3.0,735820.0
2018-08-24,3.13,2.95,3.0,3.01,3.01,1121970.0
2018-08-27,3.12,3.0,3.04,3.12,3.12,1153770.0
2018-08-28,3.33,3.11,3.12,3.33,3.33,3446290.0
2018-08-29,3.56,3.41,3.47,3.56,3.56,3225740.0
2018-08-30,3.7,3.35,3.7,3.48,3.48,2438040.0
2018-08-31,3.55,3.25,3.3,3.54,3.54,1960640.0
2018-09-04,3.77,3.4,3.54,3.73,3.73,1751410.0
2018-09-05,3.99,3.7,3.73,3.99,3.99,2657280.0
2018-09-06,4.26,4.05,4.1,4.26,4.26,3477360.0
2018-09-07,4.47,4.11,4.39,4.43,4.43,1630600.0
2018-09-10,4.68,4.12,4.49,4.37,4.37,2703740.0
2018-09-11,4.28,4.07,4.15,4.07,4.07,2545090.0
2018-09-12,4.2,3.79,4.0,4.01,4.01,2111150.0
2018-09-13,4.29,3.95,3.95,4.29,4.29,912330.0
2018-09-14,4.59,4.4,4.45,4.58,4.58,2229780.0
2018-09-17,4.62,4.35,4.58,4.5,4.5,1065180.0
2018-09-18,4.81,4.41,4.41,4.81,4.81,1814490.0
2018-09-19,5.14,4.81,5.0,5.0,5.0,2322320.0
2018-09-20,5.2,4.98,5.0,5.13,5.13,1125280.0
2018-09-21,5.17,4.8,5.08,4.93,4.93,2068310.0
2018-09-24,5.15,4.9,4.95,5.0,5.0,924020.0
2018-09-25,5.12,4.9,5.0,5.04,5.04,1119450.0
2018-09-26,5.39,5.0,5.03,5.39,5.39,2040440.0
2018-09-27,5.7,5.45,5.53,5.6,5.6,1249310.0
2018-09-28,5.7,5.45,5.7,5.6,5.6,1041540.0
2018-10-01,5.65,5.3,5.6,5.31,5.31,1587340.0
2018-10-02,5.4,5.1,5.4,5.25,5.25,1368010.0
2018-10-03,5.49,5.11,5.3,5.39,5.39,674320.0
2018-10-04,5.4,5.24,5.3,5.27,5.27,699410.0
2018-10-05,5.28,5.01,5.27,5.07,5.07,936510.0
2018-10-08,5.05,4.72,5.0,4.72,4.72,2104160.0
2018-10-09,4.85,4.39,4.85,4.39,4.39,1720660.0
2018-10-10,4.5,4.12,4.25,4.5,4.5,1689400.0
2018-10-11,4.56,4.2,4.3,4.22,4.22,1560690.0
2018-10-12,4.51,4.01,4.01,4.51,4.51,1451190.0
2018-10-15,4.82,4.51,4.51,4.82,4.82,1288790.0
2018-10-16,5.15,4.89,4.99,5.15,5.15,1901950.0
2018-10-17,5.51,5.5,5.51,5.51,5.51,1159530.0
2018-10-18,5.86,5.25,5.6,5.3,5.3,2445900.0
2018-10-19,5.51,5.1,5.1,5.5,5.5,1878010.0
2018-10-22,5.6,5.25,5.5,5.25,5.25,762050.0
2018-10-23,5.2,4.89,5.15,5.03,5.03,1335890.0
2018-10-24,5.38,4.94,5.0,5.1,5.1,1384910.0
2018-10-25,5.3,4.92,4.92,5.1,5.1,1102790.0
2018-10-26,4.75,4.75,4.75,4.75,4.75,1282930.0
2018-10-29,4.42,4.42,4.42,4.42,4.42,165660.0
2018-10-30,4.12,4.12,4.12,4.12,4.12,111030.0
2018-10-31,4.28,3.84,3.84,3.84,3.84,6842250.0
2018-11-01,4.0,3.58,3.84,3.58,3.58,2874330.0
2018-11-02,3.83,3.36,3.4,3.83,3.83,2487930.0
2018-11-05,4.03,3.85,3.85,3.9,3.9,1477890.0
2018-11-06,3.95,3.72,3.9,3.73,3.73,1402450.0
2018-11-07,3.78,3.65,3.78,3.7,3.7,1395500.0
2018-11-08,3.87,3.65,3.65,3.75,3.75,970080.0
2018-11-09,3.88,3.73,3.75,3.76,3.76,914670.0
2018-11-12,3.85,3.7,3.7,3.79,3.79,748100.0
2018-11-13,3.92,3.75,3.75,3.8,3.8,881970.0
2018-11-14,3.89,3.73,3.82,3.76,3.76,755380.0
2018-11-15,3.83,3.7,3.76,3.7,3.7,710510.0
2018-11-16,3.79,3.66,3.75,3.71,3.71,862630.0
2018-11-19,3.72,3.55,3.55,3.61,3.61,589800.0
2018-11-20,3.63,3.4,3.6,3.42,3.42,966360.0
2018-11-21,3.6,3.4,3.44,3.5,3.5,482780.0
2018-11-22,3.65,3.5,3.55,3.5,3.5,626050.0
2018-11-23,3.59,3.45,3.59,3.48,3.48,496850.0
2018-11-26,3.5,3.36,3.48,3.4,3.4,642800.0
2018-11-27,3.45,3.2,3.36,3.2,3.2,947800.0
2018-11-28,3.3,3.17,3.2,3.2,3.2,753470.0
2018-11-29,3.3,3.17,3.3,3.17,3.17,563890.0
2018-11-30,3.19,3.15,3.17,3.15,3.15,442810.0
2018-12-03,3.24,3.16,3.17,3.18,3.18,661530.0
2018-12-04,3.24,3.13,3.18,3.15,3.15,675100.0
2018-12-05,3.3,3.15,3.15,3.27,3.27,412650.0
2018-12-06,3.49,3.27,3.3,3.49,3.49,244080.0
2018-12-07,3.73,3.7,3.73,3.73,3.73,932270.0
2018-12-10,3.96,3.61,3.9,3.95,3.95,1967500.0
2018-12-11,3.99,3.71,3.99,3.72,3.72,843380.0
2018-12-12,3.79,3.69,3.69,3.74,3.74,445640.0
2018-12-13,3.77,3.69,3.77,3.71,3.71,360560.0
2018-12-14,3.77,3.68,3.75,3.7,3.7,260040.0
2018-12-17,3.75,3.5,3.75,3.55,3.55,529570.0
2018-12-18,3.56,3.35,3.4,3.41,3.41,771130.0
