Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,8.2,8.0,8.0,8.0,7.6,95000.0
2018-01-03,8.1,8.0,8.0,8.0,7.6,81300.0
2018-01-04,8.1,7.7,7.7,8.0,7.6,460000.0
2018-01-05,8.5,8.0,8.2,8.5,8.075,283500.0
2018-01-08,9.5,8.4,9.5,9.5,9.025,353400.0
2018-01-09,10.6,10.0,10.2,10.2,9.69,459000.0
2018-01-10,10.3,9.9,10.3,10.0,9.5,315500.0
2018-01-11,9.9,9.5,9.9,9.8,9.31,197500.0
2018-01-12,9.7,9.5,9.6,9.5,9.025,266050.0
2018-01-15,9.5,9.0,9.4,9.2,8.74,82150.0
2018-01-16,9.4,9.2,9.2,9.2,8.74,77500.0
2018-01-17,9.5,9.2,9.2,9.2,8.74,109400.0
2018-01-18,9.4,9.1,9.1,9.2,8.74,135150.0
2018-01-19,10.0,8.8,9.1,10.0,9.5,166300.0
2018-01-22,11.0,10.0,10.0,11.0,10.45,129700.0
2018-01-23,12.1,11.0,11.2,12.1,11.495,540400.0
2018-01-24,13.9,12.7,13.8,13.5,12.825,207950.0
2018-01-25,13.2,12.3,13.2,12.3,11.685,192000.0
2018-01-26,12.2,11.7,12.0,12.2,11.59,188100.0
2018-01-29,12.9,12.2,12.2,12.4,11.78,144100.0
2018-01-30,12.5,12.0,12.3,12.5,11.875,89900.0
2018-01-31,12.1,11.9,12.1,11.9,11.305,74700.0
2018-02-01,12.0,11.7,12.0,11.7,11.115,16800.0
2018-02-02,11.8,11.2,11.2,11.5,10.925,27000.0
2018-02-05,11.7,10.1,11.4,10.2,9.69,150800.0
2018-02-06,11.0,9.5,10.1,10.1,9.595,178000.0
2018-02-07,11.4,10.0,11.3,10.9,10.355,104200.0
2018-02-08,11.2,10.8,10.9,11.2,10.64,27300.0
2018-02-09,11.3,10.7,10.7,11.1,10.545,18000.0
2018-02-12,11.7,11.1,11.1,11.6,11.02,42000.0
2018-02-13,12.5,11.3,11.7,11.5,10.925,75900.0
2018-02-21,11.8,11.3,11.5,11.5,10.925,50100.0
2018-02-22,11.6,11.0,11.0,11.3,10.735,66900.0
2018-02-23,12.0,11.3,12.0,11.4,10.83,89400.0
2018-02-26,11.5,11.1,11.3,11.1,10.545,60150.0
2018-02-27,11.3,11.0,11.3,11.3,10.735,46850.0
2018-02-28,11.3,11.0,11.2,11.1,10.545,45100.0
2018-03-01,11.2,11.0,11.0,11.1,10.545,32100.0
2018-03-02,11.0,10.8,10.9,11.0,10.45,36400.0
2018-03-05,10.9,10.5,10.9,10.5,9.975,109400.0
2018-03-06,10.8,10.4,10.4,10.8,10.26,41100.0
2018-03-07,11.8,10.0,10.3,10.9,10.355,34500.0
2018-03-08,10.9,10.5,10.6,10.5,9.975,99500.0
2018-03-09,10.7,10.5,10.5,10.7,10.165,39700.0
2018-03-12,10.9,10.6,10.8,10.7,10.165,6600.0
2018-03-13,10.8,10.5,10.8,10.6,10.07,8900.0
2018-03-14,10.6,10.5,10.6,10.6,10.07,58200.0
2018-03-15,10.8,10.5,10.5,10.6,10.07,28200.0
2018-03-16,10.8,10.6,10.8,10.8,10.26,71100.0
2018-03-19,11.3,10.8,11.0,11.0,10.45,1298700.0
2018-03-20,11.5,11.0,11.2,11.5,10.925,1511100.0
2018-03-21,11.3,11.0,11.2,11.1,10.545,160000.0
2018-03-22,11.1,10.9,11.0,11.0,10.45,72100.0
