Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,14.0,14.0,14.0,14.0,14.0,8000.0
2018-01-03,14.0,14.0,14.0,14.0,14.0,0.0
2018-01-04,14.0,14.0,14.0,14.0,14.0,0.0
2018-01-05,14.0,14.0,14.0,14.0,14.0,0.0
2018-01-08,14.0,14.0,14.0,14.0,14.0,0.0
2018-01-09,14.0,14.0,14.0,14.0,14.0,0.0
2018-01-10,14.0,14.0,14.0,14.0,14.0,0.0
2018-01-11,14.0,14.0,14.0,14.0,14.0,0.0
2018-01-12,14.0,14.0,14.0,14.0,14.0,0.0
2018-01-15,14.0,14.0,14.0,14.0,14.0,0.0
2018-01-16,14.0,14.0,14.0,14.0,14.0,0.0
2018-01-17,14.0,14.0,14.0,14.0,14.0,0.0
2018-01-18,13.7,12.6,12.6,13.7,13.7,300.0
2018-01-19,13.7,13.7,13.7,13.7,13.7,0.0
2018-01-22,13.7,13.7,13.7,13.7,13.7,0.0
2018-01-23,13.7,13.7,13.7,13.7,13.7,0.0
2018-01-24,13.7,13.7,13.7,13.7,13.7,0.0
2018-01-25,13.7,13.7,13.7,13.7,13.7,0.0
2018-01-26,12.9,12.9,12.9,12.9,12.9,100.0
2018-01-29,12.9,12.9,12.9,12.9,12.9,0.0
2018-01-30,12.9,12.9,12.9,12.9,12.9,0.0
2018-01-31,12.9,12.9,12.9,12.9,12.9,0.0
2018-02-01,14.0,14.0,14.0,14.0,14.0,100.0
2018-02-02,15.0,14.0,14.0,15.0,15.0,600.0
2018-02-05,15.0,15.0,15.0,15.0,15.0,0.0
2018-02-06,15.0,15.0,15.0,15.0,15.0,0.0
2018-02-07,15.0,15.0,15.0,15.0,15.0,0.0
2018-02-08,15.0,15.0,15.0,15.0,15.0,0.0
2018-02-09,15.0,15.0,15.0,15.0,15.0,0.0
2018-02-12,15.0,15.0,15.0,15.0,15.0,0.0
2018-02-13,15.0,15.0,15.0,15.0,15.0,0.0
2018-02-21,15.0,15.0,15.0,15.0,15.0,0.0
2018-02-22,15.0,15.0,15.0,15.0,15.0,0.0
2018-02-23,16.0,16.0,16.0,16.0,16.0,100.0
2018-02-26,16.8,16.8,16.8,16.8,16.8,100.0
2018-02-27,18.0,18.0,18.0,18.0,18.0,100.0
2018-02-28,19.5,19.5,19.5,19.5,19.5,100.0
2018-03-01,19.4,19.4,19.4,19.4,19.4,100.0
2018-03-02,19.4,19.4,19.4,19.4,19.4,0.0
2018-03-05,19.4,19.4,19.4,19.4,19.4,0.0
2018-03-06,19.4,19.4,19.4,19.4,19.4,0.0
2018-03-07,19.4,19.4,19.4,19.4,19.4,0.0
2018-03-08,19.4,19.4,19.4,19.4,19.4,0.0
2018-03-09,19.4,19.4,19.4,19.4,19.4,0.0
2018-03-12,19.4,19.4,19.4,19.4,19.4,0.0
2018-03-13,19.4,19.4,19.4,19.4,19.4,0.0
2018-03-14,19.4,19.4,19.4,19.4,19.4,0.0
2018-03-15,19.4,19.4,19.4,19.4,19.4,0.0
2018-03-16,19.4,19.4,19.4,19.4,19.4,0.0
2018-03-19,19.4,19.4,19.4,19.4,19.4,0.0
2018-03-20,19.4,19.4,19.4,19.4,19.4,0.0
2018-03-21,19.4,19.4,19.4,19.4,19.4,0.0
2018-03-22,19.4,19.4,19.4,19.4,19.4,0.0
2018-03-23,18.9,17.5,17.5,18.9,18.9,200.0
2018-03-26,18.9,18.9,18.9,18.9,18.9,0.0
2018-03-27,18.9,18.9,18.9,18.9,18.9,0.0
2018-03-28,18.8,18.0,18.0,18.8,18.8,30000.0
2018-03-29,18.8,18.8,18.8,18.8,18.8,0.0
2018-03-30,18.8,18.8,18.8,18.8,18.8,0.0
2018-04-02,18.8,18.8,18.8,18.8,18.8,0.0
2018-04-03,20.0,20.0,20.0,20.0,20.0,100.0
2018-04-04,20.0,20.0,20.0,20.0,20.0,0.0
2018-04-05,21.6,21.6,21.6,21.6,21.6,100.0
2018-04-06,19.5,19.5,19.5,19.5,19.5,100.0
2018-04-09,17.6,17.6,17.6,17.6,17.6,100.0
2018-04-10,15.9,15.9,15.9,15.9,15.9,600.0
2018-04-11,17.4,14.4,17.4,14.4,14.4,1200.0
2018-04-12,15.8,13.0,15.8,13.0,13.0,200.0
2018-04-13,13.0,13.0,13.0,13.0,13.0,10.0
2018-04-16,11.7,11.7,11.7,11.7,11.7,100.0
2018-04-17,11.0,10.6,11.0,10.6,10.6,200.0
2018-04-18,9.6,9.6,9.6,9.6,9.6,100.0
2018-04-19,9.6,9.6,9.6,9.6,9.6,0.0
2018-04-20,9.6,9.6,9.6,9.6,9.6,0.0
2018-04-23,10.5,8.7,10.5,10.4,10.4,400.0
2018-04-24,10.4,10.4,10.4,10.4,10.4,0.0
2018-04-26,11.4,11.4,11.4,11.4,11.4,100.0
2018-04-27,11.4,11.4,11.4,11.4,11.4,0.0
2018-05-02,11.4,11.4,11.4,11.4,11.4,0.0
2018-05-03,11.4,11.4,11.4,11.4,11.4,0.0
2018-05-04,11.4,11.4,11.4,11.4,11.4,0.0
2018-05-07,11.2,10.3,10.3,11.2,11.2,300.0
2018-05-08,11.2,11.2,11.2,11.2,11.2,0.0
2018-05-09,11.2,11.2,11.2,11.2,11.2,0.0
2018-05-10,11.2,11.2,11.2,11.2,11.2,0.0
2018-05-11,12.3,12.3,12.3,12.3,12.3,100.0
2018-05-14,12.3,12.3,12.3,12.3,12.3,0.0
2018-05-15,12.3,12.3,12.3,12.3,12.3,0.0
2018-05-16,12.3,12.3,12.3,12.3,12.3,0.0
2018-05-17,12.3,12.3,12.3,12.3,12.3,0.0
2018-05-18,12.3,12.3,12.3,12.3,12.3,0.0
2018-05-21,12.3,12.3,12.3,12.3,12.3,10.0
2018-05-22,12.3,12.3,12.3,12.3,12.3,0.0
2018-05-23,13.4,13.4,13.4,13.4,13.4,100.0
2018-05-24,14.5,14.5,14.5,14.5,14.5,100.0
2018-05-25,14.5,14.5,14.5,14.5,14.5,0.0
2018-05-28,14.5,14.5,14.5,14.5,14.5,0.0
2018-05-29,15.9,15.9,15.9,15.9,15.9,100.0
2018-05-30,15.9,15.9,15.9,15.9,15.9,0.0
2018-05-31,15.9,15.9,15.9,15.9,15.9,0.0
2018-06-01,15.9,15.9,15.9,15.9,15.9,0.0
2018-06-04,15.9,15.9,15.9,15.9,15.9,0.0
2018-06-05,15.9,15.9,15.9,15.9,15.9,0.0
2018-06-06,14.4,14.4,14.4,14.4,14.4,200.0
2018-06-07,14.4,14.4,14.4,14.4,14.4,0.0
2018-06-08,14.4,14.4,14.4,14.4,14.4,0.0
2018-06-11,14.4,14.4,14.4,14.4,14.4,0.0
2018-06-12,14.4,14.4,14.4,14.4,14.4,0.0
2018-06-13,14.4,14.4,14.4,14.4,14.4,0.0
2018-06-14,14.4,14.4,14.4,14.4,14.4,0.0
2018-06-15,14.4,14.4,14.4,14.4,14.4,0.0
2018-06-18,14.4,14.4,14.4,14.4,14.4,0.0
2018-06-19,14.4,14.4,14.4,14.4,14.4,0.0
2018-06-20,14.4,14.4,14.4,14.4,14.4,0.0
2018-06-21,14.4,14.4,14.4,14.4,14.4,0.0
2018-06-22,14.4,14.4,14.4,14.4,14.4,0.0
2018-06-25,14.4,14.4,14.4,14.4,14.4,0.0
2018-06-26,14.4,14.4,14.4,14.4,14.4,0.0
2018-06-27,14.4,14.4,14.4,14.4,14.4,0.0
2018-06-28,14.4,14.4,14.4,14.4,14.4,0.0
