Date,High,Low,Open,Close,Adj Close,Volume
2021-07-20,18.9,14.8,18.9,18.9,15.644,1459100.0
2021-07-21,20.8,20.8,20.8,20.8,17.216,1939511.0
2021-07-22,23.9,22.8,23.9,22.8,18.872,1263986.0
2021-07-23,22.8,20.1,22.8,20.1,16.637,527796.0
2021-07-26,17.1,17.1,17.1,17.1,14.154,245773.0
2021-07-27,19.0,14.6,14.6,17.5,14.485,966851.0
2021-07-28,17.7,16.8,17.5,16.9,13.988,236390.0
2021-07-29,18.0,16.5,18.0,17.0,14.071,452195.0
2021-07-30,17.0,16.5,16.7,16.8,13.905,808337.0
2021-08-02,17.4,16.8,17.0,17.1,14.154,618538.0
2021-08-03,17.5,16.8,17.5,17.1,14.154,742368.0
2021-08-04,17.2,16.8,17.1,17.0,14.071,672201.0
2021-08-05,17.0,16.7,17.0,16.9,13.988,664827.0
2021-08-06,16.9,16.6,16.9,16.8,13.905,629251.0
2021-08-09,17.0,16.7,16.9,17.0,14.071,745940.0
2021-08-10,17.4,17.0,17.0,17.3,14.319,888034.0
2021-08-11,19.0,17.2,17.3,18.9,15.644,1582844.0
2021-08-12,20.0,18.8,19.0,19.0,15.726,869461.0
2021-08-13,19.3,18.0,19.3,18.7,15.478,801100.0
2021-08-16,18.8,17.8,18.4,18.7,15.478,732294.0
2021-08-17,19.1,18.4,18.7,18.5,15.312,612725.0
2021-08-18,18.6,18.3,18.6,18.5,15.312,331249.0
2021-08-19,18.5,18.2,18.3,18.5,15.312,433995.0
2021-08-20,18.5,17.5,18.5,17.8,14.733,838278.0
2021-08-23,17.7,17.0,17.5,17.1,14.154,548789.0
2021-08-24,17.3,16.9,17.0,17.2,14.236,309327.0
2021-08-25,17.3,16.9,17.2,17.3,14.319,205520.0
2021-08-26,17.4,17.1,17.3,17.2,14.236,232982.0
2021-08-27,17.2,16.8,17.1,17.2,14.236,314622.0
2021-08-30,17.5,17.0,17.3,17.2,14.236,495754.0
2021-08-31,17.7,17.2,17.2,17.4,14.402,371866.0
2021-09-01,17.4,17.2,17.3,17.3,14.319,196665.0
2021-09-06,17.4,17.0,17.2,17.2,14.236,490693.0
2021-09-07,17.6,17.2,17.2,17.5,14.485,578289.0
2021-09-08,17.7,17.2,17.5,17.3,14.319,228120.0
2021-09-09,17.4,17.1,17.4,17.3,14.319,279541.0
2021-09-10,17.4,17.1,17.3,17.3,14.319,187597.0
2021-09-13,17.3,17.1,17.2,17.1,14.154,294482.0
2021-09-14,17.2,16.9,17.1,17.0,14.071,371022.0
2021-09-15,17.1,16.8,17.0,17.1,14.154,306876.0
2021-09-16,17.1,16.9,17.0,17.0,14.071,222310.0
2021-09-17,18.2,17.0,17.0,17.7,14.65,1138927.0
2021-09-20,18.2,17.6,17.8,17.7,14.65,1033846.0
2021-09-21,17.8,17.1,17.8,17.5,14.485,414064.0
2021-09-22,17.7,17.3,17.7,17.6,14.568,576007.0
2021-09-23,18.4,17.3,17.6,17.8,14.733,1284825.0
2021-09-24,18.3,17.8,17.9,18.0,14.899,1925957.0
2021-09-27,18.2,17.5,18.1,17.6,14.568,692195.0
2021-09-28,17.5,17.0,17.5,17.4,14.402,323849.0
2021-09-29,17.4,17.0,17.4,17.2,14.236,575490.0
2021-09-30,17.4,17.1,17.2,17.2,14.236,341223.0
2021-10-01,17.2,16.8,17.2,16.9,13.988,663988.0
2021-10-04,16.9,16.6,16.9,16.8,13.905,525678.0
2021-10-05,17.1,16.5,16.8,17.1,14.154,304898.0
2021-10-06,17.2,16.8,17.1,17.0,14.071,247200.0
2021-10-07,17.0,16.8,17.0,16.9,13.988,350614.0
2021-10-08,17.0,16.8,16.9,16.9,13.988,257301.0
2021-10-11,17.2,16.9,16.9,17.1,14.154,421906.0
2021-10-12,17.3,17.0,17.1,17.1,14.154,338414.0
2021-10-13,17.2,16.9,17.1,17.0,14.071,347648.0
2021-10-14,17.1,16.9,17.0,16.9,13.988,365910.0
2021-10-15,17.0,16.8,16.9,17.0,14.071,450728.0
2021-10-18,17.0,16.8,17.0,16.9,13.988,286484.0
2021-10-19,16.9,16.7,16.9,16.8,13.905,444752.0
2021-10-20,16.9,16.7,16.8,16.8,13.905,338285.0
2021-10-21,16.9,16.6,16.7,16.8,13.905,279205.0
2021-10-22,16.9,16.7,16.9,16.8,13.905,391329.0
2021-10-25,16.9,16.7,16.8,16.8,13.905,388484.0
2021-10-26,16.8,16.7,16.8,16.8,13.905,637300.0
2021-10-27,17.1,16.8,16.9,17.0,14.071,791742.0
2021-10-28,17.2,16.0,17.1,17.0,14.071,1013130.0
2021-10-29,18.0,17.0,17.1,17.7,14.65,1865249.0
2021-11-01,17.9,17.4,17.7,17.5,14.485,868771.0
2021-11-02,17.6,17.3,17.5,17.6,14.568,781259.0
2021-11-03,18.1,17.5,17.5,17.9,14.816,3714368.0
2021-11-04,18.3,17.9,18.1,18.0,14.899,1324230.0
2021-11-05,18.0,17.6,18.0,17.7,14.65,931964.0
2021-11-08,17.8,17.3,17.7,17.6,14.568,1312165.0
2021-11-09,17.7,17.5,17.7,17.6,14.568,819264.0
2021-11-10,17.6,17.3,17.6,17.5,14.485,948748.0
2021-11-11,17.5,17.1,17.4,17.2,14.236,864939.0
2021-11-12,17.6,17.1,17.3,17.5,14.485,1209902.0
2021-11-15,17.9,17.5,17.5,17.7,14.65,1057120.0
2021-11-16,18.0,17.4,17.7,17.8,14.733,1202049.0
2021-11-17,17.9,17.6,17.8,17.8,14.733,547330.0
2021-11-18,17.9,17.6,17.8,17.7,14.65,1015286.0
2021-11-19,19.0,17.5,17.7,18.1,14.981,2887833.0
2021-11-22,19.9,18.2,18.3,19.3,15.975,2287005.0
2021-11-23,19.5,18.4,19.5,18.9,15.644,890139.0
2021-11-24,19.9,18.5,18.9,19.9,16.471,2826188.0
2021-11-25,20.4,19.5,19.9,19.7,16.306,1482501.0
2021-11-26,19.9,19.1,19.7,19.4,16.057,1199878.0
2021-11-29,19.1,18.1,19.0,18.7,15.478,1035775.0
2021-11-30,19.0,18.0,18.6,18.3,15.147,1707144.0
2021-12-01,18.6,18.1,18.2,18.5,15.312,1085076.0
2021-12-02,18.9,18.2,18.5,18.3,15.147,669590.0
2021-12-03,18.6,17.5,18.3,17.8,14.733,1196065.0
2021-12-06,17.8,17.0,17.7,17.1,14.154,1038314.0
2021-12-07,17.5,17.1,17.2,17.4,14.402,566687.0
2021-12-08,17.8,17.3,17.4,17.6,14.568,499184.0
2021-12-09,17.6,17.3,17.6,17.5,14.485,523307.0
2021-12-10,17.6,17.3,17.4,17.6,14.568,438605.0
2021-12-13,17.9,17.5,17.6,17.7,14.65,350380.0
2021-12-14,17.8,17.5,17.8,17.6,14.568,640390.0
2021-12-15,17.9,17.4,17.6,17.6,14.568,713346.0
2021-12-16,17.7,17.5,17.6,17.6,14.568,472550.0
2021-12-17,17.7,17.3,17.7,17.4,14.402,739744.0
2021-12-20,17.6,17.2,17.5,17.3,14.319,531050.0
2021-12-21,17.3,17.1,17.3,17.2,14.236,587459.0
2021-12-22,17.8,17.2,17.2,17.6,14.568,1249410.0
2021-12-23,17.9,17.2,17.8,17.6,14.568,736102.0
2021-12-24,18.0,17.4,17.6,18.0,14.899,848989.0
2021-12-27,18.5,17.8,18.5,18.0,14.899,968329.0
2021-12-28,18.1,17.6,18.0,17.9,14.816,597020.0
2021-12-29,18.0,17.7,17.8,17.8,14.733,600801.0
2021-12-30,18.0,17.2,17.3,17.6,14.568,477921.0
2021-12-31,18.2,17.6,17.7,17.9,14.816,1178047.0
2022-01-04,18.2,17.8,17.9,17.9,14.816,782399.0
2022-01-05,18.2,17.7,18.0,17.9,14.816,692923.0
2022-01-06,17.9,17.6,17.9,17.7,14.65,739665.0
