Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,68.5,68.5,68.5,68.5,11.318,400.0
2018-01-03,69.0,69.0,69.0,69.0,11.4,500.0
2018-01-04,70.0,69.0,70.0,69.0,11.4,1400.0
2018-01-05,69.5,69.3,69.3,69.5,11.483,1300.0
2018-01-08,70.0,69.9,70.0,70.0,11.566,600.0
2018-01-09,70.0,70.0,70.0,70.0,11.566,300.0
2018-01-10,61.0,61.0,61.0,61.0,10.079,100.0
2018-01-11,65.0,65.0,65.0,65.0,10.74,800.0
2018-01-12,68.8,68.8,68.8,68.8,11.918,100.0
2018-01-15,69.0,58.5,58.5,68.0,11.779,300.0
2018-01-16,68.5,65.2,65.2,68.5,11.866,1600.0
2018-01-17,68.5,68.5,68.5,68.5,11.866,800.0
2018-01-18,68.0,68.0,68.0,68.0,11.779,200.0
2018-01-19,68.0,68.0,68.0,68.0,11.779,1200.0
2018-01-22,69.0,69.0,69.0,69.0,11.953,2600.0
2018-01-23,70.0,69.8,70.0,69.9,12.109,1300.0
2018-01-24,70.0,70.0,70.0,70.0,12.126,2000.0
2018-01-25,70.0,70.0,70.0,70.0,12.126,1700.0
2018-01-26,70.0,70.0,70.0,70.0,12.126,600.0
2018-01-29,59.5,59.5,59.5,59.5,10.307,100.0
2018-01-30,68.4,68.4,68.4,68.4,11.849,3400.0
2018-01-31,68.4,68.4,68.4,68.4,11.849,0.0
2018-02-01,70.0,70.0,70.0,70.0,12.126,500.0
2018-02-02,78.0,59.5,59.5,75.0,12.992,900.0
2018-02-05,75.0,75.0,75.0,75.0,12.992,400.0
2018-02-06,75.0,75.0,75.0,75.0,12.992,0.0
2018-02-07,75.0,75.0,75.0,75.0,12.992,0.0
2018-02-08,64.1,64.1,64.1,64.1,11.104,100.0
2018-02-09,73.5,73.5,73.5,73.5,12.732,100.0
2018-02-12,84.3,62.5,62.5,84.3,14.603,2200.0
2018-02-13,72.1,72.0,72.1,72.0,12.472,1200.0
2018-02-21,72.0,72.0,72.0,72.0,12.472,0.0
2018-02-22,72.0,72.0,72.0,72.0,12.472,0.0
2018-02-23,72.0,72.0,72.0,72.0,12.472,0.0
2018-02-26,70.0,70.0,70.0,70.0,12.126,100.0
2018-02-27,69.0,69.0,69.0,69.0,11.953,300.0
2018-02-28,69.0,69.0,69.0,69.0,11.953,300.0
2018-03-01,69.0,69.0,69.0,69.0,11.953,0.0
2018-03-02,73.8,71.0,71.0,73.8,12.784,200.0
2018-03-05,71.4,71.4,71.4,71.4,12.368,100.0
2018-03-06,71.0,71.0,71.0,71.0,12.299,400.0
2018-03-07,74.8,71.0,71.0,74.8,12.957,400.0
2018-03-08,62.6,62.6,62.6,62.6,10.844,100.0
2018-03-09,71.9,71.9,71.9,71.9,12.455,100.0
2018-03-12,74.7,63.7,63.7,74.7,12.94,300.0
2018-03-13,64.1,64.1,64.1,64.1,11.104,100.0
2018-03-14,73.0,72.9,72.9,73.0,12.646,200.0
2018-03-15,64.2,64.2,64.2,64.2,11.121,100.0
2018-03-16,73.7,73.7,73.7,73.7,12.767,200.0
2018-03-19,75.0,65.6,65.6,75.0,12.992,2200.0
2018-03-20,74.5,73.4,73.4,74.4,12.888,1500.0
