Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,18.1,17.4,17.9,17.6,6.123,334900.0
2018-01-03,18.0,17.4,17.8,17.8,6.192,610125.0
2018-01-04,18.0,17.3,17.9,17.7,6.157,457520.0
2018-01-05,17.9,17.3,17.7,17.7,6.157,520159.0
2018-01-08,17.9,17.3,17.9,17.6,6.123,314000.0
2018-01-09,17.8,17.3,17.7,17.6,6.123,399525.0
2018-01-10,17.7,17.3,17.6,17.6,6.123,344400.0
2018-01-11,17.6,17.2,17.6,17.6,6.123,250975.0
2018-01-12,17.8,17.3,17.7,17.6,6.123,347567.0
2018-01-15,17.8,17.3,17.8,17.7,6.157,349614.0
2018-01-16,18.0,17.5,17.9,17.7,6.157,433300.0
2018-01-17,17.8,17.4,17.8,17.6,6.123,213700.0
2018-01-18,17.7,17.3,17.6,17.6,6.123,260954.0
2018-01-19,17.7,17.4,17.6,17.6,6.123,219100.0
2018-01-22,17.8,17.3,17.6,17.6,6.123,330200.0
2018-01-23,18.3,17.4,17.5,17.8,6.192,637046.0
2018-01-24,18.1,17.7,17.9,17.9,6.227,314800.0
2018-01-25,18.1,17.6,18.1,17.9,6.227,256300.0
2018-01-26,18.0,17.5,18.0,17.9,6.227,272135.0
2018-01-29,18.0,17.5,18.0,17.8,6.192,317700.0
2018-01-30,18.1,17.5,18.0,17.9,6.227,227550.0
2018-01-31,18.0,17.6,17.9,17.8,6.192,212300.0
2018-02-01,17.9,17.4,17.9,17.7,6.157,482100.0
2018-02-02,18.0,17.4,17.9,17.8,6.192,494225.0
2018-02-05,17.9,17.3,17.9,17.6,6.123,157200.0
2018-02-06,17.6,16.8,17.6,17.2,5.983,204200.0
2018-02-07,17.6,17.0,17.6,17.4,6.053,562405.0
2018-02-08,17.6,17.1,17.6,17.4,6.053,486400.0
2018-02-09,17.4,17.1,17.4,17.2,5.983,79635.0
2018-02-12,17.4,17.0,17.3,17.3,6.018,102700.0
2018-02-13,17.7,17.0,17.4,17.3,6.018,151564.0
2018-02-21,17.7,17.3,17.4,17.5,6.088,159900.0
2018-02-22,17.7,17.0,17.7,17.3,6.018,168526.0
2018-02-23,17.5,17.0,17.5,17.3,6.018,157792.0
2018-02-26,17.4,17.0,17.4,17.3,6.018,158411.0
2018-02-27,17.3,17.0,17.3,17.3,6.018,405610.0
2018-02-28,17.3,17.0,17.3,17.1,5.949,167500.0
2018-03-01,17.3,16.8,17.3,17.0,5.914,184410.0
2018-03-02,17.1,16.8,17.1,17.0,5.914,274100.0
2018-03-05,17.2,16.9,17.1,17.2,5.983,486000.0
2018-03-06,17.8,17.0,17.3,17.7,6.157,565700.0
2018-03-07,19.2,17.8,17.8,19.2,6.679,336526.0
2018-03-08,19.3,18.6,19.3,18.6,6.47,237515.0
2018-03-09,18.6,18.2,18.6,18.3,6.366,331873.0
2018-03-12,19.1,18.4,18.4,18.8,6.54,513600.0
2018-03-13,18.9,18.5,18.9,18.9,6.575,485590.0
2018-03-14,20.0,18.9,18.9,19.9,6.923,397650.0
2018-03-15,21.8,19.9,19.9,21.6,7.514,634074.0
2018-03-16,23.4,21.6,21.7,22.0,7.653,604809.0
2018-03-19,22.3,21.6,22.1,21.6,7.514,482100.0
2018-03-20,21.6,20.4,21.6,20.5,7.131,726300.0
2018-03-21,20.9,19.7,20.6,19.9,6.923,498133.0
2018-03-22,21.1,19.5,21.1,19.6,6.818,541700.0
2018-03-23,19.7,18.0,19.7,18.5,6.436,426161.0
2018-03-26,18.7,17.8,18.6,17.9,6.227,352200.0
2018-03-27,18.3,17.9,18.0,18.0,6.262,382300.0
2018-03-28,19.0,17.9,18.1,17.9,6.227,500750.0
2018-03-29,18.7,17.9,18.0,18.0,6.262,706200.0
2018-03-30,18.6,17.9,18.1,18.3,6.366,383300.0
2018-04-02,18.5,17.9,18.4,18.5,6.436,378945.0
2018-04-03,18.5,18.0,18.5,18.2,6.331,236400.0
2018-04-04,18.5,18.1,18.2,18.3,6.366,340600.0
2018-04-05,18.6,18.1,18.4,18.1,6.296,270600.0
2018-04-06,18.3,17.7,18.2,17.9,6.227,242704.0
2018-04-09,18.3,17.8,18.0,17.9,6.227,311510.0
2018-04-10,18.0,17.5,18.0,17.9,6.227,288900.0
2018-04-11,18.0,17.6,18.0,17.8,6.192,144986.0
2018-04-12,18.0,17.6,17.8,18.0,6.262,181100.0
2018-04-13,18.1,17.7,18.0,17.8,6.192,161400.0
2018-04-16,18.2,17.6,17.9,18.0,6.262,255730.0
2018-04-17,18.6,18.0,18.1,18.6,6.47,367244.0
2018-04-18,19.9,18.5,18.6,19.7,6.853,434896.0
2018-04-19,20.2,19.6,19.7,20.1,6.992,228985.0
2018-04-20,20.1,18.7,20.1,19.0,6.61,430440.0
2018-04-23,19.0,18.5,19.0,18.8,6.54,350945.0
2018-04-24,18.8,18.4,18.8,18.8,6.54,237913.0
2018-04-26,19.0,18.5,18.8,18.8,6.54,300520.0
2018-04-27,19.3,18.4,18.8,18.8,6.54,344008.0
2018-05-02,19.0,18.5,18.8,18.6,6.47,205310.0
2018-05-03,18.7,18.4,18.6,18.6,6.47,208800.0
2018-05-04,18.8,18.5,18.6,18.7,6.505,247400.0
2018-05-07,19.5,18.6,18.7,19.4,6.749,298612.0
2018-05-08,19.5,19.1,19.5,19.1,6.644,326600.0
2018-05-09,19.2,18.9,19.2,19.1,6.644,297180.0
2018-05-10,19.1,18.4,19.1,18.7,6.505,343500.0
2018-05-11,19.2,18.1,18.7,19.2,6.679,333405.0
2018-05-14,19.3,18.8,19.2,18.8,6.54,293600.0
2018-05-15,19.2,18.5,18.8,19.2,6.679,254400.0
2018-05-16,19.2,18.3,19.1,18.5,6.436,230800.0
2018-05-17,18.9,18.4,18.6,18.6,6.47,248900.0
2018-05-18,18.8,18.4,18.6,18.6,6.47,264000.0
2018-05-21,18.8,18.5,18.6,18.5,6.436,270400.0
2018-05-22,18.7,18.0,18.6,18.7,6.505,241500.0
2018-05-23,18.9,18.4,18.7,18.9,6.575,242200.0
2018-05-24,18.8,18.4,18.8,18.8,6.54,203616.0
2018-05-25,18.9,18.5,18.8,18.8,6.54,232200.0
2018-05-28,18.9,18.6,18.8,18.7,6.505,207800.0
2018-05-29,18.9,18.6,18.7,18.7,6.505,234100.0
2018-05-30,18.8,18.6,18.7,18.7,6.505,217000.0
2018-05-31,18.9,18.6,18.7,18.6,6.47,184142.0
2018-06-01,18.8,18.4,18.7,18.5,6.436,156370.0
2018-06-04,18.6,18.4,18.6,18.6,6.47,171600.0
2018-06-05,19.5,18.6,18.6,19.2,6.679,326630.0
2018-06-06,19.3,18.8,19.2,19.0,6.61,205748.0
2018-06-07,19.0,18.7,19.0,18.9,6.575,203800.0
2018-06-08,18.9,18.5,18.9,18.8,6.54,231770.0
2018-06-11,19.0,18.4,18.8,18.8,6.54,219980.0
2018-06-12,18.8,18.4,18.8,18.4,6.401,226500.0
2018-06-13,18.7,18.4,18.5,18.5,6.436,213100.0
2018-06-14,18.8,18.4,18.6,18.5,6.436,209900.0
2018-06-15,18.9,18.5,18.6,18.5,6.436,225000.0
2018-06-18,18.7,18.5,18.6,18.6,6.47,210700.0
2018-06-19,18.7,18.1,18.7,18.6,6.47,229900.0
2018-06-20,18.7,18.4,18.6,18.6,6.47,207100.0
2018-06-21,18.7,18.3,18.7,18.5,6.436,206600.0
2018-06-22,18.7,18.3,18.5,18.7,6.505,224300.0
2018-06-25,18.9,17.7,17.7,18.7,6.505,205400.0
2018-06-26,18.7,18.4,18.7,18.6,6.47,201150.0
2018-06-27,18.8,18.4,18.6,18.6,6.47,219100.0
2018-06-28,18.8,18.5,18.6,18.6,6.47,335686.0
2018-06-29,18.7,18.1,18.6,18.4,6.401,210900.0
2018-07-02,18.6,18.1,18.4,18.1,6.296,200200.0
2018-07-03,18.3,17.9,18.3,17.9,6.227,159870.0
2018-07-04,18.2,17.9,18.1,18.0,6.262,340400.0
2018-07-05,18.2,17.8,18.1,17.8,6.192,234100.0
2018-07-06,18.2,17.8,18.0,18.0,6.262,195900.0
