Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,55.4,53.6,54.0,55.0,34.996,2801720.0
2018-01-03,55.7,54.5,55.5,54.9,34.933,1843870.0
2018-01-04,55.4,54.3,54.6,55.4,35.251,1990040.0
2018-01-05,55.1,53.9,55.1,54.0,34.36,2045200.0
2018-01-08,55.5,53.0,54.0,55.4,35.251,2071140.0
2018-01-09,58.5,54.5,56.0,58.5,37.223,2853160.0
2018-01-10,59.2,57.3,58.3,58.0,36.905,2842830.0
2018-01-11,58.8,57.2,57.5,58.8,37.414,1766240.0
2018-01-12,59.4,58.0,58.8,58.0,36.905,2525840.0
2018-01-15,60.0,57.0,58.0,60.0,38.178,2061850.0
2018-01-16,60.3,58.8,59.3,60.0,38.178,2218380.0
2018-01-17,59.9,56.2,59.8,56.2,35.76,2077670.0
2018-01-18,58.5,55.9,56.0,58.5,37.223,2845720.0
2018-01-19,61.4,58.3,58.6,61.0,38.814,2998270.0
2018-01-22,63.4,61.7,62.0,63.3,40.278,2300660.0
2018-01-25,67.7,63.8,65.5,67.7,43.077,4788340.0
2018-01-26,70.0,66.5,69.4,69.1,43.968,2617800.0
2018-01-29,71.5,67.8,70.0,68.0,43.268,2281360.0
2018-01-30,67.8,66.2,66.5,67.0,42.632,2818520.0
2018-01-31,68.9,66.2,67.0,66.6,42.377,1936300.0
2018-02-01,67.8,65.8,66.4,66.6,42.377,2166810.0
2018-02-02,67.5,66.6,67.5,67.4,42.887,1652660.0
2018-02-05,67.0,62.7,66.0,62.7,39.896,2687810.0
2018-02-06,63.0,58.4,58.4,62.0,39.451,6724710.0
2018-02-07,65.2,62.8,65.0,63.5,40.405,1635780.0
2018-02-08,63.5,61.5,62.6,62.9,40.023,855160.0
2018-02-09,62.3,58.5,58.5,60.9,38.751,2408810.0
2018-02-12,63.5,60.7,62.0,63.5,40.405,1847850.0
2018-02-13,64.9,63.6,64.3,64.0,40.723,1527780.0
2018-02-21,67.9,64.5,65.0,66.2,42.123,2132410.0
2018-02-22,67.4,65.4,65.6,66.8,42.505,2352100.0
2018-02-23,71.4,66.7,67.0,71.4,45.432,4825770.0
2018-02-26,74.3,71.4,74.3,71.9,45.75,3453290.0
2018-02-27,73.5,71.7,72.9,73.2,46.577,2249770.0
2018-02-28,75.0,72.0,72.1,73.8,46.959,3475320.0
2018-03-01,74.6,71.0,72.6,71.5,45.495,3615670.0
2018-03-02,72.0,70.0,70.0,71.8,45.686,2525210.0
2018-03-05,72.5,68.0,72.0,68.0,43.268,2914810.0
2018-03-06,71.5,67.7,69.0,71.2,45.304,3103920.0
2018-03-07,71.9,68.5,71.5,69.6,44.286,2277620.0
2018-03-08,70.4,68.8,69.6,69.5,44.223,1554260.0
2018-03-09,71.5,69.6,70.5,71.0,45.177,3236520.0
2018-03-12,73.4,71.5,72.0,72.0,45.814,2899140.0
2018-03-13,72.6,70.6,72.0,72.0,45.814,2146470.0
2018-03-14,74.3,72.6,72.6,73.8,46.959,4053460.0
2018-03-15,74.5,72.8,73.0,73.8,46.959,2111990.0
2018-03-16,75.3,74.1,74.5,74.7,47.532,5327050.0
2018-03-19,76.5,73.0,75.6,74.3,47.277,2803610.0
2018-03-20,74.9,73.3,73.3,74.0,47.086,1836040.0
2018-03-21,75.2,73.5,74.5,73.5,46.768,2952180.0
2018-03-22,74.0,72.0,74.0,72.0,45.814,3871380.0
2018-03-23,70.7,68.5,68.5,69.9,44.477,4563730.0
2018-03-26,71.9,69.6,70.0,71.9,45.75,1821910.0
2018-03-27,72.9,70.6,72.8,71.0,45.177,2322350.0
2018-03-28,71.3,69.8,69.9,70.5,44.859,1643300.0
2018-03-29,71.6,70.1,70.8,71.0,45.177,1457380.0
2018-03-30,71.4,70.2,71.0,70.5,44.859,1280140.0
2018-04-02,74.0,70.8,71.0,74.0,47.086,3055600.0
2018-04-03,75.3,73.5,74.0,74.3,47.277,3500060.0
2018-04-04,74.8,73.5,74.5,73.5,46.768,2089100.0
2018-04-05,74.0,72.6,73.8,73.5,46.768,1763710.0
2018-04-06,74.8,73.4,73.6,73.5,46.768,2346040.0
