Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,25.2,25.0,25.1,25.0,12.766,16900.0
2018-01-03,25.1,25.1,25.1,25.1,12.817,0.0
2018-01-04,25.0,24.5,24.5,25.0,12.766,4840.0
2018-01-05,24.8,24.8,24.8,24.8,12.664,0.0
2018-01-08,24.8,24.8,24.8,24.8,12.664,0.0
2018-01-09,25.7,25.0,25.7,25.0,12.766,800.0
2018-01-10,25.5,25.0,25.5,25.1,12.817,1900.0
2018-01-11,25.0,25.0,25.0,25.0,12.766,1600.0
2018-01-12,25.0,24.8,24.8,25.0,12.766,23500.0
2018-01-15,25.0,24.5,25.0,24.5,12.511,11700.0
2018-01-16,24.7,24.5,24.7,24.5,12.511,14100.0
2018-01-17,24.6,24.5,24.6,24.5,12.511,55900.0
2018-01-18,24.8,24.7,24.7,24.8,12.664,6600.0
2018-01-19,25.0,24.5,25.0,24.5,12.511,65500.0
2018-01-22,25.0,24.9,25.0,24.9,12.715,3200.0
2018-01-23,26.0,25.1,25.1,26.0,13.277,20300.0
2018-01-24,25.5,25.5,25.5,25.5,13.021,0.0
2018-01-25,25.8,25.5,25.5,25.8,13.174,3300.0
2018-01-26,26.2,26.0,26.0,26.0,13.277,8900.0
2018-01-29,26.2,26.2,26.2,26.2,13.379,0.0
2018-01-30,27.0,26.2,26.2,27.0,13.788,33100.0
2018-01-31,26.3,26.1,26.3,26.1,13.328,2000.0
2018-02-01,27.5,27.0,27.0,27.0,13.788,7550.0
2018-02-02,27.6,27.2,27.2,27.6,14.093,39210.0
2018-02-05,27.5,27.0,27.5,27.0,13.788,32900.0
2018-02-06,25.3,25.0,25.3,25.3,12.921,14700.0
2018-02-07,25.1,25.1,25.1,25.1,12.817,0.0
2018-02-08,27.0,27.0,27.0,27.0,13.788,2000.0
2018-02-09,27.0,27.0,27.0,27.0,13.788,0.0
2018-02-12,27.0,27.0,27.0,27.0,13.788,0.0
2018-02-13,26.0,26.0,26.0,26.0,13.277,100.0
2018-02-21,26.7,26.2,26.2,26.7,13.634,500.0
2018-02-22,28.0,27.5,28.0,27.5,14.042,601.0
2018-02-23,27.0,27.0,27.0,27.0,13.788,1150.0
2018-02-26,28.3,28.0,28.0,28.2,14.401,22030.0
2018-02-27,28.4,28.0,28.4,28.0,14.298,8901.0
2018-02-28,28.0,28.0,28.0,28.0,14.298,19000.0
2018-03-01,28.0,28.0,28.0,28.0,14.298,3000.0
2018-03-02,29.0,29.0,29.0,29.0,14.809,3700.0
2018-03-05,30.0,29.0,30.0,29.0,14.809,4400.0
2018-03-06,30.0,29.0,29.0,30.0,15.32,2100.0
2018-03-07,29.4,29.0,29.0,29.4,15.013,7636.0
2018-03-08,29.0,29.0,29.0,29.0,14.809,800.0
