Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,3.8,3.5,3.8,3.7,3.7,10300.0
2018-01-03,3.6,3.5,3.6,3.6,3.6,9502.0
2018-01-04,3.8,3.7,3.8,3.8,3.8,4400.0
2018-01-05,3.8,3.5,3.5,3.7,3.7,761.0
2018-01-08,3.7,3.7,3.7,3.7,3.7,0.0
2018-01-09,3.6,3.4,3.4,3.6,3.6,2207.0
2018-01-10,3.6,3.3,3.3,3.3,3.3,35900.0
2018-01-11,3.3,3.3,3.3,3.3,3.3,0.0
2018-01-12,3.5,3.0,3.5,3.3,3.3,21700.0
2018-01-15,3.1,3.0,3.1,3.0,3.0,10200.0
2018-01-16,3.1,3.0,3.0,3.1,3.1,1600.0
2018-01-17,3.2,3.1,3.2,3.1,3.1,285.0
2018-01-18,3.1,3.0,3.0,3.1,3.1,10661.0
2018-01-19,3.1,3.1,3.1,3.1,3.1,0.0
2018-01-22,3.1,2.8,2.9,2.8,2.8,17800.0
2018-01-23,3.0,2.9,3.0,2.9,2.9,6700.0
2018-01-24,3.1,2.9,3.1,3.1,3.1,1100.0
2018-01-25,3.1,3.1,3.1,3.1,3.1,100.0
2018-01-26,3.2,3.0,3.2,3.2,3.2,5300.0
2018-01-29,3.0,3.0,3.0,3.0,3.0,3000.0
2018-01-30,3.2,2.9,2.9,3.2,3.2,29210.0
2018-01-31,3.2,3.2,3.2,3.2,3.2,0.0
2018-02-01,3.2,3.2,3.2,3.2,3.2,0.0
2018-02-02,3.2,3.0,3.0,3.2,3.2,11800.0
2018-02-05,3.5,3.0,3.0,3.1,3.1,5100.0
2018-02-06,3.2,2.8,2.9,2.8,2.8,700.0
2018-02-07,3.0,3.0,3.0,3.0,3.0,150.0
2018-02-08,3.2,3.2,3.2,3.2,3.2,100.0
2018-02-09,3.2,2.9,2.9,3.2,3.2,4600.0
2018-02-12,3.5,3.5,3.5,3.5,3.5,400.0
2018-02-13,3.8,3.2,3.8,3.8,3.8,3900.0
2018-02-21,3.8,3.8,3.8,3.8,3.8,0.0
2018-02-22,3.8,3.8,3.8,3.8,3.8,0.0
2018-02-23,3.8,3.5,3.5,3.8,3.8,5900.0
2018-02-26,3.5,3.5,3.5,3.5,3.5,300.0
2018-02-27,3.2,3.2,3.2,3.2,3.2,3020.0
2018-02-28,3.2,3.2,3.2,3.2,3.2,0.0
2018-03-01,3.4,2.9,3.0,3.4,3.4,5100.0
2018-03-02,3.1,3.1,3.1,3.1,3.1,9000.0
2018-03-05,3.4,3.4,3.4,3.4,3.4,100.0
2018-03-06,3.1,3.1,3.1,3.1,3.1,2800.0
2018-03-07,3.3,2.8,2.9,3.3,3.3,10130.0
2018-03-08,3.3,3.3,3.3,3.3,3.3,0.0
2018-03-09,3.1,3.1,3.1,3.1,3.1,1100.0
2018-03-12,3.1,3.0,3.1,3.0,3.0,200.0
2018-03-13,3.1,3.1,3.1,3.1,3.1,200.0
2018-03-14,3.1,2.9,3.0,3.1,3.1,5600.0
2018-03-15,3.0,2.9,2.9,3.0,3.0,4205.0
2018-03-16,3.0,2.8,2.8,3.0,3.0,11000.0
2018-03-19,3.0,3.0,3.0,3.0,3.0,200.0
2018-03-20,3.0,2.9,2.9,3.0,3.0,13900.0
2018-03-21,3.1,3.0,3.0,3.0,3.0,9810.0
2018-03-22,3.1,3.1,3.1,3.1,3.1,100.0
2018-03-23,3.1,3.0,3.1,3.1,3.1,11600.0
2018-03-26,3.1,3.0,3.0,3.1,3.1,14100.0
2018-03-27,3.3,3.3,3.3,3.3,3.3,100.0
2018-03-28,3.2,3.0,3.2,3.0,3.0,36000.0
2018-03-29,3.2,3.0,3.2,3.0,3.0,33300.0
2018-03-30,3.2,2.9,2.9,3.2,3.2,40500.0
2018-04-02,3.2,3.0,3.1,3.2,3.2,12200.0
2018-04-03,3.1,3.0,3.1,3.0,3.0,75900.0
2018-04-04,3.2,3.0,3.2,3.0,3.0,40100.0
2018-04-05,3.1,2.9,3.0,3.0,3.0,84400.0
2018-04-06,3.1,3.0,3.0,3.1,3.1,72015.0
2018-04-09,3.1,3.0,3.0,3.0,3.0,38100.0
2018-04-10,3.1,3.0,3.1,3.0,3.0,19800.0
2018-04-11,3.1,3.0,3.1,3.0,3.0,71000.0
2018-04-12,3.1,3.0,3.1,3.0,3.0,7900.0
2018-04-13,3.1,3.0,3.0,3.1,3.1,28000.0
2018-04-16,3.0,3.0,3.0,3.0,3.0,36600.0
2018-04-17,3.0,3.0,3.0,3.0,3.0,11300.0
2018-04-18,3.0,3.0,3.0,3.0,3.0,10500.0
2018-04-19,3.1,3.1,3.1,3.1,3.1,200.0
2018-04-20,3.1,3.0,3.0,3.1,3.1,67850.0
2018-04-23,3.0,3.0,3.0,3.0,3.0,15300.0
2018-04-24,3.0,3.0,3.0,3.0,3.0,28600.0
2018-04-26,3.0,2.7,3.0,2.8,2.8,32100.0
2018-04-27,2.8,2.8,2.8,2.8,2.8,4900.0
2018-05-02,3.0,2.9,3.0,2.9,2.9,300.0
2018-05-03,3.1,2.9,3.0,3.0,3.0,102200.0
2018-05-04,3.1,3.1,3.1,3.1,3.1,363.0
2018-05-07,3.1,3.0,3.1,3.1,3.1,25100.0
2018-05-08,3.2,3.0,3.2,3.0,3.0,2800.0
2018-05-09,3.0,3.0,3.0,3.0,3.0,100.0
2018-05-10,3.0,3.0,3.0,3.0,3.0,50000.0
2018-05-11,3.3,3.1,3.1,3.3,3.3,34500.0
2018-05-14,3.6,3.3,3.3,3.6,3.6,44400.0
2018-05-15,3.9,3.6,3.9,3.7,3.7,78000.0
2018-05-16,3.8,3.5,3.8,3.6,3.6,24100.0
2018-05-17,3.9,3.6,3.7,3.8,3.8,83000.0
2018-05-18,3.8,3.6,3.7,3.6,3.6,19200.0
2018-05-21,3.8,3.6,3.6,3.8,3.8,38100.0
2018-05-22,3.9,3.6,3.8,3.9,3.9,53800.0
2018-05-23,3.9,3.6,3.6,3.9,3.9,28300.0
2018-05-24,4.2,3.9,3.9,4.2,4.2,108110.0
2018-05-25,4.6,4.2,4.2,4.4,4.4,81300.0
2018-05-28,4.6,4.0,4.6,4.4,4.4,21400.0
2018-05-29,4.3,4.0,4.0,4.3,4.3,27600.0
2018-05-30,4.2,4.2,4.2,4.2,4.2,3000.0
2018-05-31,4.4,4.1,4.2,4.3,4.3,16200.0
2018-06-01,4.5,4.1,4.3,4.1,4.1,29320.0
2018-06-04,4.5,4.2,4.2,4.3,4.3,6500.0
2018-06-05,4.3,3.9,4.1,4.3,4.3,22400.0
2018-06-06,4.2,4.0,4.2,4.2,4.2,18700.0
2018-06-07,4.2,4.0,4.0,4.2,4.2,708.0
2018-06-08,4.3,4.0,4.1,4.3,4.3,11300.0
2018-06-11,4.2,4.0,4.2,4.2,4.2,12700.0
2018-06-12,4.2,4.0,4.1,4.0,4.0,6700.0
2018-06-13,4.2,4.0,4.2,4.0,4.0,4500.0
2018-06-14,4.0,4.0,4.0,4.0,4.0,1020.0
2018-06-15,4.1,4.1,4.1,4.1,4.1,3030.0
2018-06-18,4.0,3.7,4.0,3.7,3.7,11800.0
2018-06-19,3.7,3.4,3.7,3.4,3.4,11400.0
