Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,23.0,23.0,23.0,23.0,14.223,0.0
2018-01-03,23.0,23.0,23.0,23.0,14.223,0.0
2018-01-04,23.0,23.0,23.0,23.0,14.223,0.0
2018-01-05,23.0,23.0,23.0,23.0,14.223,0.0
2018-01-08,19.6,19.6,19.6,19.6,12.121,100.0
2018-01-09,19.6,19.6,19.6,19.6,12.121,0.0
2018-01-10,20.0,20.0,20.0,20.0,12.368,100.0
2018-01-11,20.0,20.0,20.0,20.0,12.368,0.0
2018-01-12,20.0,20.0,20.0,20.0,12.368,0.0
2018-01-15,20.0,20.0,20.0,20.0,12.368,0.0
2018-01-16,20.0,20.0,20.0,20.0,12.368,0.0
2018-01-17,20.0,20.0,20.0,20.0,12.368,0.0
2018-01-18,20.0,20.0,20.0,20.0,12.368,20.0
2018-01-19,20.0,20.0,20.0,20.0,12.368,0.0
2018-01-22,20.0,20.0,20.0,20.0,12.368,50.0
2018-01-23,20.0,20.0,20.0,20.0,12.368,0.0
2018-01-24,20.0,20.0,20.0,20.0,12.368,0.0
2018-01-25,20.0,17.1,20.0,17.1,10.575,200.0
2018-01-26,18.6,18.6,18.6,18.6,11.502,0.0
2018-01-29,16.0,15.9,16.0,15.9,9.833,300.0
2018-01-30,15.9,15.9,15.9,15.9,9.833,0.0
2018-01-31,13.6,13.6,13.6,13.6,8.41,260.0
2018-02-01,13.6,13.6,13.6,13.6,8.41,0.0
2018-02-02,13.6,13.6,13.6,13.6,8.41,7.0
2018-02-05,13.6,13.6,13.6,13.6,8.41,60.0
2018-02-06,13.6,13.6,13.6,13.6,8.41,0.0
2018-02-07,13.6,13.6,13.6,13.6,8.41,0.0
2018-02-08,13.6,13.6,13.6,13.6,8.41,0.0
2018-02-09,13.6,13.6,13.6,13.6,8.41,0.0
2018-02-12,13.6,13.6,13.6,13.6,8.41,0.0
2018-02-13,13.6,13.6,13.6,13.6,8.41,0.0
2018-02-21,13.6,13.6,13.6,13.6,8.41,0.0
2018-02-22,13.6,13.6,13.6,13.6,8.41,0.0
2018-02-23,13.6,13.6,13.6,13.6,8.41,0.0
2018-02-26,13.6,13.6,13.6,13.6,8.41,0.0
2018-02-27,13.6,13.6,13.6,13.6,8.41,30.0
2018-02-28,15.6,15.6,15.6,15.6,9.647,104.0
