Date,High,Low,Open,Close,Adj Close,Volume
2020-07-01,14.4,10.6,10.6,14.4,14.154,120500.0
2020-07-02,12.5,10.9,10.9,12.5,12.287,102800.0
2020-07-03,14.3,14.3,14.3,14.3,14.056,113200.0
2020-07-06,16.4,12.2,16.4,12.6,12.385,108600.0
2020-07-07,11.1,10.8,11.1,10.8,10.616,29600.0
2020-07-08,9.3,9.3,9.3,9.3,9.141,5000.0
2020-07-09,10.6,8.0,8.0,10.6,10.419,46564.0
2020-07-10,9.5,8.0,9.0,9.0,8.846,20008.0
2020-07-13,8.9,7.4,8.0,7.4,7.274,39000.0
2020-07-14,7.5,6.9,7.4,7.4,7.274,36670.0
2020-07-15,8.0,7.0,8.0,7.3,7.175,45920.0
2020-07-16,7.7,7.2,7.2,7.7,7.569,36050.0
2020-07-17,7.4,7.1,7.2,7.4,7.274,38700.0
2020-07-20,7.4,7.3,7.4,7.4,7.274,32430.0
2020-07-21,7.5,7.1,7.4,7.4,7.274,36608.0
2020-07-22,7.7,7.3,7.3,7.7,7.569,40405.0
2020-07-23,7.4,7.3,7.4,7.4,7.274,25215.0
2020-07-24,7.5,7.1,7.5,7.2,7.077,28800.0
2020-07-27,7.3,6.3,7.0,7.3,7.175,24415.0
2020-07-28,6.8,6.0,6.0,6.8,6.684,25110.0
2020-07-29,6.5,6.1,6.1,6.5,6.389,31400.0
2020-07-30,6.4,6.4,6.4,6.4,6.291,13200.0
2020-07-31,6.5,6.3,6.5,6.5,6.389,25000.0
2020-08-03,6.5,6.4,6.4,6.4,6.291,25320.0
2020-08-04,6.6,6.5,6.5,6.6,6.487,1800.0
2020-08-05,6.8,6.5,6.5,6.8,6.684,300.0
2020-08-06,7.7,6.6,7.7,6.9,6.782,5300.0
2020-08-07,7.2,6.7,6.7,7.2,7.077,13000.0
2020-08-10,6.9,6.8,6.8,6.9,6.782,5110.0
2020-08-11,6.9,6.5,6.5,6.9,6.782,15800.0
2020-08-12,6.7,6.5,6.5,6.7,6.586,17400.0
2020-08-13,6.7,6.7,6.7,6.7,6.586,16000.0
2020-08-14,6.9,6.7,6.7,6.9,6.782,20710.0
2020-08-17,6.8,6.5,6.6,6.8,6.684,7600.0
2020-08-18,6.6,6.6,6.6,6.6,6.487,2000.0
2020-08-19,6.6,6.5,6.6,6.6,6.487,11500.0
2020-08-20,6.9,6.6,6.6,6.7,6.586,18700.0
2020-08-21,6.8,6.7,6.7,6.8,6.684,15200.0
2020-08-24,6.9,6.8,6.8,6.8,6.684,14900.0
2020-08-25,6.9,6.8,6.8,6.9,6.782,9200.0
2020-08-26,6.9,6.8,6.8,6.9,6.782,11300.0
2020-08-27,6.9,6.8,6.8,6.8,6.684,15501.0
2020-08-28,7.7,7.1,7.7,7.2,7.077,7300.0
2020-08-31,7.6,7.1,7.6,7.1,6.979,5800.0
2020-09-01,7.4,7.4,7.4,7.4,7.274,0.0
2020-09-03,7.0,6.6,6.9,7.0,6.881,22100.0
2020-09-04,7.1,6.6,6.6,7.1,6.979,6800.0
2020-09-07,6.6,6.5,6.6,6.5,6.389,3500.0
2020-09-08,6.6,6.5,6.5,6.6,6.487,13400.0
2020-09-09,6.6,6.5,6.5,6.6,6.487,25163.0
2020-09-10,6.6,6.5,6.6,6.6,6.487,8000.0
