Date,High,Low,Open,Close,Adj Close,Volume
2018-09-25,21.0,16.0,21.0,21.0,21.0,1816800.0
2018-09-26,23.9,23.8,23.9,23.9,23.9,214200.0
2018-09-27,27.4,27.4,27.4,27.4,27.4,388100.0
2018-09-28,31.5,27.4,31.5,28.2,28.2,2111074.0
2018-10-01,29.6,25.8,29.5,26.8,26.8,831097.0
2018-10-02,27.3,25.9,27.1,26.0,26.0,596270.0
2018-10-03,26.2,23.0,26.2,23.5,23.5,705230.0
2018-10-04,23.9,22.9,23.9,23.6,23.6,408223.0
2018-10-05,26.0,23.5,23.5,25.5,25.5,349732.0
2018-10-08,25.5,24.7,25.5,24.8,24.8,189270.0
2018-10-09,24.8,23.9,24.8,24.4,24.4,205130.0
2018-10-10,24.3,23.4,24.2,23.5,23.5,251141.0
2018-10-11,23.3,21.0,23.0,21.4,21.4,398300.0
2018-10-12,23.1,20.1,21.4,23.0,23.0,264470.0
2018-10-15,23.9,22.1,23.2,22.7,22.7,202370.0
2018-10-16,22.8,22.4,22.7,22.8,22.8,105510.0
2018-10-17,23.2,22.5,22.8,22.7,22.7,148250.0
2018-10-18,22.7,21.0,21.5,22.4,22.4,98760.0
2018-10-19,22.0,21.1,22.0,21.9,21.9,159900.0
2018-10-22,22.5,21.5,21.5,21.5,21.5,117500.0
2018-10-23,21.8,21.0,21.8,21.2,21.2,176449.0
2018-10-24,21.2,20.1,21.2,20.2,20.2,177975.0
2018-10-25,20.0,18.5,20.0,19.2,19.2,282110.0
2018-10-26,20.0,19.0,19.5,19.1,19.1,131400.0
2018-10-29,19.2,18.9,18.9,19.0,19.0,162710.0
2018-10-30,19.0,18.8,19.0,18.8,18.8,104760.0
2018-10-31,18.9,18.1,18.9,18.1,18.1,219250.0
2018-11-01,18.4,17.2,18.1,17.3,17.3,208400.0
2018-11-02,17.2,16.6,17.1,17.1,17.1,221210.0
2018-11-05,18.4,16.8,17.0,18.0,18.0,161530.0
2018-11-06,18.7,18.0,18.0,18.1,18.1,84670.0
2018-11-07,18.1,17.4,18.1,18.0,18.0,75300.0
2018-11-08,18.4,17.6,18.1,17.9,17.9,85030.0
2018-11-09,18.0,17.7,17.9,17.7,17.7,77246.0
2018-11-12,17.6,17.1,17.1,17.4,17.4,75210.0
2018-11-13,17.2,16.7,17.1,17.0,17.0,101368.0
2018-11-14,17.0,16.6,16.8,16.9,16.9,51440.0
2018-11-15,17.4,16.5,16.9,16.6,16.6,90642.0
2018-11-16,17.2,16.8,16.9,17.2,17.2,102124.0
2018-11-19,17.3,17.0,17.2,17.0,17.0,19385.0
2018-11-20,17.2,16.9,17.2,17.0,17.0,54323.0
2018-11-21,17.0,16.6,16.9,16.7,16.7,93122.0
2018-11-22,16.9,16.7,16.7,16.8,16.8,72120.0
2018-11-23,16.8,16.6,16.6,16.8,16.8,45830.0
2018-11-26,16.9,16.6,16.9,16.8,16.8,67000.0
2018-11-27,16.7,16.5,16.7,16.6,16.6,115200.0
2018-11-28,16.6,16.4,16.6,16.4,16.4,47410.0
2018-11-29,16.6,16.1,16.4,16.1,16.1,79900.0
2018-11-30,16.2,15.8,16.2,16.0,16.0,116840.0
2018-12-03,16.1,15.7,15.9,15.8,15.8,145590.0
2018-12-04,15.9,15.7,15.8,15.9,15.9,104300.0
2018-12-05,16.0,15.8,15.8,15.9,15.9,85400.0
2018-12-06,15.9,15.7,15.8,15.9,15.9,67300.0
2018-12-07,16.0,15.8,15.9,15.9,15.9,37550.0
2018-12-10,15.9,15.6,15.9,15.6,15.6,57400.0
2018-12-11,15.7,15.5,15.6,15.5,15.5,78904.0
2018-12-12,15.6,15.4,15.6,15.5,15.5,77920.0
2018-12-13,15.7,15.4,15.5,15.5,15.5,54150.0
2018-12-14,15.5,15.4,15.5,15.4,15.4,38335.0
2018-12-17,15.3,14.9,15.3,15.0,15.0,115280.0
2018-12-18,14.9,13.3,14.9,13.9,13.9,142540.0
2018-12-19,14.9,13.7,14.0,14.0,14.0,42520.0
2018-12-20,14.2,13.7,14.0,13.8,13.8,41290.0
2018-12-21,13.5,12.5,13.5,12.9,12.9,225461.0
2018-12-24,12.8,12.4,12.8,12.4,12.4,68960.0
2018-12-25,12.3,11.3,12.3,12.0,12.0,220000.0
2018-12-26,12.5,11.7,12.0,12.3,12.3,123300.0
2018-12-27,13.8,12.6,12.6,13.8,13.8,229200.0
2018-12-28,14.5,13.1,14.3,13.4,13.4,52450.0
2019-01-02,14.0,13.1,13.2,13.2,13.2,60562.0
2019-01-03,13.4,12.8,13.3,13.0,13.0,74900.0
2019-01-04,13.0,12.6,12.7,12.6,12.6,60451.0
2019-01-07,13.4,12.4,12.7,13.0,13.0,65700.0
2019-01-08,13.5,13.0,13.0,13.1,13.1,42260.0
2019-01-09,13.5,13.0,13.0,13.3,13.3,84641.0
2019-01-10,13.8,13.0,13.0,13.5,13.5,70505.0
