Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,9.3,9.1,9.1,9.3,5.478,94900.0
2018-01-03,9.4,9.2,9.3,9.3,5.478,169400.0
2018-01-04,9.4,9.2,9.3,9.4,5.537,108800.0
2018-01-05,9.4,9.2,9.4,9.3,5.478,70010.0
2018-01-08,9.3,9.2,9.3,9.2,5.419,115900.0
2018-01-09,9.6,9.2,9.2,9.6,5.655,557402.0
2018-01-10,10.2,9.6,9.6,9.9,5.832,856512.0
2018-01-11,10.0,9.8,10.0,9.9,5.832,111850.0
2018-01-12,10.1,9.7,9.9,9.9,5.832,386300.0
2018-01-15,9.9,9.7,9.9,9.8,5.773,182250.0
2018-01-16,10.0,9.6,9.7,9.8,5.773,438422.0
2018-01-17,9.8,9.5,9.7,9.8,5.773,137900.0
2018-01-18,9.7,9.5,9.7,9.7,5.714,203594.0
2018-01-19,9.9,9.6,9.8,9.7,5.714,174060.0
2018-01-22,9.9,9.4,9.8,9.9,5.832,615922.0
2018-01-23,10.1,9.9,9.9,10.0,5.891,475320.0
2018-01-24,10.0,9.7,10.0,9.8,5.773,398910.0
2018-01-25,9.8,9.6,9.8,9.7,5.714,149055.0
2018-01-26,9.7,9.6,9.6,9.7,5.714,102313.0
2018-01-29,9.7,9.5,9.5,9.5,5.596,206510.0
2018-01-30,9.6,9.4,9.5,9.5,5.596,163947.0
2018-01-31,9.5,9.3,9.5,9.4,5.537,380600.0
2018-02-01,9.6,9.3,9.5,9.5,5.596,218900.0
2018-02-02,9.5,9.3,9.4,9.5,5.596,107100.0
2018-02-05,9.4,9.2,9.4,9.2,5.419,228900.0
2018-02-06,9.2,8.5,9.2,8.8,5.184,268500.0
2018-02-07,9.3,9.0,9.0,9.1,5.36,141050.0
2018-02-08,9.3,9.1,9.2,9.2,5.419,291900.0
2018-02-09,9.4,9.0,9.1,9.3,5.478,349413.0
2018-02-12,9.5,9.3,9.5,9.4,5.537,34340.0
2018-02-13,9.4,9.3,9.4,9.3,5.478,77600.0
2018-02-21,9.5,9.3,9.3,9.5,5.596,61700.0
2018-02-22,9.7,9.4,9.5,9.7,5.714,306400.0
2018-02-23,9.8,9.6,9.7,9.7,5.714,134000.0
2018-02-26,9.8,9.6,9.7,9.6,5.655,82698.0
2018-02-27,9.6,9.5,9.6,9.6,5.655,100897.0
2018-02-28,9.7,9.5,9.5,9.5,5.596,190575.0
2018-03-01,10.0,9.6,9.6,9.8,5.773,532920.0
2018-03-02,9.9,9.8,9.8,9.8,5.773,77628.0
2018-03-05,9.9,9.6,9.8,9.6,5.655,198750.0
2018-03-06,10.0,9.6,9.6,9.9,5.832,244110.0
2018-03-07,10.2,9.9,10.0,10.1,5.949,448635.0
2018-03-08,10.3,9.5,9.5,10.3,6.067,205540.0
2018-03-09,10.4,10.3,10.4,10.4,6.126,257046.0
2018-03-12,10.6,10.1,10.4,10.2,6.008,550660.0
2018-03-13,10.6,10.2,10.2,10.6,6.244,291400.0
2018-03-14,10.8,10.5,10.6,10.5,6.185,733340.0
2018-03-15,10.9,10.4,10.5,10.8,6.362,460610.0
2018-03-16,10.9,10.7,10.9,10.7,6.303,212700.0
2018-03-19,10.9,10.7,10.7,10.8,6.362,259000.0
2018-03-20,11.0,10.8,10.8,10.8,6.362,395430.0
2018-03-21,11.0,10.8,10.8,10.9,6.421,422550.0
2018-03-22,11.1,10.9,10.9,11.0,6.48,330780.0
2018-03-23,11.2,10.8,11.0,11.2,6.597,704100.0
2018-03-26,11.3,10.8,11.0,11.2,6.597,804020.0
2018-03-27,11.4,11.1,11.2,11.2,6.597,340850.0
2018-03-28,11.2,10.8,11.2,10.8,6.362,95165.0
2018-03-29,10.9,10.8,10.8,10.8,6.362,138718.0
2018-03-30,10.9,10.8,10.8,10.9,6.421,225500.0
2018-04-02,10.9,10.8,10.9,10.9,6.421,272110.0
2018-04-03,11.0,10.5,10.5,10.9,6.421,325888.0
2018-04-04,11.0,10.9,10.9,11.0,6.48,315000.0
2018-04-05,11.2,10.8,10.9,11.2,6.597,270310.0
2018-04-06,11.3,11.0,11.2,11.2,6.597,179200.0
2018-04-09,11.4,11.0,11.0,11.2,6.597,250824.0
2018-04-10,11.4,11.0,11.2,11.2,6.597,102570.0
2018-04-11,11.1,10.7,11.1,11.1,6.538,173158.0
2018-04-12,11.2,11.0,11.0,11.2,6.597,199442.0
2018-04-13,11.3,11.2,11.2,11.3,6.656,284100.0
2018-04-16,11.2,11.0,11.1,11.2,6.597,183164.0
2018-04-17,11.3,11.1,11.2,11.3,6.656,217020.0
2018-04-18,11.3,11.0,11.3,11.1,6.538,209620.0
2018-04-19,11.1,11.0,11.1,11.1,6.538,156600.0
2018-04-20,11.2,10.9,11.0,11.1,6.538,281900.0
2018-04-23,11.1,10.8,11.1,10.8,6.362,249160.0
2018-04-24,11.0,10.6,10.8,11.0,6.48,140750.0
2018-04-26,11.0,10.9,11.0,11.0,6.48,227110.0
2018-04-27,11.1,11.0,11.0,11.1,6.538,94050.0
2018-05-02,11.0,10.9,10.9,10.9,6.421,52900.0
2018-05-03,11.1,10.9,10.9,11.1,6.538,262302.0
2018-05-04,11.2,11.0,11.1,11.1,6.538,96710.0
2018-05-07,11.1,10.9,11.1,11.1,6.538,86102.0
2018-05-08,11.1,10.9,10.9,11.1,6.538,206010.0
2018-05-09,11.2,11.1,11.2,11.2,6.597,52960.0
2018-05-10,12.3,11.2,11.2,12.3,7.245,445322.0
2018-05-11,12.3,12.2,12.3,12.3,7.245,122890.0
2018-05-14,13.5,12.3,12.3,13.3,7.834,594630.0
2018-05-15,13.5,12.9,13.3,12.9,7.599,267110.0
2018-05-16,12.7,11.7,12.7,11.7,6.892,884080.0
2018-05-17,11.7,11.0,11.6,11.7,6.892,304690.0
2018-05-18,11.9,11.1,11.9,11.7,6.892,52100.0
2018-05-21,11.4,10.6,11.3,10.6,6.244,516215.0
2018-05-22,10.6,9.8,10.0,10.4,6.126,220110.0
2018-05-23,10.5,10.0,10.4,10.4,6.126,73412.0
2018-05-24,10.8,10.4,10.4,10.8,6.362,104090.0
2018-05-25,10.9,10.7,10.8,10.9,6.421,164518.0
2018-05-28,10.8,10.1,10.5,10.1,5.949,159600.0
2018-05-29,10.7,10.1,10.2,10.4,6.126,106108.0
2018-05-30,11.0,10.3,10.4,11.0,6.48,79368.0
2018-05-31,11.0,10.5,10.9,11.0,6.48,45122.0
2018-06-01,11.6,10.8,11.6,11.4,6.715,53412.0
2018-06-04,11.3,11.0,11.2,11.2,6.597,51920.0
2018-06-05,11.2,10.8,11.1,10.8,6.362,123810.0
2018-06-06,11.0,10.7,10.8,11.0,6.48,50600.0
2018-06-07,11.0,10.6,10.6,11.0,6.48,51430.0
2018-06-08,10.9,10.7,10.8,10.9,6.421,22000.0
2018-06-11,10.9,10.7,10.7,10.9,6.421,22150.0
2018-06-12,10.9,10.6,10.8,10.8,6.362,100000.0
2018-06-13,10.9,10.7,10.8,10.9,6.421,52100.0
2018-06-14,10.9,10.6,10.7,10.9,6.421,82700.0
2018-06-15,10.9,10.8,10.9,10.8,6.362,37040.0
2018-06-18,10.9,10.6,10.8,10.8,6.362,82400.0
2018-06-19,10.8,10.5,10.7,10.8,6.362,69400.0
2018-06-20,10.8,10.5,10.5,10.8,6.362,98400.0
2018-06-21,10.7,10.6,10.6,10.7,6.303,29100.0
2018-06-22,10.8,10.7,10.7,10.8,6.362,5700.0
2018-06-25,10.9,10.6,10.9,10.7,6.303,40910.0
2018-06-26,10.7,10.5,10.5,10.7,6.303,5200.0
2018-06-27,10.8,10.6,10.7,10.7,6.303,19401.0
2018-06-28,10.7,10.5,10.6,10.7,6.303,38030.0
2018-06-29,10.7,10.4,10.4,10.7,6.303,29615.0
2018-07-02,10.7,10.7,10.7,10.7,6.303,61000.0
2018-07-03,10.8,10.6,10.6,10.7,6.303,78800.0
2018-07-04,10.6,10.3,10.5,10.6,6.244,85000.0
2018-07-05,10.5,10.3,10.5,10.5,6.185,57720.0
2018-07-06,10.6,10.2,10.3,10.5,6.185,50300.0
2018-07-09,10.8,10.3,10.3,10.5,6.185,59138.0
2018-07-10,10.6,10.4,10.5,10.6,6.244,32300.0
2018-07-11,10.6,10.2,10.6,10.5,6.185,89502.0
2018-07-12,10.5,10.2,10.2,10.2,6.008,10200.0
2018-07-13,10.5,10.1,10.2,10.3,6.067,19900.0
2018-07-16,10.3,10.1,10.1,10.3,6.067,15500.0
2018-07-17,10.4,10.0,10.1,10.4,6.126,26800.0
2018-07-18,10.5,10.0,10.5,10.4,6.126,112050.0
2018-07-19,10.4,10.2,10.4,10.3,6.067,13600.0
2018-07-20,10.3,10.1,10.3,10.3,6.067,9300.0
2018-07-23,10.3,10.0,10.3,10.0,5.891,29600.0
2018-07-24,10.0,9.8,10.0,9.8,5.773,20240.0
2018-07-25,10.4,9.7,9.8,10.3,6.067,134200.0
2018-07-26,10.4,10.3,10.3,10.3,6.067,4100.0
2018-07-27,10.6,10.2,10.2,10.5,6.185,115516.0
2018-07-30,10.7,10.5,10.5,10.6,6.244,40532.0
2018-07-31,10.6,10.4,10.6,10.5,6.185,45400.0
2018-08-01,10.4,10.2,10.4,10.4,6.126,76800.0
2018-08-02,10.5,10.1,10.3,10.5,6.185,51700.0
2018-08-03,10.5,10.3,10.5,10.3,6.067,19027.0
2018-08-06,10.3,10.1,10.1,10.1,5.949,75800.0
2018-08-07,10.1,9.9,10.1,10.1,5.949,28310.0
2018-08-08,10.1,9.9,9.9,10.1,5.949,15803.0
2018-08-09,10.2,10.1,10.2,10.1,5.949,2100.0
2018-08-10,10.1,9.5,9.9,10.1,5.949,49900.0
2018-08-13,10.1,10.0,10.1,10.1,5.949,10377.0
2018-08-14,10.2,10.0,10.1,10.0,5.891,13500.0
2018-08-15,10.0,9.9,10.0,10.0,5.891,22100.0
2018-08-16,10.0,9.9,9.9,10.0,5.891,7400.0
2018-08-17,10.1,10.0,10.0,10.1,5.949,2300.0
2018-08-20,10.1,10.0,10.1,10.1,5.949,1800.0
2018-08-21,10.1,10.0,10.0,10.1,5.949,3100.0
2018-08-22,10.0,9.9,10.0,10.0,5.891,24970.0
2018-08-23,10.0,9.9,9.9,10.0,5.891,49310.0
