Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,10.8,10.8,10.8,10.8,8.609,1000.0
2018-01-03,10.8,10.8,10.8,10.8,8.609,0.0
2018-01-04,10.8,10.8,10.8,10.8,8.609,0.0
2018-01-05,10.5,10.5,10.5,10.5,8.369,3000.0
2018-01-08,10.3,10.2,10.2,10.2,8.13,11000.0
2018-01-09,10.5,10.2,10.5,10.3,8.21,3500.0
2018-01-10,10.3,10.2,10.3,10.2,8.13,15800.0
2018-01-11,10.2,10.2,10.2,10.2,8.13,0.0
2018-01-12,10.2,10.2,10.2,10.2,8.13,18100.0
2018-01-15,10.2,10.2,10.2,10.2,8.13,0.0
2018-01-16,10.2,10.2,10.2,10.2,8.13,0.0
2018-01-17,10.5,10.5,10.5,10.5,8.369,3600.0
2018-01-18,10.5,10.5,10.5,10.5,8.369,0.0
2018-01-19,10.3,10.1,10.3,10.1,8.051,8300.0
2018-01-22,10.1,10.1,10.1,10.1,8.051,0.0
2018-01-23,10.1,10.1,10.1,10.1,8.051,0.0
2018-01-24,10.2,10.1,10.1,10.2,8.13,15500.0
2018-01-25,10.6,10.1,10.1,10.6,8.449,13200.0
2018-01-26,10.9,10.7,10.8,10.7,8.529,3500.0
2018-01-29,10.8,10.8,10.8,10.8,8.609,900.0
2018-01-30,10.8,10.8,10.8,10.8,8.609,0.0
2018-01-31,10.8,10.8,10.8,10.8,8.609,0.0
2018-02-01,10.5,9.2,10.0,10.0,7.971,10200.0
2018-02-02,10.0,10.0,10.0,10.0,7.971,3500.0
2018-02-05,9.5,9.1,9.4,9.2,7.333,14400.0
2018-02-06,10.2,10.2,10.2,10.2,8.13,100.0
2018-02-07,10.2,10.2,10.2,10.2,8.13,0.0
2018-02-08,8.7,8.7,8.7,8.7,6.935,600.0
2018-02-09,10.0,10.0,10.0,10.0,7.971,4000.0
2018-02-12,11.4,11.4,11.4,11.4,9.087,100.0
2018-02-13,11.4,11.4,11.4,11.4,9.087,0.0
2018-02-21,10.4,10.4,10.4,10.4,8.29,100.0
2018-02-22,10.4,10.0,10.0,10.4,8.29,11000.0
2018-02-23,10.3,10.3,10.3,10.3,8.21,0.0
2018-02-26,10.3,10.3,10.3,10.3,8.21,0.0
2018-02-27,10.3,10.3,10.3,10.3,8.21,0.0
2018-02-28,10.3,10.3,10.3,10.3,8.21,0.0
2018-03-01,10.3,10.3,10.3,10.3,8.21,0.0
2018-03-02,10.3,10.3,10.3,10.3,8.21,0.0
2018-03-05,10.0,10.0,10.0,10.0,7.971,5000.0
2018-03-06,10.3,10.0,10.0,10.3,8.21,3600.0
2018-03-07,10.3,10.3,10.3,10.3,8.21,2000.0
2018-03-08,10.4,10.3,10.4,10.4,8.29,1500.0
2018-03-09,10.4,10.3,10.3,10.4,8.29,2000.0
2018-03-12,10.3,10.3,10.3,10.3,8.21,1500.0
2018-03-13,10.3,10.2,10.3,10.2,8.13,2500.0
2018-03-14,11.5,10.1,11.5,10.1,8.051,3100.0
2018-03-15,10.1,10.1,10.1,10.1,8.051,4500.0
2018-03-16,10.1,10.1,10.1,10.1,8.051,0.0
2018-03-19,10.5,10.5,10.5,10.5,8.369,1000.0
2018-03-20,10.5,10.5,10.5,10.5,8.369,0.0
2018-03-21,10.6,10.1,10.2,10.6,8.449,19100.0
2018-03-22,10.3,10.3,10.3,10.3,8.21,0.0
2018-03-23,10.5,10.5,10.5,10.5,8.369,900.0
2018-03-26,10.4,10.0,10.1,10.4,8.29,6100.0
2018-03-27,10.3,10.3,10.3,10.3,8.21,4000.0
2018-03-28,10.1,10.0,10.1,10.0,7.971,1900.0
2018-03-29,10.1,10.1,10.1,10.1,8.051,33500.0
2018-03-30,10.1,10.1,10.1,10.1,8.051,0.0
2018-04-02,10.1,10.1,10.1,10.1,8.051,0.0
2018-04-03,10.2,10.0,10.0,10.2,8.13,7300.0
2018-04-04,10.1,10.1,10.1,10.1,8.051,200.0
2018-04-05,10.1,10.1,10.1,10.1,8.051,0.0
2018-04-06,10.3,10.2,10.2,10.3,8.21,10200.0
2018-04-09,10.2,10.2,10.2,10.2,8.13,0.0
2018-04-10,10.2,10.2,10.2,10.2,8.13,3000.0
2018-04-11,10.2,10.2,10.2,10.2,8.13,2200.0
2018-04-12,10.2,10.2,10.2,10.2,8.13,1000.0
2018-04-13,10.2,10.2,10.2,10.2,8.13,0.0
2018-04-16,10.2,10.2,10.2,10.2,8.13,0.0
2018-04-17,10.2,10.2,10.2,10.2,8.13,0.0
2018-04-18,10.3,10.2,10.2,10.2,8.13,7600.0
2018-04-19,10.2,10.2,10.2,10.2,8.13,2400.0
2018-04-20,10.2,10.2,10.2,10.2,8.13,0.0
2018-04-23,10.2,10.2,10.2,10.2,8.13,0.0
2018-04-24,10.2,10.2,10.2,10.2,8.13,3500.0
2018-04-26,10.2,10.2,10.2,10.2,8.13,0.0
2018-04-27,10.2,10.2,10.2,10.2,8.13,0.0
2018-05-02,10.2,10.0,10.0,10.2,8.13,1300.0
2018-05-03,10.0,10.0,10.0,10.0,7.971,0.0
2018-05-04,10.0,10.0,10.0,10.0,7.971,0.0
2018-05-07,10.0,10.0,10.0,10.0,7.971,0.0
2018-05-08,10.0,10.0,10.0,10.0,7.971,0.0
2018-05-09,10.5,10.2,10.2,10.5,8.369,2600.0
2018-05-10,10.5,10.5,10.5,10.5,8.369,10500.0
2018-05-11,10.5,10.5,10.5,10.5,8.369,0.0
2018-05-14,10.5,10.5,10.5,10.5,8.369,3000.0
2018-05-15,10.5,10.5,10.5,10.5,8.369,0.0
2018-05-16,10.5,10.5,10.5,10.5,8.369,0.0
2018-05-17,10.5,10.5,10.5,10.5,8.369,0.0
2018-05-18,10.5,10.5,10.5,10.5,8.369,0.0
2018-05-21,10.5,10.5,10.5,10.5,8.369,2000.0
2018-05-22,10.5,10.5,10.5,10.5,8.369,4700.0
2018-05-23,10.5,10.5,10.5,10.5,8.369,0.0
2018-05-24,10.5,10.5,10.5,10.5,8.369,0.0
2018-05-25,10.5,10.5,10.5,10.5,8.369,0.0
2018-05-28,10.5,10.5,10.5,10.5,8.369,0.0
2018-05-29,10.5,10.5,10.5,10.5,8.369,0.0
2018-05-30,10.5,10.5,10.5,10.5,8.369,0.0
2018-05-31,10.5,10.5,10.5,10.5,8.369,0.0
2018-06-01,10.5,10.5,10.5,10.5,8.369,0.0
2018-06-04,10.5,10.5,10.5,10.5,8.369,0.0
2018-06-05,10.5,10.5,10.5,10.5,8.369,0.0
2018-06-06,10.0,10.0,10.0,10.0,7.971,7300.0
2018-06-07,10.0,10.0,10.0,10.0,7.971,1000.0
2018-06-08,10.0,10.0,10.0,10.0,7.971,0.0
2018-06-11,10.0,10.0,10.0,10.0,7.971,0.0
2018-06-12,10.0,10.0,10.0,10.0,7.971,0.0
2018-06-13,10.0,10.0,10.0,10.0,7.971,0.0
2018-06-14,10.0,10.0,10.0,10.0,7.971,0.0
2018-06-15,10.0,10.0,10.0,10.0,7.971,0.0
2018-06-18,10.0,10.0,10.0,10.0,7.971,0.0
2018-06-19,10.0,10.0,10.0,10.0,7.971,0.0
2018-06-20,10.0,10.0,10.0,10.0,7.971,100.0
2018-06-21,10.0,10.0,10.0,10.0,7.971,0.0
2018-06-22,10.0,10.0,10.0,10.0,7.971,500.0
2018-06-25,10.0,10.0,10.0,10.0,7.971,1300.0
2018-06-26,10.0,10.0,10.0,10.0,7.971,1100.0
2018-06-27,10.0,10.0,10.0,10.0,7.971,0.0
2018-06-28,8.5,8.5,8.5,8.5,6.775,100.0
2018-06-29,8.5,8.5,8.5,8.5,6.775,0.0
2018-07-02,8.5,8.5,8.5,8.5,6.775,0.0
2018-07-03,7.3,7.3,7.3,7.3,5.819,100.0
2018-07-04,8.3,8.3,8.3,8.3,6.616,100.0
2018-07-05,9.5,9.5,9.5,9.5,7.572,100.0
2018-07-06,10.0,10.0,10.0,10.0,7.971,100.0
2018-07-09,10.0,10.0,10.0,10.0,7.971,100.0
2018-07-10,10.0,9.5,10.0,9.5,7.572,300.0
2018-07-11,9.3,9.3,9.3,9.3,7.706,0.0
2018-07-12,9.9,9.9,9.9,9.9,8.203,100.0
2018-07-13,9.9,9.9,9.9,9.9,8.203,0.0
2018-07-16,9.9,9.9,9.9,9.9,8.203,0.0
2018-07-17,11.3,8.5,8.5,11.3,9.363,200.0
2018-07-18,9.9,9.9,9.9,9.9,8.203,0.0
2018-07-19,9.9,9.9,9.9,9.9,8.203,0.0
2018-07-20,10.5,10.5,10.5,10.5,8.7,1000.0
2018-07-23,10.5,10.5,10.5,10.5,8.7,0.0
2018-07-24,10.5,10.5,10.5,10.5,8.7,0.0
2018-07-25,10.5,10.5,10.5,10.5,8.7,0.0
2018-07-26,10.5,10.5,10.5,10.5,8.7,0.0
2018-07-27,12.0,12.0,12.0,12.0,9.943,300.0
2018-07-30,11.0,11.0,11.0,11.0,9.114,2000.0
2018-07-31,11.0,11.0,11.0,11.0,9.114,0.0
2018-08-01,11.0,11.0,11.0,11.0,9.114,0.0
2018-08-02,11.0,11.0,11.0,11.0,9.114,0.0
2018-08-03,10.9,10.5,10.9,10.5,8.7,6700.0
2018-08-06,10.5,10.5,10.5,10.5,8.7,100.0
2018-08-07,10.6,10.6,10.6,10.6,8.783,4400.0
2018-08-08,10.6,10.5,10.6,10.5,8.7,5300.0
2018-08-09,10.5,10.5,10.5,10.5,8.7,2100.0
2018-08-10,10.5,10.5,10.5,10.5,8.7,0.0
2018-08-13,10.0,10.0,10.0,10.0,8.286,3000.0
2018-08-14,10.0,10.0,10.0,10.0,8.286,0.0
2018-08-15,9.5,9.5,9.5,9.5,7.871,2000.0
2018-08-16,9.5,9.5,9.5,9.5,7.871,0.0
2018-08-17,9.5,9.5,9.5,9.5,7.871,0.0
2018-08-20,9.5,9.5,9.5,9.5,7.871,900.0
2018-08-21,9.5,9.5,9.5,9.5,7.871,0.0
2018-08-22,9.5,9.5,9.5,9.5,7.871,0.0
2018-08-23,9.5,9.5,9.5,9.5,7.871,0.0
2018-08-24,9.5,9.5,9.5,9.5,7.871,0.0
2018-08-27,9.5,9.5,9.5,9.5,7.871,0.0
2018-08-28,9.5,9.5,9.5,9.5,7.871,0.0
2018-08-29,9.6,9.4,9.6,9.6,7.954,4600.0
2018-08-30,10.9,10.9,10.9,10.9,9.031,100.0
2018-08-31,12.5,12.5,12.5,12.5,10.357,100.0
2018-09-04,12.5,12.5,12.5,12.5,10.357,0.0
2018-09-05,12.4,10.7,10.7,12.4,10.274,1400.0
2018-09-06,12.4,12.4,12.4,12.4,10.274,100.0
2018-09-07,12.4,12.4,12.4,12.4,10.274,0.0
2018-09-10,12.2,10.6,10.6,12.2,10.109,300.0
2018-09-11,11.1,11.1,11.1,11.1,9.197,2700.0
2018-09-12,11.1,11.1,11.1,11.1,9.197,8400.0
2018-09-13,11.5,11.4,11.4,11.5,9.529,11500.0
2018-09-14,13.0,13.0,13.0,13.0,10.771,100.0
2018-09-17,13.0,13.0,13.0,13.0,10.771,0.0
2018-09-18,13.0,13.0,13.0,13.0,10.771,0.0
2018-09-19,11.1,11.1,11.1,11.1,9.197,1000.0
2018-09-20,9.6,9.6,9.6,9.6,7.954,4300.0
2018-09-21,11.0,11.0,11.0,11.0,9.114,100.0
2018-09-24,11.0,11.0,11.0,11.0,9.114,0.0
2018-09-25,9.6,9.5,9.5,9.6,7.954,3500.0
2018-09-26,11.0,11.0,11.0,11.0,9.114,100.0
2018-09-27,10.5,10.0,10.0,10.5,8.7,6000.0
2018-09-28,10.2,10.2,10.2,10.2,8.451,0.0
2018-10-01,10.2,10.2,10.2,10.2,8.451,0.0
2018-10-02,10.0,10.0,10.0,10.0,8.286,2000.0
2018-10-03,11.3,11.3,11.3,11.3,9.363,100.0
2018-10-04,11.3,11.3,11.3,11.3,9.363,0.0
2018-10-05,10.5,10.5,10.5,10.5,8.7,1000.0
2018-10-08,10.5,10.5,10.5,10.5,8.7,0.0
2018-10-09,12.0,9.4,12.0,9.4,7.789,200.0
2018-10-10,10.7,10.7,10.7,10.7,8.866,0.0
2018-10-11,10.7,10.7,10.7,10.7,8.866,0.0
2018-10-12,10.7,10.7,10.7,10.7,8.866,0.0
2018-10-15,10.7,10.7,10.7,10.7,8.866,0.0
2018-10-16,10.7,10.7,10.7,10.7,8.866,0.0
2018-10-17,10.7,10.7,10.7,10.7,8.866,0.0
