Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,10.0,10.0,10.0,10.0,7.256,0.0
2018-01-03,8.5,8.5,8.5,8.5,6.167,6300.0
2018-01-04,8.5,8.5,8.5,8.5,6.167,0.0
2018-01-05,9.5,9.5,9.5,9.5,6.893,100.0
2018-01-08,9.5,9.5,9.5,9.5,6.893,0.0
2018-01-09,9.5,9.5,9.5,9.5,6.893,0.0
2018-01-10,9.0,8.7,9.0,9.0,6.53,1100.0
2018-01-11,9.0,9.0,9.0,9.0,6.53,700.0
2018-01-12,9.0,9.0,9.0,9.0,6.53,0.0
2018-01-15,9.0,9.0,9.0,9.0,6.53,0.0
2018-01-16,9.0,9.0,9.0,9.0,6.53,0.0
2018-01-17,10.2,7.7,7.7,10.2,7.401,200.0
2018-01-18,9.0,9.0,9.0,9.0,6.53,0.0
2018-01-19,9.0,9.0,9.0,9.0,6.53,0.0
2018-01-22,9.0,9.0,9.0,9.0,6.53,0.0
2018-01-23,9.0,9.0,9.0,9.0,6.53,0.0
2018-01-24,9.0,9.0,9.0,9.0,6.53,0.0
2018-01-25,9.0,9.0,9.0,9.0,6.53,0.0
2018-01-26,9.0,9.0,9.0,9.0,6.53,0.0
2018-01-29,9.0,9.0,9.0,9.0,6.53,0.0
2018-01-30,9.0,9.0,9.0,9.0,6.53,0.0
2018-01-31,9.0,9.0,9.0,9.0,6.53,0.0
2018-02-01,9.0,9.0,9.0,9.0,6.53,0.0
2018-02-02,9.0,9.0,9.0,9.0,6.53,0.0
2018-02-05,9.0,9.0,9.0,9.0,6.53,0.0
2018-02-06,9.0,9.0,9.0,9.0,6.53,0.0
2018-02-07,9.0,9.0,9.0,9.0,6.53,0.0
2018-02-08,9.0,9.0,9.0,9.0,6.53,0.0
2018-02-09,9.0,9.0,9.0,9.0,6.53,0.0
2018-02-12,10.3,10.3,10.3,10.3,7.473,100.0
2018-02-13,10.3,10.3,10.3,10.3,7.473,0.0
2018-02-21,10.3,10.3,10.3,10.3,7.473,0.0
2018-02-22,10.3,10.3,10.3,10.3,7.473,0.0
2018-02-23,10.3,10.3,10.3,10.3,7.473,0.0
2018-02-26,10.3,10.3,10.3,10.3,7.473,0.0
2018-02-27,10.3,10.3,10.3,10.3,7.473,0.0
2018-02-28,9.5,9.5,9.5,9.5,6.893,5000.0
2018-03-01,9.5,9.5,9.5,9.5,6.893,0.0
2018-03-02,9.9,8.5,8.5,9.9,7.184,11100.0
2018-03-05,8.5,8.5,8.5,8.5,6.167,0.0
2018-03-06,8.5,8.5,8.5,8.5,6.167,0.0
2018-03-07,8.5,8.5,8.5,8.5,6.167,0.0
2018-03-08,9.5,9.5,9.5,9.5,6.893,100.0
2018-03-09,9.5,8.1,9.5,8.1,5.877,4000.0
2018-03-12,8.5,8.5,8.5,8.5,6.167,0.0
2018-03-13,7.5,7.4,7.5,7.4,5.37,11800.0
2018-03-14,8.6,7.4,8.6,7.5,5.442,7800.0
2018-03-15,7.4,7.4,7.4,7.4,5.37,0.0
2018-03-16,7.5,7.4,7.5,7.4,5.37,5300.0
2018-03-19,8.5,8.5,8.5,8.5,6.167,100.0
2018-03-20,8.5,8.5,8.5,8.5,6.167,0.0
2018-03-21,8.5,8.5,8.5,8.5,6.167,0.0
2018-03-22,8.5,8.5,8.5,8.5,6.167,0.0
2018-03-23,8.5,8.5,8.5,8.5,6.167,0.0
2018-03-26,8.5,8.5,8.5,8.5,6.167,0.0
