Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,23.4,22.8,23.0,23.0,4.234,57022.0
2018-01-03,23.4,23.0,23.3,23.0,4.234,214767.0
2018-01-04,23.6,23.0,23.3,23.2,4.271,238386.0
2018-01-05,24.2,23.2,23.2,24.1,4.437,265531.0
2018-01-08,25.7,24.5,24.5,25.4,4.676,685881.0
2018-01-09,25.8,24.9,25.8,25.4,4.676,325410.0
2018-01-10,25.8,25.3,25.8,25.6,4.713,118480.0
2018-01-11,27.0,25.3,25.5,26.8,4.934,195003.0
2018-01-12,28.9,26.8,26.8,28.5,5.247,342285.0
2018-01-15,29.7,28.1,28.1,29.2,5.376,232284.0
2018-01-16,29.2,28.5,29.1,29.1,5.358,272020.0
2018-01-17,31.1,30.0,30.0,30.8,5.671,667921.0
2018-01-18,31.0,30.5,30.8,30.9,5.689,180355.0
2018-01-19,31.2,30.7,31.0,31.0,5.707,336315.0
2018-01-22,31.0,29.1,31.0,30.0,5.523,289855.0
2018-01-23,30.9,29.5,30.0,29.5,5.431,247292.0
2018-01-24,30.0,29.5,29.8,29.5,5.431,89610.0
2018-01-25,31.4,29.0,29.7,30.4,5.597,205113.0
2018-01-26,31.3,29.8,29.9,30.5,5.615,288220.0
2018-01-29,31.0,30.3,30.5,30.3,5.578,532714.0
2018-01-30,30.7,30.0,30.7,30.1,5.542,259170.0
2018-01-31,30.8,30.2,30.3,30.2,5.56,249980.0
2018-02-01,30.4,29.8,30.4,30.0,5.523,135640.0
2018-02-02,31.0,29.5,30.1,30.2,5.56,202452.0
2018-02-05,30.5,29.8,30.0,29.8,5.486,159860.0
2018-02-06,29.7,25.7,29.5,27.0,4.971,380515.0
2018-02-07,30.0,29.0,30.0,29.8,5.486,113260.0
2018-02-08,30.4,30.0,30.0,30.0,5.523,144631.0
2018-02-09,30.1,27.3,29.9,30.1,5.542,179530.0
2018-02-12,30.8,30.0,30.0,30.4,5.597,120420.0
2018-02-13,32.5,30.3,30.3,31.0,5.707,420640.0
2018-02-21,32.2,31.5,32.0,31.5,5.799,303603.0
2018-02-22,32.0,31.0,31.6,31.0,5.707,252910.0
2018-02-23,31.5,30.0,30.4,30.6,5.634,482752.0
2018-02-26,31.0,30.6,30.9,30.6,5.634,307770.0
2018-02-27,31.9,30.7,30.9,30.7,5.652,1317997.0
2018-02-28,35.0,31.0,31.0,32.5,5.983,2710823.0
2018-03-01,34.0,32.5,33.3,32.5,5.983,1051660.0
2018-03-02,34.8,32.0,32.4,34.0,6.26,1039155.0
2018-03-05,37.0,34.0,34.0,35.0,6.444,1476970.0
2018-03-06,36.3,34.6,35.5,36.3,6.683,796783.0
2018-03-07,37.5,36.0,36.3,37.2,6.849,1208059.0
2018-03-08,39.0,37.2,37.3,38.8,7.143,1397434.0
2018-03-09,39.7,38.5,38.8,38.7,7.125,1518327.0
2018-03-12,39.4,37.8,39.1,38.3,7.051,1980367.0
2018-03-13,39.9,38.0,38.0,39.7,7.309,506569.0
2018-03-14,42.4,39.6,40.9,42.4,7.806,787416.0
2018-03-15,43.9,42.5,42.5,43.0,7.917,763190.0
2018-03-16,43.8,41.7,43.0,43.0,7.917,647026.0
2018-03-19,43.3,41.0,43.2,41.2,7.585,904384.0
